nct_id,relevance,brief_title,official_title,conditions_list,eligibility_criteria,description,keywords_list,Diseases,brief_title_concepts_list,official_title_concepts_list,brief_summary_concepts_list,conditions_list_concepts_list,eligibilities_concepts_list,keywords_list_concepts_list,CompletionDate,tot_subj_affected,tot_subj_risk,Status,pubmed_ids,citationSum,citationAvg,briefTitlePageRankScore,briefTitleAndSummaryCombinedPageRankScore,inclusion,exclusion
NCT01491321,0,Bee Venom Acupuncture for the Treatment of Chronic Low Back Pain,Clinical Trial to Evaluate the Efficacy of Bee Venom Acupuncture on Chronic Low Back Pain,Back Pain;Low Back Pain;,"Inclusion Criteria:          -  nonspecific, chronic low back pain over 3 months          -  Must have LBP of more than VAS 4        Exclusion Criteria:          -  cancer, vertebral fracture, spinal infection, inflammatory spondylitis          -  spinal operation          -  radicular pain          -  other musculoskeletal pain          -  physicological or mental disorders          -  allergic history to BV therapy or insect bite","The purpose of this study is to evaluate the efficacy of bee venom acupuncture on pain      intensity, functional status and quality of life of patients with chronic low back pain.",chronic low back pain;bee venom acupuncture;,"Nervous System Diseases;Pathological Conditions, Signs and Symptoms;",C0024031;C0394664;C0087111;C1547296,C1096775;C0024031;C0394664;C0220825;C1547296,C0457949;C0598463;C0518214;C0394664;C0947630;C0030193;C0220825,C0004604;C0004600,C0457949;C0026858;C0080179;C0185908;C0004936;C0278147;C0038012;C0021564;C0009450;C0262512;C0087111;C0006826;C0175456;C0442743;C1561542;C0606665,C0394664;C0004600;C1550472,20120301,,,Unknown status,23317340,6,6.0,0.04985355288305,0.057612328297154014,"nonspecific, chronic low back pain over 3 months;;;;;;;;;;Must have LBP of more than VAS 4","cancer, vertebral fracture, spinal infection, inflammatory spondylitis;;;;;;;;;;spinal operation;;;;;;;;;;radicular pain;;;;;;;;;;other musculoskeletal pain;;;;;;;;;;physicological or mental disorders;;;;;;;;;;allergic history to BV therapy or insect bite"
NCT01866332,0,Effectiveness of the Addition of the Kinesio Taping Method to Conventional Physical Therapy Treatment in Patients With Chronic Nonspecific Low Back Pain,Effectiveness of the Addition of the Kinesio Taping Method to Conventional Physical Therapy Treatment in Patients With Chronic Nonspecific Low Back Pain: A Randomized Controlled Trial,Back Pain;Low Back Pain;,"Inclusion Criteria:          -  Patients with non-specific low back pain longer than 12 weeks          -  Seeking care for low back pain        Exclusion Criteria:          -  Contra indications to physical exercise          -  Serious spinal pathologies (e.g. tumors, fractures and inflammatory diseases)          -  Nerve root compromise          -  Contra indications to the Kinesio Taping (e.g. intolerance to tapes, band aids etc)          -  Pregnancy          -  Severe cardiorespiratory conditions",The purpose of this study is to determine the effectiveness of the addition of the use of      Kinesio Taping in patients with chronic nonspecific low back pain who receive conventional      physical therapy.,back pain;tape;chronic;,"Nervous System Diseases;Pathological Conditions, Signs and Symptoms;",C0949766;C4553491;C0024031;C0087111;C1547296;C0025663;C1550655;C4684838,C1096777;C0949766;C4553491;C0024031;C0087111;C1547296;C0025663;C1550655;C4684838,C0949766;C4553491;C0024031;C0947630;C4082977,C0004604;C0004600,C0024031;C0024031;C0231199;C0228084;C2945640;C0016658;C0032961;C1552740;C0012634;C1551395;C0027651;C0205082;C0183828;C0175723;C0012634;C0452240;C1550655;C3883383;C3883383;C0442743;C0606665;C0031809,C0004600,20141201,,,Completed,27266883,0,0.0,0.045077838572328,0.054695459928969015,Patients with non-specific low back pain longer than 12 weeks;;;;;;;;;;Seeking care for low back pain,"Contra indications to physical exercise;;;;;;;;;;Serious spinal pathologies (e.g. tumors, fractures and inflammatory diseases);;;;;;;;;;Nerve root compromise;;;;;;;;;;Contra indications to the Kinesio Taping (e.g. intolerance to tapes, band aids etc);;;;;;;;;;Pregnancy;;;;;;;;;;Severe cardiorespiratory conditions"
NCT00553540,0,Study to Evaluate the Effectiveness of Orthopedic Spinal Supports in the Treatment of Low Back Pain,A Randomized Prospective Study to Evaluate the Effectiveness of Orthopedic Spinal Supports in the Treatment of Low Back Pain,Back Pain;Low Back Pain;,"Inclusion Criteria:          -  Patients must present with clinical symptoms of low back pain and evaluated by the             study physician          -  Visual Analog Score (VAS) for Pain >6 in response to the following question: Circle             one number (from 0 = no pain to 10 = worst pain) ""How would you rate the worst pain             you experienced in last week.""          -  Patients must have x-ray and or an MRI film for diagnostic evaluation based on             physician judgment.          -  Age >18; both male and female          -  Pain duration >3 months        Exclusion Criteria:          -  Prior use of opioids, physical therapy, epidural injections for back pain or ongoing             chiropractor care and or acupuncture treatment          -  Moderate to severe arthritis of the spine/ knee or hip that might severely compromise             ambulation and or posture          -  Patients with diagnosed lumbar canal stenosis          -  Serious concomitant medical illness (i.e., heart disease)          -  Obese patients (twice the width of the Moller Orthopedic Back Support)          -  Patients with moderate to severe scoliosis          -  Past or present existence of a movement disorder, e.g., Parkinsonism, or any             neurological disease that might affect ambulation and or postural changes History of             osteoporosis          -  Severe psychiatric disorder          -  Prior spine surgery          -  Multiple vertebral compression fractures with kyphosis          -  Past or present workmen's compensation claim, SSI disability, or ongoing litigation",The purpose of this study is to determine whether orthopedic spinal supports are effective in      the treatment of low back pain.,backache;low backpain;sciatica;,"Nervous System Diseases;Pathological Conditions, Signs and Symptoms;",C4553491;C0024031;C0087111;C0220825;C0947630;C1171411;C0606665;C1136201,C4553491;C0024031;C0087111;C0220825;C0947630;C1171411;C3897779;C0606665;C1136201,C0024031;C0087111;C0947630;C1136201;C0606665;C4082977,C0004604;C0004600,C0521169;C0027765;C0004936;C0026650;C0949766;C0024031;C0018799;C0920347;C0242422;C0029456;C0152057;C0394664;C0220825;C0021485;C2945640;C0945826;C0945826;C0231170;C0684331;C0004604;C0087111;C0003864;C0011900;C0036439;C0549207;C1704632;C0022423;C0812144;C1547226;C0205082;C1261287;C2115817;C0150312;C0242402;C1262869;C1551395;C0221423;C1171411;C0150312;C0262926;C0150312;C1697268;C0205082;C0205082;C0001721;C0205082;C0947630;C4050231;C1306645;C1550227;C0028754;C0030193;C0030193;C0030193;C0030193;C1561540;C0030193;C0022742;C0004600;C0175456;C1114365;C0019552;C0237607;C1550655;C1457887;C1550655;C1550655;C1550655;C1515258;C0011900;C0220825;C0804815;C0804815;C0332534;C1561542;C0037949;C3272565;C1522634;C1547226;C4699193;C1136201,,20090801,,,Completed,21686825,0,0.0,0.040663832817756006,0.054628221393442006,"Patients must present with clinical symptoms of low back pain and evaluated by the             study physician;;;;;;;;;;Visual Analog Score (VAS) for Pain >6 in response to the following question: Circle             one number (from 0 = no pain to 10 = worst pain) ""How would you rate the worst pain             you experienced in last week."";;;;;;;;;;Patients must have x-ray and or an MRI film for diagnostic evaluation based on             physician judgment.;;;;;;;;;;Age >18; both male and female;;;;;;;;;;Pain duration >3 months","Prior use of opioids, physical therapy, epidural injections for back pain or ongoing             chiropractor care and or acupuncture treatment;;;;;;;;;;Moderate to severe arthritis of the spine/ knee or hip that might severely compromise             ambulation and or posture;;;;;;;;;;Patients with diagnosed lumbar canal stenosis;;;;;;;;;;Serious concomitant medical illness (i.e., heart disease);;;;;;;;;;Obese patients (twice the width of the Moller Orthopedic Back Support);;;;;;;;;;Patients with moderate to severe scoliosis;;;;;;;;;;Past or present existence of a movement disorder, e.g., Parkinsonism, or any             neurological disease that might affect ambulation and or postural changes History of             osteoporosis;;;;;;;;;;Severe psychiatric disorder;;;;;;;;;;Prior spine surgery;;;;;;;;;;Multiple vertebral compression fractures with kyphosis;;;;;;;;;;Past or present workmen's compensation claim, SSI disability, or ongoing litigation"
NCT01919268,1,Addition of the Interferential Current to the Pilates Method in the Treatment of Chronic Nonspecific Low Back Pain,Effectiveness of the Addition of the Interferential Current to the Pilates Method in the Treatment of Patients With Chronic Nonspecific Low Back Pain: a Randomized Controlled Trial,Back Pain;Low Back Pain;,"Inclusion Criteria:          -  Sedentary patients with chronic nonspecific low back pain longer than 12 weeks          -  Pain greater than three points in Pain Numerical Rating Scale        Exclusion Criteria:          -  Contra indications to physical exercise          -  Serious spinal pathologies (e.g. tumors, fractures and inflammatory diseases)          -  Nerve root compromise          -  Pregnancy          -  Infection and/or skin lesions at the site of the application of the interferential             current          -  Cancer          -  Cardiac pacemaker          -  Changes in sensitivity or allergy in the region of electrode placement          -  Previous surgery on spine or physical therapy for chronic nonspecific low back pain in             the last six months          -  Previous experience with the Pilates method",This study aims to evaluate the effectiveness of the addition of the interferential current      to Pilates method exercises in the treatment of 148 patients with chronic nonspecific low      back pain.,Pilates-based exercises;Electrotherapy;Interferencial current;,"Nervous System Diseases;Pathological Conditions, Signs and Symptoms;",C0024031;C0087111;C1547296;C0025663,C1096777;C4553491;C0024031;C0087111;C1547296;C0025663;C1550655,C0695948;C4553491;C0452240;C0087111;C0004604;C0025663;C0947630;C1550472;C0220825,C0004604;C0004600,C0030163;C0949766;C0024031;C0024031;C0185125;C0228084;C2945640;C0237607;C0016658;C0032961;C0009450;C0441587;C0012634;C1551395;C0221198;C0020517;C0543467;C0027651;C0006826;C0025663;C0175659;C0037949;C0030193;C0030193;C0452240;C0237677;C4319952;C3883383;C0442743;C1546616;C0606665;C1561542;C0031809,,20150201,,,Completed,27771359;25492853,7,3.5,0.051422615212281,0.054002604302642,Sedentary patients with chronic nonspecific low back pain longer than 12 weeks;;;;;;;;;;Pain greater than three points in Pain Numerical Rating Scale,"Contra indications to physical exercise;;;;;;;;;;Serious spinal pathologies (e.g. tumors, fractures and inflammatory diseases);;;;;;;;;;Nerve root compromise;;;;;;;;;;Pregnancy;;;;;;;;;;Infection and/or skin lesions at the site of the application of the interferential             current;;;;;;;;;;Cancer;;;;;;;;;;Cardiac pacemaker;;;;;;;;;;Changes in sensitivity or allergy in the region of electrode placement;;;;;;;;;;Previous surgery on spine or physical therapy for chronic nonspecific low back pain in             the last six months;;;;;;;;;;Previous experience with the Pilates method"
NCT02145728,1,The Effect of Cognitive Functional Therapy on Patients With Non-specific Chronic Low Back Pain,The Effect of Cognitive Functional Therapy on Patients With Non-specific Chronic Low Back Pain: a Multi-centre Randomized Trial,Back Pain;Low Back Pain;,"Inclusion Criteria:          -  Aged between 18 and 75          -  Chronic low back pain greater than 6 months duration          -  Score greater than 14% for disability on Oswestry Disability Index (ODI)          -  Independently mobile (with or without aids), to be capable of participating in a             rehabilitation programme        Exclusion Criteria:          -  Primary pain area is not the lumbar spine (from T12-buttocks)          -  Leg pain as the primary problem (nerve root compression or disc prolapse with true             radicular pain/radiculopathy, lateral recess/central or spinal stenosis with primary             leg pain)          -  <6 months post lumbar spine or lower limb or abdominal surgery          -  Pain relieving procedures such as injection based therapy (e.g epidurals) and day case             procedures (e.g rhizotomy) in the last 3 months          -  Pregnancy          -  Rheumatologic/inflammatory disease (e.g. rheumatoid arthritis (RA), ankylosing             spondylitis (AS), psoriatic arthritis, lupus, scheuermann's disease)          -  Progressive neurological disease (e.g. multiple sclerosis (MS), parkinson's disease             (PD), motor neuron disease (MND)          -  Unstable cardiac conditions          -  Red flag disorders like malignancy/cancer, acute traumas like fracture (<6 months ago)             or infection, spinal cord compression/cauda equina","The purpose of this study is to evaluate whether individual cognitive functional therapy      (CFT), when compared to group exercise classes is effective in reducing pain and disability      in patients with non-specific chronic low back pain.",Non-specific chronic low back pain;Cognitive functional therapy;Exercise classes;,"Nervous System Diseases;Pathological Conditions, Signs and Symptoms;",C0024031;C1552740;C0087111;C1547296;C0009240;C1550655,C0024031;C1552740;C0087111;C1547296;C3266262;C0009240;C1550655;C3897779,C0457949;C1276393;C0231170;C1552740;C0087111;C0456387;C0947630;C0030193;C0392335;C0220825,C0004604;C0004600,C0037926;C0751463;C0036310;C1290884;C0003873;C0027765;C0085084;C0003872;C0026769;C0034991;C0278147;C0024031;C0700594;C0024091;C0024091;C0007458;C0038012;C0231170;C0231170;C0023216;C0006826;C0000726;C0021485;C0812144;C0282615;C0032961;C0012634;C0009450;C0023222;C0033377;C1261287;C0023222;C0443343;C0016658;C1547296;C0033213;C0543467;C0087111;C0012634;C0018787;C3714660;C0006826;C4050231;C0600653;C0024131;C0030193;C1444662;C0030193;C1561538;C0184661;C0184661;C0012634;C1299583;C0332534;C1561542;C0606665;C1561542;C1561542;C1561542;C1550518;C0242422,C1552740;C0456387;C0004600;C1550472;C0031843,20181201,,,Completed,26033941,2,2.0,0.042505699914804,0.051071963080973004,"Aged between 18 and 75;;;;;;;;;;Chronic low back pain greater than 6 months duration;;;;;;;;;;Score greater than 14% for disability on Oswestry Disability Index (ODI);;;;;;;;;;Independently mobile (with or without aids), to be capable of participating in a             rehabilitation programme","Primary pain area is not the lumbar spine (from T12-buttocks);;;;;;;;;;Leg pain as the primary problem (nerve root compression or disc prolapse with true             radicular pain/radiculopathy, lateral recess/central or spinal stenosis with primary             leg pain);;;;;;;;;;<6 months post lumbar spine or lower limb or abdominal surgery;;;;;;;;;;Pain relieving procedures such as injection based therapy (e.g epidurals) and day case             procedures (e.g rhizotomy) in the last 3 months;;;;;;;;;;Pregnancy;;;;;;;;;;Rheumatologic/inflammatory disease (e.g. rheumatoid arthritis (RA), ankylosing             spondylitis (AS), psoriatic arthritis, lupus, scheuermann's disease);;;;;;;;;;Progressive neurological disease (e.g. multiple sclerosis (MS), parkinson's disease             (PD), motor neuron disease (MND);;;;;;;;;;Unstable cardiac conditions;;;;;;;;;;Red flag disorders like malignancy/cancer, acute traumas like fracture (<6 months ago)             or infection, spinal cord compression/cauda equina"
NCT00973024,0,A Dose-ranging Study of the Safety and Effectiveness of JNJ-42160443 as add-on Treatment in Patients With Low Back Pain,"A Randomized, Double-Blind, Placebo-Controlled, Dose-Ranging, Dose-Loading Study to Evaluate the Efficacy, Safety, and Tolerability of JNJ-42160443 as Adjunctive Therapy in Subjects With Inadequately Controlled, Moderate to Severe, Chronic Low Back Pain",Back Pain;Low Back Pain;,"Inclusion Criteria:          -  Diagnosis of chronic low back pain        Exclusion Criteria:          -  Pain with radiation to the extremity and with neurologic signs          -  history within the past year of any of the following: seizure disorder          -  intrathecal therapy and ventricular shunts, mild or moderate traumatic brain injury,             stroke, or transient ischemic attack, meningitis          -  History of brain injury within the past 15 years consisting of >= 1 of the following,             or with residual sequalae suggesting transient changes in consciousness: brain             contusion, intracranial hematoma, either unconsciousness or posttraumatic amnesia             lasting more than 24 hours          -  History of epilepsy or multiple sclerosis          -  Current diagnosis of fibromyalgia, complex regional pain syndrome (including reflex             sympathetic dystrophy or causalgia), acute spinal cord compression, bowel or bladder             dysfunction as a result of cauda equine compression, back pain caused by secondary             infection, or pain caused by confirmed or suspected neoplasm          -  Any new or unresolved neurologic deficits, including progressive deficits, within 6             months before screening","The purpose of this study is to compare the safety and effectiveness of different doses of      JNJ-42160443 with placebo in the treatment of chronic, moderate to severe low back pain      patients with a diagnosis of chronic low back pain.","JNJ-42160443;Low back pain-related pain;moderate to severe, chronic pain;","Nervous System Diseases;Pathological Conditions, Signs and Symptoms;",C4553491;C0024031;C0087111;C0947630;C1550655,C0024031;C2911690;C2825951;C2911690;C0220825;C1547226;C0032042;C0087111;C1547296;C0205082;C0456909;C0947630;C4684765;C3897779,C0457949;C4553491;C0024031;C0087111;C0011900;C0032042;C0205082;C0947630;C1547226,C0004604;C0004600,C0458219;C0007787;C0037926;C0876926;C0457949;C0596793;C0002623;C1831734;C0521654;C0026769;C0751378;C0014544;C0041657;C0009791;C0270611;C0016053;C0018827;C0277785;C0025289;C0011900;C0015385;C0009938;C0011900;C0333606;C0007462;C0004604;C0027627;C0009450;C0750484;C0199230;C0014544;C0027651;C0262512;C0262926;C0262926;C0005682;C0038454;C0006104;C0021853;C0030193;C1561543;C0030193;C1578513;C0007458;C1829459;C1522449;C3839460;C1550450;C0542331;C1561542;C1547226,C0150055;C0004604;C0205082;C0233492;C3537263,20110501,,,Terminated,27101815,1,1.0,0.045131892030058,0.05031855776062,Diagnosis of chronic low back pain,"Pain with radiation to the extremity and with neurologic signs;;;;;;;;;;history within the past year of any of the following: seizure disorder;;;;;;;;;;intrathecal therapy and ventricular shunts, mild or moderate traumatic brain injury,             stroke, or transient ischemic attack, meningitis;;;;;;;;;;History of brain injury within the past 15 years consisting of >= 1 of the following,             or with residual sequalae suggesting transient changes in consciousness: brain             contusion, intracranial hematoma, either unconsciousness or posttraumatic amnesia             lasting more than 24 hours;;;;;;;;;;History of epilepsy or multiple sclerosis;;;;;;;;;;Current diagnosis of fibromyalgia, complex regional pain syndrome (including reflex             sympathetic dystrophy or causalgia), acute spinal cord compression, bowel or bladder             dysfunction as a result of cauda equine compression, back pain caused by secondary             infection, or pain caused by confirmed or suspected neoplasm;;;;;;;;;;Any new or unresolved neurologic deficits, including progressive deficits, within 6             months before screening"
NCT01802671,0,Efficacy Study of Cognitive Behavioural Treatment With Support on Communication and Information Technologies for the Management of Chronic Low Back Pain,Cognitive Behavioural Treatment With Support on Communication and Information Technologies for the Management of Chronic Low Back Pain: A Randomized Clinical Trial,Back Pain;Low Back Pain;,"Inclusion Criteria:          -  age between 20 and 65 years          -  suffering low back pain for at least 6 months          -  availability of mobile phone in order to get SMS          -  access to computer with Internet connection in order to be able to use the CBT program             supported by ICT        Exclusion Criteria:          -  mental retardation          -  not proficient in Spanish          -  neurogenic claudication or neurologic deficit          -  history of vertebral fracture, previous lumbar surgery          -  vertebral infection          -  spinal or nerve tumor          -  severe mental disorder or substance abuse or dependence.",The objective of this study is to investigate the short- and long-term efficacy of a      Cognitive Behavioural Treatment program for chronic low back pain supported by information      and communication technologies,Low back pain;Cognitive behavioural treatment;internet;disability;,"Nervous System Diseases;Pathological Conditions, Signs and Symptoms;",C0683867;C0024031;C0087111;C1171411;C1547296;C0947630;C0376636,C0206034;C0683867;C0024031;C0087111;C1171411;C1547296;C0376636,C0457949;C0018017;C0087111;C0947630;C0683867;C3242430,C0004604;C0004600,C0580173;C0025362;C0521654;C0080179;C0004936;C0740858;C0024031;C0439857;C0683278;C0549207;C0009450;C0262512;C0543467;C0205082;C0027740;C0027651;C1299581;C4699618;C1561542;C0606665;C1522411;C1522411;C1880354,C0004600;C4321351;C0677505,20151201,,,Unknown status,23607895,0,0.0,0.043691554682585,0.048362772552057,age between 20 and 65 years;;;;;;;;;;suffering low back pain for at least 6 months;;;;;;;;;;availability of mobile phone in order to get SMS;;;;;;;;;;access to computer with Internet connection in order to be able to use the CBT program             supported by ICT,"mental retardation;;;;;;;;;;not proficient in Spanish;;;;;;;;;;neurogenic claudication or neurologic deficit;;;;;;;;;;history of vertebral fracture, previous lumbar surgery;;;;;;;;;;vertebral infection;;;;;;;;;;spinal or nerve tumor;;;;;;;;;;severe mental disorder or substance abuse or dependence."
NCT01124955,0,Acupuncture Using Yamamoto's Method for the Treatment of Acute Nonspecific Low Back Pain,"Acupuncture for Acute Nonspecific Low Back Pain: a Randomized, Controlled, Double-blind, Placebo Trial",Back Pain;Low Back Pain;,"Inclusion Criteria:          -  Male or female          -  Aged 18 to 65 years          -  Seeking medical assistance for nonspecific low-back pain          -  Score of 4 to 8 cm on the pain scale (0 to 10 cm)          -  Agreed to participate and signed term of informed consent        Exclusion Criteria:          -  Patients with a diagnostic investigation of secondary causes as spondyloarthropathy,             infection, tumor or fracture          -  Sciatica lumbar pain          -  Previous surgery on spinal column          -  Litigation          -  Having changed physical activity or underwent acupuncture or physical therapy in             previous three months,          -  Having previously undergone scalp acupuncture          -  Pregnancy          -  Contraindication for anti-inflammatory agents","The aim of the present study is to assess the effectiveness of acupuncture using Yamamoto's      method for the treatment of ANLBP using the following outcomes:pain,functional      capacity,quality of life and number of 50 mg sodium diclofenac pills taken per day.",treatment;acupuncture;spine;,"Nervous System Diseases;Pathological Conditions, Signs and Symptoms;",C0024031;C0394664;C0087111;C0025663;C1547229;C0450955,C0024031;C0394664;C2911690;C0032042;C1547229;C0456909;C3897779,C0700583;C0518214;C4553491;C0394664;C0087111;C0150312;C0025663;C0947630;C0030193;C1561538;C0031843;C0450955,C0004604;C0004600,C0003209;C0949691;C0949766;C1301624;C1552578;C0037949;C0024031;C0394664;C0394664;C0684331;C0004604;C0027627;C0009450;C0032961;C0016658;C0036396;C0543467;C1561610;C4050231;C0175659;C0027651;C0036270;C0030193;C1550472;C1280910;C4699618;C1550655;C0009797;C0011900;C0178520;C3641827;C1561542;C0442739,,20101201,0.0,160.0,Completed,24316509,6,6.0,0.040809648671529,0.047462646537334015,Male or female;;;;;;;;;;Aged 18 to 65 years;;;;;;;;;;Seeking medical assistance for nonspecific low-back pain;;;;;;;;;;Score of 4 to 8 cm on the pain scale (0 to 10 cm);;;;;;;;;;Agreed to participate and signed term of informed consent,"Patients with a diagnostic investigation of secondary causes as spondyloarthropathy,             infection, tumor or fracture;;;;;;;;;;Sciatica lumbar pain;;;;;;;;;;Previous surgery on spinal column;;;;;;;;;;Litigation;;;;;;;;;;Having changed physical activity or underwent acupuncture or physical therapy in             previous three months,;;;;;;;;;;Having previously undergone scalp acupuncture;;;;;;;;;;Pregnancy;;;;;;;;;;Contraindication for anti-inflammatory agents"
NCT02241538,1,Effectiveness of Different Weekly Frequency of Modified Pilates Method Exercises in the Treatment of Chronic Nonspecific Low Back Pain,Cost Effectiveness and Effectiveness of the Addition of Different Weekly Frequency of Modified Pilates Method Exercises to a Minimal Intervention in the Treatment of Chronic Nonspecific Low Back Pain: A Randomized Controlled Trial,Back Pain;Low Back Pain;,"Inclusion Criteria:          -  Patients with chronic nonspecific low back pain longer 12 weeks        Exclusion Criteria:          -  Contra indications to physical exercise          -  Serious spinal pathologies (e. g. tumors, fractures and inflammatory diseases)          -  Nerve root compromise          -  Pregnancy          -  Previous surgery on spine          -  Pilates treatment for low back pain in the last three months","Low back pain is a major cause of disability and absenteeism and the supervised exercise is a      recommended treatment by the guidelines and has been cost-effective. Currently, the Pilates      method has shown to be effective in improving pain and disability in patients with chronic      low back pain (CLBP). However, there is still no evidence about the ideal number of sessions      for the treatment and the interval between sessions to achieve better efficacy of this method      for these patients. Thus, the aim of this study is to investigate the effectiveness of the      Pilates method with different weekly frequency of sessions in the treatment of patients with      nonspecific CLBP. Investigators will assess 296 patients of both genders, with nonspecific      CLBP lasting more than three months and aged between 18 and 80 years. Participants will be      randomly divided into four groups (n = 74 patients per group): Control Group will receive an      educational booklet and no additional exercise, Pilates 1 Group will receive a program of      exercises based on Pilates method once a week for six weeks, Pilates 2 Group will receive the      same program of exercises twice a week for six weeks and Pilates 3 Group will receive the      same program of exercises three times a week for six weeks. The outcomes overall disability      (Roland Morris Disability questionnaire), specific disability (Patient-Specific Functional      scale), kinesiophobia (Tampa scale for kinesiophobia), pain intensity (Pain Numerical Rating      scale) and global perceived effect (Global Perceived Effect scale) will be assessed by a      blinded assessor before, six weeks, six and 12 months after randomization. Investigators      expect that the largest number of weekly sessions of Pilates method may influence the results      in all analyzes (short, medium and long term), since there is a relationship between      frequency of exercises and effect size of the treatment.",Pilates-based exercises;,"Nervous System Diseases;Pathological Conditions, Signs and Symptoms;",C4553491;C0024031;C2347273;C0452240;C0087111;C1547296;C0025663,C1096777;C4553491;C4553491;C0024031;C0184661;C2347273;C0452240;C0087111;C1547296;C0025663,C1320357;C0024031;C0024031;C4553491;C0034394;C0231170;C0162791;C0231170;C0231170;C0231170;C0231170;C0087111;C0087111;C0087111;C0452240;C0452240;C0452240;C0030971;C0030971;C0452240;C0087111;C1552740;C0030258;C1550655;C0025663;C0025663;C0025663;C1552839;C0025663;C1518681;C0025663;C1518681;C0947630;C1561557;C1561557;C1561557;C1561557;C0175659;C0175659;C0175659;C0175659;C0030193;C1561540;C1561540;C1561540;C0030193;C4699604;C0452240;C0452240;C0424927;C1705273;C2347273;C2347273;C0233697;C0233697;C0233697;C0233697;C1561542;C1552839;C1552654;C1552740;C1564718,C0004604;C0004600,C0024031;C0024031;C0228084;C2945640;C0016658;C0032961;C0087111;C0012634;C1551395;C0543467;C0027651;C0037949;C0452240;C1550655;C3883383;C0442743;C0606665;C1561542;C0031809,C0452240,20170601,,,Completed,29525763;26294680,0,0.0,0.04420831421633401,0.046714443088541,Patients with chronic nonspecific low back pain longer 12 weeks,"Contra indications to physical exercise;;;;;;;;;;Serious spinal pathologies (e. g. tumors, fractures and inflammatory diseases);;;;;;;;;;Nerve root compromise;;;;;;;;;;Pregnancy;;;;;;;;;;Previous surgery on spine;;;;;;;;;;Pilates treatment for low back pain in the last three months"
NCT01168999,0,The Mechanisms of Manual Therapy in the Treatment of Low Back Pain,The Mechanisms of Manual Therapy in the Treatment of Low Back Pain,Back Pain;Low Back Pain;,Inclusion Criteria:          -  currently experiencing low back pain which does not extend below the knees          -  rate the low back pain as a minimum of 4/10 at worst over the past 24 hours          -  appropriate for conservative management of low back pain          -  english speaking        Exclusion Criteria:          -  surgery to the low back over the past 6 months          -  systemic disease known to effect sensation          -  other chronic pain condition unrelated to low back pain          -  fracture as a cause of low back pain,"The purpose of this study is to determine whether a novel placebo for comparison to spinal      manipulation is believable and creates similar expectation for treatment effectiveness as the      studied spinal manipulation technique. Additionally, we wish to compare outcomes related to      low back pain, function, and pain sensitivity between people receiving the placebo, spinal      manipulation, and no therapy.",low back pain;spinal manipulation;manual therapy;placebo;,"Nervous System Diseases;Pathological Conditions, Signs and Symptoms;",C0454525;C0024031;C0087111,C0454525;C0024031;C0087111,C0086586;C0162703;C4553491;C0024031;C0947647;C0947647;C0087111;C0031843;C0032042;C0032042;C0087111;C0947630;C0679622;C0233492;C0606665;C0606665;C4082977,C0004604;C0004600,C0459914;C0442893;C0024031;C0024031;C0024031;C0024031;C0024031;C0150055;C0542538;C0012634;C0445356;C0016658;C0543467;C1518681;C0022742;C0004600;C1550472;C1170317;C1561542,C0004600;C1550472,20130101,0.0,220.0,Completed,24361109,21,21.0,0.053852887982987,0.043494856407545,currently experiencing low back pain which does not extend below the knees;;;;;;;;;;rate the low back pain as a minimum of 4/10 at worst over the past 24 hours;;;;;;;;;;appropriate for conservative management of low back pain;;;;;;;;;;english speaking,surgery to the low back over the past 6 months;;;;;;;;;;systemic disease known to effect sensation;;;;;;;;;;other chronic pain condition unrelated to low back pain;;;;;;;;;;fracture as a cause of low back pain
