nct_id,relevance,brief_title,official_title,conditions_list,eligibility_criteria,description,keywords_list,Diseases,brief_title_concepts_list,official_title_concepts_list,brief_summary_concepts_list,conditions_list_concepts_list,eligibilities_concepts_list,keywords_list_concepts_list,CompletionDate,tot_subj_affected,tot_subj_risk,Status,pubmed_ids,citationSum,citationAvg,briefTitlePageRankScore,briefTitleAndSummaryCombinedPageRankScore,inclusion,exclusion
NCT00210418,1,Effectiveness of Targeting Food Aid to Malnourished Children Compared to Targeting All Children Under Two Years,Prevention or Cure: A Comparison of the Effectiveness of Targeting Food Supplements to Malnourished Children Compared to Universal Targeting of Children Under Two in Haiti,Malnutrition;,Inclusion Criteria:          -  Family resides in community served by World-Vision Haiti's Maternal and Child Health             and Nutrition Program        Exclusion Criteria:,The objective of this study is to compare two approaches to targeting donated supplementary      food to young children. The study compares the effectiveness of the widely-used curative      approach where targeting is based on the child's poor nutritional status to a preventive      approach which targets children in poor communities solely on the basis of age and provides      supplementary food to all children aged 6-23 months. Cost-effectiveness of the two targeting      approaches will also be assessed.,"Malnutrition;Infant nutrition;Food, fortified;Growth;Randomized controlled trials;Evaluation studies;Haiti;",Nutritional and Metabolic Diseases;,C4553491;C0162429,C4553491;C0199176;C1552870;C1947943;C0162429;C0882214,C0392209;C4553491;C4553491;C0018017;C0947630;C0947630;C3540798;C1273517;C3540798;C1561542;C1555587,C0162429,C0008078;C0518896;C1858460;C0376691;C3244301;C0042789,C2911690;C1257752,20050901,,,Completed,18280329,30,30.0,0.028789168060202007,0.033146129073496,Family resides in community served by World-Vision Haiti's Maternal and Child Health             and Nutrition Program,
NCT02148822,1,"Visceral Leishmaniasis and Malnutrition in Amhara Regional State, Ethiopia","Visceral Leishmaniasis and Malnutrition in Amhara Regional State, Ethiopia","Malnutrition;Leishmaniasis;Leishmaniasis, Visceral;",Inclusion Criteria:          -  Reported age between 4 and 15 years of age          -  Currently living in the selected household        Exclusion Criteria:          -  To be ill of visceral leishmaniasis at the time of the survey          -  To be positive to visceral leishmaniasis infection tests at the time of the first             survey          -  To be under treatment for visceral leishmaniasis at the time of the survey          -  To be extremely ill of any other condition,"The project Visceral Leishmaniasis and Malnutrition is a cohort study that aimed to assess      the association between malnutrition and visceral leishmaniasis (VL). It was conducted in      Libo Kemkem and Fogera districts of the Amhara Regional State in Ethiopia. Clinical,      anthropometric, biochemical, immunological, parasitological and sociodemographic data of      school age children from VL high prevalence communities were collected in December 2009, May      2010 and February 2011.",Visceral leishmaniasis;kala azar;malnutrition;stunting;thinness;Leishmania donovani;,Parasitic Diseases;Skin and Connective Tissue Diseases;Nutritional and Metabolic Diseases;,C0023290;C0162429,C0023290;C0162429,C0023290;C0023290;C0162429;C0162429;C0004083;C3272565;C0947630;C3245479,C0042779,C0023290;C0023290;C0023290;C0009450;C0087111;C0012634;C0684224;C1446409;C0038951;C0038951;C0038951;C0392366;C0231218;C0231218;C4085555,C0042779,20110201,,,Completed,26203904,3,3.0,0.027172709140365004,0.028915744593435,Reported age between 4 and 15 years of age;;;;;;;;;;Currently living in the selected household,To be ill of visceral leishmaniasis at the time of the survey;;;;;;;;;;To be positive to visceral leishmaniasis infection tests at the time of the first             survey;;;;;;;;;;To be under treatment for visceral leishmaniasis at the time of the survey;;;;;;;;;;To be extremely ill of any other condition
NCT01632072,0,The Undernourished Patient: Prevention and Treatment,The Undernourished Patient: Prevention and Treatment,Weight Loss;Malnutrition;,"Inclusion Criteria:          1. In risk of undernutrition or undernourished according to the screening tool NRS-2002,             score 3 or above.          2. Living in Oslo, Bærum or Asker municipality.          3. Must be able to cooperate.        Exclusion Criteria:          1. Unwilling to participate          2. Less than 12 months life expectancy","The purpose of this study is to determine whether a nutrition intervention during a      rehabilitation stay followed by nutritional advice after discharge, can improve the      nutritional status of the patients after 3 months.",,"Pathological Conditions, Signs and Symptoms;Nutritional and Metabolic Diseases;",C0199176;C0087111;C1550655;C0162429,C0199176;C0087111;C1550655;C0162429,C0392209;C0034991;C0184661;C0392209;C0012621;C0150600;C0947630;C0184511;C2707262;C1561542;C4082977,C0944911,C0162429;C0162429;C0199230;C0595998;C1299581;C4699604;C3534109;C0600109,C1140111,20150801,,,Completed,28717811,1,1.0,0.021451922029892,0.027742156896016,"In risk of undernutrition or undernourished according to the screening tool NRS-2002,             score 3 or above.;;;;;;;;;;Living in Oslo, B├ªrum or Asker municipality.;;;;;;;;;;Must be able to cooperate.",Unwilling to participate;;;;;;;;;;Less than 12 months life expectancy
NCT01157741,1,Community-based Follow-up of Severely Malnourished Children,"Efficacy of Community-based Follow-up, Food Supplementation and Psychosocial Stimulation in the Home-management of Young Severely Malnourished Bangladeshi Children: a Randomized Intervention Trial",Malnutrition;,"Inclusion Criteria:          1. Age 6 - 24 months          2. Either sex          3. Severely malnourished [weight for age (WA) < -3 Z score]          4. Resolution of acute illnesses          5. Not planning to leave the current residence within next six months (for the purpose of             follow-up)          6. Informed consent granted from the guardian.        Exclusion Criteria:          1. Persistent anorexia, fever, severe wasting (WH < -3 Z score) or edema          2. Clinically apparent congenital/acquired disorders that may affect growth          3. Other acute or chronic diseases requiring hospitalization and/or affecting growth          4. Lack of fixed address (to avoid difficulties in tracing for follow up examinations)          5. Caregiver's condition: children accompanied by caregivers who are not able to give any             time for child care or unable to give stimulation due to any condition e.g. old age,             disease, physical or mental handicap.","Improved methods of community/home management and follow-up of severely undernourished      children need to be developed in low-income countries like Bangladesh. The proposed study      will be conducted at ICDDR,B Hospital and in different urban primary health care centres      within Dhaka city. The efficacy of four different interventions will be evaluated/compared      with control with respect to the rate of completion of clinical follow-up and growth,      morbidity, and changes in psychomotor development in 500 children aged 6-24 months presenting      to ICDDR,B with initial weight-for-age (WA) <-3 Z score. The interventions are:        1. Usual follow-up (fortnightly for 1st 3 months) service at the hospital nutrition           follow-up unit (HNFU) including growth monitoring and promotion + health education +           micronutrient supplementation and treatment of intercurrent illness (current standard           practice; control group).        2. All management like control group, but follow up at community-based nutrition follow-up           unit (CNFU) (fortnightly for 1st 3 months) (intervention A).        3. All management like intervention A at CNFU + supplementary food (SF) for the first 3           months (intervention B).        4. All management like intervention A at CNFU + psychosocial stimulation (PS) for the first           3 months (intervention C).        5. All management like intervention A at CNFU + SF + PS for the first 3 months           (intervention D).      After the initial three months intervention period, children in all groups will be followed      on fortnightly basis for next three months in their respective follow up unit.      Follow-up rate, nutritional status, mental and psychomotor development, behavior, morbidities      (including intestinal permeability in a sub-sample) of the children, and child rearing      practices, depression and self esteem of mothers will be assessed in different groups.      By ascertaining the most cost-effective/best management package, and by extending the package      to other systems in the country, it will be possible to rehabilitate a greater number of      severely malnourished children in their communities.","Community based follow up, severely underweight children;",Nutritional and Metabolic Diseases;,C0205082;C0162429,C0242296;C0184661;C0376636;C0205082;C1548341;C1458132;C0162429;C1292856;C3897779,C0033137;C0392209;C0242297;C0162429;C0886296;C0886296;C0184661;C0184661;C0184661;C0184661;C1458132;C0184661;C0184661;C0184661;C0184661;C0162429;C0243107;C1292856;C0243107;C0036597;C0376636;C0150369;C0376636;C0376636;C0376636;C0376636;C0021853;C0011570;C0376636;C0220880;C0392209;C0424927;C0087111;C0392209;C0237607;C0184511;C0205082;C2828392;C0237607;C0332149;C0205082;C0025663;C0221423;C1550710;C0018270;C1305866;C0018270;C0025344;C1552839;C0229992;C1552839;C0947630;C0724128;C0870814;C3540798;C0870814;C0870814;C1550472;C0677505;C0009488;C3539125;C0441621;C2363670;C0220825;C1561542;C1561542;C1561542;C1561542;C1561542;C1561542;C1561542;C1561542;C3534109;C1552839;C1552839;C3272565,C0162429,C0008679;C0019993;C1306341;C0162429;C1299586;C0031809;C1292856;C1514893;C0221423;C0012634;C0012634;C0012634;C0205082;C0032074;C0003123;C3245488;C0235394;C1442065;C0012634;C3844638;C1305866;C0205082;C0001721;C0018270;C0018270;C0566415;C0015967;C0013604;C1546725;C1299581;C1114365;C0009253;C1830482;C3272565;C1561542;C1561542;C3534109;C3534109;C0728735;C0031809,C0041667;C0205082,20080601,,,Completed,21505367,1,1.0,0.031490298974886,0.027435887082582,Age 6 - 24 months;;;;;;;;;;Either sex;;;;;;;;;;Severely malnourished [weight for age (WA) < -3 Z score];;;;;;;;;;Resolution of acute illnesses;;;;;;;;;;Not planning to leave the current residence within next six months (for the purpose of             follow-up);;;;;;;;;;Informed consent granted from the guardian.,"Persistent anorexia, fever, severe wasting (WH < -3 Z score) or edema;;;;;;;;;;Clinically apparent congenital/acquired disorders that may affect growth;;;;;;;;;;Other acute or chronic diseases requiring hospitalization and/or affecting growth;;;;;;;;;;Lack of fixed address (to avoid difficulties in tracing for follow up examinations);;;;;;;;;;Caregiver's condition: children accompanied by caregivers who are not able to give any             time for child care or unable to give stimulation due to any condition e.g. old age,             disease, physical or mental handicap."
NCT01115647,1,Treating Moderate Malnutrition in 6-24 Months Old Children,"Treating Moderate Malnutrition in 6-24 Months Old Children: Acceptability, Efficacy and Cost-effectiveness of a Local Soy-based RUTF vs. Enhanced Corn Soy Blend vs. Child-centered Counselling",Malnutrition;,Inclusion Criteria:          -  living in the catchment area of one of the 18 health centres participating in this             cluster randomized trial          -  6-24 months of age          -  -3≤ weight for height z score <-2 without edema          -  No major clinical complications          -  Showing appetite        Exclusion Criteria:          -  Weight-for-Height Z-score <-3 and/or the presence of bilateral          -  Presence of bilateral pitting oedema          -  Not showing appetite,"Child malnutrition is intimately associated to poverty and may be due to sub-optimal feeding      behaviours, food insecurity at household level, or a combination of both. Acute malnutrition      is a major contributor to under-5 mortality and morbidity in developing countries. While      clinical guidelines for severe acute malnutrition (SAM) have been available for a decade,      research on the management of moderate acute malnutrition (MAM) has lagged behind.      Nonetheless, MAM is much more incident than SAM, it increases mortality risk by itself and      requires special nutritional treatment. This study is thus meant to address this major gap,      by testing the relative feasibility, effectiveness and cost-effectiveness of three innovative      strategies for treating children with MAM aged 6-24 months : a locally produced Ready-to-Use      Therapeutic Food (RUTF), a corn/soy blended flour (CSB++)provided by the World Food Program,      and a specific and context-appropriate child-centred counselling.      The evaluation will be carried out as a cluster-randomized trial in the Houndé district,      Burkina Faso, where 18 rural health centres will be randomly allocated to RUSF or CSB or CCC      for treating MAM.",Malnutrition;Nutritional intervention;Behavioural intervention;Burkina Faso;Cluster randomize trial;,Nutritional and Metabolic Diseases;,C0162429;C1547226,C4553491;C0162429;C1547226;C0981864;C2756587;C2756587;C0010210,C4553491;C4553491;C0162429;C0162429;C0162429;C0162429;C0087111;C0010210;C0677505;C0233497;C0162791;C0376636;C0679199;C0220825;C0220880;C0087111;C1552740;C0204695;C1442065;C0392366;C0376691;C0542559;C0699809;C0205082;C1547229;C0947630;C0240919;C3540798;C0036002;C0036002;C2756587;C3539181;C2707262;C1561542;C0018792;C4699372;C3272565;C1547226;C3245501;C3172260;C0701928,C0162429,C0424670;C0333243;C0009566;C0003618;C0392148;C0150312;C0003618;C0944911;C0013604;C1561542;C0018792;C3534109;C3534109;C3272565,C0018792;C0158850,20111101,,,Completed,24808482,5,5.0,0.031492992381446,0.027307059302851003,living in the catchment area of one of the 18 health centres participating in this             cluster randomized trial;;;;;;;;;;6-24 months of age;;;;;;;;;;-3Γëñ weight for height z score <-2 without edema;;;;;;;;;;No major clinical complications;;;;;;;;;;Showing appetite,Weight-for-Height Z-score <-3 and/or the presence of bilateral;;;;;;;;;;Presence of bilateral pitting oedema;;;;;;;;;;Not showing appetite
NCT00117000,0,The Effects of Testosterone and Nutritional Supplementation in the Undernourished Elderly,"The Effects of Testosterone and Nutritional Supplementation, Alone and Combined, on the Adverse Effects of Under-Nutrition in the Elderly",Malnutrition;,"Inclusion Criteria:          -  Men and women aged 65 years or older who are under-nourished, as defined by a Mini             Nutritional Assessment (MNA) score <24 AND 1 or more of the following: *a body mass             index (BMI) of less than 22 kg/m2; *weight loss of > 7.5% in the 3 months before             enrolling in the study          -  Living independently in the community (not in a hospital, nursing home or hostel)          -  Understand and sign informed consent document, able to communicate with the             investigator, and understand and comply with the requirements of the study.          -  Women who are taking oestrogen or other hormone replacement therapy (HRT) may take             part (see exclusion criteria for exceptions), as may women who are not taking HRT. If             a woman is taking HRT she must have been on a stable dose for at least 3 months before             enrolment in the study. If not on HRT, she must not have been taking it for at least 3             months before enrolment.        Exclusion Criteria:          -  Dementia as indicated by a Folstein’s Mini Mental State Examination (MMSE) score of <             23          -  Elevated haematocrit (HCT) levels (>50%)          -  Past or present history of prostatic cancer in men (Prostate Specific Antigen (PSA)             levels [> age-related normal range and/or irregular prostate on prostate examination])             or breast cancer.          -  Pre-existing androgenic signs or symptoms in women of concern to either subject or             investigator (deep voice, hirsutism, acne, androgenic hair loss).          -  Depression (Yesavage Geriatric Depression Scale (GDS) Score > 11)          -  Inability to attend DEXA scan or complete other requirements of the study          -  Significant cardiac failure (NYHA Class III and above)          -  Significantly abnormal liver function tests (ALT, GGT, bilirubin or ALP more than 2             times the upper limit of normal)          -  Nephrotic syndrome; 24h urine protein excretion > 3 grams (if baseline urinalysis             reveals > 1+ proteinuria, quantification will be performed) AND/OR calculated             creatinine clearance (by the equation of Baracskay and Jarjoura for ambulatory elderly             subjects [Cr clearance = 4.4/serum creatinine (mmol/L) + (88-age)](63) < 30 ml/min)             AND/OR serum creatinine concentration > 0.2mmol/l.          -  Amputee (body mass index, creatinine clearance and body composition estimations             inaccurate).          -  Any disease, which in the opinion of the investigator is likely to lead to death             within one year          -  Testosterone or other androgen therapy (including DHEA and tibolone) in the four             months before starting the study.          -  Medication with cyclosporin or barbiturates","The purpose of this study is to determine what effect treatment for one year with      testosterone and a nutritional supplement, alone and combined, has on the adverse effects of      under-nutrition in community-dwelling older men and women.","testosterone;food, formulated;malnutrition;undernutrition;aging;aged;aged, 80 and over;frail elderly;",Nutritional and Metabolic Diseases;,C0242297;C0039601;C0162429,C0242297;C0039601;C0518896;C0439044;C0559546,C0879626;C0039601;C0087111;C0392209;C1518681;C0947630;C0439044;C1561543;C0242297;C3694424;C1555709;C4082977,C0162429,C0451306;C0151766;C0282402;C0201544;C0028708;C0919654;C0373595;C0373595;C2364293;C0027726;C0376358;C4049644;C0201976;C0279493;C0018801;C0005893;C1882086;C0006142;C0262923;C0086045;C0039601;C0004745;C1262477;C0518014;C0033687;C0680844;C0010592;C0162340;C0162340;C0011570;C0042014;C1561560;C0013227;C0518010;C0014939;C0019572;C0002170;C1510486;C0221102;C1301746;C0497327;C0033572;C0076660;C0028678;C0150312;C0262512;C1546421;C0012634;C0595998;C0725694;C1553386;C1553386;C0332148;C0918012;C0947630;C0947630;C0947630;C0042939;C4050231;C0947630;C0011065;C0947630;C0001144;C1442948;C1561543;C0011185;C1550557;C0042789;C1550557;C1550557;C3843802;C1457887;C0009797;C1290940;C4684637;C0233492;C0201976;C0002844;C0002844;C0201913;C1382187;C1561542;C1706074;C1561542;C1561542;C1561542;C3534109;C3534109;C2702329;C4284141;C4284141;C1441792;C4283785;C0728774;C1140618;C0162429,,20070201,,,Unknown status,19144729,15,15.0,0.021371607852577,0.025666223469269,"Men and women aged 65 years or older who are under-nourished, as defined by a Mini             Nutritional Assessment (MNA) score <24 AND 1 or more of the following: *a body mass             index (BMI) of less than 22 kg/m2; *weight loss of > 7.5% in the 3 months before             enrolling in the study;;;;;;;;;;Living independently in the community (not in a hospital, nursing home or hostel);;;;;;;;;;Understand and sign informed consent document, able to communicate with the             investigator, and understand and comply with the requirements of the study.;;;;;;;;;;Women who are taking oestrogen or other hormone replacement therapy (HRT) may take             part (see exclusion criteria for exceptions), as may women who are not taking HRT. If             a woman is taking HRT she must have been on a stable dose for at least 3 months before             enrolment in the study. If not on HRT, she must not have been taking it for at least 3             months before enrolment.","Dementia as indicated by a FolsteinΓÇÖs Mini Mental State Examination (MMSE) score of <             23;;;;;;;;;;Elevated haematocrit (HCT) levels (>50%);;;;;;;;;;Past or present history of prostatic cancer in men (Prostate Specific Antigen (PSA)             levels [> age-related normal range and/or irregular prostate on prostate examination])             or breast cancer.;;;;;;;;;;Pre-existing androgenic signs or symptoms in women of concern to either subject or             investigator (deep voice, hirsutism, acne, androgenic hair loss).;;;;;;;;;;Depression (Yesavage Geriatric Depression Scale (GDS) Score > 11);;;;;;;;;;Inability to attend DEXA scan or complete other requirements of the study;;;;;;;;;;Significant cardiac failure (NYHA Class III and above);;;;;;;;;;Significantly abnormal liver function tests (ALT, GGT, bilirubin or ALP more than 2             times the upper limit of normal);;;;;;;;;;Nephrotic syndrome; 24h urine protein excretion > 3 grams (if baseline urinalysis             reveals > 1+ proteinuria, quantification will be performed) AND/OR calculated             creatinine clearance (by the equation of Baracskay and Jarjoura for ambulatory elderly             subjects [Cr clearance = 4.4/serum creatinine (mmol/L) + (88-age)](63) < 30 ml/min)             AND/OR serum creatinine concentration > 0.2mmol/l.;;;;;;;;;;Amputee (body mass index, creatinine clearance and body composition estimations             inaccurate).;;;;;;;;;;Any disease, which in the opinion of the investigator is likely to lead to death             within one year;;;;;;;;;;Testosterone or other androgen therapy (including DHEA and tibolone) in the four             months before starting the study.;;;;;;;;;;Medication with cyclosporin or barbiturates"
NCT01562379,1,Complementary Food Supplements for Reducing Childhood Undernutrition,Evaluation of Complementary Food Supplements For Reducing Childhood Undernutrition: The JiVitA-4 Study,Cachexia;Wasting Syndrome;Growth Disorders;Malnutrition;,Inclusion Criteria:          -  Infants 6 months of age,"The purpose of this study is to test the impact on child growth of three specially formulated      complementary food supplements vs. Plumpy'Doz, a previously tested, commercially available      complementary food, and vs. a control group that receives no food. All groups will receive      nutrition education related to infant and young child feeding. This will be a      cluster-randomised trial in children 6-18 months old in rural Rangpur and Gaibandha in      Bangladesh.",complementary food supplements;stunting;wasting;growth;Bangladesh;infant feeding;,"Pathological Conditions, Signs and Symptoms;Nutritional and Metabolic Diseases;",C0162429;C1947943;C0220644,C0162429;C0220825;C0947630;C1947943;C0220644,C0392209;C0424927;C0204695;C0018270;C0392366;C1552839;C0947630;C0240919;C0392366;C3540798;C3540798;C3540798;C0680536;C0233492;C1561542;C1552839;C0018792;C1947943,,C1561542,C0204695;C3540798,20141101,37.0,16390.0,Completed,30184222;28644348;27680994,11,3.6666666666666696,0.022079159081139003,0.02493431605503,Infants 6 months of age,
NCT02911181,0,Quality Project Malnutrition Intensive Care,Quality Project Malnutrition Intensive Care,Malnutrition;,Inclusion Criteria:          -  admission ICU        Exclusion Criteria:,Observational study to investigate nutrition state in all admitted patients in ICU.      Measurement by BIVA and SNAQ score.,BIVA measurement;SNAQ score;,Nutritional and Metabolic Diseases;,C0085559;C0162429;C0016538,C0085559;C0162429;C0016538,C1964257;C0392209;C0184666;C0947630;C3843236;C3534109,C0162429,C0184666,C3534109,20160901,,,Completed,29460815,0,0.0,0.021003421364375,0.02491575470978,admission ICU,
NCT01958905,1,Efficacy and Bio-availability of Artemether-Lumefantrine in Severely Malnourished Children,Efficacy and Bio-availability of Artemether-Lumefantrine Fixed Combination in Severely Malnourished Children Compared to Non-severely Malnourished Children,Malnutrition;Severe Acute Malnutrition;,"Inclusion Criteria:          -  Age between 6 and 59 months          -  Weight ≥ 5 kg          -  P. falciparum monoinfection confirmed on a thick blood film          -  Parasitic density between 1,000 and 200,000 asexual forms/µL of blood.          -  Measured axillary temperature ≥ 37.5 ° C or history of fever during the previous 24             hours          -  High probability of compliance with follow-up visits (no near-term travel plans)          -  Consent of a parent or guardian who is at least 18 years of age.          -  According to the group: in severely malnourished, weight-for-height z-score <-3 SD or             MUAC <115 mm, and in non-severely malnourished, weight-for-height z-score ≥- 3             standard deviations (SD), and MUAC≥ 115 mm.        Exclusion Criteria:          -  General danger signs or signs of complicated malaria as defined by the WHO (Appendix             1)          -  Mixed or mono-infection with another Plasmodium species detected by microscopy          -  Severe anemia (hemoglobin <5 g / dL)          -  Known underlying chronic or severe disease (e.g. cardiac, renal or hepatic disease,             tuberculosis, sickle cell)          -  Known HIV/AIDS infection          -  Known history of hypersensitivity or contra-indication to any of the study             medications: artemether, lumefantrine (first-line medications), or artesunate,             amodiaquine (rescue medications)          -  Presence of febrile conditions due to diseases other than malaria which could alter             the outcome of the study          -  History of a full treatment course with AL in the past 14 days.          -  Height-for-age <-3 Z scores          -  Severe complications of malnutrition requiring hospitalization in intensive care or             stabilization: Severe signs of kwashiorkor, Anorexia (failure to the appetite test),             Hyperemesis, Severe acute infection, Hypothermia <35 ˚ C (axillary) or hypoglycemia,             Diarrhea with dehydration, Lethargy, coma, Clinical signs of vitamin A deficiency             (xerophthalmia)","The general objective of the study is to answer to the question: ""Is the current dose of AL      less efficacious in the severely malnourished compared to the non-severely malnourished      children, and is PK in cause?"" We aim to assess whether the current treatment dose is      adequate for children with severe acute malnutrition, and we hope results will guide further      recommendations for malaria treatment in this specific population.",,Nutritional and Metabolic Diseases;,C0531104;C0052429;C0205082;C0162429,C0531104;C3811910;C0052429;C0205082;C0205082;C2827483;C0162429;C0162429,C0162429;C0162429;C0162429;C0018017;C0087111;C0087111;C0205082;C0205082;C1552740;C0024530;C0205082;C0947630;C0392347;C3714908,C0162429;C1547229,C0376286;C4699572;C0020517;C0023895;C0019993;C0275518;C0085559;C0009566;C1293130;C0043349;C0162429;C0162429;C0041296;C0531104;C0162429;C0020615;C3857369;C0013227;C0013227;C0002641;C0013227;C0022806;C0020450;C0020672;C0011175;C3541306;C0026018;C0052429;C0052432;C0750484;C0009450;C0009450;C0087111;C0004454;C0205082;C0205082;C2828392;C0003617;C0442726;C0150312;C0012634;C0003123;C0003618;C0004454;C0011991;C0023380;C3272565;C0599655;C0262512;C2923685;C3812897;C0024530;C0012634;C0018787;C0262512;C0015967;C0024530;C0262926;C0944911;C1555670;C1305866;C1305866;C0205082;C0002871;C0205082;C0205082;C0205082;C0205082;C0005767;C0005767;C0015967;C3160715;C0022646;C0947630;C0947630;C0392366;C0009421;C1114365;C0589121;C0012634;C0948093;C0858318;C4684637;C3714738;C4067746;C1561542;C0002957;C1552839;C3534109;C3534109;C0441229;C4551670;C1301624,C1140111,20150501,,,Completed,27776521;26068100,8,4.0,0.021036491282589,0.024792769387564,"Age between 6 and 59 months;;;;;;;;;;Weight ΓëÑ 5 kg;;;;;;;;;;P. falciparum monoinfection confirmed on a thick blood film;;;;;;;;;;Parasitic density between 1,000 and 200,000 asexual forms/┬╡L of blood.;;;;;;;;;;Measured axillary temperature ΓëÑ 37.5 ┬░ C or history of fever during the previous 24             hours;;;;;;;;;;High probability of compliance with follow-up visits (no near-term travel plans);;;;;;;;;;Consent of a parent or guardian who is at least 18 years of age.;;;;;;;;;;According to the group: in severely malnourished, weight-for-height z-score <-3 SD or             MUAC <115 mm, and in non-severely malnourished, weight-for-height z-score ΓëÑ- 3             standard deviations (SD), and MUACΓëÑ 115 mm.","General danger signs or signs of complicated malaria as defined by the WHO (Appendix;;;;;;;;;;;;;;;;;;;;Mixed or mono-infection with another Plasmodium species detected by microscopy;;;;;;;;;;Severe anemia (hemoglobin <5 g / dL);;;;;;;;;;Known underlying chronic or severe disease (e.g. cardiac, renal or hepatic disease,             tuberculosis, sickle cell);;;;;;;;;;Known HIV/AIDS infection;;;;;;;;;;Known history of hypersensitivity or contra-indication to any of the study             medications: artemether, lumefantrine (first-line medications), or artesunate,             amodiaquine (rescue medications);;;;;;;;;;Presence of febrile conditions due to diseases other than malaria which could alter             the outcome of the study;;;;;;;;;;History of a full treatment course with AL in the past 14 days.;;;;;;;;;;Height-for-age <-3 Z scores;;;;;;;;;;Severe complications of malnutrition requiring hospitalization in intensive care or             stabilization: Severe signs of kwashiorkor, Anorexia (failure to the appetite test),             Hyperemesis, Severe acute infection, Hypothermia <35 ╦Ü C (axillary) or hypoglycemia,             Diarrhea with dehydration, Lethargy, coma, Clinical signs of vitamin A deficiency             (xerophthalmia)"
NCT01415570,0,"Malnutrition, Diet and Racial Disparities in Chronic Kidney Disease (CKD)","Malnutrition, Diet and Racial Disparities in Chronic Kidney Disease (CKD) - A Prospective Data Collection Study","Kidney Diseases;Renal Insufficiency, Chronic;Kidney Failure, Chronic;Malnutrition;",Inclusion Criteria:          -  Adult (18-85 yrs) patients          -  HD > 4 weeks        Exclusion Criteria:          -  Terminal disease with life expectancy < 6 months,"In the United States, African Americans are 3.6 time and Hispanics 1.5 times more likely to      suffer from chronic kidney disease and need dialysis treatment for life, when compared to the      non-Hispanic Whites. Unfortunately many dialysis patients die, so that after 5 years only      less than 35% are still alive. Dialysis patients who appear malnourished or who have muscle      and fat wasting are even more likely to die. Interestingly, among dialysis patients,      minorities (African Americans, Hispanics and Asian Americans) usually survive longer than the      non-Hispanic Whites. If the investigators can discover the reasons for these so-called      ""racial survival disparities"" of dialysis patients, the investigators may be able to improve      survival for all dialysis patients and maybe even for many other people who suffer from other      chronic diseases. During this 5 year study the investigators would like to test if a      different nutrition and diet can explain better survival of minority dialysis patients. The      investigators will also test if in additional to nutrition there are 2 other reasons for      better survival of minority dialysis patients, namely differences in bone and minerals and      differences in social and psychological and mental health. The investigators plan to study      450 hemodialysis patients every 6 months in several dialysis clinics in Los Angeles South Bay      area. These subjects will include 30% African Americans, 30% Hispanics, 30% non-Hispanic      Whites and 10% Asians. Every 6 months the investigators will examine their nutritional      conditions, dietary intake, psycho-social conditions and quality of life, and will recruit 75      new subjects to replace those who left our study as a result of kidney transplantation, death      or other reasons. Hence, the investigators estimate studying a total of 1,050 hemodialysis      patients over 5 years. Clinical events such as hospital admissions and survival will be      followed. Blood samples will be obtained every 6 months for measurements of hormones and      ""biomarkers"", and the remainder of the blood will be stored in freezers for future      measurements. The investigators plan to design and develop race and ethnicity specific      nutritional risk scores and food questionnaires and will test some of these scores in larger      national databases of hemodialysis patients. Almost a year after the study starts, the      investigators also plan to do additional tests of body composition and dietary intake in a      smaller group of these patients at the GCRC.",Protein-energy wasting (PEW);racial disparities;hemodialysis;survival paradoxes;Stage 5;,Male Urogenital Diseases;Female Urogenital Diseases and Pregnancy Complications;Nutritional and Metabolic Diseases;,C1561643;C0162429;C0012159,C1561643;C0162429;C0600644;C0947630;C0012159,C0022671;C0184666;C0008679;C0518214;C0022658;C1286104;C0034394;C1286104;C1306597;C0025353;C0162429;C0019004;C0019004;C0019004;C0005516;C0087111;C0392209;C0392209;C0242356;C0011946;C0011946;C0011946;C0011946;C0011946;C0011946;C0011946;C0011946;C0011946;C3272565;C1552740;C0235394;C0310255;C0332148;C0683278;C0332148;C0683278;C0947630;C0947630;C0947630;C0011065;C0005767;C0005767;C0947630;C0392366;C1299581;C1561543;C0870814;C0392366;C0392366;C0262950;C3540798;C0392366;C1561543;C0015677;C1578513;C0012634;C0012634;C0184511;C0000589;C3843322;C2707262;C2707262;C1553821;C0301572;C1561542;C1561542;C1306597;C1561542;C1552850;C1552839;C0085632;C0085632;C3854058;C3842265;C3842265;C2363670,C0022646;C0403447,C0012634;C1561542,C0555903;C0235394;C0424589,20161101,,,Unknown status,28324018,2,2.0,0.020639297029882,0.024441284371742,Adult (18-85 yrs) patients;;;;;;;;;;HD > 4 weeks,Terminal disease with life expectancy < 6 months
