nct_id,relevance,brief_title,official_title,conditions_list,eligibility_criteria,description,keywords_list,Diseases,brief_title_concepts_list,official_title_concepts_list,brief_summary_concepts_list,conditions_list_concepts_list,eligibilities_concepts_list,keywords_list_concepts_list,CompletionDate,tot_subj_affected,tot_subj_risk,Status,pubmed_ids,citationSum,citationAvg,briefTitlePageRankScore,briefTitleAndSummaryCombinedPageRankScore,inclusion,exclusion
NCT02817386,1,Study of Postoperative Delirium in Elderly People After Orthopedic Surgery,microRNA and Delirium After Hip and Knee Fracture,Delirium;,"Inclusion Criteria:          1. 65 years old or older          2. candidates for spinal anesthesia          3. Non language communication barriers        Exclusion Criteria:          1. past medical history of neurological and psychiatric diseases including AD, other             forms of dementia, stroke, or psychosis;          2. severe visual or hearing impairment;          3. unwillingness to comply with the protocol or procedures.",The purpose of this study is to investigate the possible relationship of microRNA and      postoperative delirium.,postoperative delirium;microRNA;,"Nervous System Diseases;Pathological Conditions, Signs and Symptoms;",C0011206;C0543467;C0947630;C1136201,C0745541;C0011206;C0019552,C0332149;C0011206;C0947630,C0011206,C3843802;C1384666;C0002928;C0262926;C0033975;C0012634;C0011265;C0442711;C0038454;C0205082;C0725694;C0184661;C1706912;C2707261;C1548428;C4693928;C0033348,,20160201,,,Completed,28690539,0,0.0,0.022994377940821,0.038946181468626,65 years old or older;;;;;;;;;;candidates for spinal anesthesia;;;;;;;;;;Non language communication barriers,"past medical history of neurological and psychiatric diseases including AD, other             forms of dementia, stroke, or psychosis;;;;;;;;;;;severe visual or hearing impairment;;;;;;;;;;;unwillingness to comply with the protocol or procedures."
NCT01816685,1,Effect of CPAP on Postoperative Delirium,The Effect of Peri-operative Continuous Positive Airway Pressure (CPAP) on Postoperative Delirium in a Population at High-risk for Obstructive Sleep Apnea (OSA),"Sleep Apnea Syndromes;Delirium;Sleep Apnea, Obstructive;",Inclusion Criteria:          -  Age 50 and above          -  Scheduled for an elective knee or hip replacement          -  Ability to speak English and give informed consent          -  At risk for obstructive sleep apnea as defined by a STOP-BANG score > 2        Exclusion Criteria:          -  History of psychiatric or neurologic illness that would confound delirium assessment          -  Severe tracheal or lung disease          -  Contraindications to face-mask CPAP          -  Treated OSA,Patients with a medical condition known as obstructive sleep apnea may be at increased risk      of delirium following surgery. This study loans autotitrating CPAP machines to      randomly-selected patients who are at high-risk for obstructive sleep apnea with the goal of      preventing post-operative delirium.,,"Nervous System Diseases;Pathological Conditions, Signs and Symptoms;Respiratory Tract Diseases;",C0011206,C0199451;C0520679;C0011206;C4321237,C0520679;C0520679;C0012634;C0011206;C0011206;C0543467;C0947630;C0018017;C4699158;C1550655;C0030201,C0037315;C0003578,C0520679;C1301624;C0392806;C0024115;C0031809;C0086960;C0011206;C0262926;C0221423;C0205082;C0600116;C0022742;C0015450;C0024861;C1114365;C0040578;C0009797;C1548428;C4684637;C3534109;C1546398,C1140111,20140601,0.0,228.0,Completed,28618293,1,1.0,0.050446105594702,0.030920522256503,Age 50 and above;;;;;;;;;;Scheduled for an elective knee or hip replacement;;;;;;;;;;Ability to speak English and give informed consent;;;;;;;;;;At risk for obstructive sleep apnea as defined by a STOP-BANG score > 2,History of psychiatric or neurologic illness that would confound delirium assessment;;;;;;;;;;Severe tracheal or lung disease;;;;;;;;;;Contraindications to face-mask CPAP;;;;;;;;;;Treated OSA
NCT02126215,1,An MRI Study of Post-operative Delirium in Patients Undergoing Major Surgery,"""Blue"" Cerebrovascular Reactivity (CVR) Maps as a Marker for Post-operative Delirium (POD) in Patients Undergoing Abdominal Aortic Aneurysm (AAA) Surgery: A Pilot Study: Addition of Other Patients Being Admitted to SSCU After Major Surgery","Delirium;Aortic Aneurysm;Aortic Aneurysm, Abdominal;","Inclusion Criteria:          -  major surgery          -  able to tolerate CO2 stress test        Exclusion Criteria:          -  diagnosed dementia          -  unable to have MRI          -  excessive claustrophobia          -  unstable angina, recent myocardial infarction (MI)          -  chronic obstructive pulmonary disease (COPD)","Hypothesis: Patients with blue cerebrovascular reactivity (CVR) regional maps during a      hypercapnic CO2 challenge will be at greater risk of developing post-operative delirium (POD)      and stroke following major surgery. The blue CVR map will be shown to be predictive of POD      and stroke and ultimately represent a diagnostic test for patients at risk. These blue CVR      maps will enable neurologic risk stratification for patients undergoing major surgery. A      secondary hypothesis is that location and extent of the blue CVR maps will strongly indicate      risk of neurologic sequelae after operative procedures. Background: Major surgery is      associated with a significant risk of postoperative morbidity and mortality. POD is a dreaded      complication with such anesthesia and surgery. The prevalence of delirium after cardiac      surgery has been reported to occur in up to 50% of patients. Using a definitive diagnostic      tool such as the Confusion Assessment Method - Intensive Care Unit (CAM-ICU) results in the      higher proportion reported. Delirium is a serious complication that results in prolonged      length of stay, increased health care costs, and higher mortality. As much as $6.9 billion of      Medicare hospital expenditures can be attributed to delirium. At such a cost, better      diagnosis and treatment is urgently needed. Pre-emptive diagnosis leading to better      management of delirium post-operatively is clearly one of the fundamental problems      confronting modern anesthesia and peri-operative medicine.      Specific Objectives: The investigators seek to address (a) the identity of patients who have      the greatest vulnerability to the surgery and (b) investigate the risks and test appropriate      risk mitigations. Understanding POD is of immense import to help control a hospital's      surgical and critical care costs. Patients with neurological consequences including POD often      represent a choke point for optimized critical care utilization. At the very least, improved      understanding and a diagnostic test to highlight patients at risk of POD would be most      welcome. Such an advance would permit rational strategies to limit the problem and allow      better designed therapeutic arcs for patients now known to be at risk. This is especially      important for patients undergoing complicated major surgery and is the focus of this pilot      project.",magnetic resonance imaging;carbon dioxide;abdominal aortic aneurysm;post-op delirium;,"Cardiovascular Diseases;Nervous System Diseases;Pathological Conditions, Signs and Symptoms;",C0011206;C0543467;C0947630;C1550655,C0162871;C0011206;C0809949;C0543467;C0543467;C0005516;C0947630;C1546725;C3810842;C1550655;C1550655,C0543467;C0746864;C0086143;C0086143;C0085559;C0679637;C0679637;C0162340;C0010337;C0010337;C0162340;C0679637;C0009566;C0009566;C0020440;C0086388;C0002903;C0031809;C0376636;C0002903;C0679199;C0805586;C0027627;C0220880;C0009676;C0011900;C0087111;C0011900;C0011206;C1555588;C0011206;C0700287;C0700287;C0011206;C1547152;C0011206;C0011206;C0424215;C0184511;C0543467;C0543467;C0018787;C0543467;C1442065;C0543467;C0033213;C0038454;C0038454;C0562342;C0025663;C0008301;C1509845;C0392366;C1552861;C0087111;C0018017;C1550655;C0033213;C1550655;C2707261;C0011900;C4084912;C0542058;C1254223;C0150312;C0150312;C0013227;C1552740;C0543467;C1660757;C0030201;C0684331;C0151872;C0151576,C0000726;C0162872,C0024117;C0027051;C0002965;C0008909;C0679637;C0015260;C0011900;C0011265;C0566415;C1299581,C0231881;C0011206;C0003483,20180701,,,Unknown status,28868035,2,2.0,0.027145052958784,0.029019372458774,major surgery;;;;;;;;;;able to tolerate CO2 stress test,"diagnosed dementia;;;;;;;;;;unable to have MRI;;;;;;;;;;excessive claustrophobia;;;;;;;;;;unstable angina, recent myocardial infarction (MI);;;;;;;;;;chronic obstructive pulmonary disease (COPD)"
NCT01274819,0,Dynamic Light Application to Prevent ICU Acquired Delirium,Dynamic Light Application to Prevent ICU Acquired Delirium,Delirium;Confusion;,Inclusion Criteria:          -  ICU-patients >18 yrs old          -  expected duration of stay > 24 hrs        Exclusion Criteria:          -  life expectancy of <48 hrs on ICU admission          -  necessity of prolonged deep sedation          -  blindness          -  inability to speak or understand dutch,"Rationale: Delirium is a frequently encountered problem in ICU patients and leads to      increased morbidity and mortality; Delirium in the ICU is associated with sleep deprivation      which is among others caused by a disrupted circadian rhythm; Dynamic Light application aims      at restoring a proper circadian rhythm by rhythmically alternating light intensity and has      shown beneficial effects in sleep quality. Whether DLA improves sleep quality and reduces      delirium incidence in ICU patients is not known      Goals/endpoints:      To evaluate the feasibility of dynamic light application in the ICU and to study the effects      of dynamic light application on the incidence of delirium, duration of mechanical      ventilation, the number of ICU and hospital days, and mortality in a mixed population of      medical and surgical ICU patients. In a subgroup of patients with a high risk of developing      delirium, markers of circadian rhythm, inflammation and brain damage and post ICU HRQoL will      be assessed Study design: prospective randomized single centre trial Study population: adult      ICU patients > 18 years old with an expected duration of stay of more than 24 hours      Intervention: Patients will be randomized between Standard Care or Standard Care + DLA; When      receiving standard care, normal lighting settings will be used in that patient room, which      can be controlled by the medical personnel; In the rooms of patients randomized to the DLA      group, DL is applied with a changing intensity during the day according to a fixed rhythm,      which is regulated centrally. In addition when necessary, an intervention light can be used      which can be operated in the patient room.      Study parameters/endpoints: incidence of delirium as measured by the CAM-ICU; duration of      mechanical ventilation, ICU and total hospital mortality; ICU and hospital LOS; Serum levels      of inflammatory markers and markers of brain damage, urinary levels of markers of circadian      rhythm, data of HRQoL questionnaires and total light exposure in both groups",delirium;confusion;,"Nervous System Diseases;Pathological Conditions, Signs and Symptoms;",C1947919;C0011206;C3842678;C3245488;C0012082,C1947919;C0011206;C3842678;C3245488;C0012082,C0199470;C0037316;C0008810;C0008810;C0008810;C0034394;C0424563;C0424563;C0021368;C0270611;C0184661;C0184661;C0270611;C0185125;C0185125;C0185125;C0035203;C0220880;C0332167;C0011206;C0011206;C0011206;C0011206;C0011206;C2828392;C2828392;C2828392;C0011206;C0274281;C0033213;C3539125;C0087136;C1553386;C0871269;C0871269;C1552839;C3842678;C0018017;C0947630;C0947630;C0947630;C0947630;C0229671;C1273517;C1273517;C3245479;C1561538;C1550655;C0542559;C0544691;C1518681;C1518681;C0005516;C0005516;C0005516;C0005516;C1512346;C2911690;C0442743;C0332534;C4055646;C0332534;C0332534;C0275586;C0275586;C0275586;C0018792;C1552839;C0275586;C0275586;C0184511;C0220825;C0543467;C0151576,,C0162340;C0184666;C0456909;C3842953;C0235195;C0600116;C4055646;C0332534;C0151872,,20130901,,,Completed,30811475;29801516;26895652,9,3.0,0.018066753281572,0.027204984388365,ICU-patients >18 yrs old;;;;;;;;;;expected duration of stay > 24 hrs,life expectancy of <48 hrs on ICU admission;;;;;;;;;;necessity of prolonged deep sedation;;;;;;;;;;blindness;;;;;;;;;;inability to speak or understand dutch
NCT02206880,1,The Delirium-CS Canada Study,"Examining DELIRIUM in Postoperative Cardiac Surgery Patient in Canada: Providing a National ""Snapshot"" of an Increasingly Devastating Complication",Delirium;,"Inclusion Criteria:          -  All patients undergoing cardiac surgery who are admitted to an ICU or CSRU following             their procedure        Exclusion Criteria:          -  Patients in whom delirium cannot be reliably identified (e.g., previous debilitating             stroke, cerebral palsy, severe dementia, severe hearing disabilities or inability to             understand English or French, active seizure disorder or Child-Pugh class B or C             cirrhosis)",Delirium is a prevalent complication following cardiac surgery that is under-recognized using      current methods of delirium detection and that may be better identified through a systematic      and standardized perioperative screening protocol.      The purpose of this study is to determine the incidence of postoperative delirium in the      current era of cardiac surgery using a validated delirium-screening tool.,Thoracic Surgery;Delirium;Cardiopulmonary Bypass;Intensive Care;,"Nervous System Diseases;Pathological Conditions, Signs and Symptoms;",C0011206;C0947630,C0018821;C0009566;C0011206;C1550655;C0332128;C0699530;C0056170,C0009566;C0199230;C0199230;C0011206;C0011206;C0442711;C0011206;C0011206;C0018787;C0543467;C0025663;C0018787;C0543467;C0947630;C1550043;C1511790;C4082977,C0011206,C0014544;C0007789;C0231170;C0162340;C4050412;C0184661;C0023890;C0184666;C0011206;C0011265;C0018787;C0543467;C0018767;C0038454;C0205082;C0205082;C0456387;C1550655;C1320102;C1550043;C3858758,C0729233,20180701,,,Completed,28743102,0,0.0,0.032445767536037,0.027198165600347,All patients undergoing cardiac surgery who are admitted to an ICU or CSRU following             their procedure,"Patients in whom delirium cannot be reliably identified (e.g., previous debilitating             stroke, cerebral palsy, severe dementia, severe hearing disabilities or inability to             understand English or French, active seizure disorder or Child-Pugh class B or C             cirrhosis)"
NCT01278524,0,International Multicenter Study One Day Prevalence Observational Study for Delirium on ICU,International Multicenter Study One Day Prevalence Observational Study for Delirium on ICU,Delirium;,Inclusion Criteria:          -  Patients staying in the ICU on the 25th of January (one-day prevalence study)        No exclusion Criteria:,"An anonymous international multicenter - clinical survey, one-day observational study.",Delirium;Analgosedation;ICU;Pain;Implementation;,"Nervous System Diseases;Pathological Conditions, Signs and Symptoms;",C1964257;C0011206;C0947630;C0947630,C1964257;C0011206;C0947630;C0947630,C0038951;C0947630;C1561538;C1964257;C3245483;C3272565,C0011206,C0947630;C1561538;C1550655,,20110101,,,Completed,25398099,12,12.0,0.024219277664831,0.026148023162269,Patients staying in the ICU on the 25th of January (one-day prevalence study)        No exclusion Criteria:,
NCT00919698,0,Delirium in Mechanically Ventilated Patients,An Assessment of Delirium in Mechanically Ventilated Patients Undergoing Daily Awakening From Sedation,Delirium;,"Inclusion Criteria:          -  > 18 years old          -  intubated and mechanically ventilated          -  receiving sedative and/or analgesic medication          -  candidate for daily awakening from sedative and/or analgesic medication        Exclusion Criteria:          -  primary neurologic disease (stroke, seizure, elevated ICP)          -  post cardiac arrest          -  do not speak English (assessment only English language validated)","The overall purpose of this trial is to assess the relationship between a daily awakening      from sedation and the prevalence of delirium, and in doing so better characterize delirium in      the ICU.","Hypnotics and Sedatives;Respiration, Artificial;Ventilators, Mechanical;Critical care;Intensive care;","Nervous System Diseases;Pathological Conditions, Signs and Symptoms;",C0011206;C1550655;C0591932,C0031809;C0011206;C0235195;C1550655;C0591932,C0235195;C0011206;C0011206;C0018792;C0007952,C0011206,C0018790;C0013227;C0013227;C0031809;C0002771;C0002771;C0020592;C0020592;C0012634;C0036572;C0038454;C0600116;C0152393;C4698387;C0856882;C0033348,C0020591;C0085559,20131001,,,Completed,24423152,41,41.0,0.026255983860977,0.025751371716475,> 18 years old;;;;;;;;;;intubated and mechanically ventilated;;;;;;;;;;receiving sedative and/or analgesic medication;;;;;;;;;;candidate for daily awakening from sedative and/or analgesic medication,"primary neurologic disease (stroke, seizure, elevated ICP);;;;;;;;;;post cardiac arrest;;;;;;;;;;do not speak English (assessment only English language validated)"
NCT01267682,0,Cognitive Intervention For Delirium in Dementia,Reserve For Delirium Superimposed On Dementia (DSD),Dementia;Delirium;,Inclusion Criteria:          -  presence of delirium          -  mild to moderate cognitive impairments          -  65 years of age or older          -  English speaking          -  community-dwelling          -  legally authorized representative available        Exclusion Criteria:          -  severe vision or hearing problems          -  diagnosis of               1. major depression               2. Parkinson's with Lewy Body disease               3. Huntington's disease               4. normal pressure hydrocephalus               5. seizure disorder               6. subdural hematoma               7. head trauma               8. known structural brain abnormalities               9. acute CVA/stroke              10. acute psychiatric condition          -  life expectancy < 6 months,The purpose of this study is to test the effectiveness of cognitively stimulating activities      for resolving delirium in people with dementia.,Delirium;Dementia;Non-pharmacological Intervention;Post-acute care;,"Nervous System Diseases;Pathological Conditions, Signs and Symptoms;",C3899527;C0011206;C0497327,C0011206;C0497327,C4553491;C0011206;C0011265;C0947630;C0392366,,C0338656;C0020179;C0018946;C0438989;C1269683;C0014544;C0018674;C0011900;C0012634;C0392148;C0011206;C0460139;C0012634;C0205082;C0042789;C1553386;C0038454;C0006104;C1551342;C4699618;C1548428;C3809765;C1546417;C1524004;C3694424;C1561542;C1555709;C1547226;C0242422,C0679878,20160301,,,Completed,21569370,7,7.0,0.020735598779331,0.02566239986201,presence of delirium;;;;;;;;;;mild to moderate cognitive impairments;;;;;;;;;;65 years of age or older;;;;;;;;;;English speaking;;;;;;;;;;community-dwelling;;;;;;;;;;legally authorized representative available,severe vision or hearing problems;;;;;;;;;;diagnosis of;;;;;;;;;;major depression;;;;;;;;;;Parkinson's with Lewy Body disease;;;;;;;;;;Huntington's disease;;;;;;;;;;normal pressure hydrocephalus;;;;;;;;;;seizure disorder;;;;;;;;;;subdural hematoma;;;;;;;;;;head trauma;;;;;;;;;;known structural brain abnormalities;;;;;;;;;;acute CVA/stroke;;;;;;;;;;acute psychiatric condition;;;;;;;;;;life expectancy < 6 months
NCT03053869,0,Benzodiazepine-free Anesthetic for Reduction of Delirium (B-Free),"Benzodiazepine-free Anesthetic for Reduction of Delirium (B-Free): A Two-centre Pilot Study to Determine the Feasibility of a Multi-centre, Randomized, Cluster Crossover Trial",Delirium;,Inclusion Criteria:          -  All patients undergoing cardiac surgery during the study period at the Hamilton             General and St. Boniface General Hospitals.        Exclusion Criteria:,The purpose of this two-centre pilot research study is to establish the feasibility of      conducting a full trial that seeks to determine if a cardiac anesthesia policy that uses      alternatives to benzodiazepine medications is better at preventing delirium after cardiac      surgery when compared with a cardiac anesthesia policy that uses benzodiazepine medications.,,"Nervous System Diseases;Pathological Conditions, Signs and Symptoms;",C0005064;C0002932;C1293152;C0011206,C0005064;C0002932;C1293152;C0011206;C1555715;C0947630;C3266262;C3897779,C4048284;C4048284;C0013227;C0013227;C0002903;C0002903;C0011206;C0018787;C0018787;C0543467;C0018787;C0242456;C0242456;C0947630;C0018792;C4082977,C0011206,C0018787;C0543467;C3812897;C3812897;C0025344;C0947630,C1140111,20180930,,,Completed,29671186,1,1.0,0.018305952738624003,0.025457024956155,All patients undergoing cardiac surgery during the study period at the Hamilton             General and St. Boniface General Hospitals.,
NCT02004665,0,Incidence and Prognostic Value of DELIRIUM in Patients With Acute CORonary synDrome: an observatIonal Study,Incidence and Prognostic Value of DELIRIUM in Patients With Acute CORonary synDrome: an observatIonal Study by the DELIRIUM-CORDIS Investigators.,Syndrome;Acute Coronary Syndrome;Delirium;,Inclusion Criteria:          -  acute coronary syndrome patients undergone coronary revascularization or referred to             conservative strategy          -  age ≥ 70 years          -  diagnosis of delirium by the Confusion Assessment Method in the ICU (CAM-ICU) scale        Exclusion Criteria:,to evaluate the incidence of delirium in patients with acute coronary syndrome and its      correlation with adverse events,,"Cardiovascular Diseases;Nervous System Diseases;Pathological Conditions, Signs and Symptoms;",C0220901;C0011206;C1554112;C1547229;C0947630;C1550655,C0220901;C0011206;C0011206;C1554112;C1547229;C0947630;C1550655,C0948089;C0877248;C0011206;C0220825,C0948089,C0877341;C0948089;C0031809;C0011900;C0009676;C0679199;C0011206;C0025663;C0175659;C1550488,C1140111,20161101,,,Unknown status,29064263,2,2.0,0.023838097509262995,0.02519771200646,acute coronary syndrome patients undergone coronary revascularization or referred to             conservative strategy;;;;;;;;;;age ΓëÍ 70 years;;;;;;;;;;diagnosis of delirium by the Confusion Assessment Method in the ICU (CAM-ICU) scale,
