nct_id,relevance,brief_title,official_title,conditions_list,relevance.1,eligibility_criteria,description,keywords_list,Diseases,brief_title_concepts_list,official_title_concepts_list,brief_summary_concepts_list,conditions_list_concepts_list,eligibilities_concepts_list,keywords_list_concepts_list,CompletionDate,tot_subj_affected,tot_subj_risk,Status,pubmed_ids,citationSum,citationAvg,briefTitlePageRankScore,briefTitleAndSummaryCombinedPageRankScore,inclusion,exclusion
NCT00122811,0,The Hypertension in the Very Elderly Trial (HYVET),The Hypertension in the Very Elderly Trial (HYVET),Hypertension;,0.0,"Inclusion Criteria:          -  Aged 80 or older          -  Sitting systolic BP 160-199 mmHg AND sitting diastolic BP < 110 mmHg        Exclusion Criteria:          -  Known accelerated hypertension (retinal haemorrhages or exudates or papilloedema).          -  Overt clinical congestive heart failure requiring treatment with a diuretic or             angiotensin converting enzyme inhibitor. Subjects allowed if treated with digoxin             only.          -  Renal failure (serum creatinine of more than 150 µmol/l).          -  Previous documented cerebral or subarachnoid haemorrhage in the last 6 months.             (Ischaemic cerebral and cardiac events do not exclude, although the patient must be             neurologically and cardiologically stable.)          -  Condition expected to severely limit survival, e.g. terminal illness.          -  Known secondary hypertension (e.g. renal artery stenosis, chronic renal insufficiency,             and endocrine cause).          -  Gout.          -  Clinical diagnosis of dementia.          -  Resident in a nursing home, i.e. where the dependency and care requirements of the             patients are such that they require the regular input of qualified nurses and             therefore the majority of staff in the home are nurses (other forms of residential             care are acceptable).          -  Unable to stand up or walk          -  Participation in a drug trial within the past month preceding selection.          -  Alcohol or drug abuse.          -  Less than 2 months placebo run-in.          -  Contraindications to use of trial drugs",The purpose of this study is to assess the benefits and risks of treating very elderly (those      aged 80 or older) individuals with hypertension.,Aged;Hypertension;Stroke;,Cardiovascular Diseases;,C0020538,C0020538,C0020538;C0947630;C3843698,C0020538,C0003015;C0403447;C0020540;C0018802;C0038525;C0155616;C0035067;C0035317;C1301624;C0201976;C0679247;C0741923;C0035078;C0030353;C1301725;C0011546;C0304229;C0013146;C0087111;C3864998;C0011900;C0015388;C0012798;C0006104;C0006104;C0205082;C3272565;C0011265;C1549439;C0277814;C0277814;C0012265;C1552867;C0028678;C0001962;C0032042;C1299582;C1551040;C0596013;C1561542;C0013227;C0018099;C1550557;C0600140;C0014133;C3245501;C3843698;C0012000;C4055646;C4699604;C1561542;C1706074;C0018792;C1553756;C4284141;C1995642;C3272565;C0332155,,20081001,,,Unknown status,27552643;25880068;24920166;23588194;22910302;22218098;20573778;20497949;19250558;18614402;18378519,602,54.7272727272727,0.008356259928436,0.007232695768364002,Aged 80 or older;;;;;;;;;;Sitting systolic BP 160-199 mmHg AND sitting diastolic BP < 110 mmHg,"Known accelerated hypertension (retinal haemorrhages or exudates or papilloedema).;;;;;;;;;;Overt clinical congestive heart failure requiring treatment with a diuretic or             angiotensin converting enzyme inhibitor. Subjects allowed if treated with digoxin             only.;;;;;;;;;;Renal failure (serum creatinine of more than 150 ┬╡mol/l).;;;;;;;;;;Previous documented cerebral or subarachnoid haemorrhage in the last 6 months.             (Ischaemic cerebral and cardiac events do not exclude, although the patient must be             neurologically and cardiologically stable.);;;;;;;;;;Condition expected to severely limit survival, e.g. terminal illness.;;;;;;;;;;Known secondary hypertension (e.g. renal artery stenosis, chronic renal insufficiency,             and endocrine cause).;;;;;;;;;;Gout.;;;;;;;;;;Clinical diagnosis of dementia.;;;;;;;;;;Resident in a nursing home, i.e. where the dependency and care requirements of the             patients are such that they require the regular input of qualified nurses and             therefore the majority of staff in the home are nurses (other forms of residential             care are acceptable).;;;;;;;;;;Unable to stand up or walk;;;;;;;;;;Participation in a drug trial within the past month preceding selection.;;;;;;;;;;Alcohol or drug abuse.;;;;;;;;;;Less than 2 months placebo run-in.;;;;;;;;;;Contraindications to use of trial drugs"
NCT00801671,0,Russian Study of the Effect of Continuous Positive Airway Pressure (CPAP) in Hypertension,Study of Independent Role of Continuous Positive Airway Pressure Therapy on Systemic Arterial Pressure in Patients With Sleep Apnea Syndrome and Arterial Hypertension,"Syndrome;Hypertension;Apnea;Sleep Apnea Syndromes;Sleep Apnea, Obstructive;",,"Inclusion Criteria:          -  male/female over than 18 years old          -  patient with an obstructive sleep apnea (apnea-hypopnea index > or equal to 15)          -  patient with weak or moderate hypertension (140 <= SBP < 180 mmHg and 90 <= DBP < 110             mmHg)          -  negative pregnancy test          -  ambulatory patient          -  patient who have signed the informed consent form        Exclusion Criteria:          -  pregnant or nursing woman          -  woman who refuses to use contraceptive method          -  acute hepatic failure, biliary cirrhosis, cholestasis          -  clearance of Cockcroft < 30 ml/min/1.73m2          -  kaliemia >= 5.5 mmol/l          -  acute hypertension (SBP>= 180 mmHg and/or DBP >= 110 mmHg)          -  acute daytime sleepiness (Epworth rating scale > 15)          -  patient with a profession that is inconsistent with the continuous positive airway             pressure (CPAP) treatment          -  known cardiovascular pathologies          -  contraindication to CPAP          -  allergy to valsartan and/or amlodipine          -  patient treated with lithium          -  patient on tutelle or curatelle          -  patient kept in detention, major protected by the law, hospitalized person patient             currently participating in another clinical trial",The purpose of this study is to determine whether CPAP is effective in the treatment of      systemic hypertension.,obstructive sleep apnea;obstructive sleep apnea syndrome;hypertension;systemic hypertension;ambulatory blood pressure monitoring;,"Cardiovascular Diseases;Nervous System Diseases;Pathological Conditions, Signs and Symptoms;Respiratory Tract Diseases;",C0199451;C0020538;C0947630,C0199451;C0037315;C1272641;C0020538;C1299583;C0003842;C0087111;C0947630;C3871154;C1550655,C0020538;C0087111;C0947630;C4082977,C0003578;C0003578,C0520679;C0427780;C0009797;C0162557;C0700589;C0541854;C0023892;C1301624;C3887460;C1096775;C0020538;C0020538;C0681889;C0701159;C0008370;C1561560;C0087111;C0216784;C0235546;C0549206;C1446409;C0460139;C0028678;C0020517;C0023870;C1561610;C0178987;C0003578;C0918012;C3714552;C1306620;C1305849;C1305849;C1571886;C1382187;C0035280;C1444662;C1547226;C0332155,C0026426;C0037315;C0037313,20110601,,,Completed,23690688,10,10.0,0.00388560299834,0.006092144009883,male/female over than 18 years old;;;;;;;;;;patient with an obstructive sleep apnea (apnea-hypopnea index > or equal to 15);;;;;;;;;;patient with weak or moderate hypertension (140 <= SBP < 180 mmHg and 90 <= DBP < 110             mmHg);;;;;;;;;;negative pregnancy test;;;;;;;;;;ambulatory patient;;;;;;;;;;patient who have signed the informed consent form,"pregnant or nursing woman;;;;;;;;;;woman who refuses to use contraceptive method;;;;;;;;;;acute hepatic failure, biliary cirrhosis, cholestasis;;;;;;;;;;clearance of Cockcroft < 30 ml/min/1.73m2;;;;;;;;;;kaliemia >= 5.5 mmol/l;;;;;;;;;;acute hypertension (SBP>= 180 mmHg and/or DBP >= 110 mmHg);;;;;;;;;;acute daytime sleepiness (Epworth rating scale > 15);;;;;;;;;;patient with a profession that is inconsistent with the continuous positive airway             pressure (CPAP) treatment;;;;;;;;;;known cardiovascular pathologies;;;;;;;;;;contraindication to CPAP;;;;;;;;;;allergy to valsartan and/or amlodipine;;;;;;;;;;patient treated with lithium;;;;;;;;;;patient on tutelle or curatelle;;;;;;;;;;patient kept in detention, major protected by the law, hospitalized person patient             currently participating in another clinical trial"
NCT02156024,0,The Short-term Efficacy of Gastrodia and Uncaria Drink in Treating Hypertension,,Hypertension;Masked Hypertension;,,"Inclusion Criteria:          -  age between 18 to 70 years          -  didn't use any anti-hypertension drugs within 2 weeks          -  stage 1 masked hypertensive patients, which means clinic blood pressure<140/90             mmHg,however the daytime(8:00-18:00) 24h ambulatory blood pressure between 135/85 and             150/95mmHg          -  be willing to participate in the trials and able to finish clinic visit        Exclusion Criteria:          -  secondary hypertension          -  be allergic to the clinical trial medicine          -  occurrence of stroke, CKD, myocardial infarction within 2 years          -  dysfunction of liver or kidney and fundus hemorrhage          -  arrhythmia          -  ALT, AST, TBL upper the twice of normal range, Scr≥2.0mg/dl, K+≥5.5mmol/L, Urine             protein≥2+          -  psychiatric disorders          -  pregnant, breastfeeding          -  other serious conditions in which is not fit for the study",The purpose of this study is        1. To determine whether the Gastrodia and Uncaria Drink is effective in the treatment of           masked hypertensive patients below 70 years.        2. To find out the suitable groups for the Gastrodia and Uncaria Drink treatment.,clinical trials;Gastrodia and Uncaria Drink;,Cardiovascular Diseases;,C0020538,C1140111,C0857121;C0087111;C0087111;C1552839;C0947630;C4082977,C0020538;C3178811,C0855316;C0155616;C0027051;C0004936;C1096775;C0006147;C0020538;C0857121;C0277785;C0019080;C0003811;C0549206;C0600109;C0038454;C0022646;C0740422;C1553386;C0013227;C1300072;C0005767;C1512346;C0023884;C0042036;C0947630;C1299581;C0036572;C0012634;C4699613;C2702329;C0013227,C3272565,20150301,,,Unknown status,26150543,1,1.0,0.008356259928436,0.005632281647581,"age between 18 to 70 years;;;;;;;;;;didn't use any anti-hypertension drugs within 2 weeks;;;;;;;;;;stage 1 masked hypertensive patients, which means clinic blood pressure<140/90             mmHg,however the daytime(8:00-18:00) 24h ambulatory blood pressure between 135/85 and             150/95mmHg;;;;;;;;;;be willing to participate in the trials and able to finish clinic visit","secondary hypertension;;;;;;;;;;be allergic to the clinical trial medicine;;;;;;;;;;occurrence of stroke, CKD, myocardial infarction within 2 years;;;;;;;;;;dysfunction of liver or kidney and fundus hemorrhage;;;;;;;;;;arrhythmia;;;;;;;;;;ALT, AST, TBL upper the twice of normal range, ScrΓëÍ2.0mg/dl, K+ΓëÍ5.5mmol/L, Urine             proteinΓëÍ2+;;;;;;;;;;psychiatric disorders;;;;;;;;;;pregnant, breastfeeding;;;;;;;;;;other serious conditions in which is not fit for the study"
NCT02916602,1,A Study to Evaluate Efficacy and Safety of HCP1401 for Stage 2 Hypertension Patients Not Controlled by HCP0605,"A Randomized, Double-blind, Multicenter, Phase 3 Study to Evaluate Efficacy and Safety of HCP1401 for Stage 2 Hypertension Patients Not Controlled by HCP0605",Hypertension;,,Inclusion Criteria:          -  Hypertension patient who satisfied below condition at Visit 1.               -  patient who takes antihypertensive drug                    -  140mmHg <= sitSBP <= 200mmHg               -  patient who doesn't take antihypertensive drug                    -  160mmHg <= sitSBP <= 200mmHg                    -  140mmHg <= sitSBP <= 200mmHg at Visit 2        Exclusion Criteria:          -  Patient who have received 4 or more antihypertensive drug          -  Patient with 20mmHg of difference in sitSBP or 10mmHg of difference in sitDBP between             3 times of BP measuring at Visit 1          -  Patient with sitDBP >= 120mmHg at Visit 2          -  Patient with secondary hypertension,A phase 3 study to evaluate efficacy and safety of HCP1401,,Cardiovascular Diseases;,C0020538;C2911690;C0220825;C0441767;C0947630;C1550655,C0020538;C2911690;C0220825;C0441767;C0456909;C0947630;C1550655;C3897779,C0947630;C0220825,C0020538,C0155616;C0003364;C0003364;C0003364;C0020538;C0012634;C1550655;C1550655;C4035626;C1550655;C1550655;C0085632;C0085632;C0242428;C1512346;C1512346;C1512346;C1512346;C4086490,C1140111,20160901,,,Completed,28939406,0,0.0,0.003448589836451,0.005451181520678999,Hypertension patient who satisfied below condition at Visit 1.;;;;;;;;;;patient who takes antihypertensive drug;;;;;;;;;;140mmHg <= sitSBP <= 200mmHg;;;;;;;;;;patient who doesn't take antihypertensive drug;;;;;;;;;;160mmHg <= sitSBP <= 200mmHg;;;;;;;;;;140mmHg <= sitSBP <= 200mmHg at Visit 2,Patient who have received 4 or more antihypertensive drug;;;;;;;;;;Patient with 20mmHg of difference in sitSBP or 10mmHg of difference in sitDBP between             3 times of BP measuring at Visit 1;;;;;;;;;;Patient with sitDBP >= 120mmHg at Visit 2;;;;;;;;;;Patient with secondary hypertension
NCT02899455,0,"Clinical Efficacy and Safety Evaluation of Co-administered HGP0904, HGP0608 and HGP0816 in Patients With Hypertension and Dyslipidemia","Efficacy and Safety of Co-administered HGP0904, HGP0608 and HGP0816 in Patients With Hypertension and Dyslipidemia: A Randomized, Double-blind, Multicenter, Phase 3 Study",Hypertension;Dyslipidemias;Hyperlipidemias;Hyperlipoproteinemias;,,"Inclusion Criteria:          1. 19 ≤ age ≤ 75          2. at Visit 1 1) BP: sitDBP ≥ 90mmHg 2) Cholesterol : LDL-C ≤ 250mg/dL, TG < 400mg/dL          3. at Visit 2 : after TLC (after 4weeks) 1) BP: 80 mmHg ≤ sitDBP < 110mmHg 2) Cholesterol             : following risk category (Cardiovascular Risk category) A : CHD risk factor 0 - 1,             160mg/dL ≤ LDL-C ≤ 250mg/dL B①: CHD risk factor≥2 and 10 year risk <10%, 160mg/dL ≤             LDL-C ≤ 250mg/dL B②: CHD risk factor≥2 and 10 year risk =10-20%, 130mg/dL ≤ LDL-C ≤             250mg/dL C : CHD/CHD risk equivalents* or 10 year risk>20 ,100mg/dL ≤ LDL-C ≤ 250mg/dL             3) TG < 400mg/dL 4. Patients understood the contents and purpose of this trial and             signed informed consent form        Exclusion Criteria:          1. At Visit 1, BP difference SBP ≥20mmHg or DBP ≥10mmHg          2. Tolerance or Hypersensitivity Angiotensin II receptor blocker or HMG-CoA. reductase             inhibitor, Calcium channel blocker(dihydropyridine) or Multi-drug allergy          3. Fibromyalgia, myopathy, rhabdomyolysis or acute myopathy or medical history of adverse             effect to statin          4. CPK normal range ≥ 3times          5. Uncontrolled primary hypothyroidism(TSH normal range ≥ 2 times)          6. Renal disease or suspected renal disease (Scr ≥ 2mg/dL, AST or ALT≥2 times)          7. Active gout or hyperuricemia(at Visit 1, uric acid > 9mg/dL)          8. IDDM or uncontrolled diabetes mellitus (HbA1c>9%)          9. ventricular arrhythmia         10. medical history               -  severe cerebrovascular disease within 6 months (cerebral infarction, cerebral                  hemorrhage), hypertension               -  encephalopathy, transient cerebral ischemic attack(TIA)               -  severe heart disease(heart failure of NYHA class III-IV), valvular disease of                  heart or myocardial infarction and unstable angina               -  angioplasty or coronary artery bypass graft(CABG) surgery within 6months","A phase 3 study to evaluate efficacy and safety of Co-administered HGP0904, HGP0608 and      HGP0816 in Patients with Hypertension and Dyslipidemia",Hypertension;Hyperlipidemia;,Cardiovascular Diseases;Nutritional and Metabolic Diseases;,C0020538;C0242339;C0220825;C3272565;C1550655,C0020538;C0242339;C0456909;C0947630;C1550655;C3897779,C0020538;C0242339;C0947630;C1550655;C0220825,,C0007820;C0085612;C0010055;C0009797;C0027051;C0007785;C0011849;C0020517;C0262926;C0262926;C0002965;C3887460;C0003009;C0035410;C0085584;C0022658;C0022658;C0013182;C0016053;C0020538;C0201950;C0201950;C0035648;C0162577;C0019080;C0013220;C0683312;C0683312;C1552853;C0026848;C0026848;C0006104;C0006104;C0006675;C4035627;C0012634;C0543467;C1561610;C1518681;C0360714;C1553386;C1553386;C0718247;C0205082;C0205082;C3266262;C0018787;C0456387;C0018787;C1561543;C1561543;C1561543;C0018099;C0011854;C0008569;C1306620;C1305849;C0025326;C4316995;C1550655;C0035648;C0035648;C0085632;C0740394;C1979715;C0162340;C0745413;C1550450;C1561542;C1512346;C1512346;C0018792;C1512346;C2702329;C2702329;C1512346;C0069695,,20160601,,,Completed,29150250,0,0.0,0.0031923745612420003,0.005355617717225001,"19 ΓëÁ age ΓëÁ 75;;;;;;;;;;at Visit 1 1) BP: sitDBP ΓëÍ 90mmHg 2) Cholesterol : LDL-C ΓëÁ 250mg/dL, TG < 400mg/dL;;;;;;;;;;at Visit 2 : after TLC (after 4weeks) 1) BP: 80 mmHg ΓëÁ sitDBP < 110mmHg 2) Cholesterol             : following risk category (Cardiovascular Risk category) A : CHD risk factor 0 - 1,             160mg/dL ΓëÁ LDL-C ΓëÁ 250mg/dL BΓæá: CHD risk factorΓëÍ2 and 10 year risk <10%, 160mg/dL ΓëÁ             LDL-C ΓëÁ 250mg/dL BΓæí: CHD risk factorΓëÍ2 and 10 year risk =10-20%, 130mg/dL ΓëÁ LDL-C ΓëÁ             250mg/dL C : CHD/CHD risk equivalents* or 10 year risk>20 ,100mg/dL ΓëÁ LDL-C ΓëÁ 250mg/dL             3) TG < 400mg/dL 4. Patients understood the contents and purpose of this trial and             signed informed consent form","At Visit 1, BP difference SBP ΓëÍ20mmHg or DBP ΓëÍ10mmHg;;;;;;;;;;Tolerance or Hypersensitivity Angiotensin II receptor blocker or HMG-CoA. reductase             inhibitor, Calcium channel blocker(dihydropyridine) or Multi-drug allergy;;;;;;;;;;Fibromyalgia, myopathy, rhabdomyolysis or acute myopathy or medical history of adverse             effect to statin;;;;;;;;;;CPK normal range ΓëÍ 3times;;;;;;;;;;Uncontrolled primary hypothyroidism(TSH normal range ΓëÍ 2 times);;;;;;;;;;Renal disease or suspected renal disease (Scr ΓëÍ 2mg/dL, AST or ALTΓëÍ2 times);;;;;;;;;;Active gout or hyperuricemia(at Visit 1, uric acid > 9mg/dL);;;;;;;;;;IDDM or uncontrolled diabetes mellitus (HbA1c>9%);;;;;;;;;;ventricular arrhythmia;;;;;;;;;;medical history;;;;;;;;;;severe cerebrovascular disease within 6 months (cerebral infarction, cerebral                  hemorrhage), hypertension;;;;;;;;;;encephalopathy, transient cerebral ischemic attack(TIA);;;;;;;;;;severe heart disease(heart failure of NYHA class III-IV), valvular disease of                  heart or myocardial infarction and unstable angina;;;;;;;;;;angioplasty or coronary artery bypass graft(CABG) surgery within 6months"
NCT00753285,1,Renal Denervation in Patients With Refractory Hypertension,Renal Denervation in Patients With Refractory Hypertension,Hypertension;,,"Inclusion Criteria:          -  Systolic blood pressure of 160 mmHg or greater          -  On 3 or more antihypertensive medications          -  eGFR >= 45 mL/min        Exclusion Criteria:          -  Renal artery abnormalities          -  Known secondary hypertension attributable to a cause other than sleep apnea          -  MI, angina, CVA within 6 months          -  Type 1 diabetes          -  Others",The purpose of this study is to investigate the clinical utility of renal denervation for the      treatment of refractory hypertension.,,Cardiovascular Diseases;,C0020538;C0011307;C0022646;C1550655,C0020538;C0011307;C0022646;C1550655,C0020538;C0011307;C0087111;C0947630;C0022646;C3272565,C0020538,C0488055;C0155616;C0003364;C0011854;C0035065;C0596130;C0013227;C0037315;C0002962;C1955473;C3811844;C3809765;C1561542,C1140111,20130501,,,Completed,24210779,93,93.0,0.003554396655919,0.00522038774424,Systolic blood pressure of 160 mmHg or greater;;;;;;;;;;On 3 or more antihypertensive medications;;;;;;;;;;eGFR >= 45 mL/min,"Renal artery abnormalities;;;;;;;;;;Known secondary hypertension attributable to a cause other than sleep apnea;;;;;;;;;;MI, angina, CVA within 6 months;;;;;;;;;;Type 1 diabetes;;;;;;;;;;Others"
NCT00260923,0,A Dose Ranging Study to Compare the Safety and Efficacy of Aliskiren in Patients With High Blood Pressure,"A Randomized, Double-blind, Placebo-controlled, Parallel-group, Multicenter Study Comparing an Eight-week Treatment of Aliskiren 75 mg, 150 mg and 300 mg to Placebo in Patients With Essential Hypertension",Hypertension;,,Inclusion Criteria:          -  Male and female outpatients 18 years of age and older          -  Patients who are eligible and able to participate in the study        Exclusion Criteria:          -  Severe hypertension          -  History or evidence of a secondary form of hypertension          -  History of hypertensive encephalopathy or cerebrovascular accident.        Other protocol-defined inclusion/exclusion criteria may apply,"This is a study for people diagnosed with hypertension to compare 3 doses (75 mg, 150 mg, and      300 mg) of an experimental product, aliskiren in comparison to a placebo. Each patient is in      the study for 8 weeks",hypertension;aliskiren;blood pressure;,Cardiovascular Diseases;,C0020538;C1120110;C0947630;C1550655,C0085580;C0087111;C1120110;C4554418;C0032042;C0032042;C0456909;C0947630;C1561540;C1550655;C2911690;C3897779;C1552839,C0020538;C0011900;C1120110;C0032042;C0947630;C0947630,C0020538,C0151620;C0038454;C0020538;C0020538;C0027627;C0442711;C0262926;C0262926;C0205082;C0947630;C1546725;C1299581;C1550655;C4684637;C1555709;C0452376,C0460139,20061101,,,Completed,20110023,3,3.0,0.003941304345034001,0.004896609673443,Male and female outpatients 18 years of age and older;;;;;;;;;;Patients who are eligible and able to participate in the study,Severe hypertension;;;;;;;;;;History or evidence of a secondary form of hypertension;;;;;;;;;;History of hypertensive encephalopathy or cerebrovascular accident.        Other protocol-defined inclusion/exclusion criteria may apply
NCT01062763,1,The Effect of Spironolactone on Blood Pressure in Type-2 Diabetics With Resistant Hypertension,South Danish Hypertension and Diabetes Study,Diabetes Mellitus;Hypertension;Coronary Vasospasm;,,Inclusion Criteria:          -  Age < 75 years          -  Type-2 diabetes          -  Therapy resistant hypertension (by ABPM)          -  Treatment with at least 3 antihypertensives        Exclusion Criteria:          -  HbA1c > 10.0          -  BP > 180/110 mmHg          -  Secondary hypertension          -  Intolerance to spironolactone          -  Permanent treatment with nonsteroidal antiinflammatory drugs or systemic             glucocorticoids          -  Total cholesterol 10 mmol/l          -  New York Heart Association class III and IV          -  Pregnancy or planned pregnancy          -  Psychiatric disease          -  Malignant disease          -  Insufficient adherence,The purpose of this study is to estimate the effect of spironolactone on blood pressure      resistant to therapy in type-2 diabetics.,hypertension;spironolactone;antihypertensive treatment;Type-2 diabetes;,Endocrine System Diseases;Cardiovascular Diseases;Nutritional and Metabolic Diseases;,C0037982;C0005823;C0020538;C1514892;C0241863,C0020538;C0011847;C0947630,C0037982;C0005823;C0241863;C0087111;C1518681;C0947630;C1514892,C0085616;C0011847,C0155616;C0003364;C0543421;C0032992;C0037982;C0020538;C1547317;C0004083;C1548428;C0087111;C0087111;C0032961;C0011849;C0087111;C0012634;C0012634;C0013227;C0018787;C0456387;C1114365;C0003209;C3540777;C1514892;C4698129,C0011849,20120501,2.0,357.0,Completed,24739800,2,2.0,0.002765336421292001,0.004771613789127,Age < 75 years;;;;;;;;;;Type-2 diabetes;;;;;;;;;;Therapy resistant hypertension (by ABPM);;;;;;;;;;Treatment with at least 3 antihypertensives,HbA1c > 10.0;;;;;;;;;;BP > 180/110 mmHg;;;;;;;;;;Secondary hypertension;;;;;;;;;;Intolerance to spironolactone;;;;;;;;;;Permanent treatment with nonsteroidal antiinflammatory drugs or systemic             glucocorticoids;;;;;;;;;;Total cholesterol 10 mmol/l;;;;;;;;;;New York Heart Association class III and IV;;;;;;;;;;Pregnancy or planned pregnancy;;;;;;;;;;Psychiatric disease;;;;;;;;;;Malignant disease;;;;;;;;;;Insufficient adherence
NCT01429662,0,Modified Relaxation (MR) Technique for Treating Hypertension in Postmenopausal Women,Phase 3 Study of Modified Relaxation (MR) Technique for Treating Hypertension in Postmenopausal Women,Hypertension;,,"Inclusion Criteria:          -  Stage 1 essential hypertension, defined as a systolic blood pressure of 140-159 and/or             DBP of 90-99 mmHg on two occasions at least 30 minutes apart.          -  Women who are able to attend follow visits as advised.        Exclusion Criteria:          -  Women with systolic blood pressure (SBP) >160 mmHg or diastolic blood pressure (DBP)             >100 mmHg.          -  Women who have other known causes of hypertension, such as renal diseases          -  Women who are using sedatives or tranquilizer,or antidepressant, or antihypertensive             medication during the past 2 months prior to the study.          -  Have language or geographical barrier.          -  Do not give their informed consent.          -  Women who need to be prescribed HRT.",The purpose of this study is to demonstrate better effectiveness of modified relaxation (MR)      technique over no MR for treating hypertension in Thai postmenopausal women.,postmenopause;hypertension;relaxation;SBP 140-159 mmHg;DBP 90-99 mmHg;stage 1 or mild hypertension;,Cardiovascular Diseases;,C0232970;C0020538;C0035029,C0232970;C0020538;C0947630;C0035029,C0232970;C4553491;C0020538;C0947630,C0020538,C0428883;C0871470;C0871470;C0085580;C0003364;C0022658;C0003289;C0020538;C0020592;C0013227;C0278329;C0036557;C3840271;C1706912;C0947630;C1299581;C1305849;C1306620;C1305849;C0009797;C4684637;C4699604;C1512346;C4331837;C0882217;C0033348,C0020538,20120301,,,Completed,24124377,1,1.0,0.003225350844618,0.00474563065412,"Stage 1 essential hypertension, defined as a systolic blood pressure of 140-159 and/or             DBP of 90-99 mmHg on two occasions at least 30 minutes apart.;;;;;;;;;;Women who are able to attend follow visits as advised.","Women with systolic blood pressure (SBP) >160 mmHg or diastolic blood pressure (DBP)             >100 mmHg.;;;;;;;;;;Women who have other known causes of hypertension, such as renal diseases;;;;;;;;;;Women who are using sedatives or tranquilizer,or antidepressant, or antihypertensive             medication during the past 2 months prior to the study.;;;;;;;;;;Have language or geographical barrier.;;;;;;;;;;Do not give their informed consent.;;;;;;;;;;Women who need to be prescribed HRT."
NCT01065831,0,Faith-based Approaches in the Treatment of Hypertension (FAITH),Faith-based Approaches in the Treatment of Hypertension (FAITH),Hypertension;,,Inclusion Criteria:          -  Age 18 years or older          -  Diagnosis of hypertension          -  Self-identified Black or African American          -  SBP > 140 mmHg or DBP > 90 mmHg (based on the average of 3 blood pressure readings);             or average SBP > 130 mm Hg or DBP > 80 mm hg (for those with diabetes or kidney             disease) at the screening/baseline visits          -  Able to speak English        Exclusion Criteria:          -  Unable to comply with the study protocol (either self-selected or by indicating during             screening that s/he could not complete all requested tasks).          -  Pregnancy,The purpose of this study is to test the effect of a church-based lifestyle intervention on      blood pressure reduction in 400 hypertensive blacks (BP> 140/90 mm hg).,"motivational interviewing, lay health advisers;",Cardiovascular Diseases;,C0020538;C0087111,C0020538;C0087111,C0005823;C0184661;C0857121;C4551656;C1518681;C0947630;C0392366,C0020538,C0005823;C2599718;C0020538;C0011900;C0199230;C0199230;C0032961;C0011849;C0012634;C0022646;C1299582;C0725694;C0600116;C1551994;C1114365;C1306620;C1305849;C1306620;C1305849;C1550043;C1512346;C1555709;C1553888;C0728774;C4283785,C0683474,20140601,,,Completed,30354579;24576512,6,3.0,0.005009902346188,0.004743481922698,Age 18 years or older;;;;;;;;;;Diagnosis of hypertension;;;;;;;;;;Self-identified Black or African American;;;;;;;;;;SBP > 140 mmHg or DBP > 90 mmHg (based on the average of 3 blood pressure readings);             or average SBP > 130 mm Hg or DBP > 80 mm hg (for those with diabetes or kidney             disease) at the screening/baseline visits;;;;;;;;;;Able to speak English,Unable to comply with the study protocol (either self-selected or by indicating during             screening that s/he could not complete all requested tasks).;;;;;;;;;;Pregnancy
