"nct_id","query","brief_title","description","brief_title_conc_list","brief_summ_conc_list","total_subjects_affected","total_subjects_at_risk"
"NCT00000542","hypertension safe treatments_page_rank.csv","Antihypertensive and Lipid-Lowering Treatment to Prevent Heart Attack Trial (ALLHAT)","~     To determine if the combined incidence of nonfatal myocardial infarction and coronary heart~     disease death differs between diuretic-based and each of three alternative antihypertensive~     pharmacological treatments. Also, to determine, in a subset of this population, if lowering~     serum cholesterol with a HMG CoA reductase inhibitor in older adults reduces all-cause~     mortality compared to a control group receiving usual care. Conducted in conjunction with the~     Department of Veterans' Affairs.~   ","C0018787;C0376495","C0027051;C0587184;C0012634;C0376495;C0597153;C0018787",0,0
"NCT00000542","treating people already having hypertension_page_rank.csv","Antihypertensive and Lipid-Lowering Treatment to Prevent Heart Attack Trial (ALLHAT)","~     To determine if the combined incidence of nonfatal myocardial infarction and coronary heart~     disease death differs between diuretic-based and each of three alternative antihypertensive~     pharmacological treatments. Also, to determine, in a subset of this population, if lowering~     serum cholesterol with a HMG CoA reductase inhibitor in older adults reduces all-cause~     mortality compared to a control group receiving usual care. Conducted in conjunction with the~     Department of Veterans' Affairs.~   ","C0018787;C0376495","C0027051;C0587184;C0012634;C0376495;C0597153;C0018787",0,0
"NCT00000560","Nonvalvular atrial fibrillation_page_rank.csv","Beta-Blocker Evaluation in Survival Trial (BEST)","~     To determine if addition of a beta-blocker to standard therapy in Class III and Class IV~     heart failure patients reduced total mortality.~   ","C0220825","C0018801;C0456387;C0456387",0,0
"NCT00000620","treating people already having hypertension_page_rank.csv","Action to Control Cardiovascular Risk in Diabetes (ACCORD)","~     The purpose of this study is to prevent major cardiovascular events (heart attack, stroke, or~     cardiovascular death) in adults with type 2 diabetes mellitus using intensive glycemic~     control, intensive blood pressure control, and multiple lipid management.~   ","C3887460;C0011847","C0011849;C3887460;C3887460;C0005823;C0038454;C0018787",488,379287
"NCT00000877","antiretroviral therapy first time_pageRank.csv","Study of How Indinavir (an Anti-HIV Drug) and Rifabutin (a Drug Used to Treat MAC, an HIV-Associated Disease) Interact in HIV-Positive and HIV-Negative Adults","~     The purpose of this study is to evaluate the safety of giving indinavir and rifabutin at the~     same time (simultaneously) vs 4 hours apart (staggered) to HIV-positive and HIV-negative~     adults.~      It is important to determine which medications for HIV-associated diseases, such as~     Mycobacterium avium complex (MAC) disease, can be given safely and effectively with anti-HIV~     drugs. Indinavir and rifabutin have been given simultaneously in the past with good results.~     This study seeks to examine if staggering the doses will make the 2 drugs more effective.~     HIV-negative volunteers are used in this study to examine the effect of rifabutin on~     indinavir and the effect of staggered rifabutin doses. The effect of rifabutin on the drug~     activity of indinavir is evaluated in HIV-positive patients.~   ","C0140575;C1446409;C0205160;C0012634","C4284232;C0140575;C0140575;C0140575;C0140575;C0140575;C1446409;C0205160;C1446409;C0012634;C3687832;C3687832;C0205160;C0012634;C0332128;C0332128;C0939261",0,0
"NCT00000903","HIV infection seronegativity_page_rank.csv","Addition of Efavirenz or Nelfinavir to a Lamivudine/Zidovudine/Indinavir HIV Treatment Regimen","~     To compare time to a virologic failure (first of 2 consecutive plasma HIV RNA levels greater~     than or equal to 200 copies/ml at or after Week 24) of each 4-drug regimen vs the 3-drug~     regimen. To determine the safety, tolerance, and virologic benefits of either nelfinavir~     (NFV) or efavirenz (EFV) with indinavir/lamivudine/zidovudine (IDV/3TC/ZDV) vs IDV/3TC/ZDV~     alone, in the treatment of patients with advanced HIV disease who have received limited or no~     prior antiretroviral therapy.~      Prior ACTG studies have shown that the 3-drug combination regimen (IDV/ZDV/3TC) resulted in~     improved clinical outcomes and therefore may prolong the effects of therapy. The enhanced~     effects seen with combination therapies are likely related to a greater suppression of RNA~     replication and alterations in resistance patterns. Due to the progressive success of~     combination regimens, it is possible that more potent regimens will further enhance viral~     suppression and provide more durable treatment responses. In light of the additive~     suppression of HIV replication determined by pharmacological, immunological, and virological~     results, nelfinavir (NFV) as an addition to IDV/ZDV/3TC will be evaluated. Based on the~     potency of nonnucleoside reverse transcriptase inhibitors (NNRTIs) to suppress viral~     replication and the effectiveness of 3-drug regimens containing NNRTIs, efavirenz (EFV) will~     also be evaluated as an addition to IDV/ZDV/3TC.~   ","C0209738;C0043474;C0376495","C0282519;C0301625;C0301625;C0301625;C0209738;C0043474;C0237834;C0184511;C0332149;C0012634;C0032105;C1963724;C0185026;C0185026;C0185026;C3839460;C0084688;C2946261;C1449882;C3834249;C0376495;C0376495",0,0
"NCT00001137","HIV infection seronegativity_page_rank.csv","Long-Term Data Collection From Participants in Adult AIDS Clinical Trials","~     The purpose of this study is to determine what combinations of anti-HIV drugs work best in~     patients treated over several years. The study will also assess the occurrence of side~     effects and opportunistic infections in patients with low viral loads compared to those with~     higher viral loads.~   ","","C0029118;C3687832",0,0
"NCT00004855","HIV infection seronegativity_page_rank.csv","Effects of Two Anti-HIV Drug Combinations on the Immune Systems of HIV-Infected Patients Who Have Never Received Anti-HIV Drugs","~     This study will compare an anti-HIV drug combination of protease inhibitor plus a~     nonnucleoside reverse transcriptase inhibitor (NNRTI) to one that includes three nucleoside~     reverse transcriptase inhibitors (NRTIs) plus an NNRTI. NNRTIs, NRTIs, and protease~     inhibitors are all types of anti-HIV drugs that block the virus in some way.~      This study will try to find out if a treatment regimen containing a protease inhibitor plus~     an NNRTI has a different effect on the rise of CD4 cells compared to a treatment made up of~     three NRTIs plus an NNRTI. CD4 cells are cells of the immune system that fight infection.~     This study will also try to see if the combination of drugs used in this study is safe to use~     in HIV-positive patients.~   ","C0439663;C3687832","C0282519;C1446409;C3687832;C3687832;C0282519;C0033607;C0033607;C3714514;C0376495;C0376495",0,0
"NCT00004978","antiretroviral therapy first time_pageRank.csv","An International Study to Evaluate Recombinant Interleukin-2 in HIV Positive Patients Taking Anti-retroviral Therapy","~     The purpose of this study is to see if it is effective to give HIV positive patients~     recombinant interleukin-2 (rIL-2) in addition to anti-HIV therapy. Patients will be followed~     over a minimum of 4 years to study the long-term effects of rIL-2 on their HIV disease~     progression.~      Anti-HIV therapy has been very successful in treating HIV positive patients and in keeping~     viral load (level of HIV in the blood) low. However, anti-HIV drugs cannot completely rid the~     body of the virus, and the immune system is never completely restored in HIV positive~     patients. Doctors hope that giving patients recombinant interleukin-2 (rIL-2) in addition to~     their anti-HIV therapy will help improve their immune systems and keep them healthier over a~     longer period of time. rIL-2 is a hormone naturally produced by the body during an immune~     response to a microbial infection.~   ","C1522405;C1446409;C1963724","C1522405;C1522405;C1510425;C1510425;C1510425;C1446409;C1446409;C2946261;C0005767;C3687832;C1446409;C0012634;C0184511;C3714514",2498,711203
"NCT00005277","Outcomes of cerebrovascular accident_page_rank.csv","Cooperative Study of The Clinical Course of Sickle Cell Disease","~     To determine the natural history of sickle cell disease from birth to death in order to~     identify those factors contributing to the morbidity and mortality of the disease.~   ","C0012634","C0012634;C0005615;C0012634",0,0
