nct_id,brief_title,description,brief_title_concepts_list,brief_summary_concepts_list,tot_subj_affected,tot_subj_risk,relevance,citationSum,citationAvg,briefTitlePageRankScore,briefTitleAndSummaryCombinedPageRankScore,brief_title_matched_count,brief_summary_matched_count,RRFscore_not_recency
NCT01114204,A Trial Comparing Ferumoxytol With Iron Sucrose for the Treatment of Iron Deficiency Anemia,The purpose of the study is to evaluate the efficacy and safety of intravenous (IV)      ferumoxytol compared to IV iron sucrose for the treatment of iron deficiency anemia (IDA).,C0162316;C0060241;C0060274;C0087111,C0162316;C0060241;C0060274;C0087111;C0947630;C0220825,479,40831,0,26,13.0,0.074353742,0.088668284,0,0,0.14555555555555555
NCT01114139,A Trial Comparing Ferumoxytol With Placebo for the Treatment of Iron Deficiency Anemia,To evaluate the efficacy and safety of intravenous (IV) ferumoxytol compared with placebo for      the treatment of iron deficiency anemia (IDA).,C0162316;C0060274;C0087111;C0032042,C0162316;C0060274;C0087111;C0032042;C0220825,706,42736,0,19,19.0,0.070732712,0.079011844,0,0,0.1413151119033472
NCT01904864,Comparison of NovaFerrum® vs Ferrous Sulfate Treatment in Young Children With Nutritional Iron Deficiency Anemia,"This study is a randomized, controlled, double-blinded single center trial to compare the      efficacy of NovaFerrum® to ferrous sulfate for the treatment of nutritional iron deficiency      anemia (IDA) in infants and young children.      Hypothesis: NovaFerrum® has greater efficacy than ferrous sulfate in increasing hemoglobin      concentration during a twelve week course of treatment to subjects with iron deficiency      anemia.      Primary Aim:      To compare the efficacy of NovaFerrum® to ferrous sulfate for the treatment of nutritional      IDA in infants and young children as determined by increase in hemoglobin concentration.      Secondary Aims:        1. To compare the adverse effects of treatment for IDA between ferrous sulfate and           NovaFerrum®        2. To compare normalization of iron stores as demonstrated by laboratory measures of IDA           (ferritin, TIBC, reticulocyte hemoglobin content) between subjects treated with ferrous           sulfate or NovaFerrum®        3. To compare the adherence to study medication between subjects on ferrous sulfate and           NovaFerrum®        4. To demonstrate efficacy of a once daily dosing regimen in the treatment of nutritional           IDA",C0162316;C0060282;C2707262;C0087111;C3499832;C0882214,C0019029;C0060282;C0240066;C0060282;C0240066;C0060282;C0879626;C0060282;C0060282;C0086045;C0450235;C0013227;C0087111;C0087111;C0087111;C0087111;C0087111;C0015879;C0040808;C0087136;C0002871;C0002871;C0947630;C0947630;C1561540;C0036835;C2948600;C1552853;C2707262;C2707262;C2707262;C3499832;C3499832;C0948093;C3499832;C4082977;C3499832;C0948093;C3499832;C3499832;C2911690;C0022885;C0206161;C0027627;C0018792;C0221106;C4697740;C0332155;C4698129,124,400,0,3,3.0,0.055566702999999995,0.056849650999999994,0,2,0.1388888888888889
NCT00548860,Safety of FCM vs. Standard of Care in Treating Iron Deficiency Anemia in Heavy Uterine Bleeding and Post Partum Patients,The Objective of this study is to study the safety of FCM in patients with anemia caused by      Heavy Uterine Bleeding and the Post Partum state.,C0162316;C2936643;C0042134;C1955347;C1550655,C0042134;C0018017;C0002871;C1955347;C0947630;C0947630,238,40360,0,0,0.0,0.044483611,0.053453771,4,2,0.1387608334869998
NCT00318812,Heme Iron Polypeptide for Iron Deficiency Anemia in Chronic Renal Failure,The purpose of this study is to determine if oral Heme Iron Polypeptide is as effective as      intravenous (IV) iron sucrose in the treatment of iron-deficiency anemia for patients with      chronic kidney disease.,C0162316;C1654726;C0022661,C0162316;C1654726;C0022658;C0060241;C0087111;C0947630;C4082977,46,360,1,7,7.0,0.051121195999999994,0.066094178,0,2,0.13429824561403508
NCT01374919,Total Dose Infusion of Ferumoxytol(1020mg) in 15 Minutes for Iron Deficiency Anemia,The aim of the study is to recruit 30 patients who have been referred to Auerach Hematology      Oncology Assoc. for the treatment of iron defeciency anemia with iv iron (Ferumoxytol 1020      mg) administered via infusion pump over 15 minutes.      To ascertain acute safety and tolerability of ferumoxytol during immediate post dosing      observation period.      Assess additional safety profile and laboratory assessment at follow up visit and interim      telephone follow up.,C0162316;C0574032,C4684765;C0589121;C0021436;C0060274;C0060274;C0700325;C0200627;C0031809;C0087111;C1697779;C0027651;C0002871;C0025344;C0947630;C0302583;C0302583;C0886384;C0022885;C1515258;C1550488,71,1020,0,19,19.0,0.065888615,0.066444618,0,2,0.13351657504581044
NCT01900197,Time to Relapse of Iron Deficiency Anemia After Standard Treatment With a New Intravenous Iron (Monofer®),The purpose of this study is to monitor and quality assure the efficacy and safety of      Monofer® in a broad patient population when Monofer® is used according to the Monofer® label      (SPC) in current practice and where standard routines are being followed.,C0162316;C4684780;C0277556;C2985193;C0302583;C0085297,C0237607;C2828392;C0030695;C2985193;C2985193;C2985193;C0947630;C1705425;C1273517,0,0,0,0,0.0,0.044594391,0.045732125,0,2,0.13227513227513227
NCT01227616,A Phase IV Trial of Repeated Doses of Ferumoxytol Compared to Iron Sucrose for the Treatment of Iron Deficiency Anemia in Patients With Chronic Kidney Disease on Hemodialysis,The objectives of this study are to compare the efficacy and safety of repeat doses of      intravenous (IV) ferumoxytol with IV iron sucrose for the treatment of IDA in subjects with      hemodialysis-dependent CKD.,C0162316;C1561643;C0060241;C0019004;C0060274;C0087111;C1550655;C1709905,C0060241;C0019004;C0060274;C0018017;C0087111;C0429964;C0947630,0,0,1,2,2.0,0.070442861,0.070153448,2,1,0.1303441889180429
NCT01001871,Treatment of Iron Deficiency Anemia in Malaria Endemic Ghana,"Iron deficiency and iron deficiency anemia (IDA) are the most prevalent micronutrient      deficiencies on a worldwide basis, especially in developing countries. The impact of severe      IDA can have mortal consequences, since without adequate hemoglobin, the brain and body      become deprived of oxygen and, if allowed to continue, death may ensue. It has been shown      that iron supplementation in infants and young children can enhance child development,      however, it may also result in increased rates of malaria in high burden areas.      The primary objective of this study is to determine the impact of providing encapsulated iron      (as a powder added to complementary foods) on the susceptibility to clinical malaria among      anemic and non-anemic infants and young children (6-24 months of age) living in a high      malaria burden area.      The value of performing this research in Ghana is primarily that malaria and anemia remain      the most important causes of death and morbidity.",C0162316;C0087111;C0024530,C0162316;C0008071;C0240066;C0242297;C0007465;C0012655;C1333381;C0018017;C0220880;C0024530;C0024530;C0024530;C0024530;C0205082;C0030054;C0857322;C0857322;C0002871;C0006104;C0011065;C0947630;C0302583;C0302583;C0948093;C0342917;C0699530;C4084912;C1561542;C0729829;C0776963;C3272565;C0151576;C4082977,0,0,0,45,15.0,0.07038439099999999,0.060960659,0,0,0.12902057374674009
NCT01700426,"Enhancing Treatment of Iron Deficiency and Iron Deficiency Anemia With an Antioxidant, Vitamin E","The study addresses treatment of iron deficiency, the most common nutritional deficiency that      infants and young children encounter. With the knowledge that iron deficiency may      irreversibly affect a baby's long-term neurodevelopment and behavior, the investigators are      offering free screening blood draws at Children's Hospital Colorado to older babies and      toddlers (9-24 months old). If their blood results indicate a serum ferritin of = 15      micrograms/dL without the presence of an elevated C-reactive protein (CRP), they will be      invited to continue in the intervention portion of the study, where they will receive iron      supplements as well as vitamin E (or placebo) for an eight week treatment period. The      rationale for the study is to test whether addition of Vitamin E, an antioxidant and      anti-inflammatory agent, improves the treatment response to supplemental iron.",C0162316;C0003402;C0087111;C0042874;C0302583;C0008533,C0003209;C0162429;C0240066;C0240066;C0696113;C0184661;C0190979;C0003402;C0376649;C0087111;C1512346;C0376554;C0199230;C0042874;C0087111;C0042874;C0087111;C0392148;C1704632;C0032042;C3245511;C0001721;C0025344;C0947630;C0005767;C0947630;C0947630;C0302583;C1561540;C0392366;C0302583;C0677505;C0856882;C0285521;C1561542;C1555709;C0184511;C0033621;C1947943,0,0,0,6,6.0,0.059467726,0.057798718,0,1,0.1276315789473684
NCT01221844,Bovine Lactoferrin to Prevent and Cure Iron Deficiency and Iron Deficiency Anemia in Complicated Pregnancies,"The purpose of this study is to determine whether bovine lactoferrin is effective in      preventing and curing iron deficiency and iron deficiency anemia in Hereditary Thrombophilia      affected women during pregnancy.      The proposed clinical trial is considered as PHASE IV because in Italy bLf is commercialized      by Grunenthal, as Lattoglobina® (capsules with 100 mg of bLf), to prevent and cure iron      deficiency and iron deficiency anemia in pregnant women.",C0162316;C0523737;C0032961;C1322650;C0302583;C0008533;C0012082,C0162316;C0162316;C0240066;C1096775;C0398623;C0032961;C0549206;C0947630;C0302583;C0523737;C0020621;C4082977,0,0,0,6,3.0,0.045643148,0.049396311,0,0,0.12095238095238095
NCT02694978,A Phase III Safety Study of Ferumoxytol Compared to Ferric Carboxymaltose for the Treatment of Iron Deficiency Anemia (IDA),To evaluate the safety of 1.020 grams (g) of intravenous (IV) ferumoxytol compared to 1.500 g      of IV ferric carboxymaltose (FCM).,C0162316;C2001867;C0060274;C0087111;C0947630,C2001867;C0060274;C0220825,1396,178296,0,0,0.0,0.06589071099999999,0.08431760699999999,0,0,0.1207196029776675
NCT01052779,A Trial Comparing Ferumoxytol to Iron Sucrose for the Treatment of Iron Deficiency Anemia in Adult Subjects With Chronic Kidney Disease,The purpose of the study is to evaluate the safety and efficacy of intravenous (IV)      ferumoxytol compared to IV iron sucrose for the treatment of iron deficiency anemia (IDA) in      participants with chronic kidney disease (CKD).,C0162316;C1561643;C0060241;C0060274;C0087111,C0162316;C0022658;C0060241;C0060274;C0087111;C0947630;C0220825,292,17658,1,29,14.5,0.070580867,0.079539056,0,1,0.11639492753623187
