nct_id,brief_title,description,brief_title_concepts_list,brief_summary_concepts_list,tot_subj_affected,tot_subj_risk,relevance,citationSum,citationAvg,briefTitlePageRankScore,briefTitleAndSummaryCombinedPageRankScore,brief_title_matched_count,brief_summary_matched_count,RRFscore_not_recency
NCT00402038,Study of Methylnaltrexone (MNTX) for the Relief of Constipation,To determine the efficacy of subcutaneous MNTX to relieve opioid-induced constipation in      patients with advanced medical illness.,C0066411;C0009806;C0723011;C0947630,C0009806;C0221423;C0242402;C4082977,0,0,0,84,28.0,0.010195943,0.011311423999999999,0,0,0.039626072673639046
NCT02187640,Effects of Self-administered Acupressure in Psychiatric Patients With Constipation,"This study is to evaluate the effects of self-administered acupressure therapy for      psychiatric in-patients with constipation      Two main research questions include:        1. What are the effects of the standardized self-administered acupressure program on           reducing those adult psychiatric patients' symptoms of constipation?        2. What are the psychiatric patients' (participants') perceived benefits and limitations of           self-administered acupressure on management of their constipation?      In this study, the participants who met the study criteria and completed the baseline      measurement would be randomly assigned into either the self-administered acupressure program,      or a sham control group who receive a placebo, non-acupoint pressure. The null hypotheses of      this study are:        1. There is no significant difference between the acupressure and sham group immediately           and/or two weeks after the completion of intervention on patients' symptom severity of           constipation; and        2. There is no significant difference between the acupressure and sham group on patients'           perceived quality of life at immediately and two weeks after treatment completion.",C0009806;C0282614;C1548428;C1550655,C0518214;C0580352;C0282614;C1319166;C0009806;C0009806;C0009806;C0184661;C0009806;C0282614;C0282614;C0282614;C0282614;C0282614;C0376636;C0030971;C1552601;C0001302;C0460139;C0032042;C0947630;C0947630;C0947630;C0947630;C1551994;C1551994;C1551994;C1551994;C0204523;C1549593;C1457887;C1548428;C0085632;C0085632;C1518681;C1518681;C1697779;C1697779;C0202165;C1552839;C1328018;C1552839;C1328018;C1552839;C0220825;C0728774,0,0,0,0,0.0,0.010364522,0.010897055,0,2,0.03888888888888889
NCT03117322,"Synbiotic, Prebiotics and Probiotics in Children With Cerebral Palsy and Constipation","~     Randomized double blind controlled clinical trial. Participants will be enrolled at the New~     Civil Hospital of Guadalajara Dr. Juan I. Menchaca during the period from May 2017 to July~     2018, from six to 59 months of either sex. The duration of each participant in the study will~     be of four weeks. Each participant will be randomized assigned to any of the different study~     groups: synbiotic, prebiotic, probiotic or placebo. Hypothesis: The efficacy of~     supplementation with a symbiotic, a prebiotic and a probiotic differs in its beneficial~     effect on the intestinal microbiota and the characteristics of feces in children with CP and~     chronic constipation.~   ",C0007789;C0009806,C2926735;C0015733;C0401149;C0032042;C3165543;C3165543;C0242296;C0180112,0,0,1,0,0.0,0.013879078000000001,0.009058354000000001,1,1,0.03871525212222715
NCT02459717,Pre-biotics and Probiotics for Constipation in Parkinson's Disease,"Constipation is the most frequent (prevalence, about 60%) dysautonomic non motor symptom      affecting Parkinson's disease (PD) patients. Unfortunately, limited treatment options have      been investigated and are now available for the management of constipation in PD. Preliminary      data have suggested that probiotics could be help improving bowel habits but high-quality      randomized trials are required in this area. Therefore, the investigators designed a      randomized trial to evaluate whether the use of a fermented milk containing multiple      probiotics strains and prebiotic fiber have a beneficial effect on constipation in PD      compared to placebo.",C0030567;C0009806,C0030567;C0683525;C0426980;C0009806;C0009806;C0011135;C0009806;C0376636;C3245501;C0080194;C0032042;C1518681;C0225326;C3245479;C1552861;C0026131;C0013363;C0018792;C0220825;C3834249,0,0,0,7,7.0,0.013879078000000001,0.00853141,0,2,0.038625660938532716
NCT00255372,To Determine the Effect of Forlax® Treatment in Children With Chronic Constipation Who May Also Suffer From Soiling/ Faecal Incontinence.,The purpose of this study is to determine whether Forlax® is more effective than placebo in      relieving chronic constipation in children who may also suffer from soiling or faecal      incontinence.,C0009806;C0021167;C0087111;C1547296,C0401149;C0021167;C0032042;C0683278;C0015733;C0947630;C4082977,0,0,1,6,6.0,0.011870265,0.013872627,1,1,0.03652063610890168
NCT00627692,Evaluation of the Safety and Tolerability of Prucalopride in Constipated Elderly Subjects Living in a Nursing Facility,The purpose of this study is to determine whether prucalopride is safe and effective in the      treatment of constipation in elderly subjects living in a nursing facility.      Hypothesis:      Prucalopride up to a dose of 4 mg once daily is safe and well tolerated in in elderly      subjects living in a nursing facility.,C4684765;C0913506;C0220825;C0006147;C0595998;C4034482;C0009806,C0913506;C0009806;C0913506;C0087111;C0028678;C0028678;C0947630;C4082977,0,0,0,32,32.0,0.009160261,0.011438165,0,0,0.036508308764406326
NCT01151878,Glucomannan for Childhood Functional Constipation.,The purpose of this study is to determine whether administration of glucomannan (dietary      fiber) is effective in treating functional constipation in children.,C0009806;C0043572;C1705273;C0220644,C0401146;C1533734;C0043572;C0947630;C0225326;C4082977,0,0,1,6,6.0,0.009926671,0.010267746999999999,0,1,0.03637254901960784
NCT02574065,Effects on Crying Time in Colicky Infants With the Supplementation of Lactobacillus Reuteri DSM 17938,"~     Infant colic is a common condition characterized by excessive crying. The otherwise healthy~     infant aged less than 3 months is difficult to console during the periods with crying. The~     condition is defined by modified Wessel's criteria i.e. crying for more than 3 hours of the~     day, for more than 3 days of the week for at least 1 week.~      The description of infant colic hasalso been defined by Rome III diagnostic criteria~     andincludes infants from birth to 4 months of age,without failure to thrive, that are showing~     paroxysms of irritability, fussing or crying that starts and stops without obvious cause. The~     episodes last 3 or more hours/day and occur at least 3days/week for at least one week. The~     infant has no signs of central nervous system or intrinsic developmental difficulties, is~     normal on physical examination, and has normal growth patterns.~      Although infant colic is considered to be self limiting it is a distressing problem for~     families. It is in fact one of the most common reasons why parents seek the advice of a~     paediatrician or family practitioner during their child's first 3 months of life Up to 20% of~     infants under three months are affected by infant colic.~      Infant colic could have significant adverse effects on family quality of life and could even~     be a trigger for shaken baby syndrome. Parental perception associated with colicky complaints~     is therefor strongly recommended to be an outcome measure in trials of infantile colic.~      Measurement of parental/family quality of life and parental perception of colic severity with~     the help of a Visual Analogue Scale (VAS) in a Polish study showed that the use of a~     probiotic, Lactobacillus reuteri DSM 17938, could improve the perceived problems.~      The relationship between infant colic and gastroenterological, allergical and psychological~     disorders later in childhood was studied in a prospective study on 96 infants divided into~     two groups, colicky and non-colicky. The children diagnosed with infant colic, showed an~     increased susceptibility to recurrent abdominal pain, allergic and psychological disorders in~     childhood when they were 10 years old.~      The aetiology of infantile colic seems to be multifactorialbut is,despite many years of~     research, still unknown. The intestinal microbiota differs between infants with and without~     colic and has therefore been suggested to have a potential role. Other possible explanations~     are for example gut motility disturbances, low-grade mucosal inflammation and visceral~     hypersensitivity.~      Evidence suggests thatadministration of the probioticL. reuteri DSM 17938 might offer some~     benefit.L. reuteri DSM 17938 has been tested for its effect on crying in colicky infants and~     has been demonstrated to have a significantly favourable effect on crying time in fivetrials.~     One is a randomized trial that compared the probioticto Simethicone; three areplacebo~     controlled randomized double blind trials and yet another is a placebo controlled randomized,~     single blind, observational study. A fifth studydid not find any effect.~      Combining the results in a meta-analysis from three double blind, placebo controlled~     randomized trials (published at the time of the analysis, including the neutral one) found~     that, compared with placebo, L. reuteri administration reduced crying time at day 21 with~     about 40 min.~      Recently it has been documented in a clinical trial that prophylactic use of L. reuteriDSM~     17938during the first three months of lifereduced the onset offunctional gastrointestinal~     disorders, particularly functional constipation, regurgitation and infantile colic.~      In conclusion, the administration L. reuteri DSM 17938 may reduce the crying time in children~     with infantile colic, especially those fed predominantly or exclusively with breast milk.~     However, further randomized controlled studies, are required to be able develop~     recommendations in the management of infant colic.~      The present trial is undertaken to further document the effect of L. reuteri DSM 17938 on~     crying in colicky infants.~   ",C1135167;C0242296,C0031809;C0686721;C0015544;C0879626;C0266836;C0266836;C0012655;C0578019;C2004489;C0021368;C0009806;C0678257;C0037138;C1301725;C0332149;C1510470;C0033213;C0150312;C0150600;C0006141;C0005615;C0030193;C0699819;C0266836;C0266836;C1301746;C0184511;C0032042;C0032042;C0032042;C0723338;C0596601;C0222045;C1135167;C3845829;C3845829;C0042779;C0577620;C0180112;C0180112;C0180112,0,0,0,0,0.0,0.002659118,0.008513014000000001,0,5,0.036201808202460675
NCT03148002,Peritoneal Dialysis Pilot Study: Evaluating Polyethylene Glycol (PEG) for Constipation,"~     Constipation is a common condition, which occurs one in four Canadians. Maintaining regular~     bowel movements is imperative because constipation can affect the quality of PD dialysate~     flow and result in an unwanted effect on the dialysis adequacy.~      There is limited data on how to best manage constipation in the peritoneal dialysis~     population. Polyethylene glycol (PEG) is an osmotic laxative that is becoming popular for~     prevention and treatment of constipation across Canada. Although some PD programs in Canada~     have already converted to PEG for management of constipation, more research in this~     population would help guide practice. For now, the current PD bowel regimen at the Nova~     Scotia Health Authority (NSHA) includes daily preventative therapy using a stimulant~     laxative, senna, along with an osmotic laxative, lactulose, for acute constipation.~      The investigators will review all patients in the NSHA PD program who have regular or recent~     laxative use for participation in this study. Patients included in this study will be~     randomly assigned to the Current Bowel Protocol or the PEG Bowel Protocol for 8 weeks.~      The goal is to determine if the PEG Bowel Protocol is as effective and safe for the~     prevention of constipation as the Current Bowel Protocol used in the PD Program. The~     investigators will use bowel function diaries and patient surveys to determine efficacy and~     safety outcomes.~   ",C0031139;C0009806;C4282033;C0032483,C0353980;C0353980;C0009806;C0009806;C0009806;C0009806;C0009806;C0009806;C0442034;C2728259;C2728259;C0038951;C4282033;C4282033;C4282033;C4282033;C0032483;C0304402;C0026649;C0282090;C0282090;C0009806;C2728259;C3834249;C0376495,0,0,0,0,0.0,0.008788236999999999,0.006853545,0,2,0.035862079883483465
NCT01582659,Outpatient Treatment of Constipation in Children,"Constipation is a condition often seen in children. Constipation is often associated with      impaired quality of life of the child and of great concern among parents. Despite the fact      that both diagnosis and treatment is a simple task, it is often seen that the treatment      fails, and many children are referred to a pediatric ward for specialized treatment.      There is currently little research on the subject and treatment is therefore based on expert      knowledge rather than scientific research.      The study objective is to identify the most effective and least stressful treatment of      children with constipation for both families and the health care system.      The following will be tested:      Does treatment of constipation in children require specialized knowledge and extensive      resources or can the treatment be simplified?      The results from this study are expected to form the basis for a evidence based treatment of      children with constipation.",C0009806;C0087111;C3845694,C0518214;C0009806;C0009806;C0009806;C0009806;C0009806;C0086388;C0012634;C0011900;C0087111;C0087111;C0087111;C0087111;C0376554;C0018017;C0087111;C0087111;C0376554;C0087111;C0087111;C0392366;C0947630;C0947630;C3245501;C0723323;C3858576;C4055646;C1328018;C0449416;C1550488;C0220644,0,0,1,1,1.0,0.011400636,0.008591899,1,3,0.03569602202163005
