nct_id,brief_title,description,brief_title_concepts_list,brief_summary_concepts_list,tot_subj_affected,tot_subj_risk,relevance,citationSum,citationAvg,briefTitlePageRankScore,briefTitleAndSummaryCombinedPageRankScore,brief_title_matched_count,brief_summary_matched_count,RRFscore_not_recency
NCT01527916,Evaluate the Efficacy and Safety of ABT-126 in Subjects With Mild to Moderate Alzheimer's Disease,~     This is an efficacy and safety study evaluating a new treatment for subjects with mild to~     moderate Alzheimer's disease.~   ,C0002395,C0002395;C0376495,0,0,1,5,5.0,0.062012173,0.059763742,2,2,0.09415584415584416
NCT01549834,Evaluate the Efficacy and Safety of ABT-126 in Subjects With Mild to Moderate Alzheimer's Disease on Stable Doses of Acetylcholinesterase Inhibitors,~     This is an efficacy and safety study evaluating a new treatment for subjects with mild to~     moderate Alzheimer's disease.~   ,C0001046;C0002395,C0002395;C0376495,0,0,1,7,7.0,0.035343589,0.046498261,2,2,0.0939655172413793
NCT00216593,Treatment of Severe Alzheimer's Disease: Evaluation of Efficacy and Safety of Galantamine Hydrobromide in a Controlled Study,The purpose of this study is to assess the effectiveness and safety of galantamine      hydrobromide treatment in patients with severe Alzheimer's disease.,C0949312;C0002395;C0220825;C2911690;C0087111;C0205082;C0947630,C0002395;C4553491;C0016967;C0087111;C0205082;C0947630,0,0,1,20,20.0,0.036230041,0.037451049,2,2,0.09012445887445887
NCT01690195,Safety and Tolerability Study Evaluating a New Treatment for Subjects With Mild to Moderate Alzheimer's Disease,This is a long term extension study to evaluate safety and tolerability of subjects who      complete study M11-793 which is evaluating a new treatment for subjects with mild to moderate      Alzheimer's disease on stable doses of acetylcholinesterase inhibitors.,C4684765;C0002395;C0087111;C1547226;C0947630;C1547225,C0001046;C4684765;C0002395;C0087111;C0947630;C0947630;C1578513;C1525442;C1706074;C0220825;C4283785;C1547226,0,0,1,5,5.0,0.040432300000000004,0.040113445,2,2,0.08884721180295073
NCT01676935,This is a Safety and Tolerability Study Evaluating a New Treatment for Subjects With Mild to Moderate Alzheimer's Disease,This is a long term extension study to evaluate safety and tolerability of subjects who      complete study M10-985 which is evaluating a new treatment for subjects with mild to moderate      Alzheimer's disease.,C4684765;C0002395;C0087111;C1547226;C0947630;C1547225,C4684765;C0002395;C0087111;C0947630;C0947630;C1578513;C1525442;C0220825;C4283785;C1547226,0,0,1,3,3.0,0.040432300000000004,0.040002779,2,2,0.08434139784946236
NCT01117181,Apathy in Dementia Methylphenidate Trial (ADMET),"~     The Apathy in Dementia Methylphenidate Trial (ADMET) is a masked, placebo-controlled trial~     that will examine the efficacy and safety of methylphenidate for the treatment of clinically~     significant apathy in patients with Alzheimer's dementia.~   ",C0025810;C0497327;C0085632,C0025810;C0025810;C0497327;C0085632;C0085632;C0032042;C0332128;C0497327;C0180112;C0376495,373,1632,0,45,45.0,0.014154523,0.022094937000000002,0,2,0.08070923010255669
NCT00478205,Comparison of 23 mg Donepezil Sustained Release (SR) to 10 mg Donepezil Immediate Release (IR) in Patients With Moderate to Severe Alzheimer's Disease,~     The purpose of this study is to compare 23 mg donepezil sustained release (SR) to the~     currently marketed formulation of 10 mg donepezil immediate release (IR) in patients with~     moderate to severe Alzheimer's disease.~   ,C0002395;C2732140,C0002395;C2732140,1007,189288,0,104,17.33333333,0.035343589,0.047723615999999996,1,1,0.0806263628844274
NCT00620659,Treatment of Refractory Excessive Daytime Sleepiness in Patients With Obstructive Sleep Apnea/Hypopnea Syndrome (OSA/HS) Using Nasal Continuous Positive Airway Pressure (nCPAP) Therapy (0249-015),~     The purpose of this study is to determine the safety and efficacy of MK0249 in treating~     refractory excessive daytime sleepiness (EDS) in patients with Obstructive Sleep~     Apnea/Hypopnea Syndrome (OSA/HS) using nasal continuous positive airway pressure (nCPAP)~     therapy.~   ,C0199451;C0037315;C0235546;C0039082;C0376495,C0199451;C0235546;C0039082;C0003578;C0037313,408,50112,0,3,3.0,0.012653741999999999,0.014848439,0,1,0.08034188034188033
NCT00818662,A Phase 3 Study Evaluating Safety and Effectiveness of Immune Globulin Intravenous (IGIV 10%) for the Treatment of Mild-to-Moderate Alzheimer?s Disease,"~     The purpose of this study was to evaluate the efficacy and safety of 2 doses of Immune~     Globulin Intravenous (IGIV), 10% administered every 2 weeks as an intravenous (IV) infusion~     compared with placebo in participants with mild to moderate Alzheimer's disease (AD).~   ",C0002395;C0376495,C0002395;C0032042,1626,44045,0,26,26.0,0.039225136,0.052906182,1,2,0.08015105461913972
NCT01677754,A Study of RO4602522 in Participants With Moderate Severity Alzheimer Disease on Background Alzheimer Disease Therapy,"This Phase II, multicenter, randomized, double-blind, parallel-group, placebo-controlled      study will evaluate the efficacy and safety of RO4602522 in participants with moderate      severity Alzheimer's disease. Participants who are taking background therapy of      acetylcholinesterase inhibitors (AChEI) alone or in combination with memantine for at least 4      months before screening will be randomized to receive either one of two doses of RO4602522 or      placebo for 12 months.",C0002395;C0002395;C1547226;C0087111;C0947630,C0001046;C0002395;C0025242;C0199230;C0032042;C0087111;C0032042;C0456909;C0947630;C0439044;C3539181;C4699604;C2911690;C1561542;C1552839;C4554418;C0220825;C1547226,0,0,1,1,1.0,0.043640707,0.039542873,1,2,0.07953707798909038
NCT03978338,A Study to Evaluate the Efficacy and Safety of Brain Polypeptide Solution in Mild Alzheimer's Disease,"~     In recent years, reduced levels of brain-derived neurotrophic factor (BDNF) have been found~     in dementia patients. BDNF reduces amyloid precursor protein (APP) fragments via the Trk~     signaling pathway, and the expression of transgenic BDNF in animal models of Alzheimer's~     Disease(AD)shows a protective effect on neurodegeneration. A lot of researches have proved~     that brain hydrolysate injection can improve the level of BDNF in the brain. And oral brain~     peptide dietary supplements, which is also derived from brain proteolytic products, may also~     adjust and improve neuron metabolism, promote the formation of synapses, induce the~     differentiation of neurons, and protect nerve cells from ischemia and neurotoxin damage,~     reduce the risk of loss of cognitive function in the aging process. However, there are still~     no studies on dietary supplements derived from brain protein hydrolysates in China.~     Therefore, the investigators designed a randomized controlled double-blind study program to~     preliminarily evaluate the efficacy, safety and possible mechanism of brain polypeptide~     solution in improving the cognition of mild alzheimer's disease patients.~      The research is a prospective, multicenter, cohort study. 200 patients with mild alzheimer's~     disease will be selected and randomly divided into experimental group and control group~     according to the numerical random table. The experimental group will take the brain~     polypeptide solution 60ml per day and the control group was treated with the same package of~     placebo 60ml per day. The treatment regimen remained unchanged during the observation period.~     During the study period, safety index including blood and urine routine, liver and kidney~     function, coagulation index and clinical effect index about neuropsychological scales will be~     recorded.~   ",C0002395;C0006104,C0002395;C3888347;C0025519;C0486805;C0009240;C0497327;C0022116;C0332149;C1522240;C2728259;C0012634;C0222045;C0006104;C0006104;C2946261;C0006104;C0006104;C0001811;C0006104;C0006104;C0918012;C0005767;C0042036;C0023884;C0918012;C0392335;C0184511;C0184511;C0032042;C0022646;C2946261;C3161035;C0006104;C0006104;C0242297;C0242297;C0033621;C0033621;C0180112;C0376495,0,0,1,0,0.0,0.035343589,0.040327609,2,2,0.07936507936507936
NCT00099710,Curcumin in Patients With Mild to Moderate Alzheimer's Disease,"~     The purpose of this study is to examine the safety and tolerability of curcumin, and to~     determine its effect on patients with mild to moderate Alzheimer's Disease (AD).~   ",C0002395;C0010467,C0002395;C0010467;C0332128,0,0,1,85,85.0,0.035343589,0.038116369,1,2,0.07909060175794455
NCT00708552,Study of SB-742457 or Donepezil Versus Placebo in Subjects With Mild-to-moderate Alzheimer's Disease,"~     The study is designed to investigate the efficacy, safety and tolerability of SB-742457~     versus placebo in subjects with mild-to-moderate Alzheimer's disease. SB-742457 is an~     experimental treatment which increases the levels of certain chemicals in the brain that are~     often decreased in patients with Alzheimer's disease.~   ",C0002395;C0032042,C0002395;C0006104;C0002395;C0032042;C2946261;C0376495,544,101024,0,6,6.0,0.035343589,0.04434996,1,2,0.07841880341880342
NCT00812565,Study of Octagam (Intravenous Immunoglobulin [IVIG]) 10% on the Treatment of Mild to Moderate Alzheimer's Disease,This study evaluated the effect of 6 or 12 infusions of different doses of octagam      (intravenous immunoglobulin [IVIG]) 10% on the reduction of amyloid beta peptide (A?) in      cerebral spinal fluid (CSF) and on the increase of A? in blood plasma in patients with mild      to moderate Alzheimer's disease.,C0085297;C0002395;C0087111;C1547226;C0731209;C0947630;C1547225,C0085297;C0002395;C0007806;C0032105;C0574032;C4551656;C0006104;C0030956;C1518681;C0947630;C0220825;C1547226,136,4648,0,41,41.0,0.039835774,0.037765902000000004,1,1,0.07727212506624272
NCT00911807,Comparative Study to Test Safety and Efficacy of Neurotrophic and Cholinergic Treatment of Alzheimer's Disease,"The study was performed to compare the safety and efficacy of Cerebrolysin (10 mililiters      [ml]), Aricept (10 miligrams [mg]), and a combination of both treatments on cognitive      performance and global function in patients with probable Alzheimer's Disease (AD). It should      also be assessed if the treatments have a positive effect on activities of daily living and      neuropsychiatric symptoms.      Oral treatment with Aricept or Placebo was given once daily throughout the study. Intravenous      treatment with Cerebrolysin or Placebo was given once daily for 5 days per week during week 1      to 4 and during week 13 to 16 of the study. During the study patients had six visits at the      hospital for evaluation.",C0002395;C0009491;C0087111;C0022885;C0242893,C0002395;C0087111;C0087111;C0220825;C0087111;C0087111;C0031843;C0332148;C1446409;C0527315;C0527315;C0032042;C0032042;C1518681;C0947630;C3244317;C0947630;C3244317;C0947630;C0947630;C1561540;C1561540;C1561540;C3539181;C3534762;C0055108;C0055108;C0451227;C0085297;C1512346,312,3800,0,8,8.0,0.034319905,0.037082966,2,2,0.07700414992424741
NCT00710684,"A Study of SB-742457, Added to Donepezil for the Treatment of Mild-to-moderate Alzheimer's Disease",The study is designed to investigate the safety and efficacy of SB-742457 when added to      stable donepezil treatment in subjects with mild-to-moderate Alzheimer's disease.,C0002395;C0527316;C0087111;C0947630;C1547225;C1547226,C0002395;C0527316;C0087111;C0947630;C1706074;C0776963;C1547226,390,52514,0,3,3.0,0.040520456,0.041163499,1,2,0.07584857584857585
NCT00843518,Treatment for Aggression and Agitation in Patients With Alzheimer's Disease,The purpose of this study is to determine whether this drug can help symptoms of aggression      and agitation in participants with Alzheimer's disease.,C0002395;C4050402;C0087111;C0085631;C1550655,C0002395;C0085631;C0947630;C0013227;C1552861;C1457887;C4050402;C4082977,146,13135,0,4,4.0,0.034829018999999996,0.036364004,1,1,0.07491397721879449
NCT00420420,MK0249 for the Symptomatic Treatment of Alzheimer's Disease (MK0249-011),"The purpose of this study is to test the efficacy and safety of an investigational medication      for improving symptoms of Alzheimer's Disease. Subjects will receive either active medication      or placebo for 28 days. Tests of memory, concentration will be included. Safety will be      monitored using routine clinical and laboratory tests.",C0002395;C0087111;C0231221,C0002395;C0022885;C3245491;C0086045;C0013227;C0013227;C0032042;C0025260;C0947630;C0022885;C0392366;C1457887;C1320102;C0030695;C3272565,107,3146,0,4,4.0,0.041644548999999996,0.036497101000000004,1,2,0.07103594620851869
NCT01782742,Bexarotene Amyloid Treatment for Alzheimer's Disease,"Retinoid X receptors (RXR) are nuclear receptors that have been linked to numerous metabolic      pathways relevant to Alzheimer's disease (AD) and A? (harmful protein) production and      removal. The study drug ""bexarotene"" is an FDA approved anti-cancer agent but is not approved      for use in Alzheimer's disease. Bexarotene acts as an RXR agonist that has reduced A?      (harmful protein) in the brain in experimental models of Alzheimer's disease.      This study aims to determine the safety and effect on abnormal proteins found in the brain      (based on brain scans) of 300 mg of ""bexarotene"" administered for one month compared to      placebo (inactive agent).",C0002395;C0765273;C0087111;C4282142,C0002395;C0002395;C0086272;C0002395;C0596217;C0765273;C0765273;C0765273;C0035339;C0205161;C3244313;C0015252;C2987634;C0032042;C0006826;C1518681;C0947630;C0006104;C0947630;C0006104;C1561542;C0013227;C0035150;C2707259;C0033621;C0033621;C4082977,35,120,0,19,19.0,0.036581916,0.039423651000000004,1,2,0.06738015607580825
NCT00074529,Study of MK0677 for the Treatment of Alzheimer's Disease (0677-030)(COMPLETED),An investigational drug (MK0677) will be studied to determine whether it helps the memory and      cognition of patients with Alzheimer's Disease.,C0002395;C0087111;C0947630,C0013230;C0002395;C0009240;C0025260;C4082977,0,0,1,5,5.0,0.04663757599999999,0.043812039000000004,1,1,0.06702062938996736
NCT01796314,Impact of Therapeutic Educational Programme on the Alzheimer's Disease Affected Patient's Quality of Life,"Therapeutic education expands in Alzheimer's Disease management in France. Several studies      revealed a positive impact on caregiver's burden and/or quality of life. The purpose of this      study, is to determine whether a therapeutic educational programme for both AD patients and      primary caregivers, in community dwelling, improves patient's quality of life.",C0002395;C0518214;C0087111;C1550655;C0013658;C0376691,C0002395;C0518214;C0518214;C0087111;C0376636;C0424927;C1446409;C0947630;C0947630;C0087111;C0424927;C3694424;C0184511;C3845379;C4082977,0,0,1,0,0.0,0.033826889,0.03380616,1,1,0.06625779625779626
NCT01019421,Lu AE58054 Added to Donepezil for the Treatment for Moderate Alzheimer's Disease,"The purpose of this study is to accept or reject the hypothesis that Lu AE58054 improves      cognition and functional outcomes in patients with moderate Alzheimer's Disease, already in      treatment with donepezil.",C0002395;C3253508;C0527316;C0087111;C1547226,C0002395;C3253508;C0009240;C0087111;C0527316;C0947630;C0562230;C0184511;C1547226,0,0,1,22,22.0,0.03742089,0.038922119,1,1,0.06607500291242599
