nct_id,brief_title,description,brief_title_concepts_list,brief_summary_concepts_list,tot_subj_affected,tot_subj_risk,relevance,citationSum,citationAvg,briefTitlePageRankScore,briefTitleAndSummaryCombinedPageRankScore,brief_title_matched_count,brief_summary_matched_count,RRFscore_not_recency
NCT01013753,A Study of the Safety and Efficacy of 4 Doses of BI 1744 CL Delivered Via the Respimat in Patients With Asthma.,~     The primary objective of this study is to determine the efficacy and safety of 4 doses of BI~     1744 CL inhalation solution delivered by the Respimat? inhaler once daily for four weeks in~     patients with asthma in comparison to placebo.~   ,C0004096,C0021461;C0004096,2,2256,0,1,1,0.020420526,0.019476245,1,1,0.04426756
NCT02528214,Evaluation of Dupilumab in Patients With Severe Steroid Dependent Asthma,"~     Primary Objective:~      To evaluate the efficacy of dupilumab, compared with placebo, for reducing the use of~     maintenance oral corticosteroids (OCS) in participants with severe steroid-dependent asthma.~      Secondary Objectives:~        -  To evaluate the safety and tolerability of dupilumab.~        -  To evaluate the effect of dupilumab in improving participants-reported outcomes.~        -  To evaluate dupilumab systemic exposure and the incidence of treatment-emergent antidrug~          antibodies.~   ",C0220825;C0004096,C0032042;C0376495,161,4410,0,81,81,0.012934792,0.015519448,1,2,0.04172718
NCT00968669,A Study to Evaluate the Effectiveness and Safety of MEDI-528 in Adults,"~     To study the effectiveness and safety of multiple-doses of MEDI-528 on asthma control in~     adult participants with uncontrolled, moderate-to-severe, persistent asthma.~   ",0,C0004096;C3266628,836,15696,0,200,100,0.001141553,0.017371206,1,1,0.04029304
NCT00263640,Safety and Efficacy of House Dust Mite Allergoid in the Treatment of Bronchial Asthma,The trial is performed to assess efficacy and safety of the Allergopharma house dust mite      allergoid in bronchial asthma.,C0004096;C0981911;C0087111,C0004096;C0981911;C0018792,0,0,1,25,25,0.013782303,0.015365564,1,1,0.039505194
NCT00497237,Clinical Trial of the Efficacy and Safety of Beclomethasone Dipropionate Plus Formoterol vs Fluticasone Propionate Plus Salmeterol in the 6 Months Step Down Treatment of Asthma,"Asthma is a serious global health problem. People of all ages in countries throughout the      world are affected by this chronic airway disorder that can be severe and sometimes fatal.      The prevalence of asthma is increasing everywhere, especially among children.According to      international guidelines, once control of asthma is achieved and maintained for at least 3      months, a gradual reduction of the maintenance therapy should be tried in order to identify      the minimum therapy required to maintain control. This will help reduce the risk of side      effects and enhance patient adherence to the treatment plan.      Reduction of therapy in patients on combination therapy should begin with a reduction in the      dose of inhaled glucocorticosteroid.1 The present study is designed to evaluate if patients      with controlled asthma treated with FP 1000 mcg + salmeterol 100 mcg daily can be stepped      down. Stepping-down will be attempted with two medications: a new combination of extrafine      beclomethasone dipropionate 400 mcg + formoterol 24 mcg daily (test medication, Foster?) and,      alternatively, fluticasone propionate 500 mcg + salmeterol 100 mcg daily(reference      medication) without losing asthma control.If this hypothesis will be confirmed, the present      study will demonstrate that asthma control can be maintained with less than half the dose of      inhaled corticosteroid and with less medical costs.      Given the aims of this study, the population to be monitored includes adult patients with      moderate persistent asthma, which can be defined controlled according to the current      guidelines under standard stabilised treatment. The intended treatment duration is therefore      designed to ensure that good control of asthma is firmly achieved before stepping down the      treatment (8 weeks run-in period), but also that the condition of the patients are followed      long enough (24 weeks comparative treatment period) to ensure that a new stable condition is      also obtained and properly monitored.",C0004906;C0117996;C1096775;C0060657;C0073992;C0087111;C0004096,C0004906;C0117996;C0677908;C0009429;C0599880;C0001617;C0013227;C0162791;C0073992;C0060657;C0013227;C0073992;C0013227;C0162791;C4551656;C1293152;C4551656;C0750484;C0087111;C0087111;C0087111;C0012634;C0087111;C0012634;C0012634;C3245501;C2828392;C1551357;C0427149;C0033213;C0087111;C0087111;C0004048;C0150312;C0150312;C0004048;C0004096;C0178987;C0205082;C0004096;C0004096;C0004096;C0004096;C0004096;C0004096;C0004096;C0025344;C0025344;C0947630;C0947630;C0947630;C1552861;C0392366;C1578513;C0600140;C1578513;C3539181;C1518681;C4684637;C2911690;C2911690;C3858576;C0332534;C1561542;C1706074;C1522411;C0931554;C0221106;C0030695;C0030695;C0220825;C0427149;C1547226;C0332155;C0546816;C4698129;C1304888,0,0,1,9,9,0.010629754,0.012824771,1,1,0.039464336
NCT00603382,A Randomized Study To Evaluate The Efficacy And Safety Of An Investigational Drug In Adolescent And Adult Subjects With Asthma Uncontrolled on Non-steroidal Therapy.,This study is designed to determine if the investigational drug is effective and safe in      individuals with asthma.,C0013230;C0220825;C0087111;C0004096;C0947630;C3897779;C4298936;C0038317,C0013230;C0004096;C0947630;C4082977,154,7176,0,22,7.333333333,0.011967835,0.012630622,1,1,0.038674671
NCT01946035,Alpha-Blockers in Allergic Rhinitis (MAN 01),"~     Allergic rhinitis (allergic inflammation of the nose) is a common medical condition which is~     known to seriously decrease quality of life, aggravate preexisting conditions particularly~     asthma, carry significant medical treatment costs and be responsible for reduced work~     productivity and lost school days. A significant symptom of the condition, nasal blockage,~     remains difficult to treat even when using nasal corticosteroids. Decongestant medications~     act on the blood vessels in the nose and have an immediate effect in clearing a blocked nose~     but if used for more than seven days a more severe rebound congestion of the nose develops.~      In this study, the investigators aim to assess the effects of doxazosin, a drug which is~     currently used to treat high blood pressure and symptoms of prostate enlargement, to find out~     if it has an effect on nasal blockage.~   ",C0035455;C2003941,C0005823;C0021368;C0700148;C0035455;C1457887;C0033572;C0004096;C0005767;C0028429;C0028429;C0028429;C2948600;C0282374;C4284232;C1457887;C0148346;C0521987;C0376495,0,0,0,2,2,0.00609895,0.008488362,0,0,0.038106946
NCT01508936,Study to Evaluate the Efficacy and Safety of Reslizumab Treatment in Patients With Moderate to Severe Asthma,"The primary objective of the study is to characterize the efficacy of reslizumab treatment,      at a dosage of 3.0 milligrams per kilogram (mg/kg) every 4 weeks for a total of 4 doses, in      improving pulmonary function in relation to baseline blood eosinophil levels in patients with      moderate to severe asthma, as assessed by the change from baseline to week 16 in forced      expiratory volume in 1 second (FEV1).",C1869620;C0087111;C0220825;C1547226;C0205082;C0004096;C0947630;C1550655,C0581126;C1869620;C0018017;C0087111;C0024109;C0031843;C0947630;C0005767;C1561540;C1306036;C0233492;C0014457;C0728774;C1547226;C0728774;C0007952,401,14268,0,33,33,0.012304024,0.012189884,1,0,0.036962366
NCT00603746,A Randomized Study To Evaluate The Efficacy And Safety Of An Investigational Drug In Adolescent And Adult Subjects With Asthma Uncontrolled on Moderate-Dose ICS Therapy.,This study is designed to determine if the investigational drug is effective and safe in      individuals with asthma.,C0013230;C0220825;C1547226;C0087111;C0004096;C0947630;C3897779;C4298936,C0013230;C0004096;C0947630;C4082977,282,9330,0,23,11.5,0.012058507,0.012796325,1,1,0.036845401
NCT01431950,Evaluating the Efficacy and Safety of Fluticasone Furoate in the Treatment of Asthma in Adults and Adolescents,"A randomised, double-blind, multi-centre study to evaluate the efficacy and safety of two      doses of inhaled fluticasone furoate in the treatment of persistent asthma in adults and      adolescents currently receiving mid to high strength inhaled corticosteroids.",C1948374;C0087111;C0004096,C1948374;C0001617;C0087111;C0004048;C0004048;C0004096;C0456909;C0947630;C0404831;C0220825;C0546816,264,4998,0,34,8.5,0.014043491,0.013156877,1,1,0.036253341
