nct_id,brief_title,description,brief_title_concepts_list,brief_summary_concepts_list,tot_subj_affected,tot_subj_risk,relevance,citationSum,citationAvg,briefTitlePageRankScore,briefTitleAndSummaryCombinedPageRankScore,brief_title_matched_count,brief_summary_matched_count,RRFscore_not_recency
NCT00535782,A Study of the Effect of Tocilizumab on Markers of Atherogenic Risk in Patients With Moderate to Severe Rheumatoid Arthritis,"This 2 arm study will investigate the effects of tocilizumab on lipids, arterial stiffness,      and markers of atherogenic risk in patients with moderate to severe active rheumatoid      arthritis. In Part 1 of the study, patients will be randomized to receive either tocilizumab      8mg/kg intravenously or placebo every 4 weeks, in combination with methotrexate 7.5-25 mg      weekly. In Part 2, all patients will receive open-label treatment with tocilizumab plus      methotrexate.",C0003873;C1609165;C1547226;C0205082;C0947630;C1550655;C0005516,C0599949;C0025677;C0025677;C1609165;C1609165;C1609165;C0003864;C0087111;C0032042;C0523744;C0205082;C0947630;C0947630;C1705425;C0446516;C3539181;C1518681;C0005516;C1320102;C1547226,1542,106110,1,7,7,0.002550033,0.002893257,1,1,0.039167739
NCT00106522,A Study to Assess the Effect of Tocilizumab + Methotrexate on Signs and Symptoms in Patients With Moderate to Severe Active Rheumatoid Arthritis Currently on Methotrexate Therapy,"This 3 arm study will compare the safety and efficacy, with regard to reduction of signs and      symptoms, of tocilizumab versus placebo in combination with methotrexate (MTX) in patients      with moderate to severe active rheumatoid arthritis (RA) currently on MTX therapy, and who      have had an inadequate response to prior therapy with an anti-tumor necrosis factor      (anti-TNF) agent. Patients will be randomized to receive tocilizumab 4mg/kg iv, tocilizumab      8mg/kg or placebo iv, every 4 weeks. All patients will also receive methotrexate      10-25mg/week. The anticipated time on study treatment is 3-12 months, and the target sample      size is 500+ individuals.",C0003873;C0037088;C0025677;C0025677;C1609165;C1547226;C0087111;C0205082;C0718247;C0947630;C1550655,C0003873;C1521826;C0333516;C0025677;C0025677;C1609165;C1609165;C1609165;C4551656;C1704632;C0032042;C0087111;C0087111;C0032042;C0205082;C0947630;C1561540;C0446516;C0025677;C0025677;C3539181;C4699604;C1457887;C1550655;C3840775;C1320102;C0441621;C4331837;C1547226,0,0,1,260,52,0.003051812,0.002984583,1,1,0.037912088
NCT01554696,A Study to Evaluate the Safety and Efficacy of ASP015K in Moderate to Severe Rheumatoid Arthritis Subjects Who Have Had an Inadequate Response to Methotrexate,The purpose of this study is to evaluate the safety and efficacy of ASP015K in moderate to      severe rheumatoid arthritis subjects who are methotrexate-inadequate responders (MTX-IR).,C0003873;C0025677;C0220825;C1547226;C1704632;C0205082;C0947630,C0003873;C0025677;C0205082;C0947630;C0025677;C0220825;C1547226,0,0,1,8,8,0.002444229,0.003342058,1,1,0.037061175
NCT00106548,A Study to Assess the Effect of Tocilizumab + Methotrexate on Signs and Symptoms in Patients With Moderate to Severe Active Rheumatoid Arthritis,"This 3 arm study will compare the safety and efficacy, with regard to reduction of signs and      symptoms, of tocilizumab versus placebo, both in combination with methotrexate (MTX). in      patients with moderate to severe active rheumatoid arthritis (RA) who currently have an      inadequate response to MTX. Patients wil be randomized to receive tocilizumab 4mg/kg iv,      tocilizumab 8mg/mg iv, or placebo iv, every 4 weeks; all patients will also receive      methotrexate 10-25mg weekly. The anticipated time on study treatment is 3-12 months, and the      target sample size is 500+ individuals.",C0003873;C0037088;C0025677;C1609165;C1547226;C0205082;C0718247;C0947630;C1550655,C0003873;C1521826;C0025677;C0025677;C1609165;C1609165;C1609165;C4551656;C1704632;C0032042;C0032042;C0205082;C0947630;C0446516;C0025677;C0025677;C3539181;C4699604;C1457887;C1550655;C3840775;C1320102;C0441621;C1547226,0,0,1,310,77.5,0.002888128,0.002743303,1,1,0.036225298
NCT01500278,Study to Assess the Short- and Long-term Efficacy of Certolizumab Pegol Plus Methotrexate Compared to Adalimumab Plus Methotrexate in Subjects With Moderate to Severe Rheumatoid Arthritis (RA) Inadequately Responding to Methotrexate,This study is conducted to evaluate the short (12 Weeks) and long term (104 Weeks) efficacy      of Certolizumab Pegol compared with Adalimumab both in combination with Methotrexate (MTX) in      the treatment of moderate to severe Rheumatoid Arthritis (RA) that is not responding      adequately to MTX.,C0003873;C1872109;C0025677;C0025677;C0025677;C1122087;C1547226;C0205082;C0947630,C0003873;C1872109;C0025677;C1122087;C0087111;C0205082;C0947630;C0025677;C0025677;C3539181;C0220825;C1547226,1590,141304,1,14,14,0.002376699,0.002964977,1,1,0.033408207
NCT01649999,A Study to Evaluate the Efficacy and Safety of ASP015K in Moderate to Severe Rheumatoid Arthritis Subjects,This study is to evaluate the efficacy and safety of ASP015K monotherapy and to evaluate the      dose-dependent response of ASP015K in moderate to severe Rheumatoid Arthritis (RA) subjects      given ASP015K for 12 weeks.,C0003873;C0220825;C1547226;C0205082;C0947630,C0003873;C0429964;C1704632;C0205082;C0947630;C3244317;C0220825;C0220825;C1547226,0,0,1,9,9,0.002358577,0.00270062,1,1,0.032555164
NCT01951170,An Open-Label Study of RoActemra/Actemra (Tocilizumab) in Patients With Moderate to Severe Active Rheumatoid Arthritis,"This open-label, single-arm study will evaluate the efficacy and safety of tocilizumab in      patients with active moderate to severe rheumatoid arthritis. Participants will receive a      subcutaneous dose of tocilizumab 162 mg once weekly. The anticipated time on study treatment      is 24 weeks.",C0003873;C1609165;C3272237;C1547226;C2740854;C0205082;C0718247;C1522485;C0947630;C1550655,C0003873;C1521826;C1609165;C1609165;C0087136;C0205082;C1705425;C0947630;C0446516;C3840775;C1320102;C0220825;C1547226,114,1040,1,0,0,0.002678417,0.00247851,1,1,0.030694319
NCT00891020,A Study Of Tocilizumab in Patients With Moderate to Severe Active Rheumatoid Arthritis Who Have an Inadequate Response to or Are Unable to Tolerate Biologic and Non-Biologic Disease-modifying Antirheumatic Drugs (DMARDs),"This 3 arm randomized open label study will evaluate the safety, tolerability and efficacy of      tocilizumab in patients with moderate to severe active rheumatoid arthritis, who have had      inadequate response to or are unable to tolerate DMARDs. The protocol incorporates risk      mitigation strategies developed in partnership with the FDA to manage known and potential      risks associated with the treatment of tocilizumab. Patients will be randomized to receive      tocilizumab either 4 mg/kg intravenous (iv) or 8 mg/kg iv with concomitant non-biologic      DMARDs, or 8 mg/kg iv without concomitant non-biologic DMARDs, every 4 weeks, for a total of      6 infusions. The anticipated time on study treatment is 3-12 months, and the target sample      size is 500-1000 individuals.",C0003873;C0003191;C1609165;C1547226;C1704632;C0012634;C0205082;C0718247;C1299582;C0947630;C0005522;C0005522;C1550655;C0242708,C0003873;C1521826;C1609165;C1609165;C1609165;C0679199;C0087111;C0574032;C1704632;C0442711;C0205082;C0566415;C1705425;C0947630;C0446516;C4699604;C1550655;C3840775;C1320102;C0441621;C4055380;C0684331;C2363670;C0242708;C0242708;C0683092;C0220825;C1547226;C4699193;C4699193,1321,97130,1,18,18,0.002854124,0.002952245,1,1,0.030214293
NCT01959282,A Study of Safety and Effectiveness of JNJ-54781532 in Patients With Moderately to Severely Active Ulcerative Colitis,~     The purpose of the study is to evaluate dose response of JNJ-54781532 in participants with~     moderately to severely active ulcerative colitis (UC).~   ,C0009324;C1320102,C0009324;C1320102,0,0,0,17,17,0.002036534,0.001405856,1,1,0.028669751
NCT01721044,A Moderate to Severe Rheumatoid Arthritis Study,"The purpose of this study is to determine whether baricitinib 4 milligram (mg) once daily is      superior to placebo in the treatment of participants with moderately to severely active      Rheumatoid Arthritis (RA) who have had an inadequate response to a tumor necrosis factor      (TNF) inhibitor, despite ongoing treatment with conventional disease-modifying antirheumatic      drugs (cDMARDs).",C0003873;C1547226;C0205082;C0947630,C0003873;C0333516;C0003191;C4044947;C0087111;C0087111;C0205082;C1704632;C0032042;C0012634;C0947630;C0013227;C1320102;C4085643;C4082977;C0069695,994,82491,1,64,12.8,0.002518425,0.002688992,1,1,0.028455615
