nct_id,brief_title,description,brief_title_concepts_list,brief_summary_concepts_list,tot_subj_affected,tot_subj_risk,relevance,citationSum,citationAvg,briefTitlePageRankScore,briefTitleAndSummaryCombinedPageRankScore,brief_title_matched_count,brief_summary_matched_count,RRFscore_not_recency
NCT01385995,Effects of Treatment of Sleep Apnea on Metabolic Syndrome,"The investigators performed a randomized, cross-over controlled clinical trial comparing 8      weeks of Continuous Positive Airway Pressure (CPAP) to 8 weeks of sham-CPAP in patients with      moderate to severe Sleep Disordered Breathing (SDB) and impaired glucose tolerance. A      rigorous assessment of metabolic responses to SDB treatment in this group is of great      clinical significance because this sample is at high risk for developing diabetes. The      paradigm shift of CPAP as a mode of prevention can affect clinical practice in the fields of      both primary care and sleep medicine.",C0524620;C0037315;C0087111,C0199451;C4551689;C0271650;C0936233;C2826293;C0033137;C0031809;C0199176;C0087111;C0332167;C0011849;C0237607;C0205082;C0001721;C0037313;C1704632;C0441621;C2707259;C1553496;C1552839;C1547226;C4086497;C3272565;C0013227,41,1200,1,49,49,0.009791604,0.00774966,0,1,0.04349967
NCT02842255,Calibration of a New Reflectance Oximeter.,"~     This study is about the development of a new medical device for the monitoring of of sleep~     disordered breathing. This device is developed by the CEA-LETI-LE2S and will be composed of~     an oximeter, an actimeter in order to measure the activity level of the subject, his state of~     sleeplessness/sleep, and a CO2 partial pressure transcutaneous sensor (PtcCO2).~      Developing this device is realized in several steps : a study (ALMOST) is already in progress~     and its goal is to acquire a database of polysomnography to create automatic algorithms in~     order to detect respiratory disorders with this device under development.~      The main goal of the study is to calibrate the oxymeter under development.~   ",C1619679,C0162701;C0917801;C1619679;C2946261;C0037313;C0025080;C0002045;C0242356;C0037313,0,0,0,0,0,0.008976661,0.004920964,0,1,0.037794728
NCT00746902,"Study of the Relationships Between Refractory Hypertension, Overweight/Obesity and Sleep Apnea Syndrome","The purpose of the study is to investigate the links between blood pressure (BP), overweight      or obesity, and sleep apnea syndrome (SAS), by studying a large cohort of subjects suffering      from refractory hypertension.      Primary objective        -  To compare plasmatic leptin levels in patients suffering from refractory hypertension           depending on whether or not they experience SAS.      Secondary objectives        -  To ascertain what determines the difference in plasmatic leptin concentrations in           patients suffering from refractory hypertension depending on whether or not they           experience SAS.        -  To characterise BP readings (from clinical and ambulatory (ABPM) measurements) in           patients suffering from refractory hypertension depending on whether or not they           experience SAS.        -  To characterise metabolic parameters (lipids, glycaemia, adiponectin) and sympathetic           nervous system effectors (adrenaline, noradrenaline and metanephrines) in patients           suffering from refractory hypertension depending on whether or not they experience SAS.        -  To characterise BP readings, metabolic parameters and sympathetic nervous system           effectors in patients suffering from refractory hypertension according to the severity           of the SAS (in those who experience this problem).        -  To study, in patients with both SAS and refractory hypertension, the impact of nasal           continuous positive airway pressure (CPAP) treatment on BP readings, metabolic           parameters and sympathetic nervous system effectors, by comparing those who are           compliant with the CPAP regimen with those who are non-compliant.",C0037315;C0020538;C0497406;C0028754;C0947630;C1553835,C0199451;C0037315;C0005823;C0086045;C0028351;C0020538;C0020538;C0020538;C0020538;C0020538;C0020538;C0020538;C0497406;C0237607;C0018017;C0237607;C1561560;C0237607;C0014563;C0237607;C0237607;C0683278;C0018017;C0683278;C0683278;C0683278;C0683278;C0683278;C0087111;C0028754;C0027769;C0027769;C0033213;C0027769;C0040808;C0523744;C0947630;C0947630;C0028429;C2700366;C0085632;C0302276;C0027627;C2707259;C2707259;C2707259;C3272565;C0007952;C0007952;C0007952,0,0,0,1,1,0.008246346,0.007378962,0,1,0.037631051
NCT01508754,Efficacy of CPAP Treatment on Blood Pressure of Resistant Hypertension Patients With Obstructive Sleep Apnea Syndrome,~     The aim is to evaluate the effect of treatment with Continuous Positive Airway Pressure~     (CPAP) device on clinic and ambulatory blood pressures (BP) of 200 resistant hypertensive~     patients with moderate-severe obstructive sleep apnea syndrome (OSAS).~   ,C0037315;C0005823;C0020538;C0376495,C0037315;C0005823;C1446409;C2948600;C0428719;C0376495,0,0,1,36,18,0.009501606,0.00986919,0,1,0.037207237
NCT01578031,The Effects of Treating Obese and Lean Patients With Sleep Apnea,"The investigators' overall goal is to compare the effect of CPAP treatment on intermediate      cardiovascular risk measures in obese versus lean patients with obstructive sleep apnea      (OSA). The overall hypothesis is that, adjusting for OSA severity and obtaining normative      data from non-OSA subjects with comparable amounts of visceral adiposity, the two OSA groups      will have comparable improvements in daytime sleepiness, but that the cardiovascular and      metabolic improvements following CPAP therapy will be decreased in OSA patients with      increased visceral adipose tissue. The investigators anticipate that, although there will be      a greater absolute change in markers of sympathetic activity, inflammation and oxidative      stress in obese compared to lean OSA patients following CPAP treatment, the levels will still      be abnormally high in the obese patients resulting in the decreased improvements in insulin      resistance, arterial blood pressure, and vascular health in obese versus lean OSA patients.",C0037315;C0028754;C1550655,C0520679;C1272641;C0541854;C3887460;C3887460;C0021368;C0087111;C0028754;C0442797;C0087111;C0442797;C0005847;C0087111;C0021641;C1518681;C1552839;C0038435;C0028754;C0028754;C0028754;C0028754;C0018017;C3245479;C0042779;C0042779;C1550465;C0005516;C0237834;C0205161;C2707259;C4049938;C3840775;C0151576,106,3360,0,0,0,0.010004703,0.006864644,0,1,0.037026783
NCT02047071,Effect of CPAP Treatment in Women With Moderate-to-severe OSA.,"~     The purpose of this study is to determine whether Continuous Positive Airways Pressure (CPAP)~     improves quality of life, cardiovascular (blood pressure) and metabolic profile (glucose and~     lipid metabolism) in females with moderate-to-severe Obstructive Sleep Apnea (OSA).~   ",C0376495,C3887460;C0005823;C0037315;C0025519;C1446409;C0017725;C0184511,0,0,1,20,10,0.004531615,0.009570421,1,1,0.036742581
NCT01482351,Mild Cognitive Impairment and Obstructive Sleep Apnea,"~     Obstructive sleep apnea (OSA) has been linked to increased risk for Alzheimer's disease (AD),~     but little prospective evidence exists on the effects of OSA treatment in preclinical AD. The~     objective was to determine if CPAP treatment adherence, controlling for baseline differences,~     predicts cognitive and everyday function after 1 year in older adults with MCI and to~     determine effect sizes for a larger trial. The aim of the Mild Cognitive Impairment and~     Obstructive Sleep Apnea (Memories 1) trial was to determine whether CPAP treatment adherence,~     controlling for any baseline differences in OSA severity, ApoE4, and other previously~     identified demographic and patient factors, might predict cognitive and everyday function~     after 1 year in older adults with amnestic MCI.~   ",C0037315,C0002395;C0037315;C0037315;C2948600;C0600091;C0376495;C0376495;C0376495,10,378,0,0,0,0.019396474,0.008881755,0,1,0.036394381
NCT01896661,Effect of Antihypertensive Agents Over Sleep Apnea,"Obstructive sleep apnea and hypertension are well-known cardiovascular risk factors. Their      control could reduce the burden of heart disease across populations. There are several drugs      to control hypertension, but the only consistently beneficial treatment to reduce apneas is      continuous positive airway pressure. The demonstration that one drug could improve sleep      apnea and hypertension would support a novel approach in the treatment of both diseases. The      role of fluid retention in sleep apnea is known for several decades. The role of diuretics is      well established in hypertension but was never appropriately tested in sleep apnea. Besides      to test the efficacy of these drugs, this study will help to understand the mechanisms that      link hypertension and sleep apnea and its treatment.",C0003364;C0037315,C0199451;C0520679;C0268000;C3887460;C0018799;C0020538;C0035648;C0020538;C0020538;C0020538;C0020538;C0037315;C0037315;C0037315;C0162340;C0087111;C0087111;C0012798;C0087111;C0012634;C0003578;C0392366;C0013227;C0037313;C0003578;C0679622;C0013227;C0947630;C0013227;C1704326;C1704326;C0392366;C1552861;C0184511;C1328018,0,0,0,2,2,0.011069242,0.010705999,0,1,0.036326888
NCT01812993,Reversal of the Neurological Deficit in Acute Stroke With the Signal of Efficacy Trial of Auto BPAP to Limit Damage From Suspected Sleep Apnea,"Although the negative impact of sleep apnea on the clinical course of acute ischemic stroke      (AIS) is well known, data regarding non-invasive ventilation in acute patients are scarce.      Several studies showed its tolerability, safety and signals-of-efficacy, yet no controlled      randomized sequential phase studies currently exist that aim to establish the efficacy of      early non-invasive ventilation in AIS patients. The main hypothesis for this study is that      early non-invasive ventilation with automated bilevel positive airway pressure (auto-BPAP)      positively affects short-term clinical outcomes in AIS patients. This is a multicenter,      prospective, randomized, controlled, third rater-blinded, parallel-group trial. Patients with      AIS with proximal arterial obstruction and clinically suspected sleep apnea will be      randomized to standard or standard stroke care plus auto-BPAP. Auto-BPAP will be initiated      within 24 hours from stroke onset and performed for a maximum of 48 hours during diurnal and      nocturnal sleep. Patients will undergo cardiorespiratory polygraphy between day 3 and 5 to      assess sleep apnea. The primary endpoint is any early neurological improvement on the NIHSS      at 72 hours from randomization. Safety, tolerability, short-term and 3 months functional      outcomes are assessed as secondary endpoints by un-blinded and blinded observers      respectively. This study will provide data to power a subsequent phase III study.",C2707261;C0751956;C0037315;C1441488;C1710083,C0264995;C2986535;C0948008;C0428719;C0037315;C0035203;C0035203;C0035203;C0037315;C0037315;C0597266;C0027627;C0205160;C1446409;C2828392;C2828392;C0947630;C0947630;C0038454;C0038454;C0947630;C0037313;C0947630;C0947630;C3245479;C1441488;C3245479;C1561538;C4554468;C1550655;C1550655;C1555587;C2707261;C0001721;C0743195;C2911690;C3844714;C1446409;C0031843;C1561542;C1552839;C0018792;C1334278;C1334278;C1334278;C3272565;C4554418;C4489236,0,0,0,1,1,0.007759188,0.008445814,0,1,0.036103732
NCT02748681,Telemedicine Monitoring of Sleep Apnea in Stroke,"Study Objectives:      Meta-analyses report a high prevalence of moderate to severe sleep apnea of more than 50% in      stroke patients, with adherence rates for CPAP therapy of only 30%.      The primary objective of this study is to determine whether CPAP adherence in stroke patients      with obstructive sleep apnea can be improved by a CPAP training strategy during      rehabilitation combined with a telemedicine monitoring system after discharge.      The secondary objective is to compare recording quality as well as subjective and objective      sleep data of non-attended level III polygraphy, polysomnography and telemetric CPAP data in      the management of sleep apnea in stroke.      Further the investigators aim to study changes in nocturnal systolic blood pressure due to      CPAP therapy with the pulse transit time method.      Finally, the investigators intend to study the relationship between CPAP compliance, sleep      and medical and neurorehabilition outcome parameters.      Design:      Single-blind, mono-center, randomized controlled trial on standard CPAP treatment as compared      with CPAP treatment with a telemedicine monitoring system in stroke patients with moderate to      severe OSA.      Setting: Neurorehabilitation center in Vienna, Austria      Patients: Adult subacute (1 to 12 months post stroke) stroke patients 18-70 yrs of age) with      moderate to severe OSA (apnea hypopnea index (AHI) = 15/hr) determined by non-attended      polysomnography (AHI) = 15/hr of sleep) or level III polygraphy (AHI) = 30/hr of      out-of-center sleep testing (OCST), who undergo successful CPAP training and titration (goal      AHI< 10) at the neurorehabilitation unit.      Interventions: Patients will be randomized to either standard care with an autotitrating CPAP      device or an autotitrating CPAP device that transmits physiologic information (i.e.,      adherence, air leak, residual AHI) daily to a website that will be reviewed by their homecare      provider. If any problems are identified, the patient will be contacted by his homecare      provider by telephone. Neurologists performing sleep and neurological scoring will be blinded      to the randomization.      Measurements: Recording of the different measuring systems, subjective and objective sleep      quality, CPAP adherence after 3 months and 1 year in hours used per night, systolic BP      determined by means of a non-linear algorithm and an individual one-point calibration of the      pulse transit time obtained with a cuff-based BP measuring system (SOMNOmedics GmbH, Germany)      and neurorehabilitation outcome parameters as Barthel Index, Timed Up and Go Test.",C0162648;C0037315;C0150369;C0038454,C0282440;C0520679;C0871470;C0204096;C1139730;C1139730;C0162701;C0162701;C0034991;C0162701;C1273869;C0451019;C0162648;C0162648;C0037315;C0037315;C0597266;C0376636;C0597266;C0018017;C0012621;C0027627;C0018017;C0018017;C0087111;C0087111;C0162621;C0018017;C0002045;C0184511;C0679199;C2828392;C0235546;C2828392;C0282443;C1555587;C1555587;C0087111;C0087111;C4281677;C2349146;C0684224;C0205082;C0038454;C0038454;C0038454;C0025663;C1549113;C0038454;C0205082;C0038454;C0038454;C0205082;C0947630;C0947630;C0037313;C0947630;C0034107;C0947630;C0037313;C0456909;C0003578;C0918012;C0037313;C0037313;C0037313;C0034107;C3245479;C3245479;C0018017;C1561543;C1273517;C0022885;C0204096;C0204096;C0018017;C4699604;C0442694;C0442694;C1550655;C1550655;C0033213;C3842480;C2707261;C3242430;C4082977;C4082977;C2979880;C3714738;C1550043;C2979880;C3843236;C1515258;C1561542;C0729829;C3245509;C1547226;C1547226;C1547226;C1995642;C0031843;C4698129;C4082977;C4698129;C4698129;C4698129,0,0,1,2,1,0.009216243,0.011237792,0,1,0.036094498
