nct_id,brief_title,description,brief_title_concepts_list,brief_summary_concepts_list,tot_subj_affected,tot_subj_risk,relevance,citationSum,citationAvg,briefTitlePageRankScore,briefTitleAndSummaryCombinedPageRankScore,brief_title_matched_count,brief_summary_matched_count
NCT00269516,SLV308 for Treatment of Patients With Early Parkinson's Disease,"This study is a multicenter, randomized, double blind, parallel group study of 6 months'      treatment with SLV308 administered as a monotherapy in patients with early stage PD. An open      label safety extension to this study is planned as a separate protocol for patients who are      willing and eligible to participate.",C0030567;C0087111;C1550655,C0087111;C0442711;C0600109;C0947630;C0456909;C0947630;C1300072;C1705425;C0947630;C0086972;C1525442;C1561542;C1552839;C4554418;C4698437,0.0,0.0,1,7.0,7.0,0.02818000946984314,0.018228493449497,1,1
NCT00335166,SLV 308 and Pramipexole for Treatment of Patients With Early Parkinson Disease,"This is a multicenter, randomized, double blind, parallel group study of 6 months' treatment      with SLV308 as monotherapy in patients with early stage PD. An open label safety extension to      this study is planned as a separate protocol for patients who are willing and eligible to      participate.",C0030567;C0074710;C0087111;C1550655,C0087111;C0442711;C0600109;C0456909;C0947630;C1300072;C1705425;C0947630;C0086972;C1525442;C1561542;C1552839;C4554418;C4698437,0.0,0.0,1,7.0,7.0,0.023571073435804127,0.017755202239207908,1,1
NCT00599196,An Open-Label Extension Trial to Assess the Safety of Long-Term Treatment of Rotigotine in Early-Stage Parkinson's Disease,The objective of this open-label extension is to assess the safety and tolerability of      long-term treatment of the rotigotine patch in subjects with early-stage idiopathic      Parkinson's disease,C0030567;C1700683;C0087111;C1522485;C1300072;C0233324;C0233494,C4684765;C0023977;C0030567;C1700683;C0018017;C1705425;C0994894;C1300072;C1525442,1760.0,76000.0,1,8.0,8.0,0.01871545774350017,0.013679178802836443,1,1
NCT01738178,Caffeine as a Therapy for Parkinson's Disease,"Parkinson's disease is a common neurodegenerative disorder in which patients experience      progressive motor disability and many disabling non-motor symptoms. Recent studies have      consistently found that people who do not use caffeine are at higher risk of developing      Parkinson's disease. This suggests that caffeine may have potential as a treatment for PD.      In a pilot study of caffeine for daytime sleepiness in PD, there was evident benefit on the      motor manifestations of disease. There have been other lines of evidence that have suggested      caffeine could be useful in PD. This study is to evaluate the efficacy of caffeine 200 mg BID      vs matching placebo for motor and non-motor aspects of disease. This will be in three stages.      In the first six-month stage, medications will be held constant, to see whether caffeine does      have motor benefits. Then we will perform a four-year extension stage to define if the      effects of caffeine persist (or even magnify), and to see if caffeine helps reduce dose of      other PD meds and/or prevents their side effects. Finally, we will finish with a six-month      stage in which we will place all patients on caffeine - this will allow us to assess      caffeine's use in later disease, but more importantly, will assess whether early use of      caffeine produces long term changes beyond its immediate effects.",C0030567;C0006644;C0087111,C0524851;C0030567;C0030567;C0541854;C0877248;C0013227;C0237607;C0231170;C3242385;C0087111;C1697779;C0006644;C0006644;C0006644;C0006644;C0006644;C0006644;C0006644;C0006644;C0006644;C0006644;C0006644;C0947630;C0012634;C0032042;C0012634;C0012634;C3245511;C4684637;C0947630;C0947630;C1561542;C1300072;C1300072;C1561542;C1300072;C1561543;C0042789;C0042789;C0426980;C0040399;C1518681;C1518681;C1525442;C3839460;C3843761;C1300072;C1328018;C1254223;C0220825;C0231617;C0722792;C0029166,0.0,0.0,0,6.0,6.0,0.024675720876689226,0.024373972503054942,0,1
NCT01993680,Orthostatic Dysregulation and Associated Gastrointestinal Dysfunction in Parkinson's Disease -Treatment,"Disabling symptoms of blood pressure dysregulation, impaired swallowing and digestion are      common amongst Parkinson`s patients. So far the exact pathophysiology for this is not fully      understood. There are results from pathological analyses that the autonomic nervous system is      also affected by the accumulation of alpha-Synuclein and that this might even happen in very      early stages of the disease process (Qualman et al., 1984; Wakabayashi et al., 1989;      Wakabayashi et al., 1990; Bloch et al., 2006).      Blood pressure dysregulation is a common autonomic symptom in Parkinson`s patients and      treatment - currently most often achieved with Fludrocortisone - often leads to supine      hypertension (Plaschke et al., 1998; Braune et al., 1999; Magerkurth et al., 2005).      There are studies in patients with autonomic failure that indicate that Pyridostigmine      bromide might be an alternative treatment option without causing disabling supine      hypertension (Singer et al., 2003; Sandroni et al., 2005; Singer et al., 2006; Yamamoto et      al., 2006).      Delayed gastric emptying is also an autonomic symptom associated with Parkinson`s disease. By      the elevation of the cholinergic tone with Pyridostigmine bromide the investigators also      expect to alleviate symptoms of delayed gastric emptying and obstipation, possibly even      facilitating the uptake of dopaminergic medication through the gut (Sadjadpour, 1983;      Bharucha et al., 2008).      Therefore the investigators designed a monocentric randomized, controlled, double blind,      crossover phase II trial to show non-inferiority of the effect of pyridostigmine bromide vs.      fludrocortisone on symptoms of autonomic dysregulation in Parkinson`s disease.",C0030567;C2707256;C0277785;C0087111;C1317000,C0152020;C0152020;C0034262;C0392678;C0030567;C0030567;C0393911;C0683525;C0277785;C0016280;C0016280;C0005823;C0005823;C0034261;C0034261;C0020538;C0020538;C0221152;C0013227;C0012238;C0087111;C0439775;C0027769;C0012634;C1457887;C0947630;C1457887;C3245511;C3245511;C0243144;C1518681;C0439095;C0456909;C0699819;C1836729;C0242893;C1457887;C1457887;C1457887;C4055506;C0282151;C0162340;C2911690;C1300072;C1328018;C1328018;C0018792;C0450955;C0332149,0.0,0.0,1,1.0,1.0,0.01968600528043952,0.022534536699694817,0,1
NCT00605163,A Longitudinal Observational Follow-up of the PRECEPT Study Cohort,"~     The purpose of this study is to longitudinally follow consenting clinical trial participants~     who participated in PRECEPT (A Randomized, Double Blind, Placebo Controlled, Dose Finding~     Study to Assess the Efficacy and Safety of CEP 1347 in Patients With Early Parkinson's~     Disease). The study will assess the clinical and imaging outcomes relevant to the natural~     history of Parkinson's disease (PD), as well as determine early biomarkers of the disease.~   ",0,C0012634;C0012634;C0243095;C0032042;C0012634;C0180112,0.0,0.0,-1,25.0,25.0,0.002028397565922919,0.020557341171029867,0,1
NCT01280123,Pioglitazone in Early Parkinson's Disease,"~     This is a multi-center, double-blind, placebo controlled clinical trial of two dosages of~     oral pioglitazone (15 milligram(mg) and 45 milligram (mg)) for safety, tolerability, and~     futility.~      Subjects who are on stable dose of rasagiline 1 mg/day or selegiline 10 mg/day for at least 8~     weeks but no more than 8 months, will be randomized to one of two dosages of oral~     pioglitazone (15 mg and 45 mg) or matching placebo.~      The study will measure disease progression by the change in total Unified Parkinson's Disease~     Rating Scale (UPDRS) score between the baseline visit and 44 weeks.~   ",C0012634,C0242656;C0525678;C0012634;C0032042;C0222045;C0180112,416.0,8820.0,-1,65.0,32.5,0.02083202838588437,0.017330066065380997,1,0
NCT01313819,The Effect of IV Amantadine on Freezing of Gait (FOG) Resistant to Dopaminergic Therapy,~     Tp determine the effect of IV amantadine on dopaminergic-drug-resistant freezing of~     gait(FOG)in patients with Parkinson`s disease~   ,0,C0012634,0.0,0.0,-1,9.0,9.0,0.002028397565922919,0.04488131899411113,0,0
NCT00449865,NET-PD LS-1 Creatine in Parkinson's Disease,~     The purpose of this trial is to determine if the nutritional supplement creatine slows the~     progression of Parkinson's disease over time.~   ,C0012634,C0012634,7293.0,719033.0,-1,89.0,17.8,0.02083202838588437,0.04488131899411113,0,0
NCT03022201,Comparing the Therapeutic Efficacy and Safety of DA-9701 With Domperidone in Patients With Parkinson's Disease,This study will evaluate the therapeutic efficacy and safety of DA-9701 with domperidone in      patients with Parkinson's disease,C0030567;C0087111;C0013015;C1550655,C0030567;C0013015;C0947630;C0087111;C0220825,0.0,0.0,0,1.0,1.0,0.02331141453187159,0.0290380682129503,0,0
