nct_id,brief_title,description,brief_title_concepts_list,brief_summary_concepts_list,tot_subj_affected,tot_subj_risk,relevance,citationSum,citationAvg,briefTitlePageRankScore,briefTitleAndSummaryCombinedPageRankScore,brief_title_matched_count,brief_summary_matched_count
NCT02415595,Dose-finding Study of BMS-955176 to Treat HIV-1 Infected Treatment-naive Adults,"~     The purpose of this study is to find at least one dose of BMS-955176 that will be safe,~     effective and tolerable for HIV-1 infected treatment naive adults.~   ",C0439663;C0243095;C0376495,C0439663;C0376495,607.0,10918.0,-1,5.0,5.0,0.041246376359735416,0.05228300106529513,3,3
NCT00903682,A Clinical Trial Comparing the Tolerability of Etravirine to Efavirenz in Combination With 2 Nucleoside/Nucleotide Reverse Transcriptase Inhibitors in Treatment-naive HIV-1 Infected Patients,"~     The purpose of this study is to compare the neuropsychiatric adverse event profiles of~     etravirine 400mg once daily versus efavirenz 600mg once daily, in combination with 2~     N(t)RTIs, in approximately 150 treatment-naÃ-ve HIV-1 infected patients. Safety, tolerability~     and efficacy of both treatment arms will be assessed throughout the study.~   ",C0282519;C1456409;C0439663;C0376495,C0877248;C1456409;C0439663;C0376495;C0376495,458.0,8792.0,-1,15.0,7.5,0.0434528623966801,0.05117922492182248,3,2
NCT00959894,Evaluating Once Daily Etravirine in Treatment-Naive Adults With HIV Infection,"The main study is a single arm, open-label, prospective study to assess antiretroviral      activity and tolerability of etravirine (TMC-125) 400 mg once daily, given with fixed-dose      tenofovir/emtricitabine, in treatment-naïve HIV-1-infected men and women. There are also a      genital secretions pharmacokinetic (PK) sub-study and a metabolic sub-study. The purpose of      the genital secretions PK sub-study is to gain information about drug levels and HIV-1 RNA in      genital secretions when subjects are taking etravirine. The purpose of the metabolic      sub-study is to learn about the effects of etravirine on body composition, as well as lipid      and glucose levels.",C0019693;C1456409;C0087111,C0428548;C0909839;C0428212;C1456409;C0036537;C0036537;C0036537;C1456409;C1456409;C0384228;C0087111;C0087136;C0947630;C1705425;C0947630;C3244317;C0947630;C0947630;C0947630;C0947630;C0023185;C0446516;C0031327;C0017420;C0017420;C0017420;C3242430;C1518681;C2707259;C2707259;C1328018;C0523744;C4049938,88.0,1896.0,1,2.0,2.0,0.04476124248645832,0.029024955095810618,3,2
NCT01803074,Study to Evaluate a HIV Drug for the Treatment of HIV Infection,The primary purpose of this study is to study the safety and tolerability of a HIV drug and      to evaluate a decrease of HIV-1 virus level in blood after treatments in HIV-1 infected      patients,C0019693;C0087111;C0220825;C0947630;C0013227,C4684765;C0087111;C0439663;C0947630;C0947630;C0005767;C0013227;C0442797;C0220825,0.0,0.0,1,2.0,2.0,0.038066728334154816,0.05648878902109649,2,2
NCT03571204,Combination Therapy With 3BNC117 and 10-1074 in HIV-Infected Individuals,"~     Background:~      Human immunodeficiency virus (HIV) affects the immune system. The main function of the immune~     system is protect you from infections and other diseases such as cancer. HIV attacks and~     cripples the immune system making people more susceptible to a variety of infections and~     cancers. Currently, the standard treatment for HIV infection is a daily administration of~     anti-HIV drugs. These drugs are called combination antiretroviral therapy (ART). ART is very~     effective at suppressing HIV, but does not cure HIV infection. ART must be taken continuously~     for life to be effective. ART can stop being effective if not taken correctly and can cause~     permanent side effects. Researchers want to see if two new products can control HIV infection~     without the use of ART. The products are the antibodies 3BNC117 and 10-1074.~      Objective:~      To see if 3BNC117 and 10-1074 are safe and can control HIV levels in the blood of people who~     are not taking ART or people who stop taking their ART during the study. .~      Eligibility:~      Adults ages 18-65 with HIV who are:~        -  on ART and willing to stop treatment for at least 28 weeks~        -  OR not taking ART with low levels of HIV in the blood~      Design:~      Participants will be screened with a physical exam, medical history, and blood, heart, and~     urine tests.~      Participants will get the 2 study products or salt water (placebo). A thin tube will be~     placed in an arm vein. Each product will be given directly into the vein for about 1 hour.~      To help collect blood cells to study in the laboratory, participants may have a procedure~     known as leukapheresis in which blood will be removed through a needle in the arm. Some of~     the white blood cells will be separated from the blood and used for research studies to see~     how 3BNC117 and 10-1074 effects HIV and the immune system. The rest of the blood will be~     returned to the person through another needle in the arm.~      Participants will have 18 study visits over 28 weeks. They will repeat some screening tests.~     They may have leukapheresis again.~      At 8 study visits, participants will get the study products or placebo.~      All participants will be followed for at least 24 weeks after their last dose of the study~     infusions. Participants who are in the Group that stops ART will be monitored closely to make~     sure the levels of virus in their blood do not go to high. If at any time during this the~     study a person develops HIV-related symptoms, or if the viral levels go up to high levels for~     more than 4 weeks, ART will be restarted and no further infusions of 3BNC117 and 10-1074 will~     be given.~   ",C0439663,C1963724;C0262926;C3714514;C3714514;C1710032;C1457887;C3687832;C3687832;C0005767;C0005767;C0018787;C0042036;C0043047;C0005767;C0005767;C0005767;C0005767;C0005767;C0005767;C0446516;C0446516;C0084688;C3714514;C3714514;C3714514;C1321876;C0012634;C0032042;C2946261;C2946261;C0005767;C2946261;C2946261;C2946261;C3845829;C0376495;C0376495,0.0,0.0,-1,0.0,0.0,0.05473318678910613,0.050050657835208935,2,2
NCT03831945,Combination Therapy With VRC-HIVMAB060-00-AB (VRC01) and 10-1074 in HIV-Infected Individuals Undergoing Sequential Treatment Interruptions,"~     Background:~      A daily drug combination can keep human immunodeficiency virus (HIV) levels low for a long~     time. But if this combination antiretroviral therapy (ART) stops, HIV levels go back up.~     People can also develop resistance or permanent side effects. Researchers want to see if 2~     new drugs can help control HIV when a person is not on ART.~      Objective:~      To see if VRC01 and 10-1074 are safe and control HIV when a person is not on ART.~      Eligibility:~      Adults 18 65 with HIV~      Design:~      All participants must agree to practice safer sex. Those who can get pregnant will have a~     pregnancy test every visit.~      Participants will be screened with:~      Physical exam~      Medicine review~      Blood and urine tests~      Some participants may need to change their HIV medicine for a brief period of time during the~     study.~      A few weeks later, participants will repeat screening tests and stop taking their HIV~     medicines.~      Interruption phase 1: Participants will have blood tests every 2 weeks, and repeat screening~     tests every 4 weeks.~      Treatment phase: Once their HIV reaches a certain level in the blood, participants will get~     the 2 study drugs or a salt water placebo. They will not know which they get. Each substance~     will be given through a thin tube in an arm vein for about 1 hour. Participants will restart~     their HIV medicines and repeat screening tests every 4 weeks.~      Interruption phase 2: Once the level of HIV in the blood becomes undetectable for 3 months,~     participants will again stop taking their HIV medicines and have blood tests every 2 weeks to~     monitor the level of HIV in the blood.~      Participants will restart their medicines by week 24. They will start sooner if they have~     certain symptoms or blood levels of HIV become too high. They will repeat most screening~     tests 3 times over 24 weeks.~   ",C0439663;C0376495,C1963724;C0237834;C0032961;C1710032;C1710032;C1457887;C3687832;C0005767;C0042036;C0005767;C2946261;C0005767;C3687832;C0043047;C2946261;C0005767;C0005767;C2946261;C0005767;C0004600;C0446516;C1710032;C1710032;C1321876;C0032042;C2946261;C2946261;C2946261;C0376495,0.0,0.0,-1,0.0,0.0,0.048325647542221614,0.04845151857527969,2,2
NCT02411539,"Evaluating the Safety, Tolerability, and Effect of a Human Monoclonal Antibody (VRC01) on Markers of HIV Persistence in HIV-Infected Adults Receiving Antiretroviral Therapy (ART)","~     The purpose of this study was to evaluate the safety, tolerability, and effect of an~     experimental human monoclonal antibody (mAb), VRC-HIVMAB060-00-AB (VRC01), in adults infected~     with HIV who were receiving antiretroviral therapy (ART).~   ",C1963724;C0439663;C0281019,C1963724;C0439663;C0281019,164.0,2920.0,-1,7.0,7.0,0.033447120795889435,0.04842795288360665,2,2
NCT03225118,Impact of a Short-Term Analytical Treatment Interruption and Re-Initiation of Antiretroviral Therapy on Immunologic and Virologic Parameters in HIV-Infected Individuals,"~     Background:~      The immune system helps the body fight off disease. Most people infected with HIV cannot~     control the infection and need daily medicine. Combination antiretroviral therapy (cART) are~     drugs taken to prevent HIV infection from damaging the immune system. Researchers want to~     study why some people develop resistance to the drugs or have permanent side effects.~      Objective:~      To study the impact of a short-term treatment stop on HIV that persists even while taking~     cART.~      Eligibility:~      Adults 18-65 years old with HIV who are being treated with cART~      Design:~        -  Participants will first be screened with a physical exam and medical history. They may~          have a chest x-ray. They will have heart, blood, and urine tests.~        -  At the baseline visit, participants will repeat the screening tests except the x-ray.~          They will get counseling about HIV and risk behavior.~        -  Participants will have leukapheresis. Blood will be removed through a needle in one arm.~          A machine will separate white blood cells from the rest of the blood. The remainder of~          the blood will be returned to the body by a different needle.~        -  Participants will stop their current treatment on day 0. They will visit the clinic each~          week until they meet the criteria to restart cART. These visits will have the same~          procedures as the baseline visit.~        -  Before restarting cART, most participants will have leukapheresis.~        -  After restart, participants will be seen weekly for 4 weeks and then monthly for about~          11 months. Participants will have blood drawn, physical exam, and medical history. They~          will have leukapheresis 2 more times over 1 year.~   ",C1963724;C0439663;C0376495,C1963724;C0262926;C0262926;C0237834;C0010210;C3714514;C3714514;C1710032;C0439663;C0012634;C3687832;C3687832;C0817096;C0018787;C0005767;C0042036;C0005767;C0005767;C0005767;C0005767;C0005767;C0376495;C0376495,0.0,0.0,-1,0.0,0.0,0.04267566209690888,0.047270879201032914,2,2
NCT02463227,"Evaluating the Safety, Pharmacokinetics, and Antiviral Activity of a Human Monoclonal Antibody (VRC01) in HIV-Infected Adults Undergoing a Brief Treatment Interruption","~     The purpose of this study was to evaluate the safety, tolerability, pharmacokinetics (PK),~     and antiviral activity of an antibody (called VRC01) in HIV-infected adults whose HIV was~     well-controlled with HIV medicines. The study examined whether VRC01 controlled or delayed~     the return of HIV viremia when the participants' HIV medicines were briefly stopped during~     the study.~   ",C0439663;C0281019;C0376495,C0439663;C0332128;C0180112;C0180112,23.0,266.0,-1,159.0,79.5,0.04267566209690888,0.044469883229931007,2,2
NCT01683656,ER Niacin/Laropiprant Impact on Cardiovascular Markers and Atheroprogression in HIV-infected Individuals on cART,"~     HIV-infected patients are at increased risk for cardiovascular disease. Large investigations~     support an inverse correlation between HDL-C levels and coronary heart disease. Therefore a~     treatment lowering HDL-C such as niacin could reduce the risk of atheroprogression not only~     through its benefit in terms of lipid profile, but also by reducing atherosclerotic~     inflammation.~      The study aims at showing that a therapy targeting HDL-C increase in HIV-infected patients on~     suppressive cART has the potential for reducing subclinical atherosclerotic inflammation~     associated with HIV itself in HIV-individuals on cART.~      NILACH is a randomised, multicenter, double blind, placebo controlled, 48 weeks trial to test~     the effect of the newly marketed niacin/laropiprant on carotid intima-media thickness (IMT)~     in 90 subjects.~        -  Regimen 1: ER niacin/laropiprant 1g/20 mg for the first 4 weeks and 2g/40mg from week 5~          to the end of the study (the titration aims to reduce adverse reactions)~        -  Regimen 2: ER niacin/laropiprant placebo p.m.~      The primary end point is the change in mean common carotid intima-media thickness from~     baseline and 48 weeks, compared between the niacin/laropiprant group and the placebo group.~      The proposed in vivo experiments should provide insights on the potential benefits of niacin~     treatment of cardiovascular disease in HIV patients. In addition, we will be able to further~     clarify the role of systemic inflammatory mediators in the development of early~     atherosclerosis of HIV-infected patients on antiretroviral therapy. Detection and treatment~     of non-infectious co-morbidities such as cardiovascular diseases have become essential for~     HIV-infected individuals exposed to lifelong antiretroviral therapy and go beyond mere~     management of opportunistic infections or virologic suppression.~   ",C3887460;C0439663;C0027996,C0029118;C0007222;C0010068;C1963724;C1963724;C0004153;C3887460;C3887460;C1511790;C0439663;C0439663;C0439663;C0439663;C0012634;C0012634;C0027996;C0027996;C0027996;C0027996;C0027996;C0021368;C0559546;C0021368;C0233820;C0032042;C0032042;C0032042;C0301625;C0027996;C2946261;C0084688;C0180112;C0376495;C0376495,0.0,0.0,-1,0.0,0.0,0.03069484096510245,0.042561838147430656,2,2
