nct_id,brief_title,description,brief_title_concepts_list,brief_summary_concepts_list,tot_subj_affected,tot_subj_risk,relevance,citationSum,citationAvg,briefTitlePageRankScore,briefTitleAndSummaryCombinedPageRankScore,brief_title_matched_count,brief_summary_matched_count
NCT00508482,A Clinical Standardization Study of the Preferred Acupuncture Treatment Protocol to Treat Functional Constipation,"~     The purpose of this study is to re-evaluate the therapeutic superiority and safety of~     acupuncture treatment using high quality and large sampled clinical research. The~     investigators want to provide a preferred treatment protocol, which is effective, safe, and~     easy to use in clinical practice. This research also clarifies that the insertion depth is a~     key factor in the therapeutic effect of acupuncture. The results of the study will help~     promote the development of the standardization of acupuncture.~   ",C0009806;C0040808,C1527144;C0040808;C2986419;C0376495,42.0,2730.0,-1,9.0,9.0,0.037306644603835565,0.028893293000929313,0,2
NCT00596596,Trial to Evaluate the Efficacy and Safety of R093877 in Patients With Chronic Idiopathic Constipation,~     The purpose of the study is to determine whether prucalopride is safe and effective in~     patients with chronic idiopathic constipation.~      Hypothesis:~      At all doses administered prucalopride given once daily for 4 weeks is safe and well~     tolerated in patients with chronic idiopathic constipation.~   ,C0009806,C0009806;C0009806,0.0,0.0,-1,21.0,21.0,0.061577857974935375,0.07490307380801671,1,1
NCT00483886,Efficacy and Safety Study of Prucalopride for the Treatment of Chronic Constipation,The purpose of this study is to determine whether prucalopride is safe and effective in the      treatment of chronic constipation.      Hypothesis:      Prucalopride 2 mg and 4 mg given once daily for 12 weeks is superior to placebo for the      treatment of patients with chronic constipation and is well tolerated in those patients.,C0913506;C0009806;C0087111;C1547296;C0947630,C0401149;C0401149;C0913506;C0913506;C0087111;C0087111;C0032042;C0947630;C3244317;C4082977,0.0,0.0,1,153.0,38.25,0.0456836698597093,0.05138784574743648,1,1
NCT00487422,Efficacy and Safety Study of Prucalopride for the Treatment of Elderly Patients With Chronic Constipation,The purpose of this study is to determine whether prucalopride is safe and effective in the      treatment of chronic constipation in elderly patients.      Hypothesis:      Prucalopride 2 mg and 4 mg given once daily for 12 weeks is superior to placebo for the      treatment of patients with chronic constipation and is well tolerated in those patients,C0913506;C0009806;C0087111;C1547296;C0947630;C1550655,C0401149;C0401149;C0913506;C0913506;C0087111;C0087111;C0032042;C0947630;C3244317;C4082977,0.0,0.0,1,30.0,30.0,0.045672164345791626,0.05082729609784334,1,1
NCT00485940,Efficacy and Safety Study of Prucalopride for the Treatment of Patients With Chronic Constipation,The purpose of this study is to determine whether prucalopride is safe and effective in the      treatment of chronic constipation      Hypothesis:      Prucalopride 2 mg and 4 mg given once daily for 12 weeks is superior to placebo for the      treatment of patients with chronic constipation and is well tolerated in those patients,C0913506;C0009806;C0087111;C1547296;C0947630;C1550655,C0401149;C0401149;C0913506;C0913506;C0087111;C0087111;C0032042;C0947630;C3244317;C4082977,0.0,0.0,1,33.0,11.0,0.045672164345791626,0.05082729609784334,1,1
NCT00631813,Efficacy and Safety Study of Prucalopride for the Treatment of Chronic Constipation,"The purpose of this study is to determine which dose of prucalopride is safe and effective in      patients with chronic constipation.      Hypothesis:      Prucalopride 1 and 2 mg bid are safe and effective for the treatment of chronic constipation      whereas 0,5 mg is a suboptimal dose.",C0913506;C0009806;C0087111;C1547296;C0947630,C0401149;C0401149;C0913506;C0913506;C0087111;C0947630;C4082977,0.0,0.0,1,17.0,17.0,0.04568366985970925,0.050079902552497,1,1
NCT00617513,Efficacy and Safety Study of Prucalopride for the Treatment of Chronic Constipation,"The purpose of this study is to determine which dose of prucalopride is safe and effective in      patients with chronic idiopathic constipation.      Hypothesis:      Prucalopride 1 and 2 mg are safe and effective for the treatment of chronic idiopathic      constipation whereas 0,5 mg is a suboptimal dose.",C0913506;C0009806;C0087111;C1547296;C0947630,C0913506;C0009806;C0913506;C0009806;C0087111;C0947630;C4082977,0.0,0.0,1,17.0,17.0,0.04568366985970936,0.04801476895968177,1,1
NCT01885104,Safety and Tolerability of Oral Polyethylene Glycol (PEG 3350) Solution in Participants With Constipation (MK-8114-003),"~     The purpose of this study is to compare the safety and tolerability of oral ingestion of PEG~     3350 solution concentrate to oral ingestion of a placebo solution concentrate, in~     participants with constipation.~   ",C0009806;C4282033;C0032483,C0009806;C0032042,77.0,780.0,-1,0.0,0.0,0.03700399847809941,0.042819183652715614,1,1
NCT00488137,Efficacy and Safety Study of Prucalopride to Treat Chronic Constipation,~     The purpose of this study is to determine whether prucalopride is safe and effective in the~     treatment of chronic constipation.~      Hypothesis:~      Prucalopride 2 mg and 4 mg given once daily for 12 weeks is superior to placebo for the~     treatment of patients with chronic constipation and is well tolerated in those patients~   ,C0401149,C0401149;C0401149;C0032042;C0376495;C0376495,0.0,0.0,-1,144.0,36.0,0.02647936505914429,0.039479201405385744,1,1
NCT01965158,Efficacy and Safety of Naldemedine in the Treatment of Opioid-induced Constipation,The purpose of this study is to evaluate the efficacy and safety of naldemedine in the      treatment of opioid-induced constipation (OIC) in adults with non-malignant chronic pain who      are not using laxatives.,C0009806;C4325235;C0087111;C0242402,C0009806;C0150055;C4325235;C0087111;C0282090;C0242402;C0947630;C0220825;C0032927,125.0,12489.0,0,11.0,11.0,0.03874022423334656,0.034661970444474124,1,1
