nct_id,brief_title,description,brief_title_concepts_list,brief_summary_concepts_list,tot_subj_affected,tot_subj_risk,relevance,citationSum,citationAvg,briefTitlePageRankScore,briefTitleAndSummaryCombinedPageRankScore,brief_title_matched_count,brief_summary_matched_count
NCT02441426,Interactions of Enteric Infections and Malnutrition and the Consequences for Child Health and Development,"Malnutrition is considered one of the most prevalent risk factors for morbidity and mortality      in children under five. An estimated 20% of children in the developing world are malnourished      [1] and poor nutrition is linked to more than half of all child deaths worldwide [2].      Malnutrition in early childhood may lead to cognitive and physical deficits and may cause      similar deficits in future generations as malnourished mothers give birth to low birth weight      children [3]. In addition, malnutrition increases susceptibility and incidence of infections      and is associated with diminished response to vaccines.      The MAL-ED Project is designed to determine the impact of enteric infections/diarrhea that      alter gut function and impair children's nutrition, growth and development to help develop      new intervention strategies that can break the vicious enteric infection-malnutrition cycle      and reduce its global burden.      The overall objective of the MAL-ED Project is to quantify the associations of specific      enteric pathogens, measures of physical and mental development, micronutrient malnutrition,      gut function biomarkers, the gut microbiome, and immune responses in very young children in      resource-limited settings across eight sites that vary by culture, economics, geography, and      climate.      The central hypothesis of the MAL-ED Project is that infection (and co-infection) with      specific enteropathogens leads to impaired growth and development and to diminished immune      response to orally administered vaccines by causing intestinal inflammation and/or by      altering intestinal barrier and absorptive function. Data analyses will test for associations      between enteropathogen infections and growth/development to help illuminate:        -  which micro-organisms or mixed infections are most frequently associated with growth           faltering and poor development; and        -  at what age specific infections cause the most disruption to growth and development and           impair immune response.",C0162429;C0008078;C0678723;C0851162;C0699268,C0018271;C0018271;C0018271;C0599735;C0018271;C0024032;C0162429;C0012655;C0162429;C0035648;C0162429;C0524343;C0162429;C0162429;C0162429;C0184661;C0162429;C0162429;C0021368;C0243107;C3714514;C3714514;C0679199;C0005516;C0021853;C0021853;C3714514;C3714514;C3714514;C0220880;C0392209;C0009450;C0018017;C0009450;C0009450;C1704632;C0042210;C0011991;C0031843;C1552740;C0031843;C1552740;C1704632;C0042210;C0031843;C1552740;C1704632;C1706912;C0439662;C0439662;C0018270;C0439662;C0005615;C1442948;C1552861;C0392366;C1552861;C0699819;C1578513;C0699819;C0699819;C0004083;C0004083;C1704632;C0542559;C0011164;C3539125;C3845919;C0311392;C0441229;C0056685;C0031809;C0016538;C2363670;C0016538;C3834249;C0282547;C0016538;C0220644;C4082977,0.0,0.0,1,5.0,1.6666666666666698,0.012375709802482263,0.016541630529276378,1,5
NCT00210418,Effectiveness of Targeting Food Aid to Malnourished Children Compared to Targeting All Children Under Two Years,The objective of this study is to compare two approaches to targeting donated supplementary      food to young children. The study compares the effectiveness of the widely-used curative      approach where targeting is based on the child's poor nutritional status to a preventive      approach which targets children in poor communities solely on the basis of age and provides      supplementary food to all children aged 6-23 months. Cost-effectiveness of the two targeting      approaches will also be assessed.,C4553491;C0162429,C0392209;C4553491;C4553491;C0018017;C0947630;C0947630;C3540798;C1273517;C3540798;C1561542;C1555587,0.0,0.0,1,30.0,30.0,0.019416894356495133,0.022013159217139148,1,4
NCT01562379,Complementary Food Supplements for Reducing Childhood Undernutrition,"The purpose of this study is to test the impact on child growth of three specially formulated      complementary food supplements vs. Plumpy'Doz, a previously tested, commercially available      complementary food, and vs. a control group that receives no food. All groups will receive      nutrition education related to infant and young child feeding. This will be a      cluster-randomised trial in children 6-18 months old in rural Rangpur and Gaibandha in      Bangladesh.",C0162429;C1947943;C0220644,C0392209;C0424927;C0204695;C0018270;C0392366;C1552839;C0947630;C0240919;C0392366;C3540798;C3540798;C3540798;C0680536;C0233492;C1561542;C1552839;C0018792;C1947943,37.0,16390.0,1,11.0,3.6666666666666696,0.015161732991898453,0.019379874111002164,0,4
NCT01552512,Nutributter Programming to Prevent Undernutrition: an Evaluation,"This randomized, controlled effectiveness study examines Nutributter programming within an      integrated package of maternal and child health services offered by Haiti's Ministry of      Health (MSPP) to prevent undernutrition among young children in Haiti. The aim of the process      evaluation is to better understand the uptake of Nutributter® as a complementary food in the      diets of young children and its feasibility and acceptability as part of MSPP's package of      services. This project is being carried out at a public hospital in Fort San Michel, an      impoverished community outside of Cap Haitien, Haiti.",C0162429;C0220825;C0012082,C0018747;C0162429;C4553491;C0220825;C0162340;C1858460;C0699809;C0243144;C1552597;C0947630;C3540798;C3714774;C1328956;C2911690;C0000589;C1704289,0.0,0.0,1,20.0,20.0,0.016014260677437983,0.014051180523712143,0,4
NCT01715038,Effectiveness of LNS and MNP Supplements to Prevent Malnutrition in Women and Their Children in Bangladesh,"The program effectiveness study aims to assess the effect of a lipid-based nutrition      supplement (LNS) and micronutrient powder (MNP) provided in a programmatic context for      improving maternal nutritional status during pregnancy and lactation (LNS only), and      preventing malnutrition in infants and young children (LNS and MNP) in Bangladesh.",C4553491;C0162429;C1947943;C0012082,C1257752;C0392209;C4553491;C0392209;C0032961;C1858460;C0542559;C1518681;C0947630;C1947943;C0043084;C0523744;C1555587,0.0,0.0,1,44.0,4.4,0.014468610142892881,0.016389515156655453,1,3
NCT00705445,"Evaluation of Zinc and / or Micronutrient Supplementation on Intestinal Flora, Diarrheal Disease Burden, Intestinal Mucosal Integrity and Growth Among Children of Pakistan",~     Information on the mechanisms of zinc is still in developing phase. Ecological and biological~     implications of long term zinc supplementation at population level requires assessment. The~     trial aims to assess the impact of routine supplementation of zinc among young growing~     children and evaluate its impact on intestinal microbial flora and relationship with gut~     mucosa integrity and co-morbidities.~   ,C0220825;C0012634;C0018270;C0043481;C0011991;C0242296,C2946261;C0043481;C0043481;C0043481;C0242296;C0242296;C0185026,0.0,0.0,-1,114.0,57.0,0.006695249225545651,0.011819782339900204,1,3
NCT02760095,Effects of EED on Zn Absorption and Retention in Children From a Standard Dose,"~     The overall objective is to determine the impact of EED on zinc absorption and homeostasis,~     and its impact on the absorptive capacity of vitamin A absorption of young children (18-24~     months of age) in an austere setting with high rates of diarrhea, stunting, and~     micro-nutrient deficiencies.~   ",C3714745,C0011991;C0043481;C0042890;C3714745;C3714745,0.0,0.0,-1,0.0,0.0,0.014450867052023109,0.008211433514512777,1,3
NCT01790815,Mothers Understand And Can do it - Mid Upper Arm Circumference Screening for Malnutrition Performed by Mothers,"PRIMARY OBJECTIVE :      To determine whether mothers, given minimal group training, are capable of using a MUAC      (mid-upper arm circumference) bracelet to screen their children for malnutrition and      categorise them into one of three groups : 'red' (SAM ; severe acute malnutrition), 'yellow'      (MAM ; moderate acute malnutrition) or 'green' (normal nutritional status)      SECONDARY OBJECTIVES :      To establish whether there is a difference in the MUAC value if measured on the right arm as      opposed to the left, in young children      To determine whether there is a difference in the MUAC value if the mid upper arm position is      determined visually as opposed to being measured in the 'classical' fashion",C0162429;C0162340;C0446516;C0220908;C3539125;C3539125;C0562350;C2947996,C0392209;C0162429;C0162429;C0162429;C0018017;C0018017;C0446516;C0027627;C0230346;C0446516;C0199230;C1552839;C0205082;C1553386;C3244317;C0036002;C0442694;C0085632;C0085632;C4082977;C3539125;C0231519;C1552839;C1547318;C1547226;C1550518;C4082977;C4082977,0.0,0.0,1,8.0,8.0,0.012348089150394004,0.013037638457371091,0,3
NCT02833740,"Comparing Performance of Simplified Mid-Upper Arm Circumference Devices (""Click-MUACs"") to Detect Acute Malnutrition","The Click-Mid-Upper Arm Circumference study aims to describe and compare the performance of a      set of three simplified mid-upper arm circumference classification devices (""Click-MUAC"") for      use by mothers and caregivers to screen for acute malnutrition in young children. The study      will be conducted in Isiolo County, Kenya. The study builds on the recent approach of      training mothers to screen for acute malnutrition in their own children (mother MUAC      approach).      The primary aim of the study is to describe and compare the performance of a set of three      prototype Click-MUAC devices against a gold standard of classification, in terms of measures      of agreement (sensitivity, specificity, accuracy, Cohen's Kappa, Youden's J) for the      classification (diagnosis) of acute malnutrition. A secondary aim of the study is to      determine the difference in agreement with the gold standard classification amongst      mothers/caregivers using a Click-MUAC prototype versus mothers/caregivers using a regular      MUAC tape. The hypothesis of the study is that at least one of the Click-MUAC prototypes is      equal to the gold standard of classification in terms of measures of agreement for the      classification of acute malnutrition. A secondary hypothesis of the study is that agreement      with the gold standard classification is better amongst mothers/caregivers using a Click-MUAC      prototype compared to mothers/caregivers using a regular MUAC tape. The outcomes of the study      will be used to decide on whether production of a Click-MUAC device is desirable and, if this      is the case, to select a design based on the performance of the prototype devices and the      stated preferences of intended users.",C0562351;C0162429;C1547229;C0025080;C3842106,C0562351;C0162429;C0162429;C0162429;C0162429;C0446516;C0011900;C0027627;C0027627;C2828392;C2828392;C2828392;C2828392;C1551357;C0199230;C0199230;C0947630;C0947630;C0947630;C0947630;C0947630;C0947630;C0947630;C0947630;C0018026;C0018026;C0183828;C0018026;C0018026;C0183828;C1273517;C0036849;C0036849;C0442694;C0237677;C0085632;C0035150;C3539125;C3539125;C3539125;C3539125;C3539125;C3539125;C1514811;C0681111;C0681111;C0681111;C0681111;C0681111;C0681111;C0681111;C4255373;C4255373;C4255373;C4255373;C3842106;C3842106;C3842106;C3842106;C3842106;C3842106;C3842106;C4082977,0.0,0.0,1,1.0,1.0,0.013326744617165973,0.012243030941478305,0,3
NCT00717730,Folic Acid and Vitamin B12 in Young Indian Children,"~     Hypothesis: Supplementation of two recommended daily allowances (RDA) of folic acid with or~     without simultaneous administration of vitamin B12 reduces the rates of acute lower~     respiratory tract infections (ALRI), clinical pneumonia and diarrhea.~      Design/Methods We will conduct a preventive randomized placebo controlled clinical trial of~     folic acid and vitamin B12 supplementation in 1000 children aged 6 to 30 months living in a~     low to middle-income socioeconomic setting in New Delhi, India. Children aged 6-30 months~     will be identified through a survey. Eligible and willing Children aged 6-30 months will be~     randomized to 4 treatment groups. Trial to enrollment informed consent will be obtained by~     the Study Physician/Supervisor. At enrollment a baseline form will be filled and the child~     weight and length taken. The baseline blood samples will be collected. The supplements will~     be given daily for 6 months. Morbidity will be ascertained through biweekly home visits by~     field workers.~   ",C0016410;C0042890,C0524786;C0016410;C0016410;C1516879;C1516879;C0032285;C0025663;C0005767;C3714514;C0042890;C0032042;C0042890;C0038951;C0600091;C0011991;C0746919;C0242296;C0242296;C0458578;C3845829;C0180112,0.0,0.0,-1,57.0,9.5,0.005021264155574154,0.008618929581179447,3,2
