nct_id,brief_title,description,brief_title_concepts_list,brief_summary_concepts_list,tot_subj_affected,tot_subj_risk,relevance,citationSum,citationAvg,briefTitlePageRankScore,briefTitleAndSummaryCombinedPageRankScore,brief_title_matched_count,brief_summary_matched_count
NCT02287909,Switching From Ticagrelor to Clopidogrel in Patients With Coronary Artery Disease,"The recommended antiplatelet treatment regimen for patients affected by acute coronary      syndromes (ACS) and those undergoing percutaneous coronary intervention (PCI) consists in the      combination of aspirin and a P2Y12 receptor inhibitor. More potent P2Y12 receptor inhibitors,      such as ticagrelor, have been developed which are associated with less response variability      than clopidogrel and better clinical outcomes. Ticagrelor use has increased significantly      because of its more expanded Food and Drug Administration (FDA) indications compared with      prasugrel. However, despite the evidence for sustained efficacy and safety, many physicians      limit treatment duration with ticagrelor to the early phases following an ACS mostly due to      cost issues and concerns about increased bleeding. Therefore, it is very common in clinical      practice to switch patients while on maintenance dosing (MD) with ticagrelor to treatment      with clopidogrel. However, the pharmacodynamic (PD) effects of switching from ticagrelor to      clopidogrel remain unknown. Therefore, the aim of this investigation is to evaluate the PD      effects of switching from ticagrelor to clopidogrel.",C1956346;C0070166;C1999375;C1550655;C0231530,C1533734;C1552578;C0184661;C0070166;C0070166;C0070166;C0070166;C1999375;C1999375;C1999375;C1999375;C1999375;C1999375;C0087111;C0039082;C1620287;C0087111;C0087111;C0018787;C0018787;C1704632;C0019080;C0237607;C0040808;C0004057;C1556133;C3245511;C0013227;C3539181;C1518681;C1518681;C2363670;C0231530;C0231530;C0700651;C0700651;C0332534;C3272565;C3272565;C0220825;C0332535;C0069695;C0151576;C0151576,0.0,0.0,1,3.0,3.0,0.00974734798430251,0.008635761334363666,0,5
NCT01957540,Differential Effect of Ticagrelor Versus Prasugrel Maintenance Dose on Endothelial Function of Peripheral Vessels in Patients With Coronary Artery Disease,"Ticagrelor administration, whose molecule resembles to adenosine, led to reduction in overall      mortality and thrombotic cardiovascular (CV) events when directly compared to clopidogrel in      the PLATO trial, implicating possible pleiotropic actions for the drug. It has been shown      that ticagrelor increases adenosine concentration, by interfering with its red blood cells'      uptake and by inducing the release of ATP which is then converted to adenosine. Recent      studies in healthy volunteers and patients with coronary artery disease (CAD) have shown that      ticagrelor increases the coronary blood flow in response to intravenous adenosine      administration. Ticagrelor administration, in comparison with other P2Y12 inhibitors, may      influence the endothelial function, as assessed by the Peripheral Arterial Tonometry method      (EndoPAT 2000 system (Itamar Medical, Caesarea, Israel), which is a method for evaluating      endothelial dysfunction and has been found to positively correlate with flow mediated      dilatation (FMD).      This is prospective, randomized study with a crossover design, which will be conducted in      patients with CAD under prasugrel maintenance dose (MD) 10mg once a day for at least a      3-month period. At Day 0 (day of randomization) eligible patients will be assigned to either:        -  Ticagrelor 90mg twice a day for the next 15 days or        -  Prasugrel 10mg once a day for the next 15 days At Day 0 (before treatment onset)patients           wiil be subjected to a baseline peripheral arterial tonometry measurement. Measurement           will be repeated at Day 15 and then treatment crossover will be performed for the next           15 days (without an intervening washout period). At Day 30 patients will be subjected           again to peripheral arterial tonometry assessment. Peripheral blood sample will be taken           from the patients in Day 0 for genotyping control.",C1956346;C1999375;C1620287;C1705273;C0005847;C1550655,C0010054;C0856169;C1277078;C1533734;C3887460;C1533734;C1533734;C0086045;C0178913;C0070166;C1999375;C1999375;C1999375;C0232338;C1999375;C1322279;C1999375;C0031809;C0001443;C4551656;C0001443;C0001443;C0001443;C0040420;C1620287;C1620287;C0087111;C0040420;C0087111;C0040420;C0332149;C0018787;C1704632;C0031843;C0003842;C1552601;C0680255;C0947630;C0199168;C0243144;C0025663;C0025663;C0025344;C0025344;C0043566;C0947630;C0013227;C0175306;C1561538;C1561538;C1561538;C1561538;C0489868;C0489868;C3843236;C1285573;C0202165;C1446409;C3842675;C0018792;C0127400;C0728774;C0040597,0.0,0.0,0,0.0,0.0,0.009874093161789905,0.011021780342034243,2,3
NCT00525954,PLASMA 2 Trial: Examination of Once Daily (QD) Dosing of A-002 In Subjects With Stable Coronary Artery Disease,The study will be conducted at up to 25 U.S. centers and will be a double-blind randomized      parallel group placebo controlled study among subjects with stable coronary artery disease      (CAD). Subjects will be randomized to receive either placebo tablets or one of 2 orally      active doses of A-002. The duration of study drug therapy will be 8 weeks.,C1956346;C0031809;C0032105;C1547311,C0599724;C0010054;C0013216;C0032042;C0947630;C0456909;C0947630;C1320102;C0332534;C1706074;C1552839;C4554418,0.0,0.0,0,10.0,10.0,0.008750617391574449,0.009275261411092237,2,3
NCT00455546,PLASMA Trial: A Dose-Response Study of A-002 In Subjects With Stable Coronary Artery Disease,The study will be conducted at up to 80 centers worldwide and will be a double-blind      randomized parallel group placebo controlled study among subjects with stable coronary artery      disease (CAD). Subjects will be randomized to receive either placebo tablets or one of 4      orally active doses of A-002. The duration of study drug therapy will be 8 weeks.,C1956346;C1704632;C0032105;C1547311;C0947630,C0599724;C0205042;C0013216;C0012634;C0032042;C0947630;C0456909;C0947630;C1320102;C0332534;C1706074;C1552839;C4554418,0.0,0.0,0,19.0,19.0,0.008900368581031244,0.008313766902694877,2,3
NCT02226510,MetfoRmin and Its Effects on Left Ventricular Hypertrophy in Normotensive Patients With Coronary Artery Disease,"Thickening of the heart muscle (left ventricle) known medically as Left Ventricular      Hypertrophy (LVH) is very common in patients with heart disease. This increases risk of      cerebrovascular/cardiovascular event.      LVH is asymptomatic and managed by the use of medication to control blood pressure, however      LVH may be seen in normotensive patients where factors such as obesity and insulin resistance      are present.      Insulin resistance is a condition where although the body produces insulin it is unable to      utilize it effectively. Metformin, a drug used to treat diabetes, can reduce insulin      resistance and cause weight loss, it may therefore improve LVH. This study will investigate      the ability of metformin to reduce LVH in patients with heart disease, this may be a novel      way forward in the risk reduction of cerebrovascular/cardiovascular events. Participants will      be identified throughout NHS Tayside, those eligible will be randomly allocated to either      metformin or a dummy medication (placebo) and will receive one year of treatment. At the      beginning of the study, the thickness of the heart muscle will be measured by ultrasound scan      and cardiac Magnetic Resonance Imaging (cMRI). We will also perform non-invasive tests to      measure blood vessel function. These tests will be repeated after one year. At the end of the      study, we will investigate the difference between placebo treatment and metformin treatment.      This study is funded by the British Heart Foundation.",C0149721;C1956346;C1550655;C2712122,C0024485;C1320716;C1320716;C0021655;C0021655;C0041618;C0225897;C0005823;C0018799;C0018799;C0231221;C2712122;C0005847;C0020564;C1262477;C0205400;C0013227;C0013227;C0012634;C0025598;C0025598;C4551656;C0025598;C0087111;C0087111;C0025598;C0087111;C0011849;C0031843;C0028754;C0150312;C0021641;C0021641;C0032042;C0018787;C0032042;C3245511;C0566415;C0018787;C0947630;C0679622;C0947630;C0018787;C0392366;C0392366;C0947630;C0947630;C0018787;C0013227;C1273517;C1561543;C1561543;C0149721;C0149721;C0149721;C0149721;C0149721;C0184511;C0018827;C0085632;C0237834;C1550043;C1334278,0.0,0.0,0,2.0,2.0,0.010328062128477287,0.010015417512559698,0,3
NCT00547872,Exercise Testing to Screen for Unknown Coronary Artery Disease in Diabetic Patients: Does it Contribute to a Risk Reduction in Very High Risk Patients?,"In the present study a cohort of diabetic patients without any symptoms and without known      coronary artery disease (CAD) will be screened at the investigators' diabetes outpatients      services. Those with intermediate or high risk will be asked to participate and enrolled.      They will be seen and followed by the cardiologists in order to provide the best adherence to      medical therapy. By mean of a randomization process, a group of patients will undergo an      exercise electrocardiography (ECG) testing while the other group will continue to be      regularly seen at the investigators' cardiology service. Those patients with a positive      exercise ECG test will be study by coronary angiography and treated according to the severity      of coronary lesions by percutaneous stenting or surgery. Both groups of patients will be seen      every six-eight months for the next three years.",C1956346;C1293152;C0332167;C1522704;C0241863;C1546837;C0430054;C1550655;C1550655,C0010054;C0085532;C0013798;C0418981;C0332167;C0241863;C0011849;C4684790;C1446409;C0018787;C0038257;C0150312;C0392366;C0221198;C0543467;C1552839;C0947630;C0947630;C0392366;C0452240;C0452240;C1457887;C1555587;C1550465;C1561542;C1522411;C1552839;C1552839;C1704289;C0332155;C4698129,0.0,0.0,0,7.0,3.5,0.009264625740137809,0.009967137632890245,0,3
NCT01830491,Comparison of Effect & Safety of Clopidogrel Napadisilate With Clopidogrel Bisulfate in Coronary Artery Disease Patients,"The aim of this study is to demonstrate that the combination therapy of aspirin and      clopidogrel napadisilate is not inferior to that of aspirin and clopidogrel bisulfate with      respect to its effectiveness in inhibiting platelet aggregation, if it is given for four      weeks to Coronary Artery Disease (CAD) patients who had been treated with a drug-eluting      stent before > 12 months and had remained in a stable condition with a single antiplatelet      agent, aspirin.",C3253083;C1956346;C0772326;C1550655;C0882214,C1956346;C0772326;C0677599;C0009429;C4553491;C0070166;C0012634;C0004057;C0004057;C0004057;C0087136;C0947630;C3244317;C0038257;C0013227;C4699604;C1706074;C0332155,0.0,0.0,1,0.0,0.0,0.00962693302189104,0.008530358644944855,0,3
NCT01058018,Clinical Trial for Dose Finding and Safety of RVX000222 in Subjects With Stable Coronary Artery Disease,"The purpose of this study is to investigate dose range, safety and efficacy of RVX000222 in      subjects with stable coronary artery disease.",C1956346;C1096775;C0037088;C1547311,C0010054;C0947630;C1706074;C2702329,0.0,0.0,0,31.0,31.0,0.008692661335487017,0.013144109636571128,2,2
NCT01554800,"Effect of ACP-501 on Safety, Tolerability, Pharmacokinetics and Pharmacodynamics in Subjects With Coronary Artery Disease","This study is a phase 1, intravenous, open-label, single-dose escalation study to evaluate      the safety, tolerability, pharmacokinetics and pharmacodynamics of ACP-501 (recombinant human      Lecithin Cholesterol Acyl Transferase (rhLCAT)) in subjects with coronary artery disease      (CAD). Four cohorts consisting of 4 subjects each will receive one dose of ACP-501. The dose      will be escalated by cohort.",C1956346;C0031327,C0010054;C0031327;C0201950;C0031617;C0087136;C0947630;C1705425;C0947630;C0392939;C0220825,0.0,0.0,0,9.0,9.0,0.013079875632231985,0.011032085825457824,0,2
NCT02813473,SYNTAX III REVOLUTION Trial: A Randomized Study Investigating the Use of CT Scan and Angiography of the Heart to Help the Doctors Decide Which Method is the Best to Improve Blood Supply to the Heart in Patients With Complex Coronary Artery Disease,"The SYNTAX III Revolution trial is a randomized diagnostic research study that investigates      the use of CT scan and angiogram of the heart to help doctors decide which method is the best      to improve blood supply to the heart in patients with complex coronary artery disease. Each      patient will undergo an angiogram and CT scan per standard of care. The randomization      strategy in this study is not between patients but between two teams of doctors, the      so-called ""Heart Teams"", will be randomized: in the first round, team 1 assesses the      angiogram, and team 2 assesses the CT scan. Then they make a decision about which treatment      would be the best to treat complex coronary artery disease. In the second round, both teams      see the imaging method that they did not see in the first round, and make the decision again.      The final decision on the clinical treatment strategy is at the sole discretion of the Heart      Team and there are no criteria described in SYNTAXIII Revolution protocol leading influencing      this final decision.      Hypothesis: Determination of the best treatment strategy for coronary artery disease based on      a CT scan will result in similar decisions as based on invasive coronary angiography.",C1956346;C0002978;C0025663;C0947630;C0018787;C0005767;C0018787;C0034606;C1550655;C0184511;C2948499;C3897779;C0939261,C0010054;C0010054;C0010054;C0085532;C2936643;C0678861;C2948499;C2948499;C0002978;C0002978;C0002978;C0087111;C0087111;C0087111;C0679006;C0679199;C0679006;C0679006;C0679006;C0679199;C0442711;C0679006;C0679199;C0040405;C0040405;C0040405;C0079595;C0040405;C0025663;C0025663;C0947630;C0018787;C0018787;C0947630;C0018787;C0018787;C1552861;C0230463;C0042789;C0042789;C1148554;C0184511;C0011900;C0018792;C3272565;C1334278;C0939261;C0939261;C3870566;C3870566,0.0,0.0,0,1.0,1.0,0.010166174033631428,0.010703591406644631,0,2
