nct_id,brief_title,description,brief_title_concepts_list,brief_summary_concepts_list,tot_subj_affected,tot_subj_risk,relevance,citationSum,citationAvg,briefTitlePageRankScore,briefTitleAndSummaryCombinedPageRankScore,brief_title_matched_count,brief_summary_matched_count
NCT01527916,Evaluate the Efficacy and Safety of ABT-126 in Subjects With Mild to Moderate Alzheimer's Disease,~     This is an efficacy and safety study evaluating a new treatment for subjects with mild to~     moderate Alzheimer's disease.~   ,C0002395,C0002395;C0376495,0.0,0.0,-1,5.0,5.0,0.06201217287951603,0.059763742000337974,2,2
NCT01549834,Evaluate the Efficacy and Safety of ABT-126 in Subjects With Mild to Moderate Alzheimer's Disease on Stable Doses of Acetylcholinesterase Inhibitors,~     This is an efficacy and safety study evaluating a new treatment for subjects with mild to~     moderate Alzheimer's disease.~   ,C0001046;C0002395,C0002395;C0376495,0.0,0.0,-1,7.0,7.0,0.03534358914409203,0.046498260656184766,2,2
NCT03978338,A Study to Evaluate the Efficacy and Safety of Brain Polypeptide Solution in Mild Alzheimer's Disease,"~     In recent years, reduced levels of brain-derived neurotrophic factor (BDNF) have been found~     in dementia patients. BDNF reduces amyloid precursor protein (APP) fragments via the Trk~     signaling pathway, and the expression of transgenic BDNF in animal models of Alzheimer's~     Disease（AD）shows a protective effect on neurodegeneration. A lot of researches have proved~     that brain hydrolysate injection can improve the level of BDNF in the brain. And oral brain~     peptide dietary supplements, which is also derived from brain proteolytic products, may also~     adjust and improve neuron metabolism, promote the formation of synapses, induce the~     differentiation of neurons, and protect nerve cells from ischemia and neurotoxin damage,~     reduce the risk of loss of cognitive function in the aging process. However, there are still~     no studies on dietary supplements derived from brain protein hydrolysates in China.~     Therefore, the investigators designed a randomized controlled double-blind study program to~     preliminarily evaluate the efficacy, safety and possible mechanism of brain polypeptide~     solution in improving the cognition of mild alzheimer's disease patients.~      The research is a prospective, multicenter, cohort study. 200 patients with mild alzheimer's~     disease will be selected and randomly divided into experimental group and control group~     according to the numerical random table. The experimental group will take the brain~     polypeptide solution 60ml per day and the control group was treated with the same package of~     placebo 60ml per day. The treatment regimen remained unchanged during the observation period.~     During the study period, safety index including blood and urine routine, liver and kidney~     function, coagulation index and clinical effect index about neuropsychological scales will be~     recorded.~   ",C0002395;C0006104,C0002395;C3888347;C0025519;C0486805;C0009240;C0497327;C0022116;C0332149;C1522240;C2728259;C0012634;C0222045;C0006104;C0006104;C2946261;C0006104;C0006104;C0001811;C0006104;C0006104;C0918012;C0005767;C0042036;C0023884;C0918012;C0392335;C0184511;C0184511;C0032042;C0022646;C2946261;C3161035;C0006104;C0006104;C0242297;C0242297;C0033621;C0033621;C0180112;C0376495,0.0,0.0,-1,0.0,0.0,0.03534358914409203,0.040327608667193884,2,2
NCT01690195,Safety and Tolerability Study Evaluating a New Treatment for Subjects With Mild to Moderate Alzheimer's Disease,This is a long term extension study to evaluate safety and tolerability of subjects who      complete study M11-793 which is evaluating a new treatment for subjects with mild to moderate      Alzheimer's disease on stable doses of acetylcholinesterase inhibitors.,C4684765;C0002395;C0087111;C1547226;C0947630;C1547225,C0001046;C4684765;C0002395;C0087111;C0947630;C0947630;C1578513;C1525442;C1706074;C0220825;C4283785;C1547226,0.0,0.0,1,5.0,5.0,0.04043230004017468,0.04011344470898457,2,2
NCT01676935,This is a Safety and Tolerability Study Evaluating a New Treatment for Subjects With Mild to Moderate Alzheimer's Disease,This is a long term extension study to evaluate safety and tolerability of subjects who      complete study M10-985 which is evaluating a new treatment for subjects with mild to moderate      Alzheimer's disease.,C4684765;C0002395;C0087111;C1547226;C0947630;C1547225,C4684765;C0002395;C0087111;C0947630;C0947630;C1578513;C1525442;C0220825;C4283785;C1547226,0.0,0.0,1,3.0,3.0,0.04043230004017468,0.04000277874712463,2,2
NCT00216593,Treatment of Severe Alzheimer's Disease: Evaluation of Efficacy and Safety of Galantamine Hydrobromide in a Controlled Study,The purpose of this study is to assess the effectiveness and safety of galantamine      hydrobromide treatment in patients with severe Alzheimer's disease.,C0949312;C0002395;C0220825;C2911690;C0087111;C0205082;C0947630,C0002395;C4553491;C0016967;C0087111;C0205082;C0947630,0.0,0.0,1,20.0,20.0,0.03623004132640079,0.03745104878508704,2,2
NCT00911807,Comparative Study to Test Safety and Efficacy of Neurotrophic and Cholinergic Treatment of Alzheimer's Disease,"The study was performed to compare the safety and efficacy of Cerebrolysin (10 mililiters      [ml]), Aricept (10 miligrams [mg]), and a combination of both treatments on cognitive      performance and global function in patients with probable Alzheimer's Disease (AD). It should      also be assessed if the treatments have a positive effect on activities of daily living and      neuropsychiatric symptoms.      Oral treatment with Aricept or Placebo was given once daily throughout the study. Intravenous      treatment with Cerebrolysin or Placebo was given once daily for 5 days per week during week 1      to 4 and during week 13 to 16 of the study. During the study patients had six visits at the      hospital for evaluation.",C0002395;C0009491;C0087111;C0022885;C0242893,C0002395;C0087111;C0087111;C0220825;C0087111;C0087111;C0031843;C0332148;C1446409;C0527315;C0527315;C0032042;C0032042;C1518681;C0947630;C3244317;C0947630;C3244317;C0947630;C0947630;C1561540;C1561540;C1561540;C3539181;C3534762;C0055108;C0055108;C0451227;C0085297;C1512346,312.0,3800.0,0,8.0,8.0,0.03431990493298255,0.037082966206647014,2,2
NCT00818662,A Phase 3 Study Evaluating Safety and Effectiveness of Immune Globulin Intravenous (IGIV 10%) for the Treatment of Mild-to-Moderate Alzheimer´s Disease,"~     The purpose of this study was to evaluate the efficacy and safety of 2 doses of Immune~     Globulin Intravenous (IGIV), 10% administered every 2 weeks as an intravenous (IV) infusion~     compared with placebo in participants with mild to moderate Alzheimer's disease (AD).~   ",C0002395;C0376495,C0002395;C0032042,1626.0,44045.0,-1,26.0,26.0,0.0392251357432854,0.052906182144121836,1,2
NCT00708552,Study of SB-742457 or Donepezil Versus Placebo in Subjects With Mild-to-moderate Alzheimer's Disease,"~     The study is designed to investigate the efficacy, safety and tolerability of SB-742457~     versus placebo in subjects with mild-to-moderate Alzheimer's disease. SB-742457 is an~     experimental treatment which increases the levels of certain chemicals in the brain that are~     often decreased in patients with Alzheimer's disease.~   ",C0002395;C0032042,C0002395;C0006104;C0002395;C0032042;C2946261;C0376495,544.0,101024.0,-1,6.0,6.0,0.03534358914409203,0.04434996001289443,1,2
NCT00710684,"A Study of SB-742457, Added to Donepezil for the Treatment of Mild-to-moderate Alzheimer's Disease",The study is designed to investigate the safety and efficacy of SB-742457 when added to      stable donepezil treatment in subjects with mild-to-moderate Alzheimer's disease.,C0002395;C0527316;C0087111;C0947630;C1547225;C1547226,C0002395;C0527316;C0087111;C0947630;C1706074;C0776963;C1547226,390.0,52514.0,0,3.0,3.0,0.0405204555905742,0.041163499108740016,1,2
