nct_id,brief_title,description,brief_title_concepts_list,brief_summary_concepts_list,tot_subj_affected,tot_subj_risk,relevance,citationSum,citationAvg,briefTitlePageRankScore,briefTitleAndSummaryCombinedPageRankScore,brief_title_matched_count,brief_summary_matched_count
NCT00119054,Effectiveness of Home-Based Health Messaging for Patients With Hypertension and Diabetes,"Patients treated at Veterans Affairs (VA) medical centers are older and have multiple chronic      conditions. Two of the most common conditions in the VA population are hypertension (HTN) and      Type 2 diabetes (DM). Unfortunately, DM and HTN have few perceptible symptoms on a daily      basis that motivate patients to comply with treatment recommendations and lifestyle changes.      Thus, serious complications and long-term adverse outcomes are common in both of these      conditions.      Home telehealth is a general term used to describe the delivery of health care services to      the patient's home using audio, video, or other telecommunications technologies. Although      home telehealth offers a number of theoretical advantages, few well-designed controlled      clinical trials have been conducted to establish efficacy and cost benefit. Furthermore,      projects to date have focused on special populations, e.g., heart failure or mental      illnesses. Since home telehealth may hold the most promise for individuals dealing with      multiple chronic illnesses, there is a need for population-based studies addressing the needs      of patients in primary care settings.      Care coordination, as defined by the VHA Office of Care Coordination, is a process of      assessment and ongoing monitoring of patients using home telehealth to proactively enable      prevention, investigation, and treatment that enhances the health of patients and prevents      unnecessary and inappropriate use of resources. Care coordination embeds technology into a      care management process. This results in the right care, at the right time, in the right      place.",C4553491;C0020538;C0011847;C1548341;C1550655;C1328956,C0011211;C0008679;C0011860;C1096775;C0009566;C0018801;C1552578;C0020538;C0278060;C0033137;C1328956;C1328956;C1328956;C0031809;C0150369;C1328956;C0199176;C0376636;C0087111;C0221423;C0087111;C0947630;C3245511;C0725694;C3245511;C0229992;C0562342;C1548341;C1273517;C0012634;C0012634;C0012634;C0520966;C0520966;C1550655;C1457887;C0542559;C4684637;C2911690;C0028079;C0013119;C1555709;C0015726;C0015726;C0683867;C0021141;C0449416;C1704289;C0332155;C0701928,0.0,0.0,0,41.0,20.5,0.002599034487236349,0.0025614049042750643,0,5
NCT01643434,Resistant Hypertension Optimal Treatment,"Resistant hypertension (ReHy) is an emerging clinical and public health problem which tends      to increase because populations are living longer and there is a growing global epidemic of      obesity, diabetes and sleep apnea. It is also tempting to speculate that the excessive      dietary salt ingestion reported in many countries can contribute substantially to the risk of      ReHy development. ReHy is defined as persistent high blood pressure (above the target goal)      in spite of the use of at least 3 antihypertensive agents of different classes, one of them      must being diuretics.      Data regarding the exact prevalence of ReHy are very limited. In addition, little data is      available about 3-drug combinations but a simplified treatment algorithm has demonstrated      that a combination of a diuretic plus an angiotensin-converting enzyme inhibitors (ACEi) or      an angiotensin-receptor blocker (ARB) plus diuretic, adding a calcium channel blocker when      necessary, controlled 64% of hypertensive patients and, in addition, was even more efficient      than the current guideline-based management. By contrast, the fourth drug to be added-on the      triple regimen is still controversial and guided by empirical choices or personal      preferences. Recent studies suggest the emerging role of spironolactone as the ""first-line""      fourth drug for treating resistant hypertension. Conversely, because of the      pathophysiological rationale, others have proposed the use of β-blockers or even centrally      acting agents for managing the sympathetic hyperactivity. The present concerns about the      limited blood pressure reducing effect of β-blockers, especially in elderly people, the      potent effect of centrally acting agents and our personal experience are pointing to      clonidine as the fourth drug to be added-on to a multidrug combination for reaching optimal      blood pressure in patients with ReHy. Nevertheless, no studies have been performed comparing,      head-to-head, which one is the best fourth drug (spironolactone or clonidine) to be added-on      to a common used multidrug combination in order to treat this condition.      Therefore, the principal objectives of the ReHOT Trial are to assess prospectively: (1) the      prevalence of ReHy in a cohort of outpatients with stage II hypertension; (2) the effect of      spironolactone on blood pressure, in comparison to clonidine, when added to a multidrug      combination consisting of chlorthalidone plus ACEi (or ARB) plus amlodipine, all of 3      up-titrated to the highest dose; (3) the role of measuring sympathetic nervous system      activity and renin-angiotensin-aldosterone activity on predicting the response of blood      pressure to spironolactone and clonidine.",C0020538;C1514892;C0087111,C0003364;C0006684;C0020538;C0014432;C0037982;C0005823;C0005823;C0037982;C0037982;C0005823;C0008294;C0037982;C0699943;C0424295;C0020538;C3539181;C0857121;C0020538;C0020538;C0037315;C0243107;C0003018;C0003018;C0003018;C0002006;C0376636;C0237607;C0018017;C0051696;C1514892;C0012798;C0087111;C0002045;C0282423;C0009014;C0009014;C0012634;C0009014;C0009014;C0011849;C0700287;C0012798;C0012798;C1704632;C0460139;C0033213;C0028754;C0456387;C0040808;C0947630;C0150312;C0947630;C0027769;C3539125;C1518681;C1518681;C3245511;C1518681;C1300072;C0005767;C0037494;C0018017;C3245479;C0013227;C1704326;C0013227;C0013227;C0018670;C0018670;C0013227;C1273517;C1704326;C3539181;C3539181;C3539181;C3539181;C3845947;C4684637;C0776963;C1979715;C1514811;C2911690;C3653883;C1514892;C0449900;C0776963;C0776963;C0776963;C1522411;C0776963;C4697740;C0037816;C1707944;C3272565;C1707944;C1548344;C0201956;C4049938;C4049938;C3834249;C0277785;C0546816,0.0,0.0,0,7.0,3.5,0.0030660512790924195,0.003502615326949857,0,3
NCT01371747,Patiromer in the Treatment of Hyperkalemia in Patients With Hypertension and Diabetic Nephropathy (AMETHYST-DN),"This study determined the optimal starting dose of patiromer in treating hyperkalemia in      participants with hypertension and diabetic nephropathy who were already receiving ACEI      and/or ARB drugs, with or without spironolactone. This study also evaluated the efficacy and      safety of patiromer and the long term use of patiromer.",C0011881;C0020461;C0020538;C4045522;C0087111;C1550655,C0011881;C0037982;C0020461;C0020538;C4045522;C4045522;C4045522;C0947630;C0013227;C0947630;C4082977;C0220825,436.0,17024.0,0,54.0,27.0,0.0026133901488056663,0.0030397695474699772,0,3
NCT02428075,Community-based Management of Hypertension in Nepal,"Hypertension contributes to significant burden of cardiovascular diseases (CVDs) in low and      middle-income countries; however responses to CVDs are inadequate particularly due to lack of      conclusive evidence on population based approach to hypertension control. This is a community      based cluster randomized trial involving family based health education through female      community health volunteers in Nepal. People ≥25 years of age and who are listed in the voter      list 2006 of Electoral Commission of Nepal who were either hypertensive, pre-hypertensive or      normotensive are eligible for eligible for participation in the study. A computer generated      random codes will be used to divide clusters into treatment and control arm. FCHVs will      conduct family based health education and blood pressure measurements in the treatment arm vs      not any interventions in control arm. Independent assessors will conduct the baseline and end      line assessment of the intervention. Intention to treat analysis and per protocol analysis      will be used in analysis to detect significant differences between treatment and control      group participants at baseline and follow up. Student t-tests for normally distributed      variables and chi-squared tests for categorical variables will be used. In the event that      randomization do not control for differences between the treatment and control groups on      baseline characteristics, the investigators will statistically control for those differences      in subsequent analysis of program effects. The final outcome will be modeled by using      multiple linear regressions analysis. The investigators hope that if the intervention      outcomes shows positive effects in treatment arm, this approach can be adopted into the      existing health care delivery system in Nepal. Assessing the FCHVs' ability may further      contribute to developing a policy that can be scaled-up to a national level. The lessons      learned from this project may also be replicated in rural areas and similar settings      elsewhere in the world.",C0020538;C0376636,C0007222;C0011211;C0005823;C0886296;C0020538;C0020538;C0857121;C0857121;C2712122;C0184661;C0184661;C1299583;C0684320;C0031809;C0424927;C0087111;C0424927;C0087111;C0162425;C0087111;C0087111;C0087111;C0442711;C1446409;C0425382;C0023185;C1552826;C1301584;C1301584;C0442726;C1552839;C0242456;C0947630;C0392366;C0392366;C0240919;C1273517;C1273517;C1273517;C0392347;C1550472;C0446516;C0446516;C0446516;C0446516;C1704632;C0542559;C1518681;C1518681;C0086034;C0011164;C0022396;C0175659;C0018792;C1552839;C0596948;C0085632;C0596948;C0085632;C0596948;C0085632;C0430179;C0728774;C0728774;C0728774;C3854058;C1541375,0.0,0.0,0,7.0,3.5,0.0036540422290310265,0.002682158851978077,0,3
NCT00563901,Analyzing How Genetics May Affect Response to High Blood Pressure Medications,"High blood pressure is one of the most common health problems in the United States. There are      many medications to treat high blood pressure, but there is a large variance in how people      respond to these medications. It is believed that genetic variations may contribute to the      inconsistent treatment response. This study will use genetic analysis to determine whether      particular genes interact with high blood pressure medications to modify the risk of certain      cardiovascular diseases.",C0020538;C0013227;C1704632;C0001721,C0007222;C0020538;C0020538;C0020538;C0679560;C0013227;C0013227;C0013227;C0087111;C1704632;C3245511;C0947630;C0033213;C1328018;C0087130;C4082977,0.0,0.0,0,10.0,10.0,0.0022439557948783187,0.0024271713881419557,0,3
NCT02687178,Canrenone as Add-on in Patients With Essential Hypertension,"~     To evaluate the efficacy on blood pressure reduction, safety and tolerability of two~     different dosages of canrenone as add-on therapy in patients already treated with Angiotensin~     Converting-Enzyme Inhibitors (ACE-I) or Angiotensin II Receptor Blockers (ARBs) and diuretics~     at the maximum dosage.~   ",C0085580,C0014432;C0005823;C0003009;C1979715;C0003018,0.0,0.0,-1,2.0,2.0,0.0014611242581007186,0.0012026446271851165,0,3
NCT02466490,Efficacy and Safety of Fimasartan Alone or Combined With HCTZ in Mexican Patients With Essential Hypertension,"~     Fimasartan (FMS) is an AT1 receptor antagonist indicated for once a day administration,~     currently approved for the treatment of essential hypertension in Corea and Mexico. As the~     safety and efficacy of FMS was initially demonstrated in Korea only, it was necessary to~     address the potential for ethnic factors to have an effect on the drug´s efficacy and safety~     in the Mexican population. To address this need, a cohort of 272 Mexican subjects with grades~     1-2 essential hypertension were sequentially treated on a treat to target basis (target:~     sitting Diastolic Blood Pressure (sDBP) <90 mmHg) with 60 mg FMS once a day (8 weeks), either~     120 mg FMS or 60 mg FMS+12.5 mg HCTZ once a day (randomized 4 week treatment period) and 120~     mg FMS once a day (during 12 weeks) for a total treatment period of 24 weeks.~   ",C0085580;C1449882,C0428883;C0085580;C0085580;C1442065;C1442065;C0680174;C1874451;C3843716;C0598695;C0376495;C0376495;C0376495,0.0,0.0,-1,0.0,0.0,0.001147517480943191,0.0006477550949052942,0,3
NCT01429662,Modified Relaxation (MR) Technique for Treating Hypertension in Postmenopausal Women,The purpose of this study is to demonstrate better effectiveness of modified relaxation (MR)      technique over no MR for treating hypertension in Thai postmenopausal women.,C0232970;C0020538;C0035029,C0232970;C4553491;C0020538;C0947630,0.0,0.0,0,1.0,1.0,0.0025829427223404,0.0034001736627268363,2,2
NCT00171028,A Study Of Valsartan Used To Treat Hypertension For Up To 56 Weeks In Children Ages 1 - 5 Years Who Have Hypertension,Drugs used to treat hypertension in adults should also be effective in treating high blood      pressure in infants and children. This study will test the safety and efficacy of valsartan      in lowering blood pressure in children 1 - 5 years old whose parents grant permission to      participate.,C0020538;C0020538;C0216784;C0947630,C0005823;C0020538;C0216784;C0460139;C0013227;C0005767;C0947630;C1273517;C0392366;C1820370;C1524004;C4700170;C3842265,0.0,0.0,0,10.0,10.0,0.003292794393229536,0.002686954923266361,2,2
NCT00170924,"To Find Out Whether Valsartan With or Without Other Blood Pressure Medications Would Improve the Ability of the Heart to Fill and Empty, and the Ability of the Heart Muscle to Relax Adequately in People With High Blood Pressure.","Patients who have had high blood pressure for a long time may have diastolic dysfunction.      Diastolic Dysfunction is when your heart has difficulty filling and emptying, and relaxing      adequately.      This study is to find out if Valsartan) will improve the ability of the heart to fill, empty,      and relax appropriately when given alone or with other medicines to treat high blood      pressure.",C0020538;C0005823;C0013227;C0216784;C4083049;C1546725;C0018787;C0018787;C0243095;C0184511,C0520863;C0520863;C0020538;C1299586;C0216784;C0460139;C0018787;C0947630;C0018787;C3244317;C0439044;C0005767;C1550655;C0035031;C0184511;C0013227,0.0,0.0,0,58.0,58.0,0.0028967359978659627,0.002872731449889741,1,2
