nct_id,brief_title,description,brief_title_concepts_list,brief_summary_concepts_list,tot_subj_affected,tot_subj_risk,relevance,citationSum,citationAvg,briefTitlePageRankScore,briefTitleAndSummaryCombinedPageRankScore,brief_title_matched_count,brief_summary_matched_count,RRFscore_not_recency
NCT02980744,A Home-based Intervention to Reduce Sedentary Behaviour and Improve Function After Stroke,"The traditional approach to physical activity promotion in people with stroke has always      emphasized activities of a moderate-to-vigorous intensity (i.e. moving enough to breathe fast      and break a sweat). For many people with stroke who often have difficulty with walking,      achieving that intensity of activity is difficult. The result is that people with stroke      spend over 80% of their day in sedentary behaviours (too much sitting). A growing body of      research shows that too much sitting has negative effects on health including larger waist      circumference, unhealthy levels of blood glucose and insulin, heart disease, lower levels of      functioning, and premature death.      This project tests a new approach to activity promotion that focuses on increasing      light-intensity activity throughout the whole day while reducing sitting time. The new      intervention is titled ""STand Up Frequently From Stroke (STUFFS)"" and is aimed at increasing      self-confidence among people with stroke to sit less, stand up and walk around at frequent      intervals during the day. Studies in the general population have shown that standing up and      walking around frequently are beneficially associated with health indicators (lower waist      circumference, lower blood fat and glucose levels). Encouraging people with stroke to reduce      sitting and increase light-intensity activities appears feasible and sustainable and might be      a first step to increase their daily energy expenditure.",C0184661;C1705273;C0038454;C1548341;C1532253;C0184511,C0014272;C0237529;C0428548;C0392201;C0018799;C0184661;C1299586;C0677505;C0021212;C0332218;C0205160;C0277814;C0277814;C0021641;C0277814;C0277814;C0038454;C0560560;C0038454;C0038454;C0038454;C0038454;C0038454;C0038984;C0230097;C0011065;C0392366;C0596013;C0230097;C0005767;C1561538;C1578513;C1561538;C1578513;C0728713;C1561538;C0015677;C1518681;C0178520;C0151526;C4300452;C0275586;C0275586;C0221106;C0221106;C1547226;C4086497;C4049938;C3843660;C3843660;C4049938;C4049938;C0429028,0,0,0,0,0,0.002163871,0.0016732,0,3,0.037678327
NCT00153036,Rt-PA in the Treatment of Acute Ischemic Stroke,~     To collect additional confirmatory data on alteplase(rt-PA) in the European setting and to~     demonstrate that the treatment of patients between 3 and 4.30 hours of onset of symptoms of~     acute ischemic stroke with rt-PA compared to placebo-treated patients will result in an~     improved clinical outcome without increase of fatality rate.~   ,C0948008;C0376495,C0948008;C1457887;C0184511;C0032042;C0032143;C0376495,0,0,1,1472,736,0.001437959,0.001705791,0,4,0.037188209
NCT00283868,Stroke Team Remote Evaluation Using a Digital Observation Camera,The purpose of this trial is to determine if an experimental remote video camera system is an      effective way for a stroke specialist to evaluate stroke patients from a distant site.,C0700325;C0220825;C0582802;C0038454,C0038454;C0038454;C0018792;C0220825;C4082977,0,0,0,82,27.33333333,0.002175423,0.002705135,0,1,0.033538832
NCT00201461,Evaluation of the STARFlex? Septal Closure System in Patients With a Stroke or TIA Due to the Possible Passage of a Clot of Unknown Origin Through a Patent Foramen Ovale (PFO),The primary objective of the study is to determine whether the STARFlex? septal closure      system will safely and effectively prevent a recurrent embolic stroke/transient ischemic      attack (TIA) and mortality in patients with a PFO and to demonstrate superiority of the      STARFlex? device compared to best medical therapy.,C0220825;C0332149;C1709474;C1546837;C0038454;C0030650;C0302148;C1550655;C0723285,C0418981;C0262469;C0018017;C1304680;C0947630;C0022118;C0723285;C4082977,0,0,0,133,44.33333333,0.002296991,0.002274426,0,1,0.03055545
NCT02065778,Safety and Efficacy of Autologous Stem Cell Therapy in Chronic Stroke,The purpose of this study was to study the safety and effect of stem cell therapy on the      functional recovery in patients with chronic stroke.,C0302189;C4522170;C1547296;C0038454;C1184743,C0599766;C0872278;C1518681;C0038454;C0947630;C0947630,0,0,0,10,10,0.001982823,0.002431841,0,1,0.02902672
NCT00194454,Psychosocial/Behavioral Intervention in Post-Stroke Depression,"The primary aim of this study is to determine the effect of a nurse-delivered      psychosocial/behavioral intervention on reduction of depression in community dwelling      post-stroke patients. We expect the combined behavioral and pharmacologic intervention to be      more effective than pharmacotherapy alone in sustaining the improvement in depression for the      experimental group. Secondary aims are to examine the effect of the psychosocial/behavioral      intervention time course and sustainability of response to treatment, effect on limitations      in ability, limitation in participation and overall stroke impact in community-dwelling      post-stroke patients, and to compare ischemic stroke survivors who are and are not depressed      within the first four months following stroke by their 5-HTTLPR genotypes (s/s, s/l, or l/l).",C0004933;C0011570;C0038454;C1458132,C0004933;C0521982;C0013216;C0948008;C1458132;C0184661;C1458132;C0184661;C0011570;C0011570;C4551656;C0344315;C1518681;C0038454;C1518681;C1518681;C0038454;C0038454;C0038454;C0947630;C0439044;C1285573;C0000589;C2986890;C2986890;C3844714;C0487602;C0027627;C3694424;C3694424;C1561542;C1552839;C3845941;C0308779;C4082977,0,0,1,44,14.66666667,0.002042987,0.002292739,0,1,0.028856191
NCT00778453,Relative Effects and Predictive Models of Contemporary Upper Limb Training Programs in Stroke Patients,"The findings of this study will advance movement reorganization mechanism underlying      treatment approaches and clinical intervention techniques. These findings may inform      rehabilitation professionals about which treatment approach is superior to another one in      certain aspect of outcome and who can benefit most from certain treatment approach.      Accordingly, the results of this project may help us move quickly to design and develop      efficient and effective rehabilitation programs for individualized patients.",C1140618;C3172260;C1554161;C0376691;C3161035;C0038454;C1550655;C3245481,C0034991;C0034991;C0184661;C0087111;C0087111;C0087111;C0700287;C0947630;C1552861;C0560560;C1571886;C0037088;C0037088;C4067746;C0040399;C0026649;C3272565;C0042070;C0087130;C0087130;C2363670,0,0,0,21,21,0.002357063,0.002454333,1,5,0.028723099
NCT03641651,New Technologies in the Rehabilitation of Chronic Stroke,"~     The objective of the current study is to develop and investigate training concepts involving~     rehabilitation technology, which aim at exploiting the potential for regaining the ability to~     perform skilled movements by maximizing training intensity and keeping the motivation of~     patients high.~      The evaluation focuses on feasibility and cost-benefit analyses~   ",C0038454;C0204601,C0220825;C2947996;C2948600;C0026649;C0204601,0,0,1,0,0,0.003127341,0.002767394,0,0,0.028706956
NCT02675972,Which Parameters of Short-term Blood Pressure Variability Best Predict Early Outcomes in Acute Ischemic Stroke,"~     Previous studies on the association between blood pressure variation (BPV) in acute ischemic~     stroke and functional outcomes yield conflicting result. The obscured definition and~     measurement of BPV engenders considerable confounding factors, making it difficult to~     interpret. We aim to investigate the predictive role of 24-hour BPV on early outcomes in~     acute non-cardiogenic ischemic stroke.~   ",C0948008;C0005823,C0005823;C1704788;C0038454;C2948600;C0004083;C0948008,0,0,1,6,6,0.001357754,0.002658734,2,4,0.02853864
NCT02537652,Central and Peripheral Blood Pressure in Stroke,"Individuals who experience a stroke or transient ischaemic attack (TIA) are at heightened      risk of subsequent vascular events, including heart attacks and secondary stroke/TIA. Blood      pressure control is considered the most important contributor to positive health outcomes in      stroke patients. The measurement of central blood pressure (cSBP) (the blood pressure which      is being exerted at the heart), may provide clinicians with important diagnostic and      prognostic information over and above that typically obtained from a peripheral blood      pressure measure (the blood pressure in the arm). Central blood pressures may be better than      traditional peripheral blood pressure measures as: i) peripheral blood pressure may not      accurately reflect the effects of peak arterial blood pressure on centrally located organs,      ii) central blood pressures may be 50 % superior to peripheral blood pressures when      predicting cardiovascular events, and iii) information pertaining to central blood pressures      may be more effective in the management of hypertension. While the validity of oscillometric      devices which measure central blood pressures has been demonstrated, further study is      required to determine precision under normal clinical operating conditions (i.e., reflective      of the Hospital/GP practice setting). As such, this study will assess central and peripheral      blood pressures of stroke patients when fasted and nonfasted, and when seated and supine. The      study is interested in identifying the effect of the above parameters (fasted vs. unfasted,      seated vs. supine) on central and peripheral blood pressures in stroke patients.      Participants will take part in three separate assessment sessions, on three separate days,      with a minimum 24 hour recovery between each session. Each assessment is expected to last 90      minutes, with a minimum of eight blood pressures being taken from the left upper arm. As      such, participants will be asked to give up 4.5 hours of their time to the study. During each      assessment participants will be tested in a fasted and non-fasted state, and in a supine      (lying) and seated position. All assessments will take place between 7 and 10am and will be      undertaken following written informed consent.",C0229664;C0460139;C0038454;C1879652,C0007787;C1272641;C1320716;C0229664;C0229664;C0229664;C0229664;C0229664;C0005823;C0005823;C0005823;C0005823;C0005823;C0005823;C0005823;C0005823;C0005823;C0230347;C0027051;C0020538;C0015663;C1261322;C0237607;C0220901;C0376636;C0543488;C0031809;C0031809;C0031809;C0027627;C0460139;C0460139;C0005847;C0460139;C1446409;C0460139;C0460139;C0460139;C3245501;C0237607;C0015264;C0558058;C0542559;C0038454;C0038454;C0038454;C0178784;C1553386;C0038454;C1518681;C0038454;C0392366;C0005767;C0018787;C0947630;C0947630;C0947630;C0947630;C0446516;C1550470;C0012634;C0086972;C0086972;C2004454;C1555587;C0009797;C3242430;C3242430;C1518681;C0011900;C1881145;C0029375;C0202165;C4084912;C4084912;C0233697;C4055646;C0231519;C4699372;C4697740;C3272565;C1879652;C0233697;C0886384;C4082977,0,0,0,1,1,0.002024784,0.002609894,0,4,0.02843175
