nct_id,brief_title,description,brief_title_concepts_list,brief_summary_concepts_list,tot_subj_affected,tot_subj_risk,relevance,citationSum,citationAvg,briefTitlePageRankScore,briefTitleAndSummaryCombinedPageRankScore,brief_title_matched_count,brief_summary_matched_count,RRFscore_not_recency
NCT00483886,Efficacy and Safety Study of Prucalopride for the Treatment of Chronic Constipation,The purpose of this study is to determine whether prucalopride is safe and effective in the      treatment of chronic constipation.      Hypothesis:      Prucalopride 2 mg and 4 mg given once daily for 12 weeks is superior to placebo for the      treatment of patients with chronic constipation and is well tolerated in those patients.,C0913506;C0009806;C0087111;C1547296;C0947630,C0401149;C0401149;C0913506;C0913506;C0087111;C0087111;C0032042;C0947630;C3244317;C4082977,0,0,1,153,38.25,0.04568367,0.051387845999999994,1,1,0.10437710437710437
NCT00487422,Efficacy and Safety Study of Prucalopride for the Treatment of Elderly Patients With Chronic Constipation,The purpose of this study is to determine whether prucalopride is safe and effective in the      treatment of chronic constipation in elderly patients.      Hypothesis:      Prucalopride 2 mg and 4 mg given once daily for 12 weeks is superior to placebo for the      treatment of patients with chronic constipation and is well tolerated in those patients,C0913506;C0009806;C0087111;C1547296;C0947630;C1550655,C0401149;C0401149;C0913506;C0913506;C0087111;C0087111;C0032042;C0947630;C3244317;C4082977,0,0,1,30,30.0,0.045672164,0.050827295999999994,1,1,0.10368663594470046
NCT00596596,Trial to Evaluate the Efficacy and Safety of R093877 in Patients With Chronic Idiopathic Constipation,~     The purpose of the study is to determine whether prucalopride is safe and effective in~     patients with chronic idiopathic constipation.~      Hypothesis:~      At all doses administered prucalopride given once daily for 4 weeks is safe and well~     tolerated in patients with chronic idiopathic constipation.~   ,C0009806,C0009806;C0009806,0,0,1,21,21.0,0.061577858,0.074903074,1,1,0.1024551088511044
NCT00485940,Efficacy and Safety Study of Prucalopride for the Treatment of Patients With Chronic Constipation,The purpose of this study is to determine whether prucalopride is safe and effective in the      treatment of chronic constipation      Hypothesis:      Prucalopride 2 mg and 4 mg given once daily for 12 weeks is superior to placebo for the      treatment of patients with chronic constipation and is well tolerated in those patients,C0913506;C0009806;C0087111;C1547296;C0947630;C1550655,C0401149;C0401149;C0913506;C0913506;C0087111;C0087111;C0032042;C0947630;C3244317;C4082977,0,0,1,33,11.0,0.045672164,0.050827295999999994,1,1,0.09376785016384571
NCT00488137,Efficacy and Safety Study of Prucalopride to Treat Chronic Constipation,~     The purpose of this study is to determine whether prucalopride is safe and effective in the~     treatment of chronic constipation.~      Hypothesis:~      Prucalopride 2 mg and 4 mg given once daily for 12 weeks is superior to placebo for the~     treatment of patients with chronic constipation and is well tolerated in those patients~   ,C0401149,C0401149;C0401149;C0032042;C0376495;C0376495,0,0,1,144,36.0,0.026479365,0.039479201,1,1,0.09220779220779221
NCT00631813,Efficacy and Safety Study of Prucalopride for the Treatment of Chronic Constipation,"The purpose of this study is to determine which dose of prucalopride is safe and effective in      patients with chronic constipation.      Hypothesis:      Prucalopride 1 and 2 mg bid are safe and effective for the treatment of chronic constipation      whereas 0,5 mg is a suboptimal dose.",C0913506;C0009806;C0087111;C1547296;C0947630,C0401149;C0401149;C0913506;C0913506;C0087111;C0947630;C4082977,0,0,1,17,17.0,0.04568367,0.050079902999999995,1,1,0.09166666666666667
NCT01505777,Exploratory Clinical Study to Evaluate the Optimal Dosage of Mosapride and Probiotics in Irritable Bowel Syndrome Without Predominant Diarrhea,~     The purpose of this study is to Evaluate the Optimal Dosage of Mosapride (Medirac) and~     Probitics in Irritable Bowel Syndrome Without Predominant Diarrhea.~   ,C0022104;C0011991,C0022104;C0011991,0,0,0,7,7.0,0.041493776,0.04,0,0,0.08412698412698412
NCT00255372,To Determine the Effect of Forlax? Treatment in Children With Chronic Constipation Who May Also Suffer From Soiling/ Faecal Incontinence.,The purpose of this study is to determine whether Forlax? is more effective than placebo in      relieving chronic constipation in children who may also suffer from soiling or faecal      incontinence.,C0009806;C0021167;C0087111;C1547296,C0401149;C0021167;C0032042;C0683278;C0015733;C0947630;C4082977,0,0,1,6,6.0,0.043163765,0.04727388,0,0,0.08391608391608392
NCT00617513,Efficacy and Safety Study of Prucalopride for the Treatment of Chronic Constipation,"The purpose of this study is to determine which dose of prucalopride is safe and effective in      patients with chronic idiopathic constipation.      Hypothesis:      Prucalopride 1 and 2 mg are safe and effective for the treatment of chronic idiopathic      constipation whereas 0,5 mg is a suboptimal dose.",C0913506;C0009806;C0087111;C1547296;C0947630,C0913506;C0009806;C0913506;C0009806;C0087111;C0947630;C4082977,0,0,1,17,17.0,0.04568367,0.048014769000000006,1,1,0.08364584680374154
NCT01251822,Comparator Study of PEG 3350 Versus Prucalopride in Females With Chronic Constipation,"~     This study is to compare the efficacy and safety of polyethylene glycol (PEG) 3350 with that~     of prucalopride in the treatment of chronic constipation in females. A total of 240 patients~     will be randomly allocated to treatment with one or the other agent. The study consists of a~     14-day run-in period, with treatment subsequently administered for 28 days on a daily basis.~     During the study, patients will fill in a stool diary, samples of faeces will be collected,~     and colonic transit time will be measured prior to therapy, and from days 22 to 28 of~     treatment. The proportion of patients with normalised bowel movements (three or more~     spontaneous movements) during the last week of the study (days 22 to 28 of treatment) will be~     compared between treatments.~   ",C0401149;C4282033,C0401149;C4282033;C0032483;C0026649;C0026649;C0376495;C0376495;C0376495;C0376495;C0376495,0,0,1,19,19.0,0.028201965,0.026769182000000002,0,1,0.07771538747759023
