nct_id,brief_title,description,brief_title_concepts_list,brief_summary_concepts_list,tot_subj_affected,tot_subj_risk,relevance,citationSum,citationAvg,briefTitlePageRankScore,briefTitleAndSummaryCombinedPageRankScore,brief_title_matched_count,brief_summary_matched_count,RRFscore_not_recency
NCT00938977,The Obesity-hypoventilation Syndrome Study of Clinical Characteristics and Predictive Factors of Response to Treatment,"Main objective:      To describe clinical and functional characteristics of the obese hypoventilating patient; to      study the relation between the obesity-hypoventilation syndrome (OHS) and the obstructive      sleep apnea hypopnea syndrome (OSAHS). In the second stage of the study, to assess patient      response to non-invasive mechanical ventilation (NIV) and continuous positive airway pressure      (CPAP), and to identify predictors of unfavourable response to treatment.      Methodology:        -  Patients: Patients with obesity degree I-III, with pCO2 awake and at rest > 45 mmHg,           with no underlying pulmonary or neuromuscular lung disease; two control groups, one of           non-hypoventilating obese patients and the other of obese patients with OSAHS, will also           be studied over the same period.        -  Design: Prospective observational study. In the first stage anthropometric, clinical,           functional and metabolic data will be recorded for the obese hypoventilating patients           and the two control groups (obese patients without respiratory pathology, and obese           patients with OSAHS).      In the second stage patients with OHS will be divided into two subgroups: group 1: patients      with polysomnography (PSG) suggestive of hypoventilation, in whom NIV treatment will be      initiated; group 2: patients with PSG suggestive of OSAHS (apnea-hypopnea index >15), who      will be administered CPAP. Patients will be examined one month and three months after the      start of treatment. The same measurements will be carried out as at the beginning of the      study, with the exception of the polysomnographic study. Nonetheless, pulse oximetry and      arterial gases will be performed on waking.      Expected Results:      Patients with OHS may be characterized and differentiated from obese patients without      associated respiratory pathology on the basis of clinical, functional and metabolic data.      There is a group of patients with association between OSAHS and OHS that do not respond to      treatment with CPAP, and this unfavorable response can be predicted in advance.",C3203358;C0087111;C0039082;C3272565;C1704632;C0028754;C0947630,C0199451;C0745186;C0199470;C0521982;C0162701;C3203358;C0034108;C0441767;C0024115;C0441767;C0037315;C0004083;C0018017;C0024109;C0677042;C0087111;C0087111;C0677042;C0087111;C0235546;C0039082;C1704632;C0235546;C0332128;C1517001;C1704632;C0028754;C0028754;C0441861;C0699809;C0542560;C1552839;C0025344;C1552839;C0442696;C0028754;C0947630;C0947630;C0234422;C0028754;C0028754;C0947630;C1300072;C0028754;C0028754;C0028754;C0003578;C0918012;C1561542;C1552850;C0947630;C0947630;C0028754;C3245479;C3245479;C0042497;C0042497;C0182339;C1561593;C1964257;C0233492;C1550655;C1550655;C1550655;C1550655;C0969625;C2825142;C4067746;C0562230;C1254545;C0022396;C0031843;C0031843;C2707259;C2707259;C3858576;C1561542;C1552839;C1328018;C1552839;C3203358;C3203358;C3203358;C3272565;C1334278;C3272565;C0182913;C0003842;C3272565,0,0,0,5,5.0,0.018303276,0.014696754,0,1,0.04461659663865546
NCT00243256,Treatment of Obesity With Vitamin D (40.000 IE Per Week for 1 Year),The purpose of the study is to evaluate if supplementation with vitamin D in doses of      20.000IU per week and 40.000 IU per week will result in weight loss in obese subjects as      compared to placebo during 1 year.,C0087111;C0014695;C0028754,C0242297;C1262477;C0042866;C0032042;C0947630;C0028754;C1561540;C1561540;C1561543;C0220825,0,0,0,7,7.0,0.019963642,0.018664651,0,0,0.04246305859209085
NCT00516919,Study of Behavioral Weight Loss Therapy for Obesity and Binge Eating in Monolingual Hispanic Persons,This is a research study designed to examine the effectiveness of an obesity medication      (orlistat) given in addition to behavioral weight loss therapy. Participants will be obese      monolingual (Spanish-speaking only) men and women.,C0006370;C1262477;C2986890;C0087111;C0028754;C0947630,C4553491;C1262477;C0013227;C0076275;C0028754;C0087111;C0947630;C3244317;C0028754;C0000589;C2986890,0,158,0,14,14.0,0.016844917,0.017537782,0,0,0.0417623035566584
NCT02024061,Treatment of Pediatric Obesity (TOP) - A Multidisciplinary Approach Involving Adolescents and Their Peers,~     The purpose of this study is to analyse if a multidisciplinary approach including peers is~     effective in the treatment of obesity in adolescence.~   ,C2362324;C0376495,C0028754;C0376495,0,0,1,13,6.5,0.009474742,0.022955789,3,3,0.04172613462230949
NCT00408850,Effects of Pioglitazone Treatment on Sympathetic Nervous System Function in Metabolic Syndrome Obesity,"An abdominal distribution of fat is associated with the greatest heart disease risk, because      commonly, several risk factors of metabolic origin cluster in these individuals. When this      occurs the condition is called the 'metabolic syndrome'.      Increased activity of the sympathetic nervous system resulting in enhanced release of the      stress hormone 'noradrenaline', may be one mechanism by which adverse cardiovascular and      metabolic sequela of the metabolic syndrome might be mediated. Impaired insulin action may be      one factor contributing to increased noradrenaline release.      The aim of this Study is to determine whether treatment with a drug called pioglitazone which      is known to improve insulin action, results in reduced sympathetic nervous system activity      and stress hormone release when compared to treatment with a dummy drug (placebo).",C0524620;C0071097;C0087111;C1705273;C0027769;C0028754,C1113667;C0524620;C0524620;C3887460;C0028351;C0028351;C0035648;C0071097;C0000726;C0012634;C0087111;C0087111;C0027769;C0680255;C0543419;C0021641;C0680255;C0021641;C0027769;C0680255;C0032042;C1550512;C0038435;C0038435;C0947630;C0013227;C0013227;C0015677;C0474395;C0184511;C1378698;C2707259;C2707259;C0127400;C4049938;C0151576;C4082977,0,0,0,11,2.75,0.015956337,0.019575728,0,0,0.040941635394035156
NCT00961740,Childhood Obesity- Characteristics and Treatment,"~     The study is evaluating the effect of a 14-session cognitive behavioural treatment for~     childhood obesity. The treatment is family based and 49 families with children with obesity,~     aged 8-12, will be recruited. Outcome measures are: BMI, waist circumference, self-esteem,~     social- and psychological functioning, cholesterol, glucose and insulin values, activity~     level (actigraphs) and a measure of food intake.~   ",C0028754;C0376495,C0028754;C0017725;C0021641;C2946261;C0028754;C0376495;C0376495,0,0,1,0,0.0,0.020025728,0.018598605,0,0,0.040447272026219394
NCT02019264,A Study to Evaluate the Effect of Long-term Treatment With BELVIQ (Lorcaserin HCl) on the Incidence of Major Adverse Cardiovascular Events and Conversion to Type 2 Diabetes Mellitus in Obese and Overweight Subjects With Cardiovascular Disease or Multiple Cardiovascular Risk Factors,"This is a multicenter, randomized, double-blind, placebo-controlled, parallel-group study in      overweight and obese subjects with CV disease and/or multiple CV risk factors.",C0011860;C0007222;C3887460;C3887460;C0035648;C2350948;C0497406;C0087111;C0220825;C0947630;C0028754;C0020259;C4019010;C0004908,C0035648;C0497406;C0032042;C0012634;C0456909;C0947630;C0028754;C2911690;C1552839;C4554418,0,0,1,9,3.0,0.01817994,0.019381827,0,0,0.040014422965082466
NCT01843231,Use of the Incisionless Operating Platform as a Primary Treatment for Obesity vs. Diet-Exercise Alone,"This study is a multi-center, open/unblended study (3:1Treatment: Control) to evaluate the      safety and effectiveness of the g-Cath EZ Suture Anchor Delivery Catheter as an early weight      loss intervention compared to a diet and exercise control only. Mean % Total Body Weight Loss      [TBWL] in Treatment subjects versus that of Control subjects at 12 months is the primary      endpoint. The proportion of subjects achieving = 5% TBWL at 12 months in the treatment group      is a co-primary endpoint.",C0087111;C1522704;C0028754;C0439044;C0012159,C2986535;C4553491;C1720977;C0184661;C1262477;C0087111;C0087111;C0011209;C0085590;C1305866;C0947630;C0947630;C1551342;C0454330;C4699604;C4699604;C0404831;C1552839;C0220825;C1564718;C1564718;C0087111,0,0,1,6,6.0,0.016648599,0.016089243,0,0,0.039005608274153114
NCT00167830,Barriers to Treatment in Obese Adolescents,The purpose of this study is to identify significant racial and ethnical differences in risk      factors for development of obesity and weight loss in adolescents in Central Virginia,C0087111;C0028754;C1706912,C0243107;C1262477;C0028754;C0947630;C3858576;C0085632;C1879652,0,0,0,29,7.25,0.019963642,0.017634676000000002,0,0,0.038078759915816746
NCT02745795,Efficacy of Motivational Interview in the Treatment of Obesity and Overweight in Adolescents,The objective of the study is to investigate the efficacy of motivational interview      intervention with adolescent students at a school environment on the adhesion to a      therapeutic plan to loose weight.,C0497406;C0935630;C0087111;C0028754;C0026605,C0683474;C0184661;C0018017;C0001511;C1305866;C0947630;C0087111,0,0,1,1,1.0,0.018110924,0.017826708,0,0,0.03768076583610564
