nct_id,brief_title,description,brief_title_concepts_list,brief_summary_concepts_list,tot_subj_affected,tot_subj_risk,relevance,citationSum,citationAvg,briefTitlePageRankScore,briefTitleAndSummaryCombinedPageRankScore,brief_title_matched_count,brief_summary_matched_count,RRFscore_not_recency
NCT00125918,PHIRST-1: Tadalafil in the Treatment of Pulmonary Arterial Hypertension,The purpose of this study is to evaluate the safety and effectiveness of tadalafil for the      treatment of pulmonary arterial hypertension.,C0020538;C1176316;C0087111;C2707265;C0003842,C0020538;C4553491;C1176316;C0087111;C0024109;C0947630;C0220825,0,0,1,164,164,0.016267215,0.019006154,0,1,0.044387537
NCT01643434,Resistant Hypertension Optimal Treatment,"Resistant hypertension (ReHy) is an emerging clinical and public health problem which tends      to increase because populations are living longer and there is a growing global epidemic of      obesity, diabetes and sleep apnea. It is also tempting to speculate that the excessive      dietary salt ingestion reported in many countries can contribute substantially to the risk of      ReHy development. ReHy is defined as persistent high blood pressure (above the target goal)      in spite of the use of at least 3 antihypertensive agents of different classes, one of them      must being diuretics.      Data regarding the exact prevalence of ReHy are very limited. In addition, little data is      available about 3-drug combinations but a simplified treatment algorithm has demonstrated      that a combination of a diuretic plus an angiotensin-converting enzyme inhibitors (ACEi) or      an angiotensin-receptor blocker (ARB) plus diuretic, adding a calcium channel blocker when      necessary, controlled 64% of hypertensive patients and, in addition, was even more efficient      than the current guideline-based management. By contrast, the fourth drug to be added-on the      triple regimen is still controversial and guided by empirical choices or personal      preferences. Recent studies suggest the emerging role of spironolactone as the ""first-line""      fourth drug for treating resistant hypertension. Conversely, because of the      pathophysiological rationale, others have proposed the use of ?-blockers or even centrally      acting agents for managing the sympathetic hyperactivity. The present concerns about the      limited blood pressure reducing effect of ?-blockers, especially in elderly people, the      potent effect of centrally acting agents and our personal experience are pointing to      clonidine as the fourth drug to be added-on to a multidrug combination for reaching optimal      blood pressure in patients with ReHy. Nevertheless, no studies have been performed comparing,      head-to-head, which one is the best fourth drug (spironolactone or clonidine) to be added-on      to a common used multidrug combination in order to treat this condition.      Therefore, the principal objectives of the ReHOT Trial are to assess prospectively: (1) the      prevalence of ReHy in a cohort of outpatients with stage II hypertension; (2) the effect of      spironolactone on blood pressure, in comparison to clonidine, when added to a multidrug      combination consisting of chlorthalidone plus ACEi (or ARB) plus amlodipine, all of 3      up-titrated to the highest dose; (3) the role of measuring sympathetic nervous system      activity and renin-angiotensin-aldosterone activity on predicting the response of blood      pressure to spironolactone and clonidine.",C0020538;C1514892;C0087111,C0003364;C0006684;C0020538;C0014432;C0037982;C0005823;C0005823;C0037982;C0037982;C0005823;C0008294;C0037982;C0699943;C0424295;C0020538;C3539181;C0857121;C0020538;C0020538;C0037315;C0243107;C0003018;C0003018;C0003018;C0002006;C0376636;C0237607;C0018017;C0051696;C1514892;C0012798;C0087111;C0002045;C0282423;C0009014;C0009014;C0012634;C0009014;C0009014;C0011849;C0700287;C0012798;C0012798;C1704632;C0460139;C0033213;C0028754;C0456387;C0040808;C0947630;C0150312;C0947630;C0027769;C3539125;C1518681;C1518681;C3245511;C1518681;C1300072;C0005767;C0037494;C0018017;C3245479;C0013227;C1704326;C0013227;C0013227;C0018670;C0018670;C0013227;C1273517;C1704326;C3539181;C3539181;C3539181;C3539181;C3845947;C4684637;C0776963;C1979715;C1514811;C2911690;C3653883;C1514892;C0449900;C0776963;C0776963;C0776963;C1522411;C0776963;C4697740;C0037816;C1707944;C3272565;C1707944;C1548344;C0201956;C4049938;C4049938;C3834249;C0277785;C0546816,0,0,1,7,3.5,0.019494719,0.020308932,0,0,0.041278367
NCT01118286,Treatment of Hypertension With Adalat? in Combination With Other Drugs,To investigate the therapeutic effectiveness of long acting nifedipine containing combination      therapy in the treatment of hypertensive patients.,C0020538;C3811910;C0087111;C0590658;C1546725;C0013227,C4553491;C0857121;C0028066;C0087111;C0087111;C0087111;C3539181,0,0,1,3,3,0.013867314,0.01454258,0,0,0.040209235
NCT00273299,Valsartan/Hydrochlorothiazide Combination in the Treatment of Severe Hypertension,"The purpose of this study is to assess the potential of using valsartan/HCTZ as initial      therapy in patients with severe hypertension compared to valsartan alone as initial therapy,      and to determine whether a greater proportion of patients achieve blood pressure control with      the combination compared to the monotherapy without producing an unacceptable adverse event      profile.",C0020261;C0020538;C3811910;C0216784;C0087111;C0205082,C0005823;C0877248;C0020538;C0216784;C0216784;C0087111;C0087111;C0205082;C0947630;C0439044;C0020261;C3539181;C4082977,0,0,1,4,4,0.014480332,0.017648585,0,0,0.039351284
NCT01152567,Effects of Angiotensin Converting Enzyme (ACE) Inhibitors Versus Candesartan in Reducing Cardiovascular Events in Primary Treatment of Hypertension,The planned Study will be a retrospective study on the effect of ACE's vs. candesartan on      cardiovascular events and on health economic effects in a "real life" setting in Sweden.,C0201888;C3887460;C0020538;C0717550;C0087111;C4019010;C1268567,C1320716;C0717550;C0542559;C1518681;C0947630;C0947630;C1518681;C4698437,0,0,1,4,4,0.012862785,0.014120051,0,0,0.039289558
NCT02272283,Optical Coherence Tomography Guided Percutaneous Coronary Intervention With Stent Implantation,"~     Coronary artery disease is one of the most prevalent diseases in the western countries.~      A waxy substance called plaque can build up inside the coronary arteries. Over time, plaque~     can harden or rupture, and cause narrowing (stenosis) of the arteries and reduce the flow of~     oxygen-rich blood to the heart.~      The standard treatment of symptomatic coronary stenosis is percutaneous coronary intervention~     (PCI) with balloon dilation followed by stent implantation.~      A stent is a small metallic grid that stabilizes the coronary vessel wall after the balloon~     dilation.~      Currently, drug-eluting stents (DES) are the most widely used stent types. DESs consist of a~     metallic backbone and an antiprolifetive drug-coating bound by a polymer (glue). These~     devices have reduced the incidence of excessive formation of new tissue (in-stent restenosis)~     dramatically in comparison with previously used bare-metal stents.~      However, there are safety concerns with DES, since later thrombotic events have been~     reported.~      On one hand excessive tissue formation inside the stent can cause in-stent restenosis, and on~     the other hand insufficient coverage of the stent can cause persistently exposed metalllic~     material that can induce platelet aggregation and thrombus-formation.~      The etiology to stent thrombosis is multifactorial. Possible predisposing factors are, among~     others: 1) hypersensitivity towards the polymer-coating, which may induce delayed healing~     inside and around the stent, and 2) insufficient contact between the stent and the underlying~     coronary vessel wall (incomplete stent apposition), which may cause flow-disturbance and~     delayed healing.~      Delayed healing causes persistently exposed metallic material that can induce platelet~     aggregation and thrombus-formation.~      The Nobori stent is a new-generation DES, coated with a thin layer of drug and a~     bioabsorbable polymer. The drug is localized on the outer side of the stent, and decreases~     the release of drug to the blood circulation. The bioabsorbable polymer is degraded after 6-9~     months after implantation, and decreases the risk of hypersensitivity-reactions in the vessel~     wall.~      The improved pharmacokinetic profile of the stent is thought to improve the healing pattern.~      At routine coronary angiography, a small plastic tube is inserted in the femoral artery under~     local anesthesia. Thin, flexible catheters are then advanced through the artery system~     (femoral artery and aorta) to the coronary arteries. Contrast is injected in to the blood~     stream by the catheters, and the arteries are depicted by a special X-ray technique during~     dye-release. By angiography, the outer sides of the coronary arteries are visualized, and~     balloon dilations and stent implantations are guided by this standard technique.~      Newer studies have documented that stent placement and expansion is superiorly visualized if~     supplementary intravascular imaging is performed during stent implantation.~      Small imaging catheters are wired through the vessel after stent implantation, and film the~     stent retrogradely through the vessel.~      Intravascular ultrasound (IVUS) visualizes the complete vessel wall by use of sound waves,~     and stent expansion is evaluated in detail.~      Optical coherence tomography (OCT) is a newer light-based, high-resolution technology. The~     technique can depict every thread (strut) from the stent, enabling visualization of both~     contact between struts and underlying vessel wall immediately after the procedure, and strut~     coverage at follow-up.~      The purpose of this study is to determine whether OCT-guided PCI can improve healing and~     coverage of the stent in comparison with routine angiographic guidance alone in patients~     indicating PCI due to myocardial infarction.~      If OCT-guidance improves coverage of the stent, this might lower the later thrombotic risk.~      Patients hospitalized due to myocardial infarction are randomized either to OCT-guided or~     angio-guided stent implantation in the present study. In both groups the Nobori stent is~     implanted according to standard techniques. In the angio-guided group, implantations are~     guided by angiography alone. OCT- and IVUS analysis are performed after an angiographic~     optimal result for documentary reasons. The operator is blinded towards the image findings,~     and analysis is performed offline later.~      In the OCT-guided group, both OCT and IVUS analysis is interpreted immediately after the~     acquisition. If stent apposition and/or expansion is deemed suboptimal, additional balloon~     dilation and/or stenting is performed. In case of OCT-driven stent optimization, a~     documentary OCT and IVUS is performed to document the final result.~      Patients are readmitted 6 months later for a control angiogram inclusive OCT to assess stent~     coverage.~      Furthermore, patients are readmitted 12 months after the index procedure for a control~     angiogram including OCT and IVUS to assess dynamic vessel wall responses.~   ",C1532338;C0040395,C1456025;C1956346;C0027051;C0085532;C0002921;C0040053;C1301725;C0040395;C0002978;C0002978;C0003842;C1261287;C0003842;C1261287;C0087086;C0332149;C0087086;C0184511;C0003842;C0003842;C0003842;C1171285;C2348535;C3203359;C0150312;C0030054;C0148346;C0148346;C0148346;C0148346;C0148346;C0148346;C0005767;C0005767;C0003483;C1704922;C0918012;C0018563;C0018563;C1532338;C0027051;C0004704;C1301746;C0012634;C0184511;C0184511;C0004704;C0148346;C0577620;C0577620;C1522577;C1261287;C0005767;C1449882;C1449882;C2947996;C2947996;C2947996;C2947996;C2947996;C0184511;C1630418;C0376495;C0012725,0,0,0,4,4,0.014409222,0.00985268,0,1,0.038332639
NCT01113047,Aliskiren in Combination With Amlodipine in Hypertensive Patients Not Responding to Angiotensin Receptor Blocker (ARB) Plus Amlodipine,"~     This study will assess the efficacy and safety of the single pill combination of Aliskiren~     and Amlodipine in patients with moderate hypertension not adequately responding to a single~     pill combination of Olmesartan and Amlodipine.~      Further this study will also assess the efficacy and safety of a single pill combination of~     Aliskiren, Amlodipine and Hydrochlorothiazide (HCTZ) in patients with moderate hypertension~     not adequately responding to a single pill combination of Aliskiren and Amlodipine.~   ",C0003018;C1979715,C0020538;C1098320;C0020538;C0723338;C0723338;C0723338,0,0,1,1,1,0.004983415,0.013371359,0,1,0.03799503
NCT01581515,Assessment of Stent Malapposition and Neointimal Coverage on Optical coHerence Tomography at Post-procedure and 3 Months After Platinum Chromium Alloy Of the Element? Stent Implantation,"~     The purpose of this study is to compare the degree of stent malapposition on an immediate~     optical coherence tomography (OCT) after nominal stent pressure and at a final post-procedure~     OCT (ANCHOR-I) and the neointimal coverage on 3-months OCT following the intervention with~     the randomly assigned two drug-eluting stents (DES), PromusTMElementTM stents versus Xience~     PRIME? stents.~   ",C0040395,C0040395;C3854239,0,0,0,4,4,0.014409222,0.005088821,0,0,0.037636818
NCT01613235,Induced Hypertension for Treatment of Delayed Cerebral Ischaemia After Aneurysmal Subarachnoid Haemorrhage,"The objective of this multi-centre, randomized controlled trial is to investigate the outcome      after induced hypertension versus no induced hypertension in patients with delayed cerebral      ischemia (DCI) after aneurysmal subarachnoid hemorrhage (SAH), and to assess whether induced      hypertension results in improved cerebral blood flow (CBF) as measured by means of      perfusion-CT.",C0020538;C0087111;C0228174;C1545665;C0751530;C0022116,C0282440;C0038525;C0373440;C0020538;C0020538;C0020538;C0018017;C0031001;C0006104;C0022116;C0184511;C0007124;C0404831,0,0,1,17,5.666666667,0.013022941,0.011219474,0,0,0.036946663
NCT01502904,Neointimal Coverage After Implantation of Biolimus Eluting Stent With Biodegradable Polymer: Optical Coherence Tomographic Assessment According to the Treatment of Dyslipidemia and Hypertension and the Types of Implanted Drug-eluting Stents,"There has been little research on neointimal coverage and malapposition after BES      implantation using OCT in human coronary artery. Furthermore, specific drug may possibly      influence the vascular healing after stent implantation. Therefore, this study will      investigate 1) neointimal coverage and malapposition on OCT after BES versus SES implantation      and 2) relationship of specific drug treatment and neointimal coverage or late malapposition      by the prospective, randomized study.",C0021107;C0242339;C0020538;C0031809;C0087111;C0021102;C0038257;C0038257;C0013227;C0920367;C3854012,C0205042;C0021107;C0021107;C0021107;C0087111;C3854012;C1552740;C0005847;C3854012;C1552740;C3854012;C0043240;C0038257;C0947630;C0947630;C0013227;C0013227;C1328018;C0332149,0,0,1,6,3,0.012880646,0.01254771,0,0,0.036754075
NCT01911897,Controlling and Lowering Blood Pressure With The MOBIUSHD? (CALM-FIM_EUR),~     To evaluate the safety and performance of the MobiusHD system in subjects with resistant~     hypertension.~   ,C0005823,C0020538,0,0,1,0,0,0.005640818,0.032680031,0,1,0.035474021
NCT01240512,DAYLIGHT: Vitamin D Therapy in Individuals at High Risk of Hypertension,"This is a randomized, double-blind, multicenter, 6-month follow-up trial of low (400 IU/day)      versus high (4000 IU/day) dose vitamin D supplementation in individuals with pre- and early      stage 1 hypertension and vitamin D deficiency. A total of 530 participants (265 participants      per treatment arm) will be randomized between 3 sites. Approximately 2,250 participants will      be screened between the 3 sites. Vital signs, 24-hour ambulatory blood pressure monitoring,      clinical laboratory safety tests and adverse event assessments will be performed to evaluate      the effectiveness of the two doses of vitamin D on blood pressure. Blood samples will be      stored for future biomarker assessments. The total duration of the study is anticipated to be      18 months, assuming a 12 month enrollment period.",C0020538;C0014695;C0332167;C0087111,C0855316;C0042870;C0242297;C0005823;C0877248;C4553491;C0020538;C0488614;C1261322;C1261322;C0150369;C1516879;C0042866;C0087111;C0042866;C0005516;C0025344;C0456909;C1300072;C0392366;C0005767;C0947630;C1561542;C1550472;C1561538;C1561538;C0446516;C3840775;C0022885;C0332534;C1561542;C0018792;C3272565;C0220825,0,0,1,29,14.5,0.015373823,0.016083204,0,1,0.035364987
NCT00425997,Efficacy of Valsartan/Hydrochlorothiazide Versus Amlodipine and Hydrochlorothiazide in Patients Hypertension,~     This study will evaluate the efficacy of valsartan/hydrochlorothiazide versus amlodipine and~     hydrochlorothiazide in patients with Stage 2 hypertension using 24-hr ambulatory blood~     pressure monitoring (ABPM)~   ,C0020538;C0216784,C0020538;C0216784;C0026426,0,0,1,3,3,0.015577155,0.018152989,0,0,0.035282662
NCT00827775,Mechanisms and Treatment of Intradialytic Hypertension,"1. To determine in a cross sectional case-controlled cohort study of 50 hemodialysis           patients if blood pressure elevations with hemodialysis are associated with decreased           endothelial cell function (measured by brachial artery flow mediated dilation and           endothelial progenitor cell number), both of which are novel mechanistic markers in the           causal pathway for detrimental cardiovascular outcomes; and        2. To determine if lowering blood pressure with carvedilol in 25 ESRD subjects with blood           pressure elevations with hemodialysis can improve endothelial cell dysfunction as a           surrogate mechanistic marker for improving cardiovascular outcomes.",C0020538;C0087111,C0006087;C0005823;C3887460;C0005823;C3887460;C0019004;C0019004;C0019004;C0277785;C0054836;C0442797;C0031843;C0012359;C0460139;C0005516;C0947630;C0679622;C0005767;C0022661;C0814109;C0439775;C0439775;C1820370;C0184511;C0005516;C2911690;C0429518;C0429518;C1552858;C0127400;C4082977;C4082977,0,0,1,31,15.5,0.025030945,0.014744636,0,0,0.034811003
