nct_id,brief_title,description,brief_title_concepts_list,brief_summary_concepts_list,tot_subj_affected,tot_subj_risk,relevance,citationSum,citationAvg,briefTitlePageRankScore,briefTitleAndSummaryCombinedPageRankScore,brief_title_matched_count,brief_summary_matched_count
NCT01803074,Study to Evaluate a HIV Drug for the Treatment of HIV Infection,The primary purpose of this study is to study the safety and tolerability of a HIV drug and      to evaluate a decrease of HIV-1 virus level in blood after treatments in HIV-1 infected      patients,C0019693;C0087111;C0220825;C0947630;C0013227,C4684765;C0087111;C0439663;C0947630;C0947630;C0005767;C0013227;C0442797;C0220825,0,0,0,2,2,0.019827735,0.023235042,2,2
NCT00125099,Safety of and Immune Response to a DNA HIV Vaccine (VRC-HIVDNA009-00-VP) in HIV Infected Individuals With Acute HIV Infection,The purpose of this study is to evaluate whether the HIV vaccine VRC-HIVDNA009-00-VP will be      safe in individuals who started antiretroviral therapy during acute HIV-1 infection. The      study will also test whether the vaccine can increase the immune system function in these      participants.,C0019693;C0086413;C1704632;C0439663;C0439662;C1547229,C1963724;C0086413;C0009450;C0031843;C0042210;C0439662;C0947630;C0947630;C0392366;C0220825,0,0,0,23,23,0.02079661,0.020325247,2,2
NCT00102960,Anti-HIV Drugs for Treating Infants Who Acquired HIV Infection at Birth,The purpose of this study is to compare the effects of anti-HIV drug courses of different      lengths in infants who became HIV infected at birth.,C0376565;C0019693;C0005615;C3245488,C0439663;C0947630;C0005615;C0013227;C1518681,3914,45994,0,575,143.75,0.013031161,0.02022799,2,2
NCT02415595,Dose-finding Study of BMS-955176 to Treat HIV-1 Infected Treatment-naive Adults,"~     The purpose of this study is to find at least one dose of BMS-955176 that will be safe,~     effective and tolerable for HIV-1 infected treatment naive adults.~   ",C0439663;C0243095;C0376495,C0439663;C0376495,607,10918,0,5,5,0.014639172,0.020085871,2,2
NCT01040091,Evaluation of the Cellular Pharmacology of Tenofovir and Emtricitabine According to HIV Infection Status,"Tenofovir disoproxil fumarate (TDF) and emtricitabine (FTC) are two antiretroviral      medications used for the treatment and prevention of HIV/AIDS. This study will examine how      these medications are processed in the body of people who are HIV-infected, as well as in      people who are HIV-uninfected.",C0909839;C0019693;C0220825;C0384228;C0178539;C0723443,C1099776;C0909839;C0013227;C0013227;C0199176;C0087111;C0439663;C0947630;C1273517;C0262340;C0000589;C0439663,0,0,1,12,4,0.016465104,0.019090164,2,2
NCT02411539,"Evaluating the Safety, Tolerability, and Effect of a Human Monoclonal Antibody (VRC01) on Markers of HIV Persistence in HIV-Infected Adults Receiving Antiretroviral Therapy (ART)","~     The purpose of this study was to evaluate the safety, tolerability, and effect of an~     experimental human monoclonal antibody (mAb), VRC-HIVMAB060-00-AB (VRC01), in adults infected~     with HIV who were receiving antiretroviral therapy (ART).~   ",C1963724;C0439663;C0281019,C1963724;C0439663;C0281019,164,2920,0,7,7,0.011804636,0.018974059,2,2
NCT00004579,A Study to See Whether Two HIV Vaccines Are Safe and Can Prevent HIV Infection,"The purpose of this study is to see whether an HIV vaccine, ALVAC vCP205, is safe and can      prevent HIV infection. The vCP205 vaccine will be tested with another vaccine, gp160MN/LAI-2.",C0019693;C0086413;C0947630;C0012082,C0019693;C0086413;C0042210;C0042210;C0392366;C0947630;C0042789,0,0,1,0,0,0.016096942,0.018557142,2,2
NCT03571204,Combination Therapy With 3BNC117 and 10-1074 in HIV-Infected Individuals,"~     Background:~      Human immunodeficiency virus (HIV) affects the immune system. The main function of the immune~     system is protect you from infections and other diseases such as cancer. HIV attacks and~     cripples the immune system making people more susceptible to a variety of infections and~     cancers. Currently, the standard treatment for HIV infection is a daily administration of~     anti-HIV drugs. These drugs are called combination antiretroviral therapy (ART). ART is very~     effective at suppressing HIV, but does not cure HIV infection. ART must be taken continuously~     for life to be effective. ART can stop being effective if not taken correctly and can cause~     permanent side effects. Researchers want to see if two new products can control HIV infection~     without the use of ART. The products are the antibodies 3BNC117 and 10-1074.~      Objective:~      To see if 3BNC117 and 10-1074 are safe and can control HIV levels in the blood of people who~     are not taking ART or people who stop taking their ART during the study. .~      Eligibility:~      Adults ages 18-65 with HIV who are:~        -  on ART and willing to stop treatment for at least 28 weeks~        -  OR not taking ART with low levels of HIV in the blood~      Design:~      Participants will be screened with a physical exam, medical history, and blood, heart, and~     urine tests.~      Participants will get the 2 study products or salt water (placebo). A thin tube will be~     placed in an arm vein. Each product will be given directly into the vein for about 1 hour.~      To help collect blood cells to study in the laboratory, participants may have a procedure~     known as leukapheresis in which blood will be removed through a needle in the arm. Some of~     the white blood cells will be separated from the blood and used for research studies to see~     how 3BNC117 and 10-1074 effects HIV and the immune system. The rest of the blood will be~     returned to the person through another needle in the arm.~      Participants will have 18 study visits over 28 weeks. They will repeat some screening tests.~     They may have leukapheresis again.~      At 8 study visits, participants will get the study products or placebo.~      All participants will be followed for at least 24 weeks after their last dose of the study~     infusions. Participants who are in the Group that stops ART will be monitored closely to make~     sure the levels of virus in their blood do not go to high. If at any time during this the~     study a person develops HIV-related symptoms, or if the viral levels go up to high levels for~     more than 4 weeks, ART will be restarted and no further infusions of 3BNC117 and 10-1074 will~     be given.~   ",C0439663,C1963724;C0262926;C3714514;C3714514;C1710032;C1457887;C3687832;C3687832;C0005767;C0005767;C0018787;C0042036;C0043047;C0005767;C0005767;C0005767;C0005767;C0005767;C0005767;C0446516;C0446516;C0084688;C3714514;C3714514;C3714514;C1321876;C0012634;C0032042;C2946261;C2946261;C0005767;C2946261;C2946261;C2946261;C3845829;C0376495;C0376495,0,0,0,0,0,0.020589157,0.01844405,2,2
NCT01944371,Short-term Disulfiram Administration to Reverse Latent HIV Infection: a Dose Escalation Study,"The purpose of this study is to determine the safety, pharmacology and bioactivity of      disulfiram in antiretroviral treated HIV-infected adults. The investigators primary      hypothesis is that 3 days of disulfiram will result in an increase in HIV transcription in      CD4+ T-cells in patients on suppressive antiretroviral therapy (ART).",C1533734;C0019693;C0012772;C0947630;C1434505,C1963724;C0012772;C0012772;C0439663;C0947630;C0332155;C0084688;C4082977,0,0,0,56,56,0.01404516,0.018336805,2,2
NCT00264290,Valganciclovir to Reduce T Cell Activation in HIV Infection,"The purpose of this study is to determine whether treatment with valganciclovir decreases T      cell activation levels among HIV-infected patients with asymptomatic cytomegalovirus (CMV)      co-infection, potentially improving immune responses to antiretroviral therapy.",C0909381;C0019693;C1704653,C1963724;C0909381;C0231221;C0087111;C0009450;C0439663;C0439662;C0947630;C1704632;C0442797;C0948100;C4082977,2,90,0,118,118,0.015334356,0.017872167,2,2
