nct_id,brief_title,description,brief_title_concepts_list,brief_summary_concepts_list,tot_subj_affected,tot_subj_risk,relevance,citationSum,citationAvg,briefTitlePageRankScore,briefTitleAndSummaryCombinedPageRankScore,brief_title_matched_count,brief_summary_matched_count
NCT01644175,Efficacy and Safety of Alirocumab (SAR236553/REGN727) Versus Placebo on Top of Lipid-Modifying Therapy in Patients With High Cardiovascular Risk and Hypercholesterolemia (ODYSSEY COMBO I),Alirocumab (SAR236553/REGN727) is a fully human monoclonal antibody that binds proprotein      convertase subtilisin/kexin type 9 (PCSK9).      Primary Objective of the study:        -  To demonstrate the reduction of low-density lipoprotein cholesterol (LDL-C) by           alirocumab as add-on therapy to stable maximally tolerated daily statin therapy with or           without other lipid-modifying therapy (LMT) in comparison with placebo after 24 weeks of           treatment in high cardiovascular (CV) risk participants with hypercholesterolemia      Secondary Objectives:        -  To evaluate the effect of alirocumab in comparison with placebo on LDL-C at other time           points        -  To evaluate the effect of alirocumab on other lipid parameters        -  To evaluate the safety and tolerability of alirocumab,C0020443;C3887460;C3491162;C0032042;C0087111;C4321237;C1550655,C4684765;C0020443;C3887460;C3491162;C0746619;C3491162;C3491162;C3491162;C3491162;C0018017;C4551656;C0087111;C0003241;C0087111;C0087111;C0087111;C0032042;C0032042;C0360714;C1518681;C1518681;C0947630;C1550472;C0018017;C0201950;C0027627;C1706074;C0523744;C0523744;C0220825;C0220825;C0220825,338,21980,0,79,19.75,0.047699736,0.060814796,0,0
NCT01507831,Long-term Safety and Tolerability of Alirocumab (SAR236553/REGN727) Versus Placebo on Top of Lipid-Modifying Therapy in High Cardiovascular Risk Patients With Hypercholesterolemia (ODYSSEY Long Term),Alirocumab (SAR236553/REGN727) is a fully human monoclonal antibody that binds PCSK9      (proprotein convertase subtilisin/kexin type 9).      Primary Objective of the study:      To evaluate the long-term safety and tolerability of alirocumab in high cardiovascular risk      participants with hypercholesterolemia not adequately controlled with their current lipid      modifying therapy (LMT).      Secondary Objectives:        -  To evaluate the effect of alirocumab on low-density lipoprotein cholesterol (LDL-C)           levels after 24 weeks of treatment in comparison with placebo.        -  To evaluate the effect of alirocumab in comparison with placebo on LDL-C at other time           points.        -  To evaluate the effects of alirocumab on other lipid parameters.,C4684765;C0020443;C3887460;C3491162;C0032042;C0087111;C4321237;C0233324;C1550655,C4684765;C0020443;C3887460;C3491162;C0746619;C3491162;C3491162;C3491162;C3491162;C0018017;C0087111;C0003241;C0087111;C0032042;C0032042;C1518681;C1518681;C0947630;C1550472;C0018017;C0201950;C1518681;C2911690;C0027627;C0523744;C0523744;C0220825;C0220825;C0220825;C0220825,3864,808948,0,284,56.8,0.04664553,0.05847762,0,0
NCT01812707,Efficacy and Safety Evaluation of Alirocumab (SAR236553/REGN727) in Patients With Primary Hypercholesterolemia on Stable Atorvastatin Therapy in Japan,Alirocumab (SAR236553/REGN727) is a fully human monoclonal antibody that binds proprotein      convertase subtilisin/kexin type 9 (PCSK9).      Primary Objective of the study:      To evaluate the effect of alirocumab on low-density lipoprotein cholesterol (LDL-C) levels      after 12 weeks of treatment in comparison with placebo in participants with LDL-C =100 mg/dL      (=2.59 mmol/L) on ongoing stable atorvastatin therapy.      Secondary Objectives:        -  To evaluate the effects of alirocumab on other lipid levels after 12 weeks of treatment           in comparison with placebo        -  To evaluate the safety and tolerability of alirocumab        -  To evaluate the development of anti-alirocumab antibodies        -  To evaluate the pharmacokinetics of alirocumab,C0020443;C0286651;C0220825;C3491162;C0087111;C1547311;C1550655,C4684765;C0031327;C0286651;C0243107;C3491162;C0746619;C3491162;C3491162;C3491162;C3491162;C0003241;C3491162;C0018017;C0087111;C0087111;C0003241;C0032042;C0087111;C0032042;C1518681;C0947630;C1550472;C0428460;C0018017;C0201950;C1518681;C0027627;C1706074;C0220825;C0220825;C0220825;C0220825;C0220825,73,900,0,0,0,0.048638072,0.055247618,0,0
NCT02571257,Efficacy and Safety of Gemcabene in Hypercholesterolemic Patients on Stable Statin Therapy,The purpose of this study is to evaluate the effect of gemcabene on LDL-C and other lipid      parameters in hypercholesterolemic patients on a stable dose of a statin.,C0672211;C0087111;C1547311;C0360714;C0020443;C1550655,C0672211;C1518681;C0360714;C0947630;C0020443;C1706074;C0523744;C0220825,0,0,1,4,4,0.044711227,0.054475606,0,0
NCT01288443,Efficacy and Safety Evaluation of Alirocumab (SAR236553/REGN727) in Patients With Primary Hypercholesterolemia on Stable Atorvastatin Therapy,Primary Objective:        -  To evaluate the effect of alirocumab (SAR236553/REGN727) on low-density lipoprotein           cholesterol (LDL-C) levels after 12 weeks of treatment in comparison with placebo in           participants with LDL-C = 100 mg/dL (= 2.59 mmol/L) on ongoing stable atorvastatin           therapy.      Secondary Objectives:        -  To evaluate the effects of alirocumab on other lipid levels after 12 weeks of treatment           in comparison with placebo        -  To evaluate the safety and tolerability of alirocumab        -  To evaluate the development of anti-alirocumab antibodies        -  To evaluate the pharmacokinetics of alirocumab,C0020443;C0286651;C0220825;C3491162;C0087111;C1547311;C1550655,C4684765;C0031327;C0286651;C0243107;C3491162;C3491162;C3491162;C3491162;C0003241;C3491162;C0018017;C0087111;C0087111;C0032042;C0087111;C0032042;C1518681;C1550472;C0428460;C0018017;C0201950;C1518681;C0027627;C1706074;C0220825;C0220825;C0220825;C0220825;C0220825,196,5642,0,111,27.75,0.048638072,0.052372852,0,0
NCT02584504,Efficacy and Safety of Alirocumab in Patients With Hypercholesterolemia Not Adequately Controlled With Non-statin Lipid Modifying Therapy or the Lowest Strength of Statin,"Primary Objective:      To demonstrate the reduction of low-density lipoprotein cholesterol (LDL-C) by alirocumab      administration as add-on therapy to non-statin lipid modifying therapy (LMT) including diet      therapy alone or the lowest strength of statin in comparison with placebo after 12 weeks of      treatment in participants with hypercholesterolemia.      Secondary Objective:        -  To evaluate the effect of two treatment regimens of alirocumab on other lipid           parameters: apolipoprotein B (Apo-B), non-high-density lipoprotein cholesterol (non           HDL-C), total cholesterol (TC), lipoprotein (a) [Lp(a)], high-density lipoprotein           cholesterol (HDL-C), triglyceride (TG), and apolipoprotein A-1 (Apo A-1).        -  To evaluate the safety and tolerability of alirocumab administration.        -  To evaluate the development of anti-alirocumab antibodies.        -  To evaluate the pharmacokinetic and pharmacodynamic profiles of alirocumab           administration.        -  To evaluate the long-term safety in participants receiving open-label alirocumab           administration.",C0020443;C3491162;C2911690;C0087111;C0360714;C0360714;C1550655,C4684765;C0020443;C0543421;C1533734;C1533734;C1533734;C1533734;C0243107;C3491162;C3491162;C3491162;C3491162;C0003241;C3491162;C3491162;C0018017;C4551656;C0087111;C0018017;C0087111;C2945654;C0087111;C0087111;C0087111;C0032042;C0360714;C0360714;C1518681;C0439044;C1705425;C1550472;C0031327;C0151691;C0523509;C0052208;C0201950;C0201950;C0202236;C0027627;C0523744;C0523744;C3808076;C0220825;C0220825;C0220825;C0220825;C0220825,270,8667,0,0,0,0.046778173,0.052332696,0,0
NCT02585778,Efficacy and Safety of Alirocumab Versus Placebo on Top of Maximally Tolerated Lipid Lowering Therapy in Patients With Hypercholesterolemia Who Have Type 1 or Type 2 Diabetes and Are Treated With Insulin (ODYSSEY DM - Insulin),"Primary Objectives:        -  To demonstrate the superiority of alirocumab in comparison with placebo in the reduction           of calculated low-density lipoprotein cholesterol (LDL-C) in participants with diabetes           treated with insulin and with hypercholesterolemia at high cardiovascular risk not           adequately controlled on maximally tolerated LDL-C lowering therapy.        -  To evaluate the safety and tolerability of alirocumab in participants with diabetes           treated with insulin.      Secondary Objective:      To demonstrate that alirocumab was superior in comparison to placebo in its effects on other      lipid parameters (i.e., measured LDL-C, non-high-density lipoprotein cholesterol [non-HDL-C],      apolipoprotein B [Apo B], total cholesterol [TC], lipoprotein a [Lp(a)], high density      lipoprotein cholesterol [HDL-C], triglyceride [TG] levels, triglyceride rich lipoproteins      [TGRL], apolipoprotein A-1 [Apo A-1], apolipoprotein C-III [Apo C-III], and LDL particle      number and size).",C0020443;C0011860;C3491162;C0032042;C0087111;C0021641;C0021641;C4085651;C1550655;C4049713,C4684765;C0020443;C0543421;C3887460;C3491162;C3491162;C3491162;C4551656;C0018017;C0011849;C0011849;C0032042;C0021641;C0087111;C0021641;C0032042;C1550472;C0151691;C0018017;C0523509;C0052208;C0052208;C1820370;C0575801;C0201950;C0201950;C1518681;C2911690;C0428475;C0202236;C0027627;C0523744;C1441792;C0220825;C0332155;C0332155,160,30326,0,10,10,0.042802889,0.051971083,0,0
NCT00770146,Safety and Efficacy of Mipomersen (ISIS 301012) As Add-on Therapy in High Risk Hypercholesterolemic Patients,The purpose of this study is to evaluate the safety and efficacy of dosing with mipomersen      for 26 weeks in patients with high cholesterol who are on a maximally tolerated dose of      statin and who have a diagnosis that puts them at least at high risk of coronary heart      disease (CHD).,C2604635;C0332167;C0087111;C0020443;C1550655,C1522133;C2604635;C0011900;C0332167;C0018787;C0012634;C0360714;C0947630;C0018787;C0220825,1053,45059,0,54,27,0.044560305,0.05083887,0,0
NCT02314663,Effectiveness of a Combined Strategy to Improve Therapeutic Compliance and Degree of Control Among Patients With Hypercholesterolaemia,"Background In subjects with hypercholesterolaemia, cholesterol values remain above guideline      levels. One of the limiting factors to the achievement of goals in such patients is      therapeutic non-adherence. The aim of this study is to assess the effectiveness of an      intervention designed to improve control of hypercholesterolaemic patients, consisting of a      combined strategy that would include the delivery of printed information,      treatment-compliance check cards and the dispatch of text messages as complementary measures      in support of the intervention at the general practitioner's practice.      Methods/Design A randomised, parallel-group clinical trial will be conducted at the family      medicine outpatient facilities of eight health centres in three of Spain's Autonomous      Regions, covering a total of 358 subjects aged 18 years or over with diagnosis of      hypercholesterolaemia. Patients in the intervention group will be supplied with printed      material with information on the disease and its management, mobile-telephone text messages      with guideline summaries, reminders of forthcoming appointments and/or arrangements for      making new appointments in the event of non-attendance, and self-report cards to check      compliance with recommendations. Both groups -intervention and control- will receive routine      recommendations from their physicians in accordance with current European clinical practice      guidelines for hypercholesterolaemia and cardiovascular risk management. As regards the      measurements to be made, the main variable is the proportion of subjects who attain the low      density lipoprotein cholesterol levels set as a target across a follow-up period of 24      months. The secondary variables are as follows: adherence to recommendations on lifestyle and      adherence to drug treatment; variation in lipid profiles and cardiovascular risk levels;      appearance of cardiovascular events; physical activity; food consumption; smoking habit;      anthropometric measures; blood pressure; health problems; use of hypolipidaemic agents;      socio-demographic data; beliefs and expectations about preventive recommendations; and degree      of satisfaction with the combined strategy.      Discussion Should this intervention prove effective, a recommendation could be issued on the      application of this combined strategy to subjects with hypercholesterolaemia. It is a simple,      relatively inexpensive intervention.",C4553491;C0087111;C3714738;C0679199;C0542560;C0020443;C1550655;C0184511;C1564718,C0020443;C0020443;C0020443;C1320716;C0020443;C0201950;C4684639;C0035649;C1096775;C3887460;C3887460;C0005823;C4553491;C0184661;C0184661;C0184661;C0242428;C0184661;C0184661;C0185125;C0376636;C0162791;C0282423;C0087111;C0011900;C0282423;C0027627;C0087111;C0679199;C0011209;C0470166;C0237607;C0470166;C0237607;C0679199;C0679199;C0025663;C0012634;C1301584;C0684224;C1552839;C0025344;C0542560;C0018017;C0947630;C1527021;C1527021;C1551994;C0013227;C3540798;C1578513;C1550472;C0036849;C0184661;C0020443;C0087111;C1550655;C0033213;C0184511;C3242430;C3242430;C0201950;C1947907;C0723323;C3714738;C3714738;C4084721;C0557061;C2735115;C0178520;C1515258;C1561542;C1552839;C1552839;C0523744;C0700164;C4554418;C0013227;C3272565;C4553760;C0021118;C0021118;C2923839;C4698129;C4698129;C4698129,0,0,1,0,0,0.039672418,0.047710041,0,0
NCT00249899,Efficacy of Lapaquistat Acetate Alone or Combined With High-Dose Statin Therapy in Subjects With Hypercholesterolemia,"The purpose of this study is to evaluate lapaquistat acetate, once daily (QD), taken alone or      with additional statin therapy on cholesterol levels in treating patients with elevated      cholesterol.",C0020443;C2825674;C0087111;C0360714;C0439044;C4321237,C0201950;C0000975;C0087111;C0360714;C0947630;C0439044;C0020443;C0220825;C0181622,0,0,1,16,16,0.039037201,0.046389046,0,0
