nct_id,brief_title,description,brief_title_concepts_list,brief_summary_concepts_list,tot_subj_affected,tot_subj_risk,relevance,citationSum,citationAvg,briefTitlePageRankScore,briefTitleAndSummaryCombinedPageRankScore,brief_title_matched_count,brief_summary_matched_count
NCT01581502,SAMURAI-NVAF Study: Anticoagulant Therapy for Japanese Stroke Patients With Nonvalvular Atrial Fibrillation (NVAF),"The purpose of this study is to determine choice of anticoagulant therapy during acute and      chronic stages of ischemic stroke/TIA and short- and long-term outcomes, including stroke      recurrence and bleeding complications, in patients having nonvalvular atrial fibrillation.",C0004238;C0003280;C0087111;C0038454;C0947630;C1550655,C0150457;C0004238;C0948008;C0009566;C1458156;C0019080;C0038454;C0947630;C1300072;C4082977,0,0,0,9,4.5,0.004502037,0.004292957,1,1
NCT01928979,Retrospective Registry Providing Baseline Data on the Outcome of Left Atrial (LA) or LA Appendage (LAA) Thrombus in Patients With Nonvalvular Atrial Fibrillation (AF) or Atrial Flutter After Standard of Care (SoC) Anticoagulant Therapy,"Thrombus outcome data will be collected retrospectively during 2011-2012 as a historical      baseline of SoC with oral VKA (Vitamin K Antagonist(s) for the treatment of patients with      nonvalvular AF or atrial flutter documented with LA/ LAA thrombi on transesophag-eal      echocardiography (TEE).      The study is a company-sponsored, global, multi-center, retrospective, non-interventional      study. Patients who suffered from hemodynamically stable nonvalvular AF or atrial flutter and      had a diagnosed LA/ LAA thrombus between January 1st, 2011 and December 31st, 2012 will be      identified through screening and review of medical records and included in the registry.      Retrospective patient data will be collected from May 2nd, 2013 to May 2nd, 2014. The      observation of each patient will cover the period from the diagnosis of an LA/ LAA thrombus      until the end-of-treatment TEE following the 3-12 week SoC anticoagulation (AC) therapy. If      no end-of-treatment TEE has been performed during 3-12 weeks of AC therapy, the observational      period will end at 12 weeks after diagnosis at the latest. If more than one TEE was performed      during treatment, the thrombus outcome will be collected from the last TEE performed within      12 weeks of treatment start.",C0004238;C2936643;C0004239;C0003280;C0598782;C0034975;C0087086;C0087111;C0018792;C0175316;C1550655;C0699530;C0728774,C0013516;C0025102;C0003281;C0004239;C0004239;C0700325;C1301725;C0042879;C0087111;C0011900;C0199230;C0011900;C0087111;C0087111;C0011900;C0087111;C0087111;C0087086;C0683278;C0087086;C0034975;C0087086;C0087086;C0087086;C0087111;C0087111;C0282443;C0025344;C0025344;C0947630;C0947630;C1552850;C3245479;C3245479;C1561540;C0175316;C0175316;C0184661;C1964257;C1550655;C1552658;C1550043;C1706074;C0404831;C0728774,0,0,0,1,1,0.004365134,0.003975351,1,1
NCT01491178,Post-Marketing Surveillance of Prazaxa?? on the Long-term Use in Patients With Nonvalvular Atrial Fibrillation,To investigate the safety and efficacy of long-term use of Prazaxa?? Capsules in patients with      nonvalvular atrial fibrillation for preventing the occurrence of ischemic stroke or systemic      embolism (SEE).,C0004238;C0733511;C1550655,C0004238;C0948008;C0013922;C0042789;C0524463,2280,1952229,0,4,2,0.004654774,0.003476278,1,1
NCT02354456,Atrial Fibrillation in Turkey: Epidemiologic Registry-2,"Atrial fibrillation (AF) is one of the most common cause of preventable ischemic stroke and      associated with increased cardiovascular morbidity and mortality. Our previous AFTER study      demonstrated the general epidemiological data about the patients with valvular and      nonvalvular AF in Turkey. However, data is lacking about the use of new oral anticoagulants      (NOACs), time in therapeutic INR range (TTR) in vitamin K antagonist users and AF management      modality in our country. In this multicenter trial the investigators aimed to analyze, follow      and evaluate the epidemiological data in non-valvular AF patients.",C0004238;C2722024;C0034975,C1301700;C0004238;C0354604;C0948008;C0376636;C0042890;C1550710;C3245511;C2722024;C0947630;C3245479;C3245479;C3245479;C1578513;C0087111;C0381385;C2702329;C0018792;C4697740;C1547664;C0220825;C0151576,0,0,1,0,0,0.003822073,0.003525893,0,1
NCT01839357,Exploring the Efficacy of Once Daily Oral Rivaroxaban for Treatment of Thrombus in Left Atrial/Left Atrial Appendage in Subjects With Nonvalvular Atrial Fibrillation or Atrial Flutter,A study for subjects with atrial fibrillation (AF) or atrial flutter who are diagnosed with      left atrial (LA) or left atrial appendage (LAA) thrombus. The study will assign subjects to      rivaroxaban for treatment of thrombi. The study will measure thrombus outcomes based on echo      image and common clinical outcomes such as bleeding and stroke or thromboembolism.,C4284918;C0004238;C0004239;C1739768;C0087111;C0087086;C0018792,C0004238;C0225832;C0040038;C0004239;C1739768;C0011900;C0087111;C0087086;C0087086;C0019080;C0087086;C0018792;C3245511;C0038454;C0947630;C0947630;C0947630;C1696103;C3272565,0,0,0,1,1,0.003811203,0.003990065,1,0
NCT01727297,REVEAL AF: Incidence of AF in High Risk Patients,"~     This study is to determine, through continuous monitoring with the Reveal implantable cardiac~     monitor (ICM), the incidence of atrial fibrillation (AF) in patients suspected to be at high~     risk for having AF and to understand how physicians manage these patients after AF has been~     detected. This study will also seek to identify what patient characteristics are most~     predictive of developing AF.~   ",C0332167,C0004238,483,57088,0,29,29,0.000743143,0.00791728,0,0
NCT01360008,FREEZE Cohort Study,~     Safety and efficacy in radiofrequency (RF) or cryoballoon atrial fibrillation (AF) ablation~     will be investigated in a cohort study design in experienced electrophysiologic (EP) centers~     analyzing propensity-matched cohorts.~   ,0,C0004238;C0596545;C0547070,0,0,0,0,0,0.00036245,0.00697925,0,0
NCT03085576,NATional TUnisian REgistry of Atrial Fibrillation,"A non-interventional, national longitudinal study of atrial fibrillation performed with 91      cardiologists.",C0004238,C0004238;C0947630;C0184661;C3854058,0,0,0,0,0,0.009494037,0.006792742,0,0
NCT01817998,Atrial Fibrillation (AF) and Physical Exercise,"Background and study concept:      Atrial fibrillation is the new global epidemic in cardiology. With improved survival from      other cardiovascular diseases and longer living in general, the incidence and prevalence of      AF rise dramatically in all developed countries with an estimated life time risk of one in      four for all people above the age of 40 years. Similarly in Denmark, the prevalence is      estimated to almost double within 2020. It is a fatal arrhythmia with doubled mortality      compared to patients with normal sinus rhythm; this primarily caused by an increased risk of      stroke and heart failure. In particular stroke is a feared complication with a 70% risk of      fatal outcome or lasting handicaps and immense costs for each patient as well as in terms of      health costs.      Moreover, many AF patients experience a variety of symptoms and have markedly reduced quality      of life. Opposed to heart failure patients and patients who have suffered from a myocardial      infarction, AF patients are not offered any sort of rehabilitation when diagnosed.      Pharmacological treatment of the arrhythmia is challenging. Most often, individual and      careful risk evaluation including ultrasound of the heart is obligatory to choose optimal      treatment strategy and prophylactic anticoagulation. In case a new anti-arrhythmic drug is      started to restore and maintain sinus rhythm, hospitalization for at least two days with      heart rhythm monitoring is required to detect any possible potentially dangerous or even      fatal arrhythmia as a side effect to the treatment. Additionally, the first new oral      anti-arrhythmic AF drug introduced for more than twenty-five years proved to be hazardous in      a high-risk AF population and is now only used with strict precautions.      To explore the role of alternative treatment strategies and to renew handling of cardiac      arrhythmia, we have therefore set out to study the role of physical exercise in AF patients.      Our specific study aims are to examine:        1. The effect of physical exercise on AF burden        2. The effect of physical exercise on the risk of cardiovascular hospitalization      Method:      Our study is an interventional, randomized exercise study. 60 patients older than 18 years      with ECG-documented AF will be included if written informed consent is obtained. They will be      randomized 1:1 to moderate-severe (80-85% of max capacity) or low intensity (50% of max      capacity) training. Exclusion criteria are language barrier, illness inherent with an      expected survival shorter than a year, other reasons preventing the patient from training,      revealed serious cardiac disease during pre-tests, AF ablation within one year, permanent AF.      Both groups are first participating in a nurse-led educational and care program. The program      is built on two individual consultations and one team consultation with focus on education in      AF.      The patients will be thoroughly examined before randomization and after ended training period      with special ultrasound of the heart, ECG-monitored test of maximal oxygen uptake on      ergometer bicycle, 24 hours measurement of blood pressure and pulse, and blood samples. They      will all be taught to use home ECG recorders, a new handheld device. The patients will send      ECG's twice daily and if the experience cardiac symptoms for 5 months (during exercise and      two months after).      When randomized the patients will be divided in teams of ten and trained on separate teams,      so the physiotherapist closely can guide the patients in training at the correct intensity      level.      Measurements:      During and after physical exercise the burden of atrial fibrillation is measured by tele-ECG      i.e. number of ECGs with atrial fibrillation divided by total number of ECGs. ECG reporting      begins after four weeks of physical exercise and continues 2 months after last training      session.      Recording of hospitalization begins after randomization and continues one year after last      training session. All hospitalizations caused by AF or related to the AF disease (relapse of      AF, heart failure, stroke, new anti-arrhythmic medication, elective electrical cardioversion,      complications to anticoagulation, pacemaker implantation) are recorded. Also, total days in      hospital are registered.      The AF population is growing on a global scale and the disease attracts immense interest on      all international cardiology congresses. New knowledge of the effect of training for the      general population as well as the effect in the setting of established disease could have      paramount effect for prognosis, quality of life, and health costs as pharmacological      treatment is AF still holds challenges.",C0004238;C0031809;C1522704,C0542380;C0007222;C0004238;C0232202;C0004238;C0004238;C0237167;C0741933;C0019993;C0003281;C0019993;C0019993;C0018799;C0019993;C0003281;C0518214;C0034991;C3887460;C0005823;C0018801;C0018801;C0009818;C0429627;C0178913;C0018801;C0009566;C0009566;C0232201;C0009818;C0021107;C0879626;C0003811;C0237607;C0021308;C0003811;C0220825;C0041618;C0150369;C0003811;C0679199;C0003811;C1301725;C0041618;C0237607;C0013227;C0805586;C0231172;C0011900;C0087111;C0087111;C0087111;C0087111;C0424927;C0180748;C0182913;C0700287;C0030163;C0376554;C0033325;C0087111;C0184511;C0683278;C0679199;C3245501;C0332149;C1552740;C0547070;C0332128;C0543488;C0018787;C0221423;C0012634;C0277556;C0012634;C0542559;C0012634;C0038454;C0038454;C0871269;C0442726;C1518681;C1518681;C0025663;C0205082;C1552839;C0025344;C0038454;C1518681;C1518681;C1518681;C0947630;C0018787;C0018787;C0947630;C0947630;C0947630;C0947630;C0392366;C0018787;C0034107;C0175659;C0237886;C0013227;C0013227;C1273517;C1704326;C1704326;C1561543;C1561543;C0392366;C1561543;C1578513;C1578513;C1578513;C0036849;C1550472;C1578513;C1578513;C0003195;C0003195;C0003195;C4699619;C0452240;C0452240;C0452240;C0452240;C0442694;C0442694;C0442694;C0452240;C0086972;C0442694;C0452240;C0452240;C0442694;C0442694;C0442694;C4699158;C0184661;C1457887;C0180799;C0000589;C0080194;C0009797;C0009653;C1444651;C0233492;C0424927;C0456642;C1514821;C0282415;C3843236;C0202165;C2363670;C4055646;C4699604;C1561542;C1561542;C1555709;C0671679;C0949766;C0030695;C1832073;C0031809;C0031809;C0031809;C1547226;C0031809;C0031809;C1546398;C0182913;C0701928;C0612923;C0233697;C0233697;C0558255;C0679897;C0588446,0,0,0,1,1,0.00380633,0.006656562,0,0
NCT03334630,DiamondTemp?? Ablation System for the Treatment of Paroxysmal Atrial Fibrillation,"~     The purpose of the DIAMOND-AF study is to establish the safety and effectiveness of the~     DiamondTemp System for the treatment of drug refractory, recurrent, symptomatic paroxysmal~     atrial fibrillation in patients.~   ",C0235480;C0547070;C0376495,C0004238;C0376495,0,0,1,0,0,0.002139568,0.006364566,0,0
