nct_id,brief_title,description,brief_title_concepts_list,brief_summary_concepts_list,tot_subj_affected,tot_subj_risk,relevance,citationSum,citationAvg,briefTitlePageRankScore,briefTitleAndSummaryCombinedPageRankScore,brief_title_matched_count,brief_summary_matched_count
NCT00959114,Safety and Efficacy of ALV003 for the Treatment of Celiac Disease,A phase 2a study to evaluate the safety and efficacy of ALV003 to treat celiac disease.,C0007570;C0087111,C0007570;C0947630;C0220825,0,0,1,31,31,0.054928394,0.075096559,0,0
NCT01255696,Safety and Efficacy of Varying Methods of ALV003 Administration for the Treatment of Celiac Disease,A phase 2a study to evaluate the safety and efficacy of ALV003 to treat celiac disease.,C1533734;C0007570;C0087111;C0025663,C0007570;C0947630;C0220825,0,0,1,31,31,0.039388339,0.058106527,0,0
NCT02389062,Noninvasive Markers of Gluten Ingestion in Celiac Disease Patients,"~     This is a clinical trial to evaluate the sensitivity of noninvasive, novel markers of gluten~     ingestion in celiac disease patients who are following gluten free diet for at least a period~     of one year. These noninvasive markers may be helpful to monitor the silent intestinal~     damage, possibly resulting from the accidental consumption of gluten due to cross~     contamination of gluten free diet.~   ",C0007570,C0007570;C0237677;C0332149,0,0,1,0,0,0.083412042,0.05330893,0,0
NCT01396213,A Double-blind Placebo-controlled Study to Evaluate Larazotide Acetate for the Treatment of Celiac Disease,"A randomized, double-blind, placebo-controlled Phase 2B study to evaluate the efficacy and      safety of Larazotide Acetate in the treatment of patients with celiac disease who have      persistent symptoms despite being on a gluten-free diet.",C2825719;C0007570;C0087111;C0220825;C0032042;C0456909;C0947630;C2911690,C2825719;C0344351;C0007570;C0087111;C0032042;C0456909;C0947630;C1457887;C2911690;C0220825;C0546816,0,0,1,17,17,0.041086303,0.053052351,0,0
NCT01116505,Treatment of Screen-detected Celiac Disease,"The main purpose of this study is to evaluate the natural history of celiac disease in      asymptomatic, screen-detected subjects having positive endomysial antibodies and the effects      of an intervention with a gluten-free diet. The investigators hypothesize that these subjects      may have decreased general health and benefit of the dietary treatment regardless of the      small-bowel mucosal structure.",C0007570;C0087111;C0442726;C0430054,C0344351;C0007570;C0424575;C0231221;C0184661;C0003241;C0442797;C0087111;C0442726;C1446409;C0262512;C0199230;C0947630;C0021853;C1518681;C0220825,0,0,0,22,22,0.039388339,0.049731063,0,0
NCT01566110,Celiac Disease and Diabetes- Dietary Intervention and Evaluation Trial,"Currently no consensus exists on the optimal way to manage asymptomatic patients with celiac      disease (CD) and Type 1 diabetes (T1D). The impact of dietary treatment as it pertains to      clinically relevant outcomes such as metabolic control, bone mineralization and wellbeing      will be evaluated in this study. A randomized controlled study longitudinally evaluating      HbA1c and glycemic excursions using continuous glucose monitoring will rigorously determine      the impact of a gluten-free diet (GFD) on blood glucose variability in patients with T1D.",C0086153;C0007570;C0220825;C0011847,C0202048;C0344351;C0011854;C0392201;C0231221;C0087111;C0012634;C0947630;C0947630;C0262950;C0700185;C0282440;C2707259;C3813622;C0220825;C1444662;C0332535;C4082977,0,0,0,5,2.5,0.036651407,0.048680712,0,0
NCT02244047,Cytokine Profile in Children With Celiac Disease,"Celiac disease (CD) is an immune-mediated systemic disease that is elicited by consumption of      gluten and related prolamines in genetically susceptible individuals. Not only genetic but      also environmental factors play an important role in CD pathogenesis. CD patients have      imbalance in the gut microbiota, they have reduced number of Bididobacterium species in feces      and biopsies.      Up till now, only effective treatment for CD is life long adherence to gluten free diet. If      gluten free diet is not strict that leads over the years to complications of disease, such as      autoimmune diseases, psychiatric diseases, osteoporosis etc. That may be caused by continuous      recirculation of activated immune cells between the inflamed organ and the periphery. To      avoid complications of disease in long term the investigators want to test specific probiotic      bacteria from Bifidobacteria genus, that has has been in vitro studies recognized as      anti-inflammatory.      Hypothesis        1. Children with celiac disease on gluten free diet have a higher level of pro-inflammatory           cytokine (TNF-alpha) and anti-inflammatory cytokine (IL-10) in comparison with healthy           controls.        2. 3 months after daily probiotic consumption TNF-alpha level decrease and IL-10 level           increase.      In the investigators research will be selected 70 children, age from 2 to 18 years, divided      in different groups:        1. Group: 25 children with celiac disease on GFD for at least 3 months and will receive           probiotic for 3 months.        2. Group: 25 children with celiac disease on GFD for at least 3 months and will receive           placebo for 3 months.        3. Group: 20 healthy children",C0007570;C1979963;C1524094,C1516998;C0004364;C0442893;C0344351;C0344351;C0344351;C0007570;C0007570;C0007570;C0007570;C0009566;C0009566;C0699748;C0029456;C0700680;C0087111;C0005558;C0012634;C1552740;C0012634;C0012634;C0947630;C0032042;C0439662;C0439662;C1552839;C0015733;C0178784;C0439095;C0439095;C1561557;C1561557;C1561557;C0600138;C1704326;C0392366;C0699819;C0003209;C0003209;C0442797;C0053566;C0005775;C1947907;C2827758;C1548428;C1947907;C0233492;C0686744;C0442743;C4084912;C1397014;C2980819;C2980819;C2980819;C1561542;C1561542;C1561542;C1561542;C1561542;C1444662;C0127400;C0004618;C4698129,0,0,1,11,11,0.038572733,0.046269316,0,0
NCT01145287,Impact of the Diagnosis of Celiac Disease,"The main purpose of this study is to assess the impact of the diagnosis of celiac disease on      general health, healthcare resource utilization, quality of life and lifestyle. We      hypothesize that diagnosis and subsequent dietary treatment may have positive impact on these      variables.",C0007570;C0011900,C0518214;C0007570;C0424575;C0086388;C0011900;C0011900;C0087111;C1446409;C0947630,0,0,0,47,11.75,0.047432822,0.045792493,0,0
NCT01574209,Gut Peptides and Intestinal Permeability in Celiac Disease and Irritable Bowel Syndrome,"It is well known that the intestinal barrier is altered in celiac disease (CD), an autoimmune      disease that develops in genetically predisposed subjects exposed to ingestion of wheat      gliadin and of related prolamines of barley and rye. More recently, defective epithelial      barrier has been implicated in the pathogenesis of other conditions such as irritable bowel      syndrome (IBS). At present IBS is still considered a functional condition although low-grade      inflammation has been associated with its manifestation, particularly that following      infection. Different substances have been implicated in the (dis)regulation of intestinal      barrier, among them zonulin seems to play a key role. Other gastrointestinal peptides are      GPL-2, Ghrelin, and Epidermal growth factor (EGF). In order to shed light on the hormonal      regulation of intestinal barrier function in celiac patients before undergoing a gluten free      diet and possible differences with those of IBS patients, in the present study the      investigators will apply the non-invasive lactulose/mannitol permeability test toward the      evaluation of intestinal damage. The pattern of intestinal permeability and the GI peptides      concentration will be compared in celiac patients, IBS patients and healthy controls.",C0022104;C0007570;C0021853;C0030956;C0021853,C0242275;C0022104;C0007570;C0086045;C0699748;C0021368;C0344351;C0021853;C0700680;C0021853;C0021853;C0220825;C0021853;C0021853;C0012634;C0009450;C0022957;C0039082;C0030956;C0031843;C0332149;C0024730;C0030956;C1706912;C0012634;C1706912;C0150312;C1706912;C3813179;C1706912;C0150312;C1533312;C0010957;C1095911;C3244287;C1546725;C0947630;C0600138;C1704326;C0392366;C1550472;C0242275;C0012634;C2707256;C0233492;C0443146;C0031843;C1522411;C0275586;C0015411;C0085632;C1156284;C1334278;C4699190;C0075414,0,0,1,3,1.5,0.034790296,0.045732883,0,0
NCT02472119,Wheat Flour Treatment With Microbial Transglutaminase and Lysine Ethyl Ester: New Frontiers in Celiac Disease Treatment.,"Celiac disease is one of the most common forms of food intolerance (prevalence 1/200). The      disease occurs in genetically predisposed individuals after ingestion of foods containing      gluten. Celiac patients can suffer from severe malabsorption syndrome, mainly characterized      by diarrhea and weight loss. The only therapeutic approach currently recognized is a      life-long gluten-free diet.      Specific regions of gluten molecule become recognizable by lymphocytes and activate them, due      to changes made by tissue transglutaminase. These changes consist in the conversion of      specific residues of glutamine into glutamic acid. The consequence is an increased binding      affinity between gluten and histocompatibility molecule (HLA-DQ2), localized on the surface      of the ""antigen presenting cells"" (APC); the exposure of the fragments of modified gluten on      the surface of APC is a phenomenon that eventually activates T lymphocytes.      Recent studies on modified gluten confirmed the hypothesis that it is possible to block the      presentation of gluten to lymphocytes by means of lysine ethyl ester binding exclusively to      those gluten regions responsible for lymphocyte activation.      The enzymatic treatment is performed directly on flour instead of extracted gluten,      maintaining the same anti-inflammatory effectiveness.      The procedure uses a food-grade enzyme, the microbial transglutaminase (mTGasi) isolated from      Streptoverticillium mobarensis, able to catalyze the formation of intermolecular      ""cross-links"" that modify the functional properties of the products.      Objective of the study is to validate the ability of the enzyme treatment of wheat flour with      mTGasi and lysine ethyl ester to block the toxic effect of gluten in celiac patients.",C0007570;C0087111;C0087111;C0024337;C0981883,C0024523;C0149696;C0344351;C0007570;C0061472;C4553491;C0600688;C1262477;C1273518;C0017797;C0486805;C0750484;C0087111;C0184661;C0018017;C0087111;C0011991;C1552740;C0274281;C0332149;C0012634;C0947630;C3245511;C0683278;C0205082;C0024337;C0024337;C0028778;C3244287;C0947630;C1095911;C0028778;C3540798;C1299581;C0033036;C0033036;C0087111;C2698833;C2698833;C2698833;C0003209;C2698833;C1561528;C0233256;C0031843;C0185115;C0183885;C0183885;C0019633;C1552740;C0599990;C0151576,0,0,1,0,0,0.039388339,0.044867585,0,0
