nct_id,brief_title,description,brief_title_concepts_list,brief_summary_concepts_list,tot_subj_affected,tot_subj_risk,relevance,citationSum,citationAvg,briefTitlePageRankScore,briefTitleAndSummaryCombinedPageRankScore,brief_title_matched_count,brief_summary_matched_count
NCT00256373,Treatment of Chronic Low Back Pain: A Trial Comparing Traditional Back School and Individual Therapist-Assisted Exercise,"Rheumatologists are discussing, whether rehabilitation of patients with low back pain (LBP)      can be improved. At present patients with LBP start treatment as soon as possible, this also      applies for patients with chronic low back pain (CLBP) - pain lasting over 12 weeks. At      Glostrup University Hospital department of Physical Medicine/rheumatology we use a method      (method A) where an interdisciplinary team gives the patients a treatment composed of various      topics. This includes among other things education, physical team training, exercises in      swimming pool, stretching exercises, and occupational therapy. A different method (method B)      originates from the Rehabilitation centre in Karlslunde led by Teddy Oefeldt. Here they focus      strictly on dynamic training of muscles in the back and the buttocks. A therapist, who in the      beginning partly carries the patient through the exercises, assists this training.      In both methods, individually considerations are taken, but to a greater extend in method B.      The treatment will extend over a three months period.      A few earlier investigations have compared these two methods, but they have not been      systematized to such a degree, that they gave any final conclusions. Therefore, we      initialized an investigation including a larger number of patients, where the two methods are      compared from the results the patients achieve after 3, 6, 12 and 24 months.      286 consecutive patients were included and randomized to one of the two methods. Those, who      did not wish to participate in the investigation, were treated according to the department’s      normal procedure (Method A)",C0024031;C0087111;C1522704;C1547296;C0004600,C0457949;C0600080;C1318464;C0034991;C0034991;C0518609;C0024031;C1552578;C1552578;C0087111;C0087111;C0424927;C0452240;C0452240;C0087111;C0184661;C0184511;C0332149;C0031809;C0013227;C0006497;C0150312;C3540008;C0699809;C0025663;C0025663;C0025663;C0025663;C0025663;C0025663;C0025663;C0025663;C0025663;C0025344;C0542560;C1553386;C0025663;C1552850;C0030193;C0004600;C1552578;C2360800;C0442694;C0442694;C0442694;C3843676;C0557034;C1170317;C1170317;C1555712;C1561542;C1561542;C0031809;C3242287;C0332155,0,0,1,8,8,0.025926373,0.026999901,2,3
NCT02145728,The Effect of Cognitive Functional Therapy on Patients With Non-specific Chronic Low Back Pain,"The purpose of this study is to evaluate whether individual cognitive functional therapy      (CFT), when compared to group exercise classes is effective in reducing pain and disability      in patients with non-specific chronic low back pain.",C0024031;C1552740;C0087111;C1547296;C0009240;C1550655,C0457949;C1276393;C0231170;C1552740;C0087111;C0456387;C0947630;C0030193;C0392335;C0220825,0,0,1,2,2,0.025025999,0.029159088,1,3
NCT03221439,Cognitive Functional Therapy for Chronic Low Back Pain,"~     There is evidence, of a single randomized controlled trial, that CFT is better than combined~     manual therapy and motor control exercise for chronic low back pain. However, this study had~     significant methodological shortcomings regarding the failure to carry out the intention to~     treat analysis and a considerable loss of follow-up of patients. It is important to replicate~     this study through a randomized clinical trial with similar objectives in another domain, but~     correcting these methodological shortcomings. Therefore, the aim of the study is to assess~     the efficacy of Cognitive Functional Therapy in patients with chronic non specific low back~     pain.~   ",C0024031;C0392335,C0024031;C2948600;C0392335;C0723338;C0454525;C0282440,0,0,1,0,0,0.02515352,0.021179417,1,3
NCT00566930,Preventive Care of Chronic Cervical Pain and Disabilities,"~     The aim of this study is to determine which of tertiary prevention spinal manipulative~     therapy (SMT) or a home exercise program is the more efficient approach to reduce pain and~     increase functional capacity, quality of life and general health condition. To do so, 60~     participants with chronic cervical pain, will be recruited and divided into 3 groups~     according to the intervention they will receive: control group, experimental group 1 who will~     receive preventive chiropractic care in the form of spinal manipulations and experimental~     group 2 will have to perform an individualized home exercise program on a daily basis. We~     hypothesize that a group of patient receiving SMT + a home exercise program will present less~     pain and functional disabilities over a 1 year period. The innovative value of this project~     is mainly related to the fact that it will generate new and potentially very useful data~     concerning the clinical significance of preventive chiropractic care. Moreover, such data~     will be beneficial to our profession as chiropractic makes a step towards prevention,~     wellness and public health.~   ",C0030193,C1998319;C0424575;C2728259;C0441861;C0441865;C2947996;C2728259;C2728259;C0150312;C1874451;C0030193;C0030193;C0030193;C2948600,0,196,1,15,15,0.025510204,0.012866843,0,3
NCT01719276,Graded Activity Versus Supervised Exercises in Patients With Chronic Non-specific Low Back Pain,"~     The purpose of this study is to compare the efficacy of graded activity program and~     supervised exercise on pain, functional disability, quality of life, global perceived effect,~     return to work, physical activity, physical capacity and strength of the lower limbs in~     patients with chronic non-specific low back pain~   ",C0024031,C2728259;C0030193;C0004600;C4255207,0,0,1,3,3,0.043876683,0.032350804,2,2
NCT03040310,Personalized Back Rx Exercise Program as a Treatment for Discogenic Low Back Pain,"The prevalence and disability associated with discogenic low back pain are significant, and      there is a general lack of widely accepted conservative treatments for the condition. A      majority of previous studies that have assessed the efficacy of self-directed exercise-based      rehabilitation programs did not include comprehensive metrics to confirm whether participants      actually participated in the exercises prescribed. In this pilot study, the investigators      hope to determine whether proxies of compliance with a daily, self-directed rehabilitation      program for discogenic low back pain are correlated with participant-reported improvements in      pain and function. The feasibility of a mobile interface designed to help patients with      chronic low back pain track the daily management of their conditions will also be evaluated.",C0024031;C0087111;C1522704;C0376691;C0004600,C0457949;C0034991;C0034991;C0024031;C0024031;C0231170;C0087111;C0278329;C0376636;C0012634;C0452240;C0700287;C0031843;C0947630;C0699680;C0750484;C0947630;C1551994;C0392347;C1551994;C0030193;C1552861;C0012634;C0452240;C3714738;C2698172;C0220825;C4522152;C0042070;C4522152;C4082977,0,0,1,0,0,0.02368147,0.028038946,2,2
NCT02241538,Effectiveness of Different Weekly Frequency of Modified Pilates Method Exercises in the Treatment of Chronic Nonspecific Low Back Pain,"Low back pain is a major cause of disability and absenteeism and the supervised exercise is a      recommended treatment by the guidelines and has been cost-effective. Currently, the Pilates      method has shown to be effective in improving pain and disability in patients with chronic      low back pain (CLBP). However, there is still no evidence about the ideal number of sessions      for the treatment and the interval between sessions to achieve better efficacy of this method      for these patients. Thus, the aim of this study is to investigate the effectiveness of the      Pilates method with different weekly frequency of sessions in the treatment of patients with      nonspecific CLBP. Investigators will assess 296 patients of both genders, with nonspecific      CLBP lasting more than three months and aged between 18 and 80 years. Participants will be      randomly divided into four groups (n = 74 patients per group): Control Group will receive an      educational booklet and no additional exercise, Pilates 1 Group will receive a program of      exercises based on Pilates method once a week for six weeks, Pilates 2 Group will receive the      same program of exercises twice a week for six weeks and Pilates 3 Group will receive the      same program of exercises three times a week for six weeks. The outcomes overall disability      (Roland Morris Disability questionnaire), specific disability (Patient-Specific Functional      scale), kinesiophobia (Tampa scale for kinesiophobia), pain intensity (Pain Numerical Rating      scale) and global perceived effect (Global Perceived Effect scale) will be assessed by a      blinded assessor before, six weeks, six and 12 months after randomization. Investigators      expect that the largest number of weekly sessions of Pilates method may influence the results      in all analyzes (short, medium and long term), since there is a relationship between      frequency of exercises and effect size of the treatment.",C4553491;C0024031;C2347273;C0452240;C0087111;C1547296;C0025663,C1320357;C0024031;C0024031;C4553491;C0034394;C0231170;C0162791;C0231170;C0231170;C0231170;C0231170;C0087111;C0087111;C0087111;C0452240;C0452240;C0452240;C0030971;C0030971;C0452240;C0087111;C1552740;C0030258;C1550655;C0025663;C0025663;C0025663;C1552839;C0025663;C1518681;C0025663;C1518681;C0947630;C1561557;C1561557;C1561557;C1561557;C0175659;C0175659;C0175659;C0175659;C0030193;C1561540;C1561540;C1561540;C0030193;C4699604;C0452240;C0452240;C0424927;C1705273;C2347273;C2347273;C0233697;C0233697;C0233697;C0233697;C1561542;C1552839;C1552654;C1552740;C1564718,0,0,1,0,0,0.025747143,0.02750952,2,2
NCT01919268,Addition of the Interferential Current to the Pilates Method in the Treatment of Chronic Nonspecific Low Back Pain,This study aims to evaluate the effectiveness of the addition of the interferential current      to Pilates method exercises in the treatment of 148 patients with chronic nonspecific low      back pain.,C0024031;C0087111;C1547296;C0025663,C0695948;C4553491;C0452240;C0087111;C0004604;C0025663;C0947630;C1550472;C0220825,0,0,1,7,3.5,0.028791531,0.030363586,0,2
NCT00937365,Pregnancy-Related Low Back Pain and Complementary and Alternative Medicine (CAM) Treatment,"This study compares three treatments for low back pain that started during pregnancy. The      study hypothesizes that exercise, spinal manipulation, and a mind-body technique called      neuroemotional technique (NET) equally affect pain intensity and disability associated with      pregnancy-related low back pain. The study also hypothesizes that pain intensity and      disability levels do not influence maternal heart rate variability (a measure of stress) and      intrauterine attachment (a measure of relationship quality). Ten women will additionally      provide blood and salivary oxytocin samples during pregnancy and periodically for three      months after birth. These women and their babies will also be videotaped playing for 5      minutes at 2 weeks, 6 weeks, and 3 months postpartum.",C1148475;C0024031;C0032961;C0087111;C0233492,C0086586;C1320357;C1320357;C0024031;C0024031;C0087111;C0231170;C0231170;C0018810;C0185023;C0032961;C0032961;C0032961;C1858460;C0030095;C0600138;C0001721;C0038435;C0947630;C0947630;C0947630;C0005767;C0005615;C0229992;C0452240;C1555587;C0031082;C0233492;C1561542;C0285521;C1561542;C0886384;C0332535,0,0,0,4,4,0.02315352,0.019472151,0,2
NCT03962842,Sagittal Alignment and Extensibility With Pilates in Adolescents,"~     Several research show a high prevalence of spinal misalignments and a lack of stability of~     the spine in the adolescent population. In addition, back pain in adolescents is correlated~     with a longer time spent in sedentary activities, less time of physical activity, higher BMI,~     body fat percentage and / or the waist-hip index. Therefore, the main aim of this project~     were assess the effect of a 10-minute Pilates program carried out in the final part of the~     Physical Education sessions for 4.5 months and 9 months on back pain, quality of life,~     sagittal spine curvature, hamstring extensibility, BMI, body fat percentage and the waist-hip~     index.~      The present research will be elaborated by a quasi-experimental design, with experimental~     group (GE) and control group (CG); with pre-test, intermediate and post-test. The inclusion~     criteria will be: a) being in Compulsory Secondary Education; b) not present any~     musculoskeletal, neurological, cardiological, metabolic, rheumatic or previous history of~     spinal pathologies or with previous treatment; c) be active in the sessions of Physical~     Education.~      It was assessed back pain with Back Pain Survey in adolescents. Quality of life was assessed~     through the Kidscreen-27 questionnaire. To assess the sagittal spinal curvatura (in several~     positions) the Spinal Mouse System (Idiag, Fehraltdorf, Switzerland) was used.~      The extensibility of hamstring muscle was assessed with seat and reach test, toe touch test~     and active and passive straight leg raising test.~      The sedentary lifestyle as well as the level of physical activity will be evaluated through~     the Adolescent International Physical Activity Questionnaire (IPAQ).~      The body mass index will be obtained by recording weight and height (BMI = Weight (kg) /~     height (cm) 2).~      The waist-hip ratio is the quotient between waist and hip circumferences, which is an~     indirect marker of intra-abdominal obesity.~      The intervention program consisted on performance of exercises of the Pilates Method during~     the sessions of Physical Education, 32 weeks, two weekly sessions, 10 minutes.~   ",0,C1532253;C0037932;C1305855;C0004604;C0004604;C0004604;C0004604;C0344335;C0344335;C2728259;C0150312;C0150312;C2728259;C0918012;C2946261;C2948600;C1140621;C0034394;C0034394;C1320102;C0038951;C1320102;C0025663;C1444783;C4255207;C4255207;C4255207;C0028754;C0376495,0,0,1,0,0,0.00255102,0.015928419,0,2
