nct_id,brief_title,description,brief_title_concepts_list,brief_summary_concepts_list,tot_subj_affected,tot_subj_risk,relevance,citationSum,citationAvg,briefTitlePageRankScore,briefTitleAndSummaryCombinedPageRankScore,brief_title_matched_count,brief_summary_matched_count
NCT00449969,Out-of-hospital Cardiopulmonary Resuscitation and AED Feedback,"~     The purpose of this study is to determine whether an online automatic feedback improved CPR~     quality (No-flow time, compression depth, short-term survival and one year follow up) in this~     prospective randomised study of out-of-hospital cardiac arrest~   ",C0007203,C0184511;C0018790;C1829459,0,0,1,19,19,0.005047605,0.02408702,1,1
NCT00920244,In-hospital Cardiac Arrest - Dynamics and State Transitions,The purpose of this study is to analyse transitions in cardiac rhythm and hemodynamic      variables during resuscitation of patients with in-hospital cardiac arrest.,C0018790,C0018790;C0035273;C4281788;C0018787;C0871269;C0947630,0,0,0,0,0,0.03340712,0.022317315,1,1
NCT02899507,Prophylactic Antibiotics in Comatose Survivors of Out-of-hospital Cardiac Arrest,The purpose of this study is to determine whether there is potential benefits of prophylactic      antibiotic treatment in comatose survivors of out-of-hospital cardiac arrest (OHCA) treated      in intensive care unit with therapeutic hypothermia.,C0018790;C0009653;C0003232;C0009421,C0018790;C0085559;C0020672;C0003232;C0087111;C0947630;C0087111;C0009653;C0009421;C0332155;C4082977,0,0,1,1,1,0.013382801,0.018157591,1,1
NCT00878644,Therapeutic Hypothermia to Improve Survival After Cardiac Arrest in Pediatric Patients-THAPCA-OH [Out of Hospital] Trial,"Cardiac arrest is a sudden, unexpected loss of heart function. Therapeutic hypothermia, in      which the body's temperature is lowered and maintained several degrees below normal for a      period of time, has been used to successfully treat adults who have experienced cardiac      arrest. This study will evaluate the efficacy of therapeutic hypothermia at increasing      survival rates and reducing the risk of brain injury in infants and children who experience a      cardiac arrest while out of the hospital.",C0020674;C0018790;C0587599;C1550655;C0184511,C0018790;C0018790;C0270611;C0087111;C0020672;C0020672;C0237607;C0031843;C0542560;C0018787;C1553386;C0025344;C0018790;C0018787;C0947630;C1273517;C0087111;C0237607;C4055646;C4700170;C0729829;C0221106;C0220825,2767,187456,1,137,22.83333333,0.017018798,0.017908097,1,1
NCT00880087,Therapeutic Hypothermia to Improve Survival After Cardiac Arrest in Pediatric Patients-THAPCA-IH [In Hospital] Trial,"Cardiac arrest is a sudden, unexpected loss of heart function. Therapeutic hypothermia, in      which the body's temperature is lowered and maintained several degrees below normal for a      period of time, has been used to successfully treat adults who have experienced cardiac      arrest. This study will evaluate the efficacy of therapeutic hypothermia at increasing      survival rates and reducing the risk of brain injury in infants and children who experience a      cardiac arrest while in the hospital.",C0020674;C0018790;C0587599;C1550655;C0184511,C0018790;C0018790;C0270611;C0087111;C0020672;C0020672;C0237607;C0031843;C0542560;C0018787;C1553386;C0025344;C0018790;C0018787;C0947630;C1273517;C0087111;C0237607;C4055646;C4700170;C0729829;C0221106;C0220825,2951,251020,0,85,17,0.017018798,0.017908097,1,1
NCT02184468,Survival Study After Out-of-hospital Cardiac Arrest,"The purpose of this study is to determine if dual dispatch of ambulance, fire fighters and/or      police in out-of-hospital cardiac arrest (OHCA), can reduce the time to cardiopulmonary      resuscitation (CPR) and defibrillation, thus increasing survival.",C0018790;C0947630,C0553534;C0018790;C0013778;C0035273;C0002422;C0947630;C0221106;C4082977,0,0,1,0,0,0.019735149,0.017760026,1,1
NCT02648061,Transitions Between Clinical Circulatory States After Out-of-hospital Cardiac Arrest,"Extensive research exists for cardio-pulmonary resuscitation (CPR) and the chance of      successful return of spontaneous circulation (ROSC) is improved. Unfortunately, the overall      prognosis after ROSC has not improved much and the in-hospital mortality is still reported to      be 50 to 70 %. The ""post-resuscitation disease"" is now called the ""post-cardiac arrest      syndrome"" (PCAS) and comprises 1) brain injury, 2) myocardial dysfunction and 3) systemic      ischemia and reperfusion.      Treatment of patients after cardiac arrest has often followed guidelines that were primarily      developed for treatment of septic shock. It is still uncertain whether this is the optimal      way to deliver circulatory support after cardiac arrest.      There is a lack of studies assessing the relationship between the inflammatory response      measured by inflammatory biomarkers and circulatory failure in PCAS.      In this study a detailed description will be given of the clinical trajectory of the      circulation and the inflammatory response during the first 5 days after cardiac arrest, and      it will be investigated whether patterns of circulatory and inflammatory response may be      predictive of deterioration of clinical state.",C0018790;C0005775;C3272565,C0007203;C0340515;C1155266;C1155266;C1155266;C0036974;C0018790;C0018790;C0018790;C0018790;C0035273;C0270611;C0036983;C0005775;C0035124;C0678257;C0005775;C0162791;C0005516;C0033325;C0087111;C0087111;C0087130;C0184511;C0184511;C0700287;C0039082;C0022116;C0012634;C0308779;C0947630;C0947630;C3244317;C0005775;C0005775;C0442743;C3242447;C2363670;C1328018;C3272565,0,0,1,1,1,0.014697572,0.016935933,1,1
NCT03176186,Xenon for Neuroprotection During Post-Cardiac Arrest Syndrome in Comatose Survivors of an Out of Hospital Cardiac Arrest,"~     XePOHCAS: Prospective, randomized, multicenter interventional trial in adult subjects with~     out-of-hospital cardiac arrest comparing treatment with standard-of-care post-cardiac arrest~     intensive care (which is targeted temperature management [TTM]) to xenon by inhalation plus~     standard-of-care post-cardiac arrest intensive care (including TTM).~   ",C0018790;C0018790;C0039082;C0009421;C0043339,C0018790;C0085559;C0018790;C0085559;C0043339;C0018790;C0376495,0,0,1,0,0,0.014422925,0.016044651,1,1
NCT00457431,Hypothermia After In-hospital Cardiac Arrest,"ILCOR Recommendations ""On the basis of the published evidence to date, the Advanced Life      Support (ALS) Task Force of the International Liaison Committee on Resuscitation (ILCOR) made      the following recommendations in October 2002: Unconscious adult patients with spontaneous      circulation after out-of-hospital cardiac arrest should be cooled to 32?C to 34?C for 12 to      24 hours when the initial rhythm was ventricular fibrillation (VF).Such cooling may also be      beneficial for other rhythms or in-hospital cardiac arrest"" (Circulation. 2003;108:118-121).      This study ist to investigate the efficacy of mild therapeutic hypothermia on mortality and      neurological outcome in patients after in-hospital cardiac arrest.",C0018790;C0020672,C0042510;C0018790;C0018790;C0018790;C0035273;C0041654;C0005775;C0005775;C0020672;C1171411;C0871269;C0871269;C0947630;C0087111;C0725066;C2707261;C1704324;C0016533,0,0,1,2,2,0.019735787,0.015867605,1,1
NCT02236819,"A Multi-centre Survey of Epidemiology, Treatment and Outcome of Patients Suffering an Out-of-hospital Cardiac Arrest","There is considerable variation in the incidence of out-of-hospital cardiac arrest (OHCA)      across Europe. The likelihood of attempted resuscitation also varies. To better understand      the factors that contribute to variation, more data on incidence, management and outcomes      from OHCA is required. A European, multi-centre study provides the opportunity to uncover      differences throughout Europe and may help find explanations for these differences. Results      may also have potential to support the development of quality benchmarking between European      Emergency Medical Services (EMS).      This prospective European study will involve 27 different countries. It provides a common      Utstein-based dataset, data collection methodology and a common data collection period for      all participants, thereby potentially increasing comparability.      Study research questions will address the following: OHCA incidence in different European      regions; incidence of cardiopulmonary resuscitation (CPR) attempted; initial presenting      rhythm in patients where bystanders or EMS starts CPR or any other resuscitation      intervention; rate of any return of spontaneous circulation (ROSC); patient status at      handover to a hospital i.e. ROSC, ongoing CPR, dead; incidence of patients still alive 30      days after OHCA; incidence of patients discharged alive from hospital.",C0018790;C0087111;C0683278;C0038951;C3266262;C1550655;C0699910,C0007203;C0013961;C0018790;C0449437;C0035273;C0035273;C0681841;C0184661;C0243107;C0969625;C0005775;C0162340;C0376636;C3245501;C0150098;C1442065;C3245511;C3245511;C0025344;C0871269;C0947630;C0947630;C0947630;C3245479;C1552861;C3245479;C3245479;C0011065;C0012621;C0034770;C0034770;C2825142;C0029939;C1552850;C1328018;C0404831;C0085632;C0085632;C0221106;C1555587;C1555587;C4554477,0,0,1,2,2,0.014939732,0.015455094,1,1
