nct_id,brief_title,description,brief_title_concepts_list,brief_summary_concepts_list,tot_subj_affected,tot_subj_risk,relevance,citationSum,citationAvg,briefTitlePageRankScore,briefTitleAndSummaryCombinedPageRankScore,brief_title_matched_count,brief_summary_matched_count
NCT00049751,Study of Human Anti-TNF Monoclonal Antibody D2E7 in Subjects With Active Rheumatoid Arthritis,The purpose of the study is to evaluate safety by collecting serious adverse events in      subjects with moderately to severely active rheumatoid arthritis who are unable to obtain      etanercept and who have failed one or more prior disease-modifying antirheumatic drugs      (DMARDs).,C0003873;C0003241;C0718247;C0947630;C0746619,C0003873;C0003191;C0877248;C0717758;C0205082;C0012634;C0566415;C0947630;C1320102;C4085643;C0242708;C4331837;C0220825,0.0,0.0,1,7.0,7.0,0.002343332159979769,0.002378011572198993,0,2
NCT01565655,A Study to Evaluate the Safety and Efficacy of ASP015K in Moderate to Severe Rheumatoid Arthritis,The purpose of this study is to evaluate the safety and efficacy of ASP015K in moderate to      severe rheumatoid arthritis (RA) subjects,C0003873;C0220825;C1547226;C0205082;C0947630,C0003873;C0205082;C0947630;C0220825;C1547226,0.0,0.0,1,5.0,5.0,0.002358577232419405,0.003640888443363085,1,1
NCT01554696,A Study to Evaluate the Safety and Efficacy of ASP015K in Moderate to Severe Rheumatoid Arthritis Subjects Who Have Had an Inadequate Response to Methotrexate,The purpose of this study is to evaluate the safety and efficacy of ASP015K in moderate to      severe rheumatoid arthritis subjects who are methotrexate-inadequate responders (MTX-IR).,C0003873;C0025677;C0220825;C1547226;C1704632;C0205082;C0947630,C0003873;C0025677;C0205082;C0947630;C0025677;C0220825;C1547226,0.0,0.0,1,8.0,8.0,0.002444228617422439,0.003342057781047611,1,1
NCT00106574,A Study to Assess the Effect of Tocilizumab + DMARD Therapy on Signs and Symptoms in Patients With Moderate to Severe Active Rheumatoid Arthritis,"This 2 arm study will compare the safety and efficacy, with regard to reduction of signs and      symptoms, of tocilizumab versus placebo in combination with traditional Disease-Modifying      Anti-Rheumatic Drug (DMARD) therapy in patients with moderate to severe active rheumatoid      arthritis (RA) who have had an inadequate response to current DMARD therapy. Patients will be      randomized to receive tocilizumab 8mg/kg iv or placebo iv every 4 weeks, in conjunction with      stable DMARD therapy. The anticipated time on study treatment is 3-12 months, and the target      sample size is 500+ individuals.",C0003873;C0037088;C1609165;C1547226;C0087111;C0205082;C0718247;C0947630;C0242708;C1550655,C1521826;C1609165;C1609165;C4551656;C0003864;C1704632;C0032042;C0012634;C0087111;C0087111;C0032042;C0087111;C0205082;C0947630;C0242708;C0242708;C0242708;C0013227;C0446516;C3539181;C4699604;C1457887;C1550655;C3840775;C1320102;C0441621;C1706074;C1547226,0.0,0.0,1,187.0,46.75,0.002856973854368197,0.003092454527134534,1,1
NCT00106522,A Study to Assess the Effect of Tocilizumab + Methotrexate on Signs and Symptoms in Patients With Moderate to Severe Active Rheumatoid Arthritis Currently on Methotrexate Therapy,"This 3 arm study will compare the safety and efficacy, with regard to reduction of signs and      symptoms, of tocilizumab versus placebo in combination with methotrexate (MTX) in patients      with moderate to severe active rheumatoid arthritis (RA) currently on MTX therapy, and who      have had an inadequate response to prior therapy with an anti-tumor necrosis factor      (anti-TNF) agent. Patients will be randomized to receive tocilizumab 4mg/kg iv, tocilizumab      8mg/kg or placebo iv, every 4 weeks. All patients will also receive methotrexate      10-25mg/week. The anticipated time on study treatment is 3-12 months, and the target sample      size is 500+ individuals.",C0003873;C0037088;C0025677;C0025677;C1609165;C1547226;C0087111;C0205082;C0718247;C0947630;C1550655,C0003873;C1521826;C0333516;C0025677;C0025677;C1609165;C1609165;C1609165;C4551656;C1704632;C0032042;C0087111;C0087111;C0032042;C0205082;C0947630;C1561540;C0446516;C0025677;C0025677;C3539181;C4699604;C1457887;C1550655;C3840775;C1320102;C0441621;C4331837;C1547226,0.0,0.0,1,260.0,52.0,0.0030518118496509357,0.002984582575538881,1,1
NCT01500278,Study to Assess the Short- and Long-term Efficacy of Certolizumab Pegol Plus Methotrexate Compared to Adalimumab Plus Methotrexate in Subjects With Moderate to Severe Rheumatoid Arthritis (RA) Inadequately Responding to Methotrexate,This study is conducted to evaluate the short (12 Weeks) and long term (104 Weeks) efficacy      of Certolizumab Pegol compared with Adalimumab both in combination with Methotrexate (MTX) in      the treatment of moderate to severe Rheumatoid Arthritis (RA) that is not responding      adequately to MTX.,C0003873;C1872109;C0025677;C0025677;C0025677;C1122087;C1547226;C0205082;C0947630,C0003873;C1872109;C0025677;C1122087;C0087111;C0205082;C0947630;C0025677;C0025677;C3539181;C0220825;C1547226,1590.0,141304.0,1,14.0,14.0,0.0023766994415687186,0.002964977101600057,1,1
NCT00891020,A Study Of Tocilizumab in Patients With Moderate to Severe Active Rheumatoid Arthritis Who Have an Inadequate Response to or Are Unable to Tolerate Biologic and Non-Biologic Disease-modifying Antirheumatic Drugs (DMARDs),"This 3 arm randomized open label study will evaluate the safety, tolerability and efficacy of      tocilizumab in patients with moderate to severe active rheumatoid arthritis, who have had      inadequate response to or are unable to tolerate DMARDs. The protocol incorporates risk      mitigation strategies developed in partnership with the FDA to manage known and potential      risks associated with the treatment of tocilizumab. Patients will be randomized to receive      tocilizumab either 4 mg/kg intravenous (iv) or 8 mg/kg iv with concomitant non-biologic      DMARDs, or 8 mg/kg iv without concomitant non-biologic DMARDs, every 4 weeks, for a total of      6 infusions. The anticipated time on study treatment is 3-12 months, and the target sample      size is 500-1000 individuals.",C0003873;C0003191;C1609165;C1547226;C1704632;C0012634;C0205082;C0718247;C1299582;C0947630;C0005522;C0005522;C1550655;C0242708,C0003873;C1521826;C1609165;C1609165;C1609165;C0679199;C0087111;C0574032;C1704632;C0442711;C0205082;C0566415;C1705425;C0947630;C0446516;C4699604;C1550655;C3840775;C1320102;C0441621;C4055380;C0684331;C2363670;C0242708;C0242708;C0683092;C0220825;C1547226;C4699193;C4699193,1321.0,97130.0,1,18.0,18.0,0.002854124054372893,0.002952244964703929,1,1
NCT01232569,A Study of RoActemra/Actemra (Tocilizumab) Given Subcutaneously in Combination With Traditional DMARDs in Patients With Moderate to Severe Active Rheumatoid Arthritis,"This randomized, parallel-group, placebo-controlled, multicenter study will evaluate the      reduction in disease activity and the safety of tocilizumab (RoActemra/Actemra) in      combination with traditional disease-modifying anti-rheumatic drugs (DMARDs) in patients with      active, moderate to severe rheumatoid arthritis. In the double-blind part of the study,      patients will be randomized to receive either 162 mg tocilizumab or placebo subcutaneously      every 2 weeks for 24 weeks using a pre-filled syringe. In the open-label part of the study,      patients will be randomized to receive 162 mg tocilizumab subcutaneously every 2 weeks from      Week 24 to Week 96 using a pre-filled syringe or an auto-injector.",C0003873;C1609165;C3811910;C3272237;C1547226;C2740854;C0205082;C0718247;C0947630;C1550655;C0242708,C0003191;C0003873;C1609165;C1609165;C1609165;C4551656;C3272237;C0181342;C0032042;C0012634;C2740854;C0012634;C0032042;C0039142;C0039142;C0205082;C0947630;C0456909;C0947630;C1705425;C0947630;C3539181;C1320102;C2911690;C0242708;C1552839;C4554418;C0220825;C4049938;C1547226,1349.0,73554.0,1,24.0,24.0,0.0027433432956522424,0.002921469475554018,1,1
NCT00531817,A Study of Tocilizumab in Combination With DMARDs in Patients With Moderate to Severe Rheumatoid Arthritis,"This 2-arm study assessed the safety and efficacy of tocilizumab versus placebo, both in      combination with disease modifying antirheumatic drugs (DMARDs), in regard to reduction in      signs and symptoms, in patients with moderate to severe active rheumatoid arthritis with an      inadequate response to DMARDs. Patients were randomized in a ratio of 2:1 to receive either      tocilizumab 8 mg/kg intravenously (IV) or placebo IV every 4 weeks. All patients also      received stable antirheumatic therapy, including permitted DMARDs. The anticipated time on      study treatment was 3-12 months and the target sample size was 500+ individuals.",C0003873;C1609165;C3811910;C1547226;C0205082;C0947630;C1550655;C0242708,C0003873;C0003191;C1521826;C0003191;C1609165;C1609165;C4551656;C1704632;C0032042;C0012634;C0032042;C0087111;C0205082;C0947630;C3539181;C4699604;C0424818;C1550655;C3840775;C1320102;C0441621;C0242708;C0242708;C1706074;C0242708;C1547226;C4086490,1538.0,101523.0,1,30.0,15.0,0.002581361850947595,0.002897791807796287,1,1
NCT00535782,A Study of the Effect of Tocilizumab on Markers of Atherogenic Risk in Patients With Moderate to Severe Rheumatoid Arthritis,"This 2 arm study will investigate the effects of tocilizumab on lipids, arterial stiffness,      and markers of atherogenic risk in patients with moderate to severe active rheumatoid      arthritis. In Part 1 of the study, patients will be randomized to receive either tocilizumab      8mg/kg intravenously or placebo every 4 weeks, in combination with methotrexate 7.5-25 mg      weekly. In Part 2, all patients will receive open-label treatment with tocilizumab plus      methotrexate.",C0003873;C1609165;C1547226;C0205082;C0947630;C1550655;C0005516,C0599949;C0025677;C0025677;C1609165;C1609165;C1609165;C0003864;C0087111;C0032042;C0523744;C0205082;C0947630;C0947630;C1705425;C0446516;C3539181;C1518681;C0005516;C1320102;C1547226,1542.0,106110.0,1,7.0,7.0,0.0025500329469347162,0.0028932567969593113,1,1
