"nct_id","citationSum","citationAvg"
"NCT00000542",466,14.1212121212121
"NCT00000560",74,10.5714285714286
"NCT00000620",6180,112.363636363636
"NCT00000877",5,5
"NCT00000903",10,10
"NCT00001137",394,39.4
"NCT00004855",10,10
"NCT00004978",261,52.2
"NCT00027352",2619,87.3
"NCT00038480",64,32
"NCT00042081",224,44.8
"NCT00047437",1390,33.0952380952381
"NCT00051363",93,46.5
"NCT00055120",238,119
"NCT00059306",1005,40.2
"NCT00062803",73,36.5
"NCT00067093",73,36.5
"NCT00076492",17,17
"NCT00089752",24,24
"NCT00089895",121,9.30769230769231
"NCT00092274",83,41.5
"NCT00093314",138,46
"NCT00098137",48,16
"NCT00099710",85,85
"NCT00119717",42,10.5
"NCT00121472",452,113
"NCT00121485",593,197.666666666667
"NCT00121966",3,3
"NCT00122382",49,16.3333333333333
"NCT00130039",51,10.2
"NCT00133692",446,37.1666666666667
"NCT00133718",16,5.33333333333333
"NCT00140751",17,8.5
"NCT00142805",136,68
"NCT00145119",136,17
"NCT00151177",21,21
"NCT00151814",4,4
"NCT00153036",1472,736
"NCT00153101",2018,67.2666666666667
"NCT00159224",5,5
"NCT00159835",348,43.5
"NCT00159887",60,30
"NCT00164736",289,32.1111111111111
"NCT00167700",507,46.0909090909091
"NCT00170326",16,8
"NCT00170703",4,4
"NCT00171821",185,30.8333333333333
"NCT00195650",5,5
"NCT00197548",75,37.5
"NCT00201968",40,20
"NCT00219102",4,4
"NCT00221117",2,2
"NCT00226096",339,24.2142857142857
"NCT00235495",75,18.75
"NCT00235755",11,11
"NCT00236028",5,5
"NCT00237692",173,34.6
"NCT00242944",135,27
"NCT00242957",289,289
"NCT00244621",11,11
"NCT00251251",452,45.2
"NCT00259428",126,126
"NCT00269412",30,30
"NCT00274430",43,21.5
"NCT00280540",0,0
"NCT00292552",3809,59.515625
"NCT00307151",243,40.5
"NCT00313196",47,47
"NCT00315133",131,131
"NCT00321061",8,8
"NCT00327691",700,30.4347826086957
"NCT00330980",81,16.2
"NCT00335452",302,75.5
"NCT00349349",238,79.3333333333333
"NCT00360087",47,47
"NCT00365976",7,7
"NCT00371293",103,51.5
"NCT00371384",47,23.5
"NCT00379522",2,2
"NCT00381303",40,13.3333333333333
"NCT00388622",241,48.2
"NCT00389220",317,22.6428571428571
"NCT00390962",53,8.83333333333333
"NCT00391872",1997,41.6041666666667
"NCT00392587",4,4
"NCT00393991",11,11
"NCT00394706",251,31.375
"NCT00395135",273,45.5
"NCT00400738",1,1
"NCT00401362",63,21
"NCT00406614",54,7.71428571428571
"NCT00410163",41,20.5
"NCT00414167",15,15
"NCT00414518",146,146
"NCT00425997",3,3
"NCT00429884",0,0
"NCT00433030",4,4
"NCT00438113",7,7
"NCT00439764",17,17
"NCT00449865",89,17.8
"NCT00449969",19,19
"NCT00458393",336,30.5454545454545
"NCT00464464",92,18.4
"NCT00465985",270,135
"NCT00469027",40,20
"NCT00473031",17,8.5
"NCT00478205",104,17.3333333333333
"NCT00483808",891,127.285714285714
"NCT00488137",144,36
"NCT00491036",575,44.2307692307692
"NCT00495326",25,12.5
"NCT00495651",445,74.1666666666667
"NCT00508482",9,9
"NCT00513656",56,28
"NCT00524446",85,21.25
"NCT00526474",504,33.6
"NCT00530894",4023,73.1454545454545
"NCT00533039",3,3
"NCT00534651",40,40
"NCT00535197",57,57
"NCT00542503",52,10.4
"NCT00544752",4,4
"NCT00546728",35,35
"NCT00554619",3,3
"NCT00559585",78,26
"NCT00560859",359,22.4375
"NCT00561678",39,39
"NCT00562263",3,3
"NCT00563901",11,11
"NCT00566930",15,15
"NCT00580528",14,7
"NCT00585637",111,27.75
"NCT00591084",31,31
"NCT00591773",0,0
"NCT00596479",22,22
"NCT00596596",21,21
"NCT00597220",44,22
"NCT00599534",9,9
"NCT00600197",7,7
"NCT00603291",157,22.4285714285714
"NCT00604630",203,101.5
"NCT00605163",25,25
"NCT00607100",21,21
"NCT00607373",276,92
"NCT00607893",32,10.6666666666667
"NCT00620659",3,3
"NCT00633880",44,14.6666666666667
"NCT00638794",278,15.4444444444444
"NCT00643188",199,199
"NCT00643890",196,98
"NCT00656890",43,43
"NCT00658515",797,79.7
"NCT00660647",65,9.28571428571429
"NCT00663702",9,9
"NCT00667992",2,2
"NCT00669695",14,7
"NCT00685984",9,4.5
"NCT00694109",49,24.5
"NCT00696384",2,2
"NCT00699998",304,15.2
"NCT00700856",90,18
"NCT00705445",114,57
"NCT00707811",170,170
"NCT00708110",61,61
"NCT00708552",6,6
"NCT00709605",4,4
"NCT00713843",14,3.5
"NCT00714116",0,0
"NCT00714740",27,13.5
"NCT00715052",46,46
"NCT00716079",562,18.1290322580645
"NCT00717665",60,60
"NCT00717730",57,9.5
"NCT00720525",29,29
"NCT00720798",10,10
"NCT00722319",14,3.5
"NCT00724594",25,12.5
"NCT00731302",1,1
"NCT00734630",3,3
"NCT00738179",331,66.2
"NCT00741286",16,16
"NCT00741585",6,6
"NCT00743925",19,19
"NCT00746902",4,4
"NCT00747838",20,6.66666666666667
"NCT00753532",32,16
"NCT00758524",62,31
"NCT00761774",0,0
"NCT00761982",123,61.5
"NCT00763893",22,11
"NCT00770003",17,8.5
"NCT00770601",16,16
"NCT00774566",1,1
"NCT00780533",40,20
"NCT00782340",13,6.5
"NCT00791648",122,40.6666666666667
"NCT00794664",107,35.6666666666667
"NCT00794885",297,15.6315789473684
"NCT00798369",116,38.6666666666667
"NCT00799396",422,105.5
"NCT00801034",16,16
"NCT00803101",76,38
"NCT00803257",16,8
"NCT00809393",6,6
"NCT00810732",78,19.5
"NCT00811733",2,2
"NCT00811954",199,49.75
"NCT00818662",26,26
"NCT00830440",76,76
"NCT00833690",75,75
"NCT00834509",12,12
"NCT00836836",28,28
"NCT00837798",20,20
"NCT00837967",1,1
"NCT00843102",3,3
"NCT00848354",23,7.66666666666667
"NCT00849095",3,3
"NCT00854321",33,33
"NCT00855465",249,62.25
"NCT00860366",105,26.25
"NCT00866502",25,25
"NCT00867048",68,68
"NCT00868283",29,29
"NCT00870363",75,25
