pmid,cite_count
28950719,1
28931617,13
28939546,4
28988183,1
28403865,3
30509206,0
29988004,3
29955731,3
28203475,2
28600694,0
30453950,4
30608597,4
30321257,1
29635500,3
29879942,1
29605498,10
27097163,8
24402594,6
27304433,26
28320635,65
23635614,12
30062716,1
22340260,12
26376136,13
24373547,4
24396131,5
25278714,1
25124964,15
24078483,17
26680374,13
27737649,1
21975110,5
23663651,5
22614730,0
24484547,79
25388552,29
23508216,27
22280484,14
27189681,3
28195933,0
30191972,9
23688301,56
22734119,2
24284841,4
25543678,12
28857719,2
30261995,3
29355547,5
27993292,10
26112656,24
25573406,107
26855682,14
23572499,13
25467586,73
27893109,9
29596950,2
26709542,0
25758058,0
25375652,6
22119854,9
25602857,6
24766987,6
26004880,4
27872072,7
30261995,3
29355547,5
27993292,10
26112656,24
25573406,107
24006357,8
28850421,3
27598552,6
22136113,1
23200268,1
26466871,25
22879443,10
25765333,61
25915510,3
23305356,6
23929260,14
26518979,1
24897082,93
27656840,13
23376004,34
24860459,5
23706025,9
25644488,4
26810338,5
28917657,3
28973227,70
26704772,1
24885354,3
27435610,8
29852853,3
28880380,3
25941016,10
25737484,64
26340453,1
27833752,5
28978801,15
27903568,10
27016906,4
25708763,30
24667535,12
30403574,158
25440796,91
25971886,10
23968498,11
24517219,28
23409033,37
27919361,4
27642057,3
26581884,2
26459347,2
23943316,36
25330848,7
29665620,3
25465680,3
25869024,5
26701835,1
30095981,5
23496822,2
23848826,20
23720276,4
30505484,2
30416787,5
23739984,5
28444644,5
27878809,7
26277862,30
26344671,15
25198265,6
25824400,0
24571752,128
26514420,3
22491916,5
26636489,1
23216780,12
26466871,25
25998039,6
25555267,9
29141040,3
24714489,15
21621886,7
29677302,20
23937387,22
25467040,3
24361109,24
30430326,0
24401051,182
29159476,3
25117066,9
26380993,4
23977071,5
26639390,3
26336930,9
29875139,4
29678813,4
29273652,14
27438106,26
26995367,18
26720750,1
26370445,8
25999401,9
25965712,47
25499873,51
24766985,19
24682387,18
24275632,33
23861512,31
21982650,56
27445325,4
28261651,1
25621498,29
23405952,15
29633605,3
26937681,3
25610980,5
25465642,94
22992240,7
28298564,3
26283632,26
28132845,13
23333188,11
26035185,20
23957382,8
24251951,11
