pmid,cite_count
11148221,146
16287954,283
16287955,152
16461961,55
16461961,55
16461961,55
16651474,35
16651474,35
16651474,35
16785477,167
17015867,40
17084252,13
17084252,13
17135583,816
17141704,289
17239677,95
17339550,46
17353456,542
17409323,69
17436219,18
17502632,130
17637939,0
17637939,0
17761592,288
17804843,126
17804843,126
17846352,17
17846352,17
17846352,17
17855670,55
17855670,55
17898099,373
17898099,373
17971716,14
18000186,30
18000186,30
18000186,30
18003886,114
18025796,94
18025796,94
18097228,13
18216052,203
18227370,28
18227370,28
18227370,28
18378520,723
18390837,74
18396107,193
18396107,193
18396107,193
18402899,77
18402899,77
18413554,29
18476292,159
18476293,68
18482661,13
18482661,13
18505169,87
18512710,33
18539917,2132
18539917,2132
18615004,41
18617640,44
18674471,19
18674471,19
18676075,21
18676075,21
18676075,21
18707986,390
18753925,107
18757085,212
18757456,58
18765162,95
18765698,72
18774548,21
18815396,1385
18815396,1385
18942885,721
18959492,25
18981767,26
18987031,95
19001024,53
19001024,53
19001024,53
19033002,20
19033002,20
19033002,20
19050388,19
19155249,53
19155249,53
19164344,67
19236467,31
19236467,31
19236467,31
19249410,11
19249410,11
19262464,61
19278178,42
19332353,512
19332455,72
19332455,72
19348685,18
19348685,18
19351941,442
19351942,186
19366777,131
19366777,131
19377385,3
19377385,3
19398687,17
19410683,3
19410683,3
19440326,185
19451556,41
19494217,241
19506526,77
19515371,57
19531929,65
19576325,41
19608026,78
19608026,78
19608028,116
19664276,127
19678756,79
19699854,49
19699854,49
19699854,49
19706858,380
19711440,8
19717846,1107
19717846,1107
19755366,5
19770393,22
19770395,22
19782784,8
19782785,13
19782786,6
19782787,10
19782789,8
19782791,13
19782792,14
19822798,65
19828532,160
19834012,200
19834012,200
19834012,200
19843340,6
19843340,6
19850525,87
19850525,87
19858703,76
19898642,12
19898642,12
19920051,520
19926008,41
19926008,41
19926008,41
19933938,45
19951979,71
19958854,56
19996412,51
20010618,0
20019013,11
20019013,11
20061358,270
20061358,270
20061360,142
20061360,142
20079528,113
20079528,113
20096136,5
20096136,5
20130232,7
20130232,7
20130232,7
20147875,17
20147875,17
20156608,18
20156608,18
20160654,11
20173748,189
20175410,24
20175410,24
20175775,47
20175775,47
20194866,172
20215456,129
20215456,129
20216301,14
20227758,219
20227758,219
20228401,810
20228401,810
20228404,625
20228404,625
20231536,37
20398351,49
20400102,44
20408846,15
20427682,135
20427682,135
20446945,33
20446945,33
20446945,33
20446946,12
20446946,12
20467151,25
20467151,25
20467286,37
20479938,27
20508186,20
20508186,20
20533546,76
20550701,46
20551371,18
20554982,202
20566896,18
20571135,2
20571135,2
20587587,316
20587587,316
20594588,358
20594588,358
20598967,30
20598967,30
20606150,174
20617176,53
20619242,17
20619242,17
20624650,31
20633818,34
20647200,241
20647200,241
20647575,24
20656636,50
20658749,7
20663131,1
20663131,1
20678673,53
20684825,5
20684825,5
20709820,56
20738227,5
20805430,70
20805430,70
20812949,2
20817281,153
20817281,153
20817281,153
20818903,126
20818903,126
20818903,126
20823381,19
20823381,19
20823381,19
20837881,41
20837897,38
20837897,38
20843247,767
20843990,16
20846604,14
20846604,14
20855799,38
20860820,3
20860820,3
20863951,19
20863951,19
20889909,76
20942667,119
20956208,40
20961243,1012
20970896,35
20970896,35
20980201,47
21060072,92
21060072,92
21060320,170
21060320,170
21060320,170
21070885,4
21070885,4
21071497,24
21073365,302
21091279,-1
21093611,19
21093611,19
21098449,3
21146279,19
21150563,8
21156931,12
21183746,11
21183746,11
21185503,13
21185503,13
21200437,5
21205944,10
21216880,34
21245726,19
21263104,31
21300952,6
21300952,6
21303529,15
21303529,15
21334433,56
21334433,56
21357275,43
21357827,33
21366473,280
21366473,280
21371282,66
21371282,66
21372283,13
21393027,40
21419704,188
21436711,64
21439048,32
21473965,18
21473965,18
21481577,28
21498674,41
21504563,37
21545948,21
21545948,21
21546436,52
21546491,22
21546491,22
21546491,22
21555815,7
21566232,25
21566232,25
21593355,4
21593355,4
21612646,23
21613427,14
21618201,57
21639811,889
21641348,2
21659435,16
21659435,16
21659657,41
21663644,10
21663644,10
21676990,57
21680850,12
21685187,45
21685437,42
21685437,42
21689411,9
21690592,58
21709065,61
21709065,61
21714604,4
21716073,61
21727288,41
21727288,41
21740078,3
21740078,3
21747013,63
21768536,20
21771823,18
21778120,57
21788624,9
21799173,29
21799173,29
21799173,29
21809337,14
21812576,2
21812576,2
21821865,30
21844482,127
21844490,15
21846154,4
21848574,21
21851904,8
21852153,3
21852153,3
21852153,3
21856867,57
21857489,26
21861537,27
21879896,55
21879897,50
21884592,25
21884592,25
21884874,2
21884874,2
21886816,5
21899409,366
21899409,366
21921092,14
21937568,48
21937568,48
21945174,14
21945174,14
21947289,26
21969009,12
21969009,12
21969009,12
21969017,69
21974760,3
21974763,10
21979491,23
21979491,23
21986283,55
21991892,271
21992747,9
21998259,8
22016505,55
22019270,8
22019270,8
22024920,1
22030252,12
22034996,8
22034996,8
22049171,26
22049171,26
22054035,54
22075451,58
22080838,112
22082198,122
22082198,122
22090660,71
22090660,71
22093210,10
22114101,55
22118061,13
22118061,13
22118987,40
22129475,0
22129475,0
22129475,0
22135385,8
22135385,8
22137073,6
22149452,16
22152723,29
22157519,36
22157519,36
22163120,57
22163120,57
22163120,57
22163120,57
22163120,57
22163120,57
22163120,57
22163120,57
22163120,57
22179034,20
22179530,1
22179530,1
22179956,50
22179956,50
22186969,35
22192672,44
22198979,21
22198979,21
22198979,21
22200381,7
22200381,7
22210755,7
22217936,6
22217936,6
22222143,27
22222143,27
22228076,48
22228076,48
22228076,48
22228076,48
22228827,18
22235820,14
22235820,14
22235820,14
22258995,18
22261200,37
22261200,37
22282104,70
22282884,29
22282884,29
22282884,29
22298167,2
22308299,53
22345126,55
22349989,27
22349989,27
22354598,8
22373905,5
22373905,5
22374637,85
22374637,85
22396585,15
22396585,15
22396585,15
22403632,11
22409644,12
22421927,128
22421927,128
22424519,50
22427534,112
22431578,19
22431578,19
22431578,19
22432114,31
22432114,31
22438232,3
22440496,9
22443427,217
22443427,217
22443427,217
22443478,204
22443479,375
22450889,12
22450889,12
22450943,12
22456661,14
22457244,15
22457291,9
22457291,9
22461416,40
22461416,40
22467989,4
22467989,4
22470539,8
22470539,8
22470539,8
22490878,18
22490878,18
22490878,18
22492366,39
22495138,15
22499292,3
22499292,3
22506623,3
22512894,11
22512894,11
22515638,6
22515638,6
22523379,7
22523379,7
22539545,14
22539545,14
22539545,14
22540524,4
22541178,1
22541178,1
22541418,44
22543981,3
22546885,4
22546885,4
22547421,68
22552566,0
22555165,46
22559260,1
22559260,1
22560018,22
22572767,10
22572911,29
22572911,29
22575316,15
22575316,15
22576673,30
22576673,30
22576673,30
22615116,60
22619083,55
22619083,55
22624038,215
22645292,4
22645292,4
22646230,17
22646230,17
22649265,12
22658702,39
22658702,39
22678090,4
22678090,4
22678090,4
22681705,35
22696176,40
22709750,20
22716976,98
22719022,25
22719022,25
22723577,10
22723577,10
22726593,11
22744655,50
22744655,50
22744655,50
22744746,30
22750086,4
22750086,4
22764211,66
22764211,66
22764211,66
22773109,49
22777623,12
22777623,12
22783896,3
22783896,3
22788915,9
22790881,3
22810982,13
22818074,77
22826359,18
22826359,18
22829023,21
22829927,3
22836031,193
22836031,193
22837378,82
22850357,15
22851113,74
22860080,4
22866767,7
22880942,4
22896584,26
22910894,8
22910894,8
22910894,8
22911697,26
22911697,26
22913289,9
22913568,22
22913568,22
22920307,3
22920912,307
22920912,307
22920930,158
22920930,158
22930699,7
22931315,160
22931315,160
22932716,63
22932716,63
22932716,63
22932717,248
22938715,145
22944873,42
22958084,5
22958084,5
22958084,5
22960277,13
22960277,13
22972364,1
22972364,1
22980299,10
22980299,10
22980305,14
22991347,32
22991347,32
22995880,2
22995880,2
22995885,83
23018440,7
23021325,18
23021325,18
23031172,16
23033246,14
23033246,14
23034910,26
23034910,26
23040114,2
23041595,7
23048170,39
23048170,39
23051772,36
23062530,47
23063367,13
23063367,13
23071495,19
23078148,11
23092052,2
23107780,85
23113909,4
23113909,4
23117779,49
23117779,49
23122802,43
23126252,527
23128968,16
23128968,16
23128968,16
23129601,148
23137503,2
23137503,2
23144326,42
23152839,50
23152839,50
23152962,6
23169319,76
23177481,4
23177481,4
23184565,12
23185280,9
23194494,4
23194494,4
23194494,4
23196037,10
23196037,10
23204602,90
23204602,90
23212996,40
23216780,12
23227315,3
23238658,31
23238658,31
23242479,24
23243212,12
23254770,4
23259716,6
23259716,6
23265344,33
23265344,33
23277305,22
23277305,22
23289728,26
23289728,26
23291425,6
23291425,6
23294191,28
23299909,15
23315371,40
23315371,40
23324133,15
23324133,15
23336703,3
23336703,3
23364004,15
23364390,12
23372270,6
23372270,6
23380890,39
23380890,39
23392654,34
23396280,27
23396280,27
23396280,27
23412077,18
23412077,18
23416014,4
23416014,4
23433590,20
23435697,64
23459001,21
23461895,43
23463811,42
23468553,7
23471467,28
23480216,19
23484827,43
23487599,75
23500307,29
23501976,40
23501976,40
23501976,40
23506651,6
23516440,13
23519546,3
23529173,13
23529173,13
23529173,13
23535761,11
23537976,2
23537976,2
23548052,7
23549132,7
23549132,7
23549489,4
23549489,4
23572474,0
23572474,0
23585526,15
23588439,2
23588439,2
23602230,109
23602230,109
23617744,4
23617744,4
23623915,35
23639243,1
23644225,17
23650556,7
23650556,7
23656848,15
23656848,15
23661689,18
23661689,18
23661689,18
23661689,18
23661722,53
23663813,7
23669822,73
23674398,9
23674398,9
23674398,9
23675422,5
23684680,12
23685298,15
23692173,202
23692173,202
23700341,5
23704912,99
23704912,99
23706025,9
23706025,9
23713578,271
23713578,271
23713578,271
23720247,1
23721984,3
23723343,11
23723343,11
23725996,18
23726159,163
23726159,163
23730928,6
23730989,9
23736109,10
23736109,10
23748210,7
23748210,7
23755215,2
23782510,5
23792193,33
23800556,0
23800556,0
23809536,15
23816026,3
23828106,4
23828106,4
23847271,1
23861381,2
23866179,5
23866179,5
23880099,6
23883377,241
23890998,117
23891440,3
23891440,3
23895814,15
23896681,33
23899210,27
23900047,19
23900047,19
23900696,77
23902482,254
23902779,16
23905663,3
23905663,3
23911539,7
23915796,19
23915796,19
23920422,3
23920422,3
23925936,9
23925936,9
23929781,5
23936377,6
23936756,13
23939297,38
23941576,2
23941576,2
23942767,3
23945372,36
23945372,36
23947473,61
23953385,15
23953385,15
23957382,8
23957382,8
23957382,8
23962455,87
23963546,7
23968698,49
23987561,4
23987561,4
23987834,15
23989301,17
23989301,17
23991658,357
23995437,25
24011548,154
24011548,154
24016147,19
24016147,19
24016495,1
24016495,1
24016496,4
24016496,4
24016511,4
24016511,4
24021498,45
24022747,5
24022862,1
24024499,9
24026211,142
24040920,4
24040920,4
24050312,30
24073978,2
24073995,44
24075453,36
24076337,40
24076337,40
24076337,40
24093853,3
24093853,3
24097372,17
24097372,17
24103327,36
24105334,5
24106924,22
24107737,7
24122883,8
24131826,49
24131826,49
24135389,3
24138880,227
24140659,11
24149007,2
24149007,2
24149007,2
24152861,24
24159564,15
24161334,13
24170388,19
24170388,19
24170759,39
24170759,39
24176441,7
24176441,7
24177006,2
24177006,2
24179294,30
24184245,138
24186563,33
24186563,33
24191305,13
24207098,30
24207098,30
24210779,167
24212451,3
24216069,1
24221391,26
24225451,5
24225451,5
24240777,70
24240777,70
24240777,70
24260334,46
24267310,3
24275895,4
24279747,4
24279747,4
24281330,38
24283598,0
24283598,0
24283598,0
24291272,19
24291283,29
24293768,46
24293768,46
24293768,46
24293773,15
24296848,8
24296848,8
24299607,2
24315720,0
24315720,0
24315720,0
24326304,10
24326304,10
24326304,10
24332218,15
24351885,8
24351885,8
24356474,20
24356937,36
24366103,75
24366918,24
24366918,24
24368436,12
24368437,27
24373555,14
24373555,14
24380989,1
24381222,3
24382410,97
24382410,97
24392948,9
24396625,0
24401143,25
24423370,2
24423370,2
24428877,4
24428877,4
24429093,81
24443277,9
24443277,9
24443277,9
24443504,11
24443504,11
24493100,46
24493100,46
24497655,36
24497655,36
24500152,6
24503952,5
24517339,42
24517339,42
24517339,42
24517339,42
24523037,24
24523037,24
24530176,38
24530176,38
24530176,38
24531331,2
24552242,61
24561148,10
24561148,10
24561149,34
24562802,14
24562802,14
24576271,7
24576271,7
24584926,12
24585202,31
24585202,31
24588905,13
24588905,13
24595629,67
24595629,67
24596458,2
24598154,2
24607027,1
24607027,1
24610807,1
24612097,9
24613084,60
24619321,17
24621858,8
24638072,10
24642016,9
24642016,9
24642016,9
24647802,3
24647802,3
24652887,1
24661819,1
24661819,1
24663014,5
24666617,10
24671049,15
24682844,9
24682844,9
24693926,2
24693926,2
24697851,30
24699052,18
24699052,18
24703208,53
24703208,53
24703208,53
24711047,17
24713455,6
24713455,6
24732867,21
24740633,36
24742013,26
24742013,26
24742013,26
24742013,26
24742341,7
24748465,11
24748465,11
24750460,3
24750460,3
24763770,1
24779706,6
24779706,6
24779706,6
24786834,29
24786834,29
24786834,29
24786834,29
24795473,197
24811331,11
24811331,11
24815199,8
24820191,7
24830710,18
24830710,18
24842697,8
24842697,8
24842697,8
24852952,14
24860459,5
24860459,5
24862645,10
24862645,10
24870935,71
24870935,71
24874071,26
24882900,7
24882900,7
24886064,11
24886064,11
24886064,11
24890527,35
24890527,35
24890823,18
24903195,9
24903195,9
24906637,16
24907147,2
24912797,8
24917940,14
24918371,102
24918371,102
24918789,34
24918789,34
24918789,34
24918789,34
24931393,7
24949622,25
24952862,4
24952862,4
24952863,5
24952863,5
24957314,0
24957314,0
24957314,0
24957314,0
24957314,0
24957314,0
24957530,5
24957530,5
24958751,55
24963568,161
24963568,161
24965834,2
24968955,2
24974387,8
24985779,5
25002161,5
25002161,5
25002161,5
25002717,13
25011720,15
25012156,4
25012156,4
25032995,9
25034716,25
25034716,25
25060819,6
25064164,13
25070302,16
25070302,16
25072816,7
25072816,7
25073894,99
25073921,16
25083017,12
25088437,41
25088437,41
25095738,3
25107437,5
25124284,3
25124284,3
25127725,33
25127725,33
25134640,9
25138249,43
25141110,3
25141110,3
25158772,4
25158772,4
25159234,23
25159234,23
25172198,62
25172198,62
25186534,12
25186534,12
25186534,12
25190442,10
25190442,10
25193529,11
25193529,11
25199060,230
25205802,31
25211369,4
25211369,4
25221387,5
25221387,5
25222305,10
25227476,12
25227704,4
25227704,4
25229335,41
25229335,41
25229735,24
25230290,32
25239590,14
25240532,6
25240705,15
25241909,20
25249397,19
25252696,59
25252721,63
25256179,3
25257633,35
25261549,32
25264782,4
25265132,8
25265132,8
25270901,9
25277997,29
25281400,15
25285539,76
25323230,88
25329038,24
25329038,24
25329038,24
25329038,24
25330161,3
25331850,10
25332483,7
25332483,7
25336467,15
25341556,20
25344427,3
25344427,3
25345751,4
25348273,1
25348273,1
25350981,31
25350981,31
25356881,81
25359291,8
25359432,2
25363997,6
25363997,6
25367713,77
25372086,64
25378467,15
25378467,15
25385345,12
25423953,3
25428566,3
25428566,3
25429097,12
25429097,12
25440795,3
25443696,49
25447610,3
25452300,0
25452300,0
25453457,31
25453457,31
25455006,5
25455006,5
25455006,5
25455544,12
25459036,4
25465324,0
25465324,0
25465416,10
25465416,10
25465416,10
25465417,7
25465417,7
25465417,7
25474490,17
25474490,17
25480461,11
25480782,6
25481378,3
25490913,5
25490913,5
25497513,15
25497513,15
25497513,15
25503550,21
25503550,21
25503550,21
25503550,21
25503550,21
25503550,21
25524339,27
25526462,9
25528363,8
25528363,8
25531109,8
25531109,8
25536218,1
25538134,5
25538134,5
25552564,8
25554484,7
25563640,1
25563640,1
25565457,61
25581251,13
25583157,19
25583994,39
25585528,6
25586156,6
25589534,3
25589782,0
25589782,0
25589782,0
25589782,0
25589782,0
25589782,0
25590214,7
25590214,7
25595417,9
25601933,33
25601933,33
25601933,33
25601979,19
25601979,19
25614280,32
25614280,32
25614280,32
25614280,32
25616819,76
25619410,2
25631070,116
25633634,1
25637294,4
25637294,4
25638698,9
25638698,9
25642832,37
25646337,62
25652389,7
25652389,7
25652804,5
25652804,5
