query,nct_id
already having Celiac Disease_page_rank.csv,NCT02389062
already having Celiac Disease_page_rank.csv,NCT02344758
already having Celiac Disease_page_rank.csv,NCT02072590
already having Celiac Disease_page_rank.csv,NCT03664531
already having Celiac Disease_page_rank.csv,NCT00167700
antiretroviral therapy first time_pageRank.csv,NCT00400738
antiretroviral therapy first time_pageRank.csv,NCT01199939
antiretroviral therapy first time_pageRank.csv,NCT02063880
antiretroviral therapy first time_pageRank.csv,NCT03407105
antiretroviral therapy first time_pageRank.csv,NCT00381303
antiretroviral therapy first time_pageRank.csv,NCT00140751
antiretroviral therapy first time_pageRank.csv,NCT00159224
antiretroviral therapy first time_pageRank.csv,NCT01904994
antiretroviral therapy first time_pageRank.csv,NCT00000877
antiretroviral therapy first time_pageRank.csv,NCT01075152
antiretroviral therapy first time_pageRank.csv,NCT00978237
antiretroviral therapy first time_pageRank.csv,NCT01404312
antiretroviral therapy first time_pageRank.csv,NCT00811954
antiretroviral therapy first time_pageRank.csv,NCT02379949
antiretroviral therapy first time_pageRank.csv,NCT00495326
antiretroviral therapy first time_pageRank.csv,NCT00055120
antiretroviral therapy first time_pageRank.csv,NCT04246983
antiretroviral therapy first time_pageRank.csv,NCT00988780
antiretroviral therapy first time_pageRank.csv,NCT01300481
antiretroviral therapy first time_pageRank.csv,NCT02850276
antiretroviral therapy first time_pageRank.csv,NCT00495651
antiretroviral therapy first time_pageRank.csv,NCT01380080
antiretroviral therapy first time_pageRank.csv,NCT01259219
antiretroviral therapy first time_pageRank.csv,NCT00433030
antiretroviral therapy first time_pageRank.csv,NCT00004978
antiretroviral therapy first time_pageRank.csv,NCT00027352
antiretroviral therapy first time_pageRank.csv,NCT02514356
antiretroviral therapy first time_pageRank.csv,NCT01151189
antiretroviral therapy first time_pageRank.csv,NCT00976404
antiretroviral therapy first time_pageRank.csv,NCT02147405
constipation safe treatments_page_rank.csv,NCT01691742
constipation safe treatments_page_rank.csv,NCT01592734
constipation safe treatments_page_rank.csv,NCT01505777
constipation safe treatments_page_rank.csv,NCT00508482
constipation safe treatments_page_rank.csv,NCT01670669
constipation safe treatments_page_rank.csv,NCT01251822
constipation safe treatments_page_rank.csv,NCT00596596
constipation safe treatments_page_rank.csv,NCT00488137
constipation safe treatments_page_rank.csv,NCT01707667
constipation safe treatments_page_rank.csv,NCT01885104
constipation safe treatments_page_rank.csv,NCT01330381
constipation safe treatments_page_rank.csv,NCT01993940
dietary approaches for obesity treatment_page_rank.csv,NCT01859013
dietary approaches for obesity treatment_page_rank.csv,NCT03449641
dietary approaches for obesity treatment_page_rank.csv,NCT02578199
dietary approaches for obesity treatment_page_rank.csv,NCT03740347
dietary approaches for obesity treatment_page_rank.csv,NCT01405976
dietary approaches for obesity treatment_page_rank.csv,NCT00546728
dietary approaches for obesity treatment_page_rank.csv,NCT01977326
dietary approaches for obesity treatment_page_rank.csv,NCT03146026
dietary approaches for obesity treatment_page_rank.csv,NCT00562263
dietary approaches for obesity treatment_page_rank.csv,NCT00395135
dietary approaches for obesity treatment_page_rank.csv,NCT02169778
dietary approaches for obesity treatment_page_rank.csv,NCT01116856
dietary approaches for obesity treatment_page_rank.csv,NCT00063635
dietary approaches for obesity treatment_page_rank.csv,NCT00414167
dietary approaches for obesity treatment_page_rank.csv,NCT01809990
dietary approaches for obesity treatment_page_rank.csv,NCT00783315
dietary approaches for obesity treatment_page_rank.csv,NCT03821818
dietary approaches for obesity treatment_page_rank.csv,NCT03491930
dietary approaches for obesity treatment_page_rank.csv,NCT02024061
dietary approaches for obesity treatment_page_rank.csv,NCT01010789
dietary approaches for obesity treatment_page_rank.csv,NCT01718483
dietary approaches for obesity treatment_page_rank.csv,NCT00961740
dietary approaches for obesity treatment_page_rank.csv,NCT01231256
dietary approaches for obesity treatment_page_rank.csv,NCT01718509
dietary approaches for obesity treatment_page_rank.csv,NCT01237197
dietary approaches for obesity treatment_page_rank.csv,NCT01771042
dietary approaches for obesity treatment_page_rank.csv,NCT00830440
dietary approaches for obesity treatment_page_rank.csv,NCT03128112
dietary approaches for obesity treatment_page_rank.csv,NCT00928473
dietary approaches for obesity treatment_page_rank.csv,NCT00603291
Dietary Therapy Epilepsies_page_rank.csv,NCT01261325
Dietary Therapy Epilepsies_page_rank.csv,NCT00235755
Dietary Therapy Epilepsies_page_rank.csv,NCT01721213
Dietary Therapy Epilepsies_page_rank.csv,NCT00142805
Dietary Therapy Epilepsies_page_rank.csv,NCT02098941
Dietary Therapy Epilepsies_page_rank.csv,NCT00836836
Dietary Therapy Epilepsies_page_rank.csv,NCT00761774
Dietary Therapy Epilepsies_page_rank.csv,NCT02100501
Dietary Therapy Epilepsies_page_rank.csv,NCT02205931
Dietary Therapy Epilepsies_page_rank.csv,NCT01118962
Dietary Therapy Epilepsies_page_rank.csv,NCT01538355
Early Parkinson disease treatment_page_rank.csv,NCT01971242
Early Parkinson disease treatment_page_rank.csv,NCT00833690
Early Parkinson disease treatment_page_rank.csv,NCT01785628
Early Parkinson disease treatment_page_rank.csv,NCT00866502
Early Parkinson disease treatment_page_rank.csv,NCT01092936
Early Parkinson disease treatment_page_rank.csv,NCT00914095
Early Parkinson disease treatment_page_rank.csv,NCT02583672
Early Parkinson disease treatment_page_rank.csv,NCT00464464
Early Parkinson disease treatment_page_rank.csv,NCT02034357
Early Parkinson disease treatment_page_rank.csv,NCT00782340
Early Parkinson disease treatment_page_rank.csv,NCT01313819
Early Parkinson disease treatment_page_rank.csv,NCT02879136
Early Parkinson disease treatment_page_rank.csv,NCT00449865
Early Parkinson disease treatment_page_rank.csv,NCT00605163
Early Parkinson disease treatment_page_rank.csv,NCT00633880
Early Parkinson disease treatment_page_rank.csv,NCT00724594
Early Parkinson disease treatment_page_rank.csv,NCT00643890
Early Parkinson disease treatment_page_rank.csv,NCT03602014
Early Parkinson disease treatment_page_rank.csv,NCT02111122
Early Parkinson disease treatment_page_rank.csv,NCT02324426
Early Parkinson disease treatment_page_rank.csv,NCT03331822
Early Parkinson disease treatment_page_rank.csv,NCT01280123
haemorrhage cure_page_rank.csv,NCT02753816
haemorrhage cure_page_rank.csv,NCT02577484
haemorrhage cure_page_rank.csv,NCT03784794
haemorrhage cure_page_rank.csv,NCT00803101
haemorrhage cure_page_rank.csv,NCT01659619
haemorrhage cure_page_rank.csv,NCT03795649
haemorrhage cure_page_rank.csv,NCT01456260
haemorrhage cure_page_rank.csv,NCT01169454
