"pmid","nct_id","reference_type","cite_count"
11148221,"NCT00414518","one-to-one",NA
16287954,"NCT00159835","one-to-one",NA
16287955,"NCT00042081","one-to-one",NA
16461961,"NCT00000542","one-to-one",NA
16461961,"NCT00000542","one-to-one",NA
16461961,"NCT00000542","one-to-one",NA
16651474,"NCT00000542","one-to-one",NA
16651474,"NCT00000542","one-to-one",NA
16651474,"NCT00000542","one-to-one",NA
16785477,"NCT00133692","one-to-one",NA
17015867,"NCT00274430","one-to-one",NA
17084252,"NCT00327691","one-to-one",NA
17084252,"NCT00327691","one-to-one",NA
17135583,"NCT00027352","one-to-one",NA
17141704,"NCT00242957","one-to-one",NA
17239677,"NCT00047437","one-to-one",NA
17339550,"NCT00153101","one-to-one",NA
17353456,"NCT02624180","one-to-one",NA
17409323,"NCT00197548","one-to-one",NA
17436219,"NCT00038480","one-to-one",NA
17502632,"NCT00388622","one-to-one",NA
17637939,"NCT00391872","one-to-one",NA
17637939,"NCT00391872","one-to-one",NA
17761592,"NCT00121472","one-to-one",NA
17804843,"NCT00259428","one-to-one",NA
17804843,"NCT00259428","one-to-one",NA
17846352,"NCT00000542","one-to-one",NA
17846352,"NCT00000542","one-to-one",NA
17846352,"NCT00000542","one-to-one",NA
17855670,"NCT00062803","one-to-one",NA
17855670,"NCT00067093","one-to-one",NA
17898099,"NCT00327691","one-to-one",NA
17898099,"NCT00327691","one-to-one",NA
17971716,"NCT00027352","one-to-one",NA
18000186,"NCT00000542","one-to-one",NA
18000186,"NCT00000542","one-to-one",NA
18000186,"NCT00000542","one-to-one",NA
18003886,"NCT00093314","one-to-one",NA
18025796,"NCT00167700","one-to-one",NA
18025796,"NCT00167700","one-to-one",NA
18097228,"NCT00027352","one-to-one",NA
18216052,"NCT00292552","one-to-one",NA
18227370,"NCT00000542","one-to-one",NA
18227370,"NCT00000542","one-to-one",NA
18227370,"NCT00000542","one-to-one",NA
18378520,"NCT00153101","one-to-one",NA
18390837,"NCT00092274","one-to-one",NA
18396107,"NCT00226096","one-to-one",NA
18396107,"NCT00226096","one-to-one",NA
18396107,"NCT00226096","one-to-one",NA
18402899,"NCT00327691","one-to-one",NA
18402899,"NCT00327691","one-to-one",NA
18413554,"NCT00330980","one-to-one",NA
18476292,"NCT00027352","one-to-one",NA
18476293,"NCT00027352","one-to-one",NA
18482661,"NCT00327691","one-to-one",NA
18482661,"NCT00327691","one-to-one",NA
18505169,"NCT00027352","one-to-one",NA
18512710,"NCT00854321","one-to-one",NA
18539917,"NCT00000620","one-to-one",NA
18539917,"NCT00000620","one-to-one",NA
18615004,"NCT00133692","one-to-one",NA
18617640,"NCT00027352","one-to-one",NA
18674471,"NCT00327691","one-to-one",NA
18674471,"NCT00327691","one-to-one",NA
18676075,"NCT00000542","one-to-one",NA
18676075,"NCT00000542","one-to-one",NA
18676075,"NCT00000542","one-to-one",NA
18707986,"NCT00153101","one-to-one",NA
18753925,"NCT00027352","one-to-one",NA
18757085,"NCT00153101","one-to-one",NA
18757456,"NCT00292552","one-to-one",NA
18765162,"NCT00389220","one-to-one",NA
18765698,"NCT00027352","one-to-one",NA
18774548,"NCT00607100","one-to-one",NA
18815396,"NCT00153036","one-to-one",NA
18815396,"NCT00153036","one-to-one",NA
18942885,"NCT00027352","one-to-one",NA
18959492,"NCT00027352","one-to-one",NA
18981767,"NCT00027352","one-to-one",NA
18987031,"NCT00488137","one-to-one",NA
19001024,"NCT00000542","one-to-one",NA
19001024,"NCT00000542","one-to-one",NA
19001024,"NCT00000542","one-to-one",NA
19033002,"NCT00335452","one-to-one",NA
