"nct_id","pmid","reference_type"
"NCT02971111",28950719,"one-to-one"
"NCT02974283",28931617,"one-to-one"
"NCT02976376",28939546,"one-to-one"
"NCT02979782",28988183,"one-to-one"
"NCT02972164",28403865,"one-to-one"
"NCT02977481",30509206,"one-to-one"
"NCT02979002",29988004,"one-to-one"
"NCT02979717",29955731,"one-to-one"
"NCT02973698",28203475,"one-to-one"
"NCT02971332",28600694,"one-to-one"
"NCT02972567",30453950,"one-to-one"
"NCT03281512",30608597,"one-to-one"
"NCT03285074",30321257,"one-to-one"
"NCT03285074",29635500,"one-to-one"
"NCT03280771",29879942,"one-to-one"
"NCT01432925",29605498,"one-to-one"
"NCT01432925",27097163,"one-to-one"
"NCT01431040",24402594,"one-to-one"
"NCT01437657",27304433,"one-to-one"
"NCT01436487",28320635,"one-to-one"
"NCT01433874",23635614,"one-to-one"
"NCT01436747",30062716,"one-to-one"
"NCT01438853",22340260,"one-to-one"
"NCT01434810",26376136,"one-to-one"
"NCT01434810",24373547,"one-to-one"
"NCT01432899",24396131,"one-to-one"
"NCT01438645",25278714,"one-to-one"
"NCT01437163",25124964,"one-to-one"
"NCT01437163",24078483,"one-to-one"
"NCT01430156",26680374,"one-to-one"
"NCT01431092",27737649,"one-to-one"
"NCT01431092",21975110,"one-to-one"
"NCT01431235",23663651,"one-to-one"
"NCT01436344",22614730,"one-to-one"
"NCT01434121",24484547,"one-to-one"
"NCT01438762",25388552,"one-to-one"
"NCT01438762",23508216,"one-to-one"
"NCT01438762",22280484,"one-to-one"
"NCT01435486",27189681,"one-to-one"
"NCT01437319",28195933,"one-to-one"
"NCT01438840",30191972,"one-to-one"
"NCT01434823",23688301,"one-to-one"
"NCT01439412",22734119,"one-to-one"
"NCT01435707",24284841,"one-to-one"
"NCT01430429",25543678,"one-to-one"
"NCT01435759",28857719,"one-to-one"
"NCT01431287",30261995,"one-to-one"
"NCT01431287",29355547,"one-to-one"
"NCT01431287",27993292,"one-to-one"
"NCT01431287",26112656,"one-to-one"
"NCT01431287",25573406,"one-to-one"
"NCT01433354",26855682,"one-to-one"
"NCT01439386",23572499,"one-to-one"
"NCT01432730",25467586,"one-to-one"
"NCT01438281",27893109,"one-to-one"
"NCT01435603",29596950,"one-to-one"
"NCT01432457",26709542,"one-to-one"
"NCT01432457",25758058,"one-to-one"
"NCT01432457",25375652,"one-to-one"
"NCT01432743",22119854,"one-to-one"
"NCT01432639",25602857,"one-to-one"
"NCT01432639",24766987,"one-to-one"
"NCT01437358",26004880,"one-to-one"
"NCT01438216",27872072,"one-to-one"
"NCT01431274",30261995,"one-to-one"
"NCT01431274",29355547,"one-to-one"
"NCT01431274",27993292,"one-to-one"
"NCT01431274",26112656,"one-to-one"
"NCT01431274",25573406,"one-to-one"
"NCT01435278",24006357,"one-to-one"
"NCT01431261",28850421,"one-to-one"
"NCT01431261",27598552,"one-to-one"
"NCT01431261",22136113,"one-to-one"
"NCT01438580",23200268,"one-to-one"
"NCT01430754",26466871,"one-to-one"
"NCT01438203",22879443,"one-to-one"
"NCT01434225",25765333,"one-to-one"
"NCT01430884",25915510,"one-to-one"
"NCT01430884",23305356,"one-to-one"
"NCT01434407",23929260,"one-to-one"
"NCT01431976",26518979,"one-to-one"
"NCT01431339",24897082,"one-to-one"
"NCT01438788",27656840,"one-to-one"
"NCT01668927",23376004,"one-to-one"
"NCT01668407",24860459,"one-to-one"
"NCT01668407",23706025,"one-to-one"
"NCT01660048",25644488,"one-to-one"
"NCT01661439",26810338,"one-to-one"
