pmid,nct_id,reference_type,citation_count
11148221,NCT00414518,one-to-one,146
16287954,NCT00159835,one-to-one,283
16287955,NCT00042081,one-to-one,152
16461961,NCT00000542,one-to-one,55
16461961,NCT00000542,one-to-one,55
16461961,NCT00000542,one-to-one,55
16651474,NCT00000542,one-to-one,35
16651474,NCT00000542,one-to-one,35
16651474,NCT00000542,one-to-one,35
16785477,NCT00133692,one-to-one,167
17015867,NCT00274430,one-to-one,40
17084252,NCT00327691,one-to-one,13
17084252,NCT00327691,one-to-one,13
17135583,NCT00027352,one-to-one,816
17141704,NCT00242957,one-to-one,289
17239677,NCT00047437,one-to-one,95
17339550,NCT00153101,one-to-one,46
17353456,NCT02624180,one-to-one,542
17409323,NCT00197548,one-to-one,69
17436219,NCT00038480,one-to-one,18
17502632,NCT00388622,one-to-one,130
17637939,NCT00391872,one-to-one,0
17637939,NCT00391872,one-to-one,0
17761592,NCT00121472,one-to-one,288
17804843,NCT00259428,one-to-one,126
17804843,NCT00259428,one-to-one,126
17846352,NCT00000542,one-to-one,17
17846352,NCT00000542,one-to-one,17
17846352,NCT00000542,one-to-one,17
17855670,NCT00062803,one-to-one,55
17855670,NCT00067093,one-to-one,55
17898099,NCT00327691,one-to-one,373
17898099,NCT00327691,one-to-one,373
17971716,NCT00027352,one-to-one,14
18000186,NCT00000542,one-to-one,30
18000186,NCT00000542,one-to-one,30
18000186,NCT00000542,one-to-one,30
18003886,NCT00093314,one-to-one,114
18025796,NCT00167700,one-to-one,94
18025796,NCT00167700,one-to-one,94
18097228,NCT00027352,one-to-one,13
18216052,NCT00292552,one-to-one,203
18227370,NCT00000542,one-to-one,28
18227370,NCT00000542,one-to-one,28
18227370,NCT00000542,one-to-one,28
18378520,NCT00153101,one-to-one,723
18390837,NCT00092274,one-to-one,74
18396107,NCT00226096,one-to-one,193
18396107,NCT00226096,one-to-one,193
18396107,NCT00226096,one-to-one,193
18402899,NCT00327691,one-to-one,77
18402899,NCT00327691,one-to-one,77
18413554,NCT00330980,one-to-one,29
18476292,NCT00027352,one-to-one,159
18476293,NCT00027352,one-to-one,68
18482661,NCT00327691,one-to-one,13
18482661,NCT00327691,one-to-one,13
18505169,NCT00027352,one-to-one,87
18512710,NCT00854321,one-to-one,33
18539917,NCT00000620,one-to-one,2132
18539917,NCT00000620,one-to-one,2132
18615004,NCT00133692,one-to-one,41
18617640,NCT00027352,one-to-one,44
18674471,NCT00327691,one-to-one,19
18674471,NCT00327691,one-to-one,19
18676075,NCT00000542,one-to-one,21
18676075,NCT00000542,one-to-one,21
18676075,NCT00000542,one-to-one,21
18707986,NCT00153101,one-to-one,390
18753925,NCT00027352,one-to-one,107
18757085,NCT00153101,one-to-one,212
18757456,NCT00292552,one-to-one,58
18765162,NCT00389220,one-to-one,95
18765698,NCT00027352,one-to-one,72
18774548,NCT00607100,one-to-one,21
18815396,NCT00153036,one-to-one,1385
18815396,NCT00153036,one-to-one,1385
18942885,NCT00027352,one-to-one,721
18959492,NCT00027352,one-to-one,25
18981767,NCT00027352,one-to-one,26
18987031,NCT00488137,one-to-one,95
19001024,NCT00000542,one-to-one,53
19001024,NCT00000542,one-to-one,53
19001024,NCT00000542,one-to-one,53
19033002,NCT00335452,one-to-one,20
19033002,NCT00335452,one-to-one,20
19033002,NCT00335452,one-to-one,20
19050388,NCT00027352,one-to-one,19
19155249,NCT00145119,one-to-one,53
19155249,NCT00145119,one-to-one,53
19164344,NCT00292552,one-to-one,67
19236467,NCT00591084,one-to-one,31
19236467,NCT00591084,one-to-one,31
19236467,NCT00591084,one-to-one,31
19249410,NCT00597220,one-to-one,11
19249410,NCT00597220,one-to-one,11
19262464,NCT00388622,one-to-one,61
19278178,NCT00401362,one-to-one,42
19332353,NCT00483808,one-to-one,512
19332455,NCT00089895,one-to-one,72
19332455,NCT00089895,one-to-one,72
19348685,NCT00062803,one-to-one,18
19348685,NCT00067093,one-to-one,18
19351941,NCT00047437,one-to-one,442
19351942,NCT00047437,one-to-one,186
19366777,NCT00315133,one-to-one,131
19366777,NCT00315133,one-to-one,131
19377385,NCT00722319,one-to-one,3
19377385,NCT00722319,one-to-one,3
19398687,NCT00388622,one-to-one,17
19410683,NCT00327691,one-to-one,3
19410683,NCT00327691,one-to-one,3
19440326,NCT00055120,one-to-one,185
19451556,NCT00153101,one-to-one,41
19494217,NCT00465985,one-to-one,241
19506526,NCT00153101,one-to-one,77
19515371,NCT00027352,one-to-one,57
19531929,NCT00027352,one-to-one,65
19576325,NCT00658515,one-to-one,41
19608026,NCT00242944,one-to-one,78
19608026,NCT00242944,one-to-one,78
19608028,NCT00121472,one-to-one,116
19664276,NCT00142805,one-to-one,127
19678756,NCT00027352,one-to-one,79
19699854,NCT00526474,one-to-one,49
19699854,NCT00526474,one-to-one,49
19699854,NCT00526474,one-to-one,49
19706858,NCT00799396,one-to-one,380
19711440,NCT00133692,one-to-one,8
19717846,NCT00391872,one-to-one,1107
19717846,NCT00391872,one-to-one,1107
19755366,NCT00047437,one-to-one,5
19770393,NCT00596479,one-to-one,22
19770395,NCT00153101,one-to-one,22
19782784,NCT00047437,one-to-one,8
19782785,NCT00047437,one-to-one,13
19782786,NCT00047437,one-to-one,6
19782787,NCT00047437,one-to-one,10
19782789,NCT00047437,one-to-one,8
19782791,NCT00047437,one-to-one,13
19782792,NCT00047437,one-to-one,14
19822798,NCT00483808,one-to-one,65
19828532,NCT00004978,one-to-one,160
19834012,NCT00604630,one-to-one,200
19834012,NCT00604630,one-to-one,200
19834012,NCT00604630,one-to-one,200
19843340,NCT00371384,one-to-one,6
19843340,NCT00371384,one-to-one,6
19850525,NCT00153036,one-to-one,87
19850525,NCT00153036,one-to-one,87
19858703,NCT00830440,one-to-one,76
19898642,NCT00000620,one-to-one,12
19898642,NCT00000620,one-to-one,12
19920051,NCT00121485,one-to-one,520
19926008,NCT00000542,one-to-one,41
19926008,NCT00000542,one-to-one,41
19926008,NCT00000542,one-to-one,41
19933938,NCT00121472,one-to-one,45
19951979,NCT00171821,one-to-one,71
19958854,NCT00658515,one-to-one,56
19996412,NCT00171821,one-to-one,51
20010618,NCT00280540,one-to-one,0
20019013,NCT00145119,one-to-one,11
20019013,NCT00145119,one-to-one,11
20061358,NCT00000620,one-to-one,270
20061358,NCT00000620,one-to-one,270
20061360,NCT00000620,one-to-one,142
20061360,NCT00000620,one-to-one,142
20079528,NCT00391872,one-to-one,113
20079528,NCT00391872,one-to-one,113
20096136,NCT00713843,one-to-one,5
20096136,NCT00713843,one-to-one,5
20130232,NCT00159835,one-to-one,7
20130232,NCT00327691,one-to-one,7
20130232,NCT00327691,one-to-one,7
20147875,NCT00439764,one-to-one,17
20147875,NCT00439764,one-to-one,17
20156608,NCT00747838,one-to-one,18
20156608,NCT00747838,one-to-one,18
20160654,NCT00244621,one-to-one,11
20173748,NCT00292552,one-to-one,189
20175410,NCT00089752,one-to-one,24
20175410,NCT00089752,one-to-one,24
20175775,NCT00313196,one-to-one,47
20175775,NCT00360087,one-to-one,47
20194866,NCT00349349,one-to-one,172
20215456,NCT00000620,one-to-one,129
20215456,NCT00000620,one-to-one,129
20216301,NCT00027352,one-to-one,14
20227758,NCT00607373,one-to-one,219
20227758,NCT00607373,one-to-one,219
20228401,NCT00000620,one-to-one,810
20228401,NCT00000620,one-to-one,810
20228404,NCT00000620,one-to-one,625
20228404,NCT00000620,one-to-one,625
20231536,NCT00153101,one-to-one,37
20398351,NCT00872469,one-to-one,49
20400102,NCT02072590,one-to-one,44
20408846,NCT00093314,one-to-one,15
20427682,NCT00000620,one-to-one,135
20427682,NCT00000620,one-to-one,135
20446945,NCT00716079,one-to-one,33
20446945,NCT00716079,one-to-one,33
20446945,NCT00716079,one-to-one,33
20446946,NCT00059306,one-to-one,12
20446946,NCT00059306,one-to-one,12
20467151,NCT00242944,one-to-one,25
20467151,NCT00242944,one-to-one,25
20467286,NCT00001137,one-to-one,37
20479938,NCT01909414,one-to-one,27
20508186,NCT00390962,one-to-one,20
20508186,NCT00390962,one-to-one,20
20533546,NCT00798369,one-to-one,76
20550701,NCT00292552,one-to-one,46
20551371,NCT00047437,one-to-one,18
20554982,NCT00164736,one-to-one,202
20566896,NCT00171821,one-to-one,18
20571135,NCT00000620,one-to-one,2
20571135,NCT00000620,one-to-one,2
20587587,NCT00000620,one-to-one,316
20587587,NCT00000620,one-to-one,316
20594588,NCT00000620,one-to-one,358
20594588,NCT00000620,one-to-one,358
20598967,NCT00699998,one-to-one,30
20598967,NCT00699998,one-to-one,30
20606150,NCT00133692,one-to-one,174
20617176,NCT00055120,one-to-one,53
20619242,NCT00763893,one-to-one,17
20619242,NCT00763893,one-to-one,17
20624650,NCT01830673,one-to-one,31
20633818,NCT00389220,one-to-one,34
20647200,NCT00395135,one-to-one,241
20647200,NCT00395135,one-to-one,241
20647575,NCT00935077,one-to-one,24
20656636,NCT02639988,one-to-one,50
20658749,NCT00027352,one-to-one,7
20663131,NCT01061931,one-to-one,1
20663131,NCT01061931,one-to-one,1
20678673,NCT00478205,one-to-one,53
20684825,NCT00242944,one-to-one,5
20684825,NCT00242944,one-to-one,5
20709820,NCT00292552,one-to-one,56
20738227,NCT00658515,one-to-one,5
20805430,NCT00391872,one-to-one,70
20805430,NCT00391872,one-to-one,70
20812949,NCT00004978,one-to-one,2
20817281,NCT00335452,one-to-one,153
20817281,NCT00335452,one-to-one,153
20817281,NCT00335452,one-to-one,153
20818903,NCT00335452,one-to-one,126
20818903,NCT00335452,one-to-one,126
20818903,NCT00335452,one-to-one,126
20823381,NCT00226096,one-to-one,19
20823381,NCT00226096,one-to-one,19
20823381,NCT00226096,one-to-one,19
20837881,NCT00542503,one-to-one,41
20837897,NCT00145119,one-to-one,38
20837897,NCT00145119,one-to-one,38
20843247,NCT00292552,one-to-one,767
20843990,NCT00140751,one-to-one,16
