nct_id,brief_title,page_rank_score_brief_title,page_rank_score_brief_title_summary_combined
NCT01736878,Efficacy and Safety Study of Sorafenib to Treat Advanced Medullary Thyroid Carcinoma,0.027832958900882845,0.03433444476270092
NCT01730638,ImmunoTEP for Patients With Medullary Thyroid Carcinoma.,0.03904108315909973,0.024395142215965743
NCT01739634,The Efficacy of CASAD in Patients With Diarrhea Related to Medullary Thyroid Cancer,0.024799581108714643,0.023922183997743072
NCT02856347,Prospective Study Evaluating the Medullary Thyroid Cancer Management's Care Using PET F-DOPA in Patients With a High Level of Postoperative Residual Thyrocalcitonin,0.027188324119981573,0.022256673317002665
NCT01511393,An Active Surveillance Program for Cases of Medullary Thyroid Carcinoma (MTC),0.020218996804972182,0.020277380597154494
NCT02268734,Molecular Profile of Metastatic Sporadic Medullary Thyroid Cancer Patients and Correlation With Vandetanib,0.027309069631512115,0.02232625685916277
NCT00582712,An Initial Study of Lithium in Patients With Medullary Thyroid Cancer,0.0290909167945985,0.03406428318743502
NCT00514046,Vandetanib to Treat Children and Adolescents With Medullary Thyroid Cancer,0.032774395284800424,0.030376327510742877
NCT03072160,Pembrolizumab in Recurrent or Metastatic Medullary Thyroid Cancer,0.026001573438821698,0.030533675992401855
NCT02363647,Personalized Cancer Therapy for Patients With Metastatic Medullary Thyroid Cancer,0.027690743201758725,0.030454746564777726
NCT00887107,Sorafenib as Adjuvant to Radioiodine Therapy in Non-Medullary Thyroid Carcinoma,0.021388705678104556,0.030613829306701593
NCT01660984,Natural History Study of Children and Young Adults With Medullary Thyroid Cancer,0.027868406855821013,0.02729280763497367
NCT01661179,Evaluate the Safety and Tolerability of Vandetanib in Japanese Patients With Medullary Thyroid Carcinoma,0.025744116181231284,0.031263949527158004
NCT01625520,SOM230 Alone or in Combination With RAD001 in Patients With Medullary Thyroid Cancer,0.025166522667811737,0.031102247960877384
NCT01683110,Expanded Access of Cabozantinib in Medullary Thyroid Cancer,0.030701284393836233,0.02953442858051827
NCT02465424,Assessing Quality of Life Tools in Medullary Thyroid Cancer Patients,0.028994706703007966,0.027024684454300035
NCT02114658,Sorafenib Phase II Study for Japanese Anaplastic or Medullary Thyroid Carcinoma Patients,0.029799058861804627,0.03668294799108203
NCT00923247,"A Targeted Phase I/II Trial of ZD6474 (Vandetanib; ZACTIMA) Plus the Proteasome Inhibitor, Bortezomib (Velcade ), in Adults With Solid Tumors With a Focus on Hereditary or Sporadic, Locally Advanced or Metastatic Medullary Thyroid Cancer (MTC)",0.02671167659387489,0.03676898336850542
NCT01496313,To Compare The Effects Of Two Doses Of Vandetanib In Patients With Advanced Medullary Thyroid Cancer,0.030215191007756357,0.02818464107077735
NCT01424878,Study of Molecular Pathways in Medullary Thyroid Carcinoma and Correlation of Molecular Data With Clinical Behavior of the MTC in Individuals Patients,0.027550337179104253,0.029145460981849416
NCT01270321,Pasireotide & Everolimus in Adult Patients With Radioiodine-Refractory Differentiated & Medullary Thyroid Cancer,0.02346806342448865,0.02609575144112637
NCT00647140,Clinical Evaluation of 18F-DOPA Positron Emission Tomography in Medullary Thyroid Cancer,0.0202193828927723,0.025023183721667792
NCT00358956,A Study To Assess ZD6474 (ZACTIMA™) Monotherapy In Locally Advanced or Metastatic Hereditary Medullary Thyroid Cancer,0.028981992023144575,0.03162555379478036
NCT00354523,Imatinib in Combination With Dacarbazine and Capecitabine in Medullary Thyroid Carcinoma,0.019116796935198098,0.021566112223661452
NCT00390325,"Sorafenib Tosylate in Treating Patients With Metastatic, Locally Advanced, or Recurrent Medullary Thyroid Cancer",0.02929359304839931,0.026408392703770354
NCT00704730,Efficacy of XL184 (Cabozantinib) in Advanced Medullary Thyroid Cancer,0.02737192073262644,0.027738842985193163
NCT00467506,Phase II Two-step Radioimmunotherapy Clinical Study in Medullary Thyroid Carcinoma,0.02413641610731308,0.018745784407156643
NCT00410761,An Efficacy Study Comparing ZD6474 to Placebo in Medullary Thyroid Cancer,0.02448226927486022,0.024961826896386676
NCT01838642,Ponatinib for Advanced Medullary Thyroid Cancer,0.026219759814078286,0.03697764719548858
NCT01856920,GI-6207 for Advanced Medullary Thyroid Cancer,0.0348672948559093,0.023623588352282374
NCT01882816,Intensity-Modulated Radiation Therapy (IMRT) in the Treatment of Non-Anaplastic Non-Medullary Thyroid Cancer,0.023260808026811474,0.02765241424607806
NCT01896479,"A Study of Two Different Doses of Cabozantinib (XL184) in Progressive, Metastatic Medullary Thyroid Cancer",0.027831520004308597,0.0316366608181144
NCT01915485,Radiolabeled Molecules for Medullary Thyroid Cancer,0.053129013276679446,0.021130314912693446
NCT01945762,Observational Study to Evaluate Vandetanib in RET -/+ Patients With Metastatic Medullary Thyroid Cancer,0.030887155921484534,0.02735415480959668
NCT02614495,Study of Sulfatinib in Treating Advanced Medullary Thyroid Carcinoma and Iodine-refractory Differentiated Thyroid Carcinoma,0.025245174728178433,0.02523303193432588
NCT02657551,A Study Using Regorafenib as Second or Third Line Therapy in Metastatic Medullary Thyroid Cancer,0.02540119036625195,0.023671643675847436
