nct_id,brief_title,page_rank_score_brief_title,page_rank_score_brief_title_summary_combined
NCT01798004,"Busulfan, Melphalan, and Stem Cell Transplant After Chemotherapy in Treating Patients With Newly Diagnosed High-Risk Neuroblastoma",0.006859945958430546,0.0071659266874119385
NCT01747876,Study of Safety and Efficacy in Patients With Malignant Rhabdoid Tumors (MRT) and Neuroblastoma,0.007248458074708023,0.005797344272336856
NCT01704716,High Risk Neuroblastoma Study 1.7 of SIOP-Europe (SIOPEN),0.006816013049715751,0.00644555590200612
NCT01713439,"Allogeneic Neuroblastoma Cells for Relapsed/ Refractory Neuroblastoma, CYCHEALL",0.005101049354256118,0.005708936120696103
NCT01757626,Combination Therapy of Antibody Hu3F8 With Granulocyte- Macrophage Colony Stimulating Factor (GM-CSF) in Patients With Relapsed/Refractory High-Risk Neuroblastoma,0.006666950197826109,0.00574771972011174
NCT02868268,Neuroblastoma Precision Trial,0.015584154730115459,0.004637174223446327
NCT02864563,Pan-genome Analysis of Neuroblastoma by Comparative Genomic Hybridization and Correlation With Pathology for the Diagnostic and the Prognostic Classification,0.004676674965759011,0.005113399300425786
NCT01592045,ch14.18 Pharmacokinetic Study in High-risk Neuroblastoma,0.005831012184571422,0.006971733023110357
NCT01510600,Studying Biomarkers in Samples From Patients With High-Risk Neuroblastoma,0.00787919706056703,0.007913485485988622
NCT01586260,Preventative Trial of DFMO in Patients With High Risk Neuroblastoma in Remission,0.006473482837885522,0.006122804638549301
NCT01587300,Neuroblastoma Biology Study,0.008998546723269397,0.005800766675771883
NCT01520233,Gene Expression in Predicting Outcome in Samples From Patients With High-Risk Neuroblastoma,0.007691867565175219,0.008339099842775434
NCT01583842,124I-Metaiodobenzylguanidine (MIBG) PET/CT Diagnostic Imaging and Dosimetry for Patients With Neuroblastoma: A Pilot Study,0.006267591762837437,0.0053416179263204725
NCT01525251,Nurse Case Manager Model on Neuroblastoma Caregiver's Uncertainty,0.005012195077807006,0.004852043471771624
NCT01526603,High Dose Chemotherapy and Autologous Transplant for Neuroblastoma,0.00603179221994038,0.006320423398586201
NCT01553448,Studying Gene Expression in Samples From Younger Patients With Neuroblastoma,0.008304722253086956,0.0073936174709449045
NCT01589341,Studying Chromosomes in Samples From Younger Patients With Neuroblastoma,0.011702974333335102,0.0076760733217050665
NCT00590096,I-123-MIBG for Imaging of Neuroblastoma and Pheochromocytoma,0.005997623777675604,0.006376024976237197
NCT00539500,Autologous Stem Cell Rescue With CD133+ Selected Cells in High-Risk Neuroblastoma,0.006052059743711471,0.00628015504617911
NCT00526318,Combination Chemotherapy Followed by Stem Cell Transplant and Isotretinoin in Treating Young Patients With High-Risk Neuroblastoma,0.0071610699015485415,0.00589628619468081
NCT00509353,N2004-06: Irinotecan and Vincristine With 131I-MIBG Therapy for Resistant/Relapsed High-Risk Neuroblastoma,0.005926532106062706,0.006923876949628526
NCT00533169,ZD6474 Alone and in Combination With Retinoic Acid in Pediatric Neuroblastoma,0.004504823548953452,0.0060637217214493345
NCT00578864,Protracted Etoposide During Induction Therapy for High Risk Neuroblastoma,0.005322383026694115,0.008238174746858623
NCT00567567,Comparing Two Different Myeloablation Therapies in Treating Young Patients Who Are Undergoing a Stem Cell Transplant for High-Risk Neuroblastoma,0.007213262488102329,0.007488619209766598
NCT02771743,Response-based Treatment of High-risk Neuroblastoma,0.0065387463601501855,0.007229852955891069
NCT02780128,Next Generation Personalized Neuroblastoma Therapy,0.009390341018115424,0.005622218778863866
NCT02745756,A Combined Cell Therapy Approach to the Treatment of Neuroblastoma,0.006747867307291133,0.0050346658478776
NCT03061656,Tandem High Dose Chemotherapy With 131I-MIBG Treatment in High Risk Neuroblastoma,0.005941857082783674,0.005710815637774356
NCT03033303,A Study of the Effect of Hu3F8/GM-CSF Immunotherapy Plus Isotretinoin in Patients in First Remission of High-Risk Neuroblastoma,0.00698642960473206,0.005863897362470674
NCT00295919,"N2004-04: Fenretinide LXS in Treating Patients With Recurrent, Refractory, or Persistent Neuroblastoma",0.008272759809793686,0.007568936765576662
NCT00253435,N2001-02: I-MIBG With Intensive Chemotherapy and Autologous Stem Cell Rescue for High-Risk Neuroblastoma,0.006144461342166208,0.006823502645538557
NCT00202930,Use of Rituximab in Opsoclonus-Myoclonus in Children With Neuroblastoma,0.005012195077807006,0.0050590455891098484
NCT00206388,Zoledronic Acid (ZOMETA) With Cyclophosphamide With Neuroblastoma and Cortical Bone Involvement,0.004576248017065105,0.005042879454504883
NCT00287950,"Combination Chemotherapy, Surgery, and Radiation Therapy in Treating Infants With Neuroblastoma",0.005993644466616352,0.005678393585264478
NCT02308527,Activity Study of Bevacizumab With Temozolomide ± Irinotecan for Neuroblastoma in Children,0.004912705870327479,0.007541229754272375
NCT02395666,Preventative Trial of Difluoromethylornithine (DFMO) in High Risk Patients With Neuroblastoma That is in Remission,0.006473482837885522,0.006160125564493543
NCT01308905,Monitor Response to Treatment in Neuroblastoma Using 3&Apos;-Deoxy-3&Apos;-Fluorothymidine- Positron Emission Tomography (FLT-PET),0.005277949511967784,0.00669964402736917
NCT01387724,Biomarkers in Blood and Tissue Samples From Patients With Newly Diagnosed Neuroblastoma,0.0064025972247429485,0.006915715054819349
NCT01358617,Prognostic Biomarkers in Tumor Tissue Samples From Young Patients With Neuroblastoma,0.0063367249122845476,0.0068896950543590645
NCT01358604,Biomarkers in Samples From Young Patients With Neuroblastoma,0.008532989445197373,0.00652345680283709
NCT00877110,Anti-GD2 3F8 Antibody and Allogeneic Natural Killer Cells for High-Risk Neuroblastoma,0.0053492732134708,0.0051206851259633255
NCT00898391,Study of DNA in Blood Samples From Patients With Neuroblastoma,0.007323159302148909,0.007206031175343252
NCT00808899,Neuroblastoma Protocol 2008: Therapy for Children With Advanced Stage High Risk Neuroblastoma,0.005438445924253611,0.005217867811479338
NCT00885326,"N2007-02:Bevacizumab,Cyclophosphamide,& Zoledronic Acid in Patients W/ Recurrent or Refractory High-Risk Neuroblastoma",0.006694467709793835,0.00686510657652944
NCT01638572,Exploring the Possibility to Use Glycosyltransferase as a Prognosis Marker of Neuroblastoma,0.006223857731830805,0.004958427028810224
NCT01058798,The Role of Glycosyltransferases in the Oncogenesis of Neuroblastoma,0.006065794621855097,0.005344565360934874
NCT01041638,"Monoclonal Antibody Ch14.18, Sargramostim, Aldesleukin, and Isotretinoin After Autologous Stem Cell Transplant in Treating Patients With Neuroblastoma",0.006210238771774318,0.006548055715132176
NCT01075360,The Role of Aromatic Hydrocarbon Receptor in the Tumorigenesis of Neuroblastoma and Its Relationship With MYCN Expression,0.004562785820693359,0.005020941693362752
