nct_id,brief_title,page_rank_score_brief_title,page_rank_score_brief_title_summary_combined
NCT01752205,Paclitaxel Plus Radiation With Erlotinib to Treat Esophageal Squamous Carcinoma,0.0030646326819076634,0.0033776537484331653
NCT01737008,"Dacomitinib Plus Radiotherapy, With and Without Cisplatin in Patients With Squamous Cell Carcinoma of the Head and Neck",0.004120662415243898,0.0043027391319595655
NCT01721525,"Induction Chemotherapy With Afatinib, Ribavirin, and Weekly Carboplatin/Paclitaxel for Stage IVA/IVB HPV Associated Oropharynx Squamous Cell Cancer (OPSCC)",0.0021031246196442973,0.00291797261017369
NCT01716416,Pazopanib Plus Cetuximab for Incurable Head and Neck Squamous Cell Carcinoma (HNSCC),0.004330809556520053,0.0039728334233701595
NCT02876978,Anti-GPC3 CAR T for Recurrent or Refractory Lung Squamous Cell Carcinoma,0.004645839649100154,0.003567811965178491
NCT02817958,Evaluation of Lymphadenectomy and Chemotherapy TIP on Inguinal Lymph Nodes in Squamous Cell Carcinoma of the Penis,0.002150448981828329,0.003284780408376929
NCT02819752,PEmbrolizumab Combined With Chemoradiotherapy in Squamous Cell Carcinoma of the Head and Neck,0.005161914293263005,0.003664719166422237
NCT02883556,Study of Pembrolizumab as First Line Therapy in Patients With Unresectable Squamous Cell Carcinoma of the Skin,0.002951764234053799,0.004071888332680397
NCT02852343,One-step Nucleic Acid Amplification for Detecting Lymph Node Metastasis of Head and Neck Squamous Cell Carcinoma,0.003459089387829586,0.002467701512849346
NCT02878655,"Evaluation of the Overall Quality of Life After the Neck Dissection Retro-spinal Sector (IIb), in Squamous Cell Carcinomas Clinical and Radiological N0 VADS",0.002151413908146739,0.002025846227666666
NCT02822482,Copanlisib in Association With Cetuximab in Patients With Recurrent and/or Metastatic Head and Neck Squamous Cell Carcinomas Harboring a PI3KCA Mutation/Amplification and/or a PTEN Loss,0.0038863102394790386,0.003992791868883945
NCT02892786,Detection in Peripheral Blood of Circulating Tumor Cells in Patient With Head and Neck Squamous Cell Carcinoma,0.003668185290367706,0.0035494338390538367
NCT02862678,Predictive Value of Diffusion-weighted MRI Performed in Early Post-treatment in the Occurrence of Tumor Recurrence or Progression in Head and Neck Squamous Cell Carcinoma Treated With Chemoradiotherapy: a Pilot Study,0.00352927331453251,0.0030822187876408894
NCT01592721,Radiation and Cetuximab Plus Intratumoral EGFR Antisense DNA in Locally Advanced Head and Neck Squamous Cell Carcinoma,0.0040423681770562735,0.004141192978126046
NCT01542931,TPF Induction Chemotherapy for Locally Advanced and Resectable Oral Squamous Cell Carcinoma,0.003922058175624933,0.0033010271685728607
NCT01515137,Study of TARCEVA (Erlotinib) as Adjuvant Treatment for Locally Advanced Head and Neck Squamous Cell Carcinoma,0.004025644087437266,0.004336274949412688
NCT01507467,IAEA-HypoX. Accelerated Radiotherapy With or Without Nimorazole in Squamous Cell Carcinoma of the Head and Neck,0.004329405767937948,0.003383565899336988
NCT01561456,Study of AXL1717 Compared to Docetaxel to Treat Squamous Cell Carcinoma or Adenocarcinoma of the Lung,0.003305904345194885,0.004646715738909254
