nct_id,brief_title,page_rank_score_brief_title,page_rank_score_brief_title_summary_combined
NCT01721876,"Volasertib in Combination With Low-dose Cytarabine in Patients Aged 65 Years and Above With Previously Untreated Acute Myeloid Leukaemia, Who Are Ineligible for Intensive Remission Induction Therapy (POLO-AML-2)",0.00892419981623068,0.0064820617992747895
NCT01708421,Symptom Clusters in Children With Leukemia,0.012194422836748386,0.008496778975563772
NCT01786096,A Safety Study of SGN-CD19A for Leukemia and Lymphoma,0.011593607769567266,0.00881362998252852
NCT02892695,PCAR-119 Bridge Immunotherapy Prior to Stem Cell Transplant in Treating Patients With CD19 Positive Leukemia and Lymphoma,0.009600418312551805,0.010226517799914438
NCT01551628,A Pilot Study of Recombinant Human Arginase 1 (rhArg1) in Patients With Relapsed or Refractory Leukemia or Lymphoma,0.010978056116069914,0.013834638275981363
NCT02200978,A Study for Improving the Outcome of Childhood Acute Promyeloid Leukemia,0.00932949946540242,0.00819181581943287
NCT02212561,Selinexor With Fludarabine and Cytarabine for Treatment of Refractory or Relapsed Leukemia or Myelodysplastic Syndrome,0.007610949078953925,0.009177459333182078
NCT00526292,Chemotherapy and a Donor Natural Killer Cell Infusion in Treating Patients With Relapsed or Persistent Leukemia or Myelodysplastic Syndrome After a Donor Stem Cell Transplant,0.009678555097643936,0.01113125072311381
NCT02722135,"A Study to Find a Safe Dose of Volasertib Given in Addition to Standard Salvage Chemotherapy in Children (Age 3 Months to Less Than 18 Years) With Acute Myeloid Leukaemia, in Whom Front-line Chemotherapy Failed",0.007666502898400956,0.00821031289825887
NCT02724163,International Randomised Phase III Clinical Trial in Children With Acute Myeloid Leukaemia,0.01000925387644726,0.007304534560624476
NCT02735291,Study Evaluating the Efficacy and Safety With CAR-T for Recurrent or Refractory Acute Non T Lymphocyte Leukemia,0.00932949946540242,0.008479608414372994
NCT02759822,Haploidentical Hematopoietic Stem Cell Transplantation for Acute Leukemias,0.008093021201107057,0.00808784990699717
NCT00295971,"Donor Stem Cell Transplant in Treating Young Patients With Myelodysplastic Syndrome, Leukemia, Bone Marrow Failure Syndrome, or Severe Immunodeficiency Disease",0.008735227055580306,0.010458355748993306
NCT00293410,"Clofarabine and Cyclophosphamide in Treating Patients With Relapsed or Refractory Acute Leukemia, Chronic Myelogenous Leukemia, or Myeloproliferative Disorders",0.009841210503049468,0.010940313134890805
NCT00244829,Imatinib Mesylate After a Donor Stem Cell Transplant in Treating Patients With Philadelphia Chromosome-Positive Leukemia,0.008857452784455678,0.009236661111829352
NCT00230217,"Study of Rasburicase as Treatment or Prevention of Hyperuricemia Associated With Tumor Lysis Syndrome in Patients With Relapsed or Refractory Lymphoma, Leukemia, or Solid Tumor Malignancy",0.010096628121079225,0.009737434802939529
NCT00253513,"Treosulfan and Fludarabine in Treating Younger Patients Who Are Undergoing a Donor Stem Cell Transplant for Acute Myeloid Leukemia, Acute Lymphoblastic Leukemia, or Myelodysplastic Syndrome",0.009469056537481283,0.01150340193064238
NCT00217412,"Vorinostat With or Without Isotretinoin in Treating Young Patients With Recurrent or Refractory Solid Tumors, Lymphoma, or Leukemia",0.009965062081266964,0.0114972586673731
NCT00222612,Medical Research Council (MRC) Working Party on Leukaemia in Children UK National Acute Lymphoblastic Leukaemia (ALL) Trial: UKALL 2003,0.008144717753180224,0.0061942918728667955
NCT02374333,Pilot Study of Redirected Autologous T Cells Engineered to Contain Humanized Anti-CD19 in Patients With Relapsed or Refractory CD19+ Leukemia and Lymphoma Previously Treated With Cell Therapy,0.010489187222207211,0.009856312235352153
NCT02390752,PLX3397 in Children and Young Adults With Refractory Leukemias and Refractory Solid Tumors Including Neurofibromatosis Type 1 (NF1) Associated Plexiform Neurofibromas (PN),0.007883111083875268,0.008447022584616609
NCT02369653,A Study of the Safety and Effectiveness of Apixaban in Preventing Blood Clots in Children With Leukemia Who Have a Central Venous Catheter and Are Treated With Pegylated (PEG) L-Asparaginase,0.006793567945290325,0.0084735252440017
NCT01395628,Cell Samples From Patients With Leukemia,0.012799383098698595,0.009637638564626171
NCT00866281,A Study of the Safety and Preliminary Efficacy of Oral Midostaurin (PKC412) in Relapsed or Refractory Pediatric Leukemia,0.008009467717911178,0.007347815537352367
NCT00852709,Phase I Dose-Escalation Trial of Clofarabine Followed by Escalating Doses of Fractionated Cyclophosphamide in Children With Relapsed or Refractory Acute Leukemias,0.008602513048106289,0.007634449756760481
NCT00897767,Collecting Tissue Samples From Patients With Leukemia or Other Blood Disorders Planning to Enroll in an ECOG Leukemia Treatment Clinical Trial,0.008843470315310846,0.009560143912432028
