nct_id,brief_title,page_rank_score_brief_title,page_rank_score_brief_title_summary_combined
NCT01746771,A Phase I-II Study of HM781-36B Combined With Paclitaxel and Trastuzumab in HER-2 Positive Advanced Gastric Cancer,0.0017174425625474403,0.0016990688401353315
NCT01748851,XELOX Versus FOLFOX for Advanced Gastric Cancer (AGC),0.002982652156242631,0.0018659651754265962
NCT01727908,Screening for Familial Gastric Cancer in First Degree Relatives,0.001264259994621804,0.0014009170028908492
NCT01747551,FOLFOX +/- Ziv-Aflibercept for Esophageal and Gastric Cancer,0.002143415849958924,0.002041936946854822
NCT01704664,"Perioperative Immunonutrition, Phagocytic and Bactericidal Activity of Blood Platelets in Gastric Cancer Patients",0.0014618685015375275,0.0010356340486080175
NCT01736410,A Phase 2 Study of Trastuzumab in Combination With TS-ONE and Cisplatin in Firstline Human Epidermal Growth Factor Receptor 2 (HER2)-Positive Advanced Gastric Cancer,0.0017578009002091944,0.0019440961930522315
NCT01795027,Compare S-1 Plus Oxaliplatin to S-1 as Adjuvant Chemotherapy After D2 Resection in Patients With Gastric Cancer,0.001564873433608882,0.0017389069727812131
NCT01779583,"Circulating Exosomes As Potential Prognostic And Predictive Biomarkers In Advanced Gastric Cancer Patients (""EXO-PPP Study"")",0.0019538576095652085,0.0018301513551070465
NCT01751880,"Safety, Feasibility and Effect of an Individualized Physical Activity Intervention for Gastric Cancer Patient Undergoing Minimally Invasive Gastrectomy: a Pilot Study",0.0016044961471780139,0.001694514742304164
NCT01719549,Dovitinib for Gastric Cancer With FGFR2 Amplification,0.0015340110040785804,0.0017206522951446126
NCT01743365,Clinical Trial of Chemotherapy Combination Cisplatin-Fluorouracil-Afatinib in Patients With Inoperable Gastric Cancer,0.0015753465110301063,0.0019026778748924217
NCT01743469,"A Study With Tasquinimod Treating Patients in Four Independent Cohorts of Hepatocellular, Ovarian, Renal Cell and Gastric Cancers",0.0015454309065448073,0.0015400609983108825
NCT01756183,Exploratory Study on the S-1 + Paclitaxel Chemotherapy for Unresectable Gastric Cancer,0.0015740296147519874,0.002323799493540198
NCT01716546,"Trial of Panitumumab Cisplatin, Fluourouracil and Docetaxel in Locally Advanced or Metastatic Gastric Cancer",0.0016405159428820296,0.0016838535113662507
NCT01715233,"A Phase II Study Investigating Checkpoint With Forkhead and Ring Finger Domains (CHFR) Methylation Status In Patients With Metastatic Esophageal, Gastroesophageal And Gastric Cancer",0.0016871634583489946,0.0017176233955722025
NCT01775514,"A Non-Interventional Study of the Occurrence Rate of Non-Small Cell Lung Cancer, Colon Cancer, Breast Cancer, Gastric Cancer and Malignant Melanoma in Turkey, and Diagnosis and Treatment Characteristics",0.0013763659027797982,0.001371565790696224
NCT01757366,Safety and Efficacy of Ginsenoside Rg3 in Combination With First-line Chemotherapy in Advanced Gastric Cancer,0.0016862812801568417,0.0022012255024099884
NCT01714622,Prospective Cohort Study for Analyzing the Effect of Gastric Cancer Surgery to the Metabolic Syndrome and Insulin Resistance,0.00146827254739747,0.001551824491214525
NCT01742806,Clinical Study for the Impact of Bio-absorbable Felt (NEOVEIL®) With Fibrin Sealant on Removal of Drainage Tube After Minimally Invasive Gastrectomy for Gastric Cancer,0.0013384697458183673,0.0014010397330380209
NCT01718626,Study Comparing Sequential Therapy of S1+Docetaxel Followed by S1 to Concomitant S1+Docetaxel for Advanced Gastric Cancer,0.0018010968174478068,0.0017124192152120727
NCT01774266,Detection of Methylated Reprimo in Plasma for Asymptomatic Gastric Cancer,0.0011442441593698858,0.0007473886882758617
NCT01774786,A Study of Pertuzumab in Combination With Trastuzumab and Chemotherapy in Participants With Human Epidermal Growth Factor Receptor 2 (HER2)-Positive Metastatic Gastroesophageal Junction or Gastric Cancer,0.0015729831258418658,0.0017786069731021074
NCT01783951,Study of S-1 Plus DC-CIK for Patients With Advanced Gastric Cancer,0.0023756891456610764,0.0022808833065676216
NCT01787539,The Role of Postoperative Cycles in the Perioperative Chemotherapy for Gastric Cancer,0.001722594015139177,0.001437788737618529
NCT01702558,A Combination Study of Kadcyla (Trastuzumab Emtansine) and Capecitabine in Participants With Human Epidermal Growth Factor Receptor 2 (HER2)-Positive Metastatic Breast Cancer (mBC) or HER2-Positive Locally Advanced/Metastatic Gastric Cancer (LA/mGC),0.001787774409413138,0.0015430616989886407
NCT02890511,"A Study DHP107, a Novel Oral Paclitaxel Formulation, in Patients With Advanced Solid Tumours or Gastric Cancer",0.0019264394886476456,0.0019769331108334186
NCT02855788,Metronomic Chemotherapy in Advanced Gastric Cancer,0.0020932244670805477,0.002033871930490754
NCT02817425,A Efficacy and Tolerability Study of TEGAFOX Sequential S-1 in the Treatment of Adjuvant Chemotherapy for Gastric Cancer,0.0017184167868346467,0.0019243316033293663
NCT02887612,ctDNA for Prediction of Relapse in Gastric Cancer,0.0021501866337910332,0.0010462669787931404
NCT02800005,Effect of Obesity on Surgical Outcomes and Survival for Gastric Cancer,0.0016401951841179849,0.0011737849911895991
NCT02848066,Glycans Bound to Serum Haptoglobin: a Novel Gastric Cancer Tumor Biomarker,0.0011056024636903906,0.0015573679809744313
NCT02845986,Study on Laparoscopic Spleen-Preserving No. 10 Lymph Node Dissection for Advanced Gastric Cancer,0.0017118822756772073,0.0017905108085169194
NCT02867839,Adjuvant Chemotherapy With S-1 Plus Oxaliplatin Versus S-1 Alone in Locally Advanced Gastric Cancer,0.0016168830578067628,0.0021308198642198527
NCT02852096,Assessing Her2/Neu Expression in Gastric Cancer With Dual or Multiple Tumor Tissue Paraffin Blocks,0.0011039485535664305,0.0010462992678734444
NCT02873520,Precision Cell Immunotherapy Combined With Chemotherapy in Advanced Gastric Cancer,0.0016434621257531662,0.001267911730998742
NCT02843412,The Clinical Study of Assessing HER-2 Expression in Gastric Cancer With Extra Tumor Tissue Paraffin Blocks Using Immunohistochemistry,0.0013082000071217444,0.001269336520112472
NCT02815150,Safety of 250ml Preoperative Carbohydrate Drink in Gastric Cancer Patients,0.0020334058537350786,0.0016923039208212298
NCT02805829,Combination Trastuzumab With Expanded Natural Killer Cells for Treating HER2-positive Gastric Cancer,0.0013700864207534368,0.0015207381839168759
NCT02872116,Efficacy Study of Nivolumab Plus Ipilimumab or Nivolumab Plus Chemotherapy Against Chemotherapy in Stomach Cancer or Stomach/Esophagus Junction Cancer,0.0014120141136725268,0.0016178840806652277
NCT02862561,Precision Cell Immunotherapy Combined With Chemotherapy in Advanced Gastric Cancer,0.0016434621257531662,0.0013015823162441753
NCT03104283,Apatinib for the Elderly Advanced Gastric Cancer,0.0021379072804092445,0.002616082934642505
NCT01579578,Assess the Efficacy of AZD8931 in Combination With Paclitaxel Versus Paclitaxel Alone in Patients With Gastric Cancer,0.0015634299915675966,0.0019095510815574262
NCT01528501,Histone Deacetylases - Gastric Cancer (HDAC-GaCa-2008),0.004083180949620297,0.0012087371032961213
NCT01528059,Roux-en-Y Versus Billroth II Reconstruction After Subtotal Gastrectomy in Gastric Cancer Comorbid With Type II Diabetes,0.0010994440318956367,0.0012222070009301415
NCT01517009,"A Multicenter Phase II Study of Neoadjuvant Docetaxel, Cisplatin and Capecitabine and Protocolized Surgery in Resectable Gastric Cancer",0.0015566386064915579,0.0017274274411615297
NCT01549756,Qualitative Research for Stage 4 Stomach Cancer and Their Caregivers,0.0021504537044770245,0.0008945496879610547
NCT01514110,Gastric Cancer RAD001 Study,0.002722476534486823,0.00234531171140022
NCT01514045,The Gastric Cancer Foundation: A Gastric Cancer Registry,0.0015478337633651556,0.0010141599386586544
NCT01542294,SOX as Adjuvant Chemotherapy for Resectable Gastric Cancer,0.0022072861289780814,0.0016505739474259463
NCT01515748,Docetaxel+Oxaliplatin+S-1 (DOS) Regimen as Neoadjuvant Chemotherapy in Advanced Gastric Cancer,0.0016666509287870525,0.0015724150959629526
NCT01583361,SOX Regimen as Neoadjuvant Chemotherapy for AJCC Stage II-III Gastric Cancer,0.001299504936247192,0.0014788375698729264
NCT01567618,Dose-dense Biweekly Docetaxel Combined With 5-fluorouracil as First-line Treatment in Advanced Gastric Cancer,0.001595488639827459,0.0018833881724858925
NCT01525771,Safety Study of Combined Systemic and Intraperitoneal Chemotherapy to Treat Stomach Cancer,0.0019357426298284338,0.0026169073124848972
NCT01573468,Capecitabine/Tesetaxel Versus Capecitabine/Placebo as Second-line Therapy for Gastric Cancer,0.001314094166111777,0.0021179505304390845
NCT01558947,Peri-operative Chemotherapy With ECX or XP in the Treatment of Advanced Gastric Cancer,0.0019482146184648913,0.002615026657418074
NCT01531452,The Efficacy of Oxaliplatin Plus S-1 for Treatment of Gastric Cancer,0.0017749062267823567,0.002844702130145898
NCT01598077,"A Phase I Study of LJM716 in Squamous Cell Carcinoma of Head and Neck, or HER2+ Breast Cancer or Gastric Cancer",0.0014107385040315525,0.0011699706632545355
NCT01503983,"Efficacy and Safety of Trastuzumab, Capecitabine y Oxaliplatine as Treatment Gastric Cancer Metastatic (HER2)Positive",0.0014241166342010751,0.0017599402644748532
