nct_id,brief_title,page_rank_score_brief_title,page_rank_score_brief_title_summary_combined
NCT01710176,Localized High-Risk Soft Tissue Sarcomas Of The Extremities And Trunk Wall In Adults: An Integrating Approach Comprising Standard Vs Histotype-Tailored Neoadjuvant Chemotherapy,0.003333464286235272,0.0054370474010708904
NCT01746238,Bevacizumab/Doxorubicin/Radiation for Sarcoma,0.004485810025032164,0.004870319975639874
NCT01716689,Clinical Study of Metronomic Oral Cyclophosphamide in Patients With Advanced Sarcomas,0.005137951464791789,0.005184082212118659
NCT01763970,Stereotactic Radiation Therapy for Pediatric Sarcomas,0.004260558216964576,0.0024121720025150058
NCT01782313,A Phase II Study of Tivozanib in Patients With Metastatic and Non-resectable Soft Tissue Sarcomas,0.004971896143387678,0.005266939180044155
NCT02888665,Pembrolizumab and Doxorubicin Hydrochloride in Treating Patients With Sarcoma That is Metastatic or Cannot Be Removed by Surgery,0.004364732567066651,0.005216518008454878
NCT02859415,"Continuous 24h Intravenous Infusion of Mithramycin, an Inhibitor of Cancer Stem Cell Signaling, in People With Primary Thoracic Malignancies or Carcinomas, Sarcomas or Germ Cell Neoplasms With Pleuropulmonary Metastases",0.00302709749291894,0.004048827533808164
NCT02812654,"Ifosfamide, Doxorubicin and Hypofractionated Radiotherapy in Neoadjuvant Sarcoma Treatment",0.0033277317823137524,0.005149758540732879
NCT02867592,"Cabozantinib-S-Malate in Treating Younger Patients With Recurrent, Refractory, or Newly Diagnosed Sarcomas, Wilms Tumor, or Other Rare Tumors",0.0039969261502989985,0.004688660147804139
NCT02815995,Multi-Arm Study to Test the Efficacy of Immunotherapeutic Agents in Multiple Sarcoma Subtypes,0.0036505992977729405,0.0034736187078851055
NCT02805725,Targeting Microenvironment and Cellular Immunity in Sarcomas Weekly Trabectedin Combined With Metronomic Cyclophosphamide,0.003596953965569477,0.003446570034229998
NCT02849366,Combination of Cryosurgery and NK Immunotherapy for Recurrent Sarcoma,0.003620713357809517,0.005085155454485444
NCT02811523,In Vivo Lung Perfusion for Pulmonary Metastases of Sarcoma,0.00321913546769708,0.004189796465697619
NCT01574716,Sarcoma Study of MORAb-004 Utilization: Research and Clinical Evaluation. (SOURCE),0.0038158825945122576,0.0039392444294579125
