nct_id,brief_title,page_rank_score_brief_title,page_rank_score_brief_title_summary_combined
NCT01762020,Barrier Film vs. Standard Skin Care in Preventing Dermatitis in Women With Breast Cancer Receiving Radiation,0.00024442990340196755,0.00022898777246379992
NCT01728506,An Internet-based Weight Loss and Exercise Intervention for Breast Cancer Survivors,0.00032942409823572607,0.00035381636805163037
NCT01731769,Preventing Seroma Formation After Axillary Lymph Node Dissection for Breast Cancer by Early Vacuum Assisted Closure,0.000272711134440421,0.0002424524976172291
NCT01785420,Pre Operative Trastuzumab in Operable Breast Cancer,0.00048375288864420873,0.0004830463779709904
NCT01758445,Proton Radiation for Stage II/III Breast Cancer,0.00034429257137097186,0.0003094921981197849
NCT01752907,Effect of Patient Education on Reported Bone Pain in Breast Cancer Patients Receiving Chemotherapy and Pegfilgrastim,0.0003010072438272308,0.0003196033110914862
NCT01788839,Longitudinal Sexual and Reproductive Health Study of Women With Breast Cancer and Lymphoma,0.00028543200094982747,0.00028812007046329134
NCT01766297,Phase II Protocol of Proton Therapy for Partial Breast Irradiation in Early Stage Breast Cancer,0.00025776184284088456,0.00031120657571604587
NCT01784120,A Phase II Trial of Doxorubicin and Genexol-PM in Patients With Advanced Breast Cancer,0.0003329072118393578,0.00028108180806533847
NCT01777958,HELENA Study: An Observational Study of Perjeta (Pertuzumab) in First-Line Treatment in Patients With Her2-Positive Advanced Breast Cancer After Adjuvant Herceptin Therapy,0.00035387124945453116,0.00036037962235874107
NCT01777802,"Immune Responses in Prostate, Lung, Melanoma and Breast Cancer Patients Following Stereotactic Body Radiotherapy (SBRT), Intensity Modulated Radiotherapy (IMRT) or Brachytherapy",0.00029254614212880094,0.00019761273125899208
NCT01727362,Evaluation of Effectiveness of Acupuncture on Quality of Life in Patients With Breast Cancer Receiving Chemotherapy,0.0003093956061427856,0.00038623853746170406
NCT01723774,PD 0332991 and Anastrozole for Stage 2 or 3 Estrogen Receptor Positive and HER2 Negative Breast Cancer,0.00025336444330415387,0.0003038274216927732
NCT01723592,The Ability of Orally Administered Lactobacillus Species to Improve the Quality of the Vaginal Flora of Women With Breast Cancer and Chemotherapy.,0.00025188538015698985,0.00028533418774836605
NCT01723943,Educational Counseling in Improving Communication and Quality of Life in Spouses and Breast Cancer Patients,0.00031252855030881166,0.0002780678327377191
NCT01767168,Study to Test the Value of a Pain Modulation Test in Predicting Persistent Postoperative Pain After Breast Cancer Surgery,0.00027626945714800304,0.0002780688941418933
NCT01776008,Akt Inhibitor MK-2206 and Anastrozole With or Without Goserelin Acetate in Treating Patients With Stage II-III Breast Cancer,0.00029474449169525786,0.0003269744174723754
NCT01791998,Magnetic Resonance Thermal Image Guided Laser Interstitial Thermal Therapy in Treating Patients With Breast Cancer,0.0002915198922817289,0.00027574900280438183
NCT01791985,AZD4547 & Anastrozole or Letrozole (NSAIs) in ER+ Breast Cancer Patients Who Have Progressed on NSAIs (RADICAL),0.00035508006092601285,0.0003603404033667332
NCT01736605,The Effect of Meditation and Massage Therapy for Breast Cancer Patients Undergoing Tissue Reconstruction,0.0002931941975511276,0.0002850848485396725
NCT01736306,Biomarkers for Breast Cancer Risk in African American Women,0.0004709342382672909,0.0002798419435267018
NCT01755208,Light-Scattering Spectroscopy for Detection of Breast Cancer,0.00032869607615644656,0.0003242981195295075
NCT01795612,Adapted Physical Activity Effect on Aerobic Function and Fatigue at Home in Patients With Breast Cancer Treated in Adjuvant or Neoadjuvant Phase,0.0003004744111974476,0.00034955892674670436
NCT01740271,A Study of Genetic Based Chemotherapy Dosing for Breast Cancer Patients,0.00036574732416125495,0.00035174543707587597
NCT01740323,Phase II Study of Curcumin vs Placebo for Chemotherapy-Treated Breast Cancer Patients Undergoing Radiotherapy,0.0003418185787313646,0.0003350091349085613
NCT01740427,A Study of Palbociclib (PD-0332991) + Letrozole vs. Letrozole For 1st Line Treatment Of Postmenopausal Women With ER+/HER2- Advanced Breast Cancer (PALOMA-2),0.0003134682951001344,0.0003277563759543436
NCT01741883,Side Effect Prevention Training (SEPT) for Nocebo Effects in Breast Cancer Patients,0.000312783068831031,0.00037872459265748574
NCT01732939,Phase II Study of Neoadjuvant Chemotherapy Regimen Choice in Breast Cancer,0.0003309500064769815,0.00035156873696269163
NCT01729884,Vaccine Therapy in Treating Patients With Stage IV Hormone Receptor Positive Breast Cancer,0.00030309589532223326,0.00033268650007870664
NCT01729832,Stereotactic Image-Guided Navigation During Breast Reconstruction in Patients With Breast Cancer,0.00029165752476271946,0.0002738693663625676
NCT01737970,A Study to Correlate Ultrasound Elastography With Histopathology to Monitor the Response of Locally Advanced Breast Cancer to Neoadjuvant Chemotherapy,0.00030655958041529355,0.0004003981095768476
NCT01779206,ADAPT - Adjuvant Dynamic Marker-Adjusted Personalized Therapy Trial Optimizing Risk Assessment and Therapy Response Prediction in Early Breast Cancer,0.0002802560733808459,0.0004015692036993895
NCT01779050,Effect of Trastuzumab on Disease Free Survival in Early Stage HER2-Negative Breast Cancer Patients With ERBB2 Expressing Disseminated Tumor Cells,0.0003020625848185405,0.0003575703183959237
NCT01789684,Cluster Randomized Trial Comparing Interventions to Enhance Genetic Counseling Among Breast Cancer Patients,0.0002941201481734252,0.00022201658712868975
NCT01790399,IDENTIFICATION OF SENTINEL NODE(S) IN BREAST CANCER,0.000328147309837614,0.00037955339407338284
NCT01792726,A Comparison of Intra-operative Radiotherapy Boost With External Beam Radiotherapy Boost in Early Breast Cancer.,0.00027404879243127147,0.0002620394820034982
NCT01706016,Local Treatment by Thermic Destruction of Primitive Breast Cancer,0.00036435508150890067,0.0003491435201672924
NCT01724606,Whole Brain Radiotherapy (WBRT) With Sorafenib for Breast Cancer Brain Metastases (BCBM),0.000258841081266357,0.0003294833354898245
NCT01724866,Phase 2 Study of HM10460A or Pegfilgrastim Use for the Management of Neutropenia in Breast Cancer Patients,0.0003278414690984829,0.00035634998344913723
NCT01724242,Vaginal DHEA for Women After Breast Cancer,0.0003282449237617844,0.0002453956089947676
NCT01743573,"Effects on Physical Fitness, Immunity, and Quality of Life of Yoga Training in Breast Cancer Survivors.",0.0002432033797821257,0.00026218777427549836
NCT01771666,Pilot Indocyanine Green™ Imaging for Mapping of Arm Draining Lymphatics & Nodes in Breast Cancer,0.00023960868264700776,0.00019949300883305828
NCT01708798,Study of the Effect of Eplerenone on Heart Function in Women Receiving Anthracycline Chemotherapy for Breast Cancer,0.000280755126019592,0.0003494083183559447
NCT01716247,Comparison of Contrast Enhanced Mammography to Breast MRI in Screening Patients at Increased Risk for Breast Cancer,0.0002889289957271975,0.00030183975674543935
NCT01797354,Impact of a Group Intervention on Breast Cancer Patient's Adjustment and Emotion Regulation at the End of Treatment,0.0003107730179812716,0.0003222918004875867
NCT01799031,Educational Intervention for Reducing Work Disability in Breast Cancer Survivors,0.00032769025367967406,0.00033963962824763385
NCT01764789,Stress Reduction in Improving Quality of Life in Patients With Recurrent Gynecologic or Breast Cancer,0.0003126586214452076,0.00038365302405196015
NCT01764802,Psychosexual Intervention in Patients With Stage I-III Gynecologic or Breast Cancer,0.0003624853719040002,0.00040111772949534384
NCT01780064,Psychosocial Support to Facilitate the Return to Employment of Women With Breast Cancer,0.0004603590742105769,0.0004099934397448696
NCT01753908,Broccoli Sprout Extract in Treating Patients With Breast Cancer,0.0003453078996883455,0.00032249788733290874
NCT01754519,Radiation Therapy in Treating Post-Menopausal Women With Early Stage Breast Cancer Undergoing Surgery,0.0002804060393877308,0.00038302643956536665
