nct_id,brief_title,page_rank_score_brief_title,page_rank_score_brief_title_summary_combined
NCT01798147,Selective Internal Radiotherapy (SIRT) Versus Transarterial Chemoembolisation (TACE) for the Treatment of Cholangiocellular Carcinoma (CCC).,0.010347561909620485,0.015580499662428913
NCT01755013,Photodynamic Therapy (PDT) for Palliation of Cholangiocarcinoma,0.013507820124491294,0.012382897028442297
NCT01718327,A Study of Sunitinib in Patients With Advanced Cholangiocarcinoma,0.015020963677737075,0.015204177626841328
NCT01739465,Comparison of Endoscopic Radiofrequency Ablation Versus Photodynamic Therapy for Inoperable Cholangiocarcinoma,0.010277989059138914,0.01550210042208371
NCT02856568,"Ricolinostat, Gemcitabine Hydrochloride, and Cisplatin in Treating Patients With Unresectable or Metastatic Cholangiocarcinoma",0.012770623730708731,0.014749841746062755
NCT03102268,ncRNAs in Exosomes of Cholangiocarcinoma,0.03153298118785461,0.009253956462182703
NCT01524146,Photodynamic Therapy (PDT) Cholangiocarcinoma Registry,0.01350710146285248,0.012462143109824315
NCT01525719,Single Arm Study of RAD001 as Monotherapy in Treatment in Advanced Cholangiocarcinoma,0.012848621926207579,0.01695267646906769
NCT01525069,"Hepatic Arterial Infusion in Treating Patients With Locally Advanced, Non-Metastatic Cholangiocarcinoma",0.013314544993274271,0.012453333489044958
NCT00540735,Efficiency Evaluation of Photodynamic Therapy With Photofrin® on Unresectable Type III or IV Cholangiocarcinomas,0.01111058245371316,0.013544714730908156
NCT00513539,"Biliary Stenting With or Without Photodynamic Therapy in Treating Patients With Locally Advanced, Recurrent, or Metastatic Cholangiocarcinoma or Other Biliary Tract Tumors That Cannot Be Removed by Surgery",0.013625874936395495,0.010761175120847262
NCT02762721,Analysis of Oncogenes in Intrahepatic Cholangiocarcinoma or Mixed Hepatocellular-Cholangiocarcinoma in Tumor Tissue Samples,0.00856467431094707,0.011347950167194993
NCT02730611,"Metabolic Syndrome, Bile Acids, Hepatocellular Carcinoma and Cholangiocarcinoma",0.010178256408563733,0.008332567052809442
NCT02773485,Chemo Alone or in Combination With Radiation in Unresectable Cholangiocarcinoma,0.010846527457063737,0.013865402206339927
NCT03041662,Surveillance Study for Early Detection of Cholangiocarcinoma (CCA) in Primary Sclerosing Cholangitis (PSC),0.010777425663483756,0.008304130840821202
NCT03081039,A Study of Cisplatin or Carboplatin With Gemcitabine Versus Gemcitabine Alone as Adjuvant Therapy in Patients With Resected or Ablation Intra-Hepatic Cholangiocarcinoma,0.013182672723479236,0.013310591895919257
NCT03042182,Trial of Therapeutic Vaccine in Patients With Cholangiocarcinoma,0.014113504261242199,0.011009670048262364
NCT00216437,Dose Escalation Study Combining Oral Capecitabine (Xeloda) and Radiotherapy for Patients With Unresectable Liver or Cholangiocarcinoma,0.01380089189158221,0.014755752660539679
NCT00253617,Stent Placement With or Without Photodynamic Therapy Using Porfimer Sodium as Palliative Treatment in Treating Patients With Stage III or Stage IV Cholangiocarcinoma That Cannot Be Removed By Surgery,0.0116352073899225,0.01095851619323535
NCT00262769,Gemcitabine With or Without Cisplatin in Treating Patients With Unresectable Locally Advanced or Metastatic Cholangiocarcinoma or Other Biliary Tract Tumors,0.014947996532254558,0.01400473285105937
NCT00238212,S0514 Sorafenib in Treating Patients With Unresectable or Metastatic Gallbladder Cancer or Cholangiocarcinoma,0.012826592103880284,0.012704590814652578
NCT00286013,Feasibility of Radiotherapy and Concomitant Gemcitabine and Oxaliplatin in Locally Advanced Pancreatic Cancer and Distal Cholangiocarcinoma,0.011063947030986745,0.011774563079149414
NCT01383746,Second-line Therapy of Unresectable Cholangiocarcinoma by RADIOEMBOLIZATION,0.013009695514026953,0.013321497889417507
