nct_id,brief_title,page_rank_score_brief_title,page_rank_score_brief_title_summary_combined
NCT01777919,Disulfiram/Copper Combination In The Treatment of Newly Diagnosed Glioblastoma Multiform,0.004074222009723658,0.005104632536722822
NCT01759810,Proteome-based Personalized Immunotherapy of Glioblastoma,0.005770488575157755,0.0035039339149351366
NCT01700569,Phase-1 Study of Folinic Acid to Modulate MGMT Gene in Glioblastoma,0.0050138080160135635,0.004057536244092012
NCT01790503,A Phase 1b/2 Study of PLX3397 + Radiation Therapy + Temozolomide in Patients With Newly Diagnosed Glioblastoma,0.006143698659578343,0.006760707352121425
NCT01753713,Dovitinib in Treating Patients With Recurrent or Progressive Glioblastoma,0.0056922633430336236,0.005767481955385627
NCT01712542,Curcumin Bioavailability in Glioblastoma Patients,0.005675620819955739,0.006589148674032
NCT02876003,Efficacy and Safety of G-202 in PSMA-Positive Glioblastoma,0.00576874669794713,0.005192419113254943
NCT02880410,Feasibility Study on LITT for Newly Diagnosed Glioblastoma,0.00507207715356393,0.004959114097523005
NCT02850744,"Study to Evaluate the Efficacy, Safety, Pharmacokinetics and Pharmacodynamic Effects of PQR309 in Glioblastoma Patients",0.004941585027713367,0.004739609244962241
NCT02887417,Glioblastoma Platelet Activation Study,0.0050303328244835415,0.0031758931124999867
NCT02864368,Peptide Targets for Glioblastoma Against Novel Cytomegalovirus Antigens,0.005770710816756955,0.0042768045744729
NCT02858895,Convection-Enhanced Delivery (CED) of MDNA55 in Adults With Glioblastoma at First Recurrence or Progression,0.0035633498031858507,0.004180884470944954
NCT02861898,Super-selective Intra-arterial Repeated Infusion of Cetuximab for the Treatment of Newly Diagnosed Glioblastoma,0.003840017103898558,0.0047794765812918805
NCT02885272,Dual Time Point FDG PET-MR Imaging Optimization for the Evaluation of Glioblastoma,0.0034114168257710032,0.003952894164252687
NCT02852655,"A Pilot Surgical Trial To Evaluate Early Immunologic Pharmacodynamic Parameters For The PD-1 Checkpoint Inhibitor, Pembrolizumab (MK-3475), In Patients With Surgically Accessible Recurrent/Progressive Glioblastoma",0.0040710873754232785,0.004892382573238426
NCT02805179,A Study of High-Dose Chemoradiation Using Biologically-Based Target Volume Definition in Patients With Glioblastoma,0.004513933634539632,0.005398634537209784
NCT02871843,Phase 1 Two Part Dose Escalation Trial of RRx-001 + Radiation + Temozolomide and RRx-001 + Temozolomide Post-RT In Newly Diagnosed Glioblastoma and Anaplastic Gliomas,0.00467667153430427,0.005616467409505953
NCT01549392,Imaging Study of Glioblastomas Treated With Avastin,0.004269915818064744,0.0033059419944280076
NCT01587144,Safety and Efficacy Study of Lucanthone When Used in Combination With Temozolomide(TMZ) and Radiation to Treat Glioblastoma Multiforme(GBM),0.004821946239202915,0.005678590659178877
NCT01567202,Study of DC Vaccination Against Glioblastoma,0.0050138080160135635,0.003950669463239766
