nct_id,brief_title,page_rank_score_brief_title,page_rank_score_brief_title_summary_combined
NCT01791894,Arsenic Trioxide in Treating Patients With Basal Cell Carcinoma,0.01584395117850131,0.01367514527065225
NCT02825511,Assessment of the Clinic-pathological Correlation of Basal Cell Carcinoma,0.017611597634789748,0.009465877318853191
NCT02828111,"Clinical Trial of Patidegib Gel 2%, 4%, and Vehicle Applied Once or Twice Daily to Decrease the Size of Sporadic Nodular Basal Cell Carcinomas",0.010033549844415826,0.009924578609766298
NCT01543581,Vismodegib for Treatment of Basal Cell Carcinoma,0.01641847087957999,0.014314966806152938
NCT02285790,One-stop-shop Study for Treatment of Basal Cell Carcinoma Using Reflectance Confocal Microscopy,0.014641453131850512,0.015432066629731744
NCT02258243,Photodynamic Therapy Using Blue Light or Red Light in Treating Basal Cell Carcinoma in Patients With Basal Cell Nevus Syndrome,0.012849866945105612,0.01145079979498061
NCT00581425,Intron-A/Aldara Combination Therapy for Basal Cell Carcinoma (BCC),0.011575995775864914,0.010402754566875847
NCT00571363,A Randomised Study Comparing Tissue Conservation in Conventional Versus Mohs' Surgery of Basal Cell Carcinoma,0.012094641746731633,0.016589109529513396
NCT00515970,Curettage Versus Excision in Nodular and Superficial Basal Cell Carcinomas,0.011760406658201801,0.012929866224240525
NCT00535080,"Compassionate Use of Metvix® (Methyl Aminolevulinate) Photodynamic Therapy (PDT) in Subjects With Field Actinic Keratoses, Large/Multiple Superficial Basal Cell Carcinomas (BCCs), or Bowen's Disease",0.01136313527090184,0.011692873094967504
NCT02762084,"Trial of Patidegib Gel 2%, 4%, and Vehicle to Decrease the Number of Surgically Eligible Basal Cell Carcinomas (BCC) in Gorlin Syndrome Patients",0.012727226683061522,0.012218061919651711
NCT02781389,Vismodegib on Locally Advanced and Metastatic Basal Cell Carcinoma Under Real World Conditions,0.012826834127715164,0.013759593623770933
NCT02735356,Topical Itraconazole in Treating Patients With Basal Cell Cancer,0.01400921178377199,0.014719037052562329
NCT03069846,"Diagnosing Melanoma, Squamous Cell Carcinoma and Basal Cell Carcinoma Using the Spectra-Scope",0.010925656495951374,0.008295378155261738
NCT03035188,Neoadjuvant Vismodegib in Patients With Large and/or Recurrent Resectable Basal Cell Carcinoma,0.014734583610028046,0.015182234704827212
NCT00218868,Cytodiagnosis of Basal Cell Carcinoma and Actinic Keratosis Using Papanicolaou and May-grunwald-giemsa Stained Tissue Smear,0.01003367094257297,0.009968672585968789
NCT00237107,Debulking Effect of Curretage on Basal Cell Carcinomas - a Histological Assessment.,0.012907817942780337,0.014143754522359126
NCT02371967,An Observational Study of the Effectiveness and Safety of Erivedge® in Patients With Advanced Basal Cell Carcinoma,0.014318342628245172,0.012920737777375749
NCT02303041,Sonidegib and Buparlisib in Treating Patients With Advanced or Metastatic Basal Cell Carcinoma,0.012896660786051306,0.013112105497574723
NCT02354261,Open-label Trial of SUBA™-Itraconazole (SUBA-Cap) in Subjects With Basal Cell Carcinoma Nevus Syndrome (BCCNS),0.010402876952836967,0.013613242819173272
NCT02367547,Superficial Basal Cell Cancer's Photodynamic Therapy: Comparing Three Photosensitises: HAL and BF-200 ALA Versus MAL,0.011506940250537175,0.009750320834851913
NCT01327053,A Phase II Study of Efficacy and Safety in Patients With Locally Advanced or Metastatic Basal Cell Carcinoma,0.015166840250803691,0.021956138180118864
NCT01358045,"Topical Vitamin D3, Diclofenac or a Combination of Both to Treat Basal Cell Carcinoma",0.010667852706257756,0.015237564964227956
NCT01367665,STEVIE: A Study of Vismodegib in Patients With Locally Advanced or Metastatic Basal Cell Carcinoma,0.0156771574933862,0.013391089654989266
NCT01370824,Clinical Diagnosis of Basal Cell Carcinoma Subtype,0.017393987532403496,0.0144590500312017
NCT01349361,Treatment of Basal Cell Carcinomas With Methyl Aminolevulinate and Daylight,0.01471520835491675,0.01613462495576808
NCT00882791,Basal Cell Carcinoma Recurrence After Mohs Surgery,0.013132177188597528,0.010893419860546571
NCT00833417,"A Study Evaluating the Efficacy and Safety of Vismodegib (GDC-0449, Hedgehog Pathway Inhibitor) in Patients With Advanced Basal Cell Carcinoma",0.015362055895563874,0.011341588144397485
NCT00803907,Imiquimod 5% Cream for the Treatment of Periocular Basal Cell Carcinoma,0.012976701110700723,0.01664095720072053
NCT01631331,Vismodegib in Treating Patients With Basal Cell Carcinoma,0.017552355347268112,0.014243004452898353
NCT01604252,An Observational Study of Treatment Patterns and Effectiveness and Safety Outcomes in Advanced Basal Cell Carcinoma and Basal Cell Carcinoma Nevus Syndrome Patients(RegiSONIC),0.013881933873715639,0.013124227310693615
NCT01603810,Evaluating In Vivo OCT Imaging for Periocular Basal Cell Carcinoma,0.017393987532403503,0.012966759688091791
