nct_id,brief_title,page_rank_score_brief_title,page_rank_score_brief_title_summary_combined
NCT01728181,A Phase I/II Study of Tivozanib and Erlotinib as Initial Treatment for Metastatic Non-small Cell Lung Cancer Assigned by VeriStrat® Serum Proteomic Evaluation,0.0006786751924490412,0.0007832695072991151
NCT01731587,Anti-cancer MUC1-specific Immunotherapy for Unresectable Stage III Non-small Cell Lung Cancer,0.0006034918663793187,0.0006767295448317833
NCT01710319,Mechanisms of Immunosurveillance for Lung Cancer,0.0008986078023327953,0.0005924571494230052
NCT01752101,Identification of a Plasma Proteomic Signature for Lung Cancer,0.000522939939794317,0.0004778523683217434
NCT01752647,CT Screening For Lung Cancer in High Risk Patients: the Russian Study.,0.0007182345995100886,0.0005587073073487146
NCT01788566,A Study of Gemcitabine-Cisplatin Chemotherapy Plus Necitumumab in the First-Line Treatment of Participants With Squamous Lung Cancer,0.000534423945678849,0.0006066864961750357
NCT01748981,"Fitness, Activity and Lung Cancer Study",0.0007738628989023345,0.00044504723909656206
NCT01770795,A Phase II Trial of Genexol-PM and Gemcitabine in Patients With Advanced Non-small-cell Lung Cancer,0.0007014956228635082,0.0006833600813875585
NCT01727076,"Recombinant Interleukin-15 in Treating Patients With Advanced Melanoma, Kidney Cancer, Non-small Cell Lung Cancer, or Squamous Cell Head and Neck Cancer",0.0007406467633334323,0.0008001071145745225
NCT01744925,Icotinib at Different Doses in Second-line Treatment for Non-small Cell Lung Cancer Patients With Wild Type EGFR,0.0008395742481165675,0.0009493695715758037
NCT01767974,Comparison of Sequencing and PNA Clamping of EGFR Gene in Patients With Non-Small Cell Type Lung Cancer,0.0007033377391306237,0.0005835162931568549
NCT01755624,Effect of TTFields (150kHz) in Non-small Cell Lung Cancer (NSCLC) Patients With 1-5 Brain Metastases Following Optimal Standard Local Treatment (COMET),0.0007487911435141622,0.0007180545725330486
NCT01707888,VATS Major Lung Resection for Chinese Early-stage Non-small Cell Lung Cancer,0.0006196122976008593,0.0008031366273145245
NCT01741155,Study of SPI-1620 in Combination With Docetaxel Versus Docetaxel Alone for Patients With Non Small-cell Lung Cancer (NSCLC),0.0006829463320839032,0.0008232673667027453
NCT01741506,Coagulation Profile in Patients Undergoing Video Assisted Thorascopic Surgery (VATS) for Lung Cancer,0.0005782367764347695,0.0005256705344017729
NCT01737112,99mTc-3PRGD2 SPECT/CT in Lung Cancer Patients,0.000722544267241651,0.0005937097722814299
NCT01789892,Methylprednisolone Before Fludeoxyglucose-Labeled Positron Emission Tomography in Patients With Lung Cancer,0.0005919277389977091,0.0005702455744265139
