nct_id,brief_title,page_rank_score_brief_title,page_rank_score_brief_title_summary_combined
NCT01743807,Phase I Study of GNKG168 in Acute Lymphoblastic Leukemia and Acute Myelogenous Leukemia,0.007515896151878711,0.0068524754318041465
NCT01772953,Treosulfan/Fludarabine/Low Dose TBI as a Preparative Regimen for Children With AML/MDS Undergoing Allo HCT,0.005314756780619114,0.003966628993061233
NCT01511575,Studying Biomarker Expression in Samples From Patients With Down Syndrome and Acute Myeloid Leukemia or Other Transient Myeloproliferative Disorder,0.007228387717941367,0.008915265524061463
NCT01507441,Studying DNA in Samples From Younger Patients With Down Syndrome and Acute Myeloid Leukemia Treated on COG-AAML0431 Clinical Trial,0.007955532994517142,0.009145155274977848
NCT01500499,Role of Biomarkers in Disease Progression in Samples From Patients With Acute Myeloid Leukemia,0.007639646323474176,0.008967428262332006
NCT01576185,Developing and Treating a Mouse Model of Acute Myeloid Leukemia Using Tissue Samples From Younger Patients With Acute Myeloid Leukemia,0.008054505441687619,0.009187512202960152
NCT02221310,Immunochemotherapy and AlloSCT in Patients With High Risk CD33+ AML/MDS,0.009815764906841261,0.006685000371852772
NCT00502905,Busulfan and Fludarabine in Patients With AML and MDS,0.008296274217017395,0.005713256861765036
NCT00529360,"Allogeneic Stem Cell Transplant With Clofarabine, Ara-C and TBI for AML and ALL",0.00549967530933163,0.004035491830124459
NCT00553202,"Donor Stem Cell Transplant in Treating Young Patients With Acute Myeloid Leukemia With Monosomy 7, -5/5q-, High FLT3-ITD AR, or Refractory or Relapsed Acute Myelogenous Leukemia",0.0077193507388960405,0.008758555976951639
NCT00548847,"Immunotherapy for Acute Myeloid Leukemia (AML), Acute Lymphoblastic Leukemia (ALL), Blast Phase Chronic Myelogenous Leukemia (BP CML), and Myelodysplastic Syndrome (MDS) Relapse After Allogeneic Transplantation",0.005730585425493251,0.004965274112775608
NCT00514189,Feasibility Study of Acute Myelogenous Leukemia mRNA Plus Lysate Loaded Dendritic Cell Vaccines,0.00569484211545133,0.004000470878284283
