nct_id,brief_title,page_rank_score_brief_title,page_rank_score_brief_title_summary_combined
NCT01752257,EF5 in Melanoma Patients,0.002203737326304247,0.0010009464353049394
NCT01760499,"Detection of Immune Cell Infiltration Into Melanomas Treated by PV-10, a Feasibility Study",0.000723492071442262,0.0009650884236020795
NCT01748747,Vaccine Therapy and Resiquimod in Treating Patients With Stage II-IV Melanoma That Has Been Removed By Surgery,0.0010468862630533835,0.001319853488903554
NCT01748448,Vitamin D Supplementation in Cutaneous Malignant Melanoma Outcome,0.001024525291797672,0.0007270584728593636
NCT01703507,Phase I Study of Ipilimumab Combined With Whole Brain Radiation Therapy or Radiosurgery for Melanoma,0.0008959145285707683,0.0009591979656584367
NCT01777776,Safety and Efficacy of LEE011 and LGX818 in Patients With BRAF Mutant Melanoma.,0.0022037373263042444,0.0024132581368549355
NCT01777802,"Immune Responses in Prostate, Lung, Melanoma and Breast Cancer Patients Following Stereotactic Body Radiotherapy (SBRT), Intensity Modulated Radiotherapy (IMRT) or Brachytherapy",0.0009630198664935007,0.0007626970333981655
NCT01727076,"Recombinant Interleukin-15 in Treating Patients With Advanced Melanoma, Kidney Cancer, Non-small Cell Lung Cancer, or Squamous Cell Head and Neck Cancer",0.0010554399226649822,0.0012328001819836222
NCT01723813,Peptide Vaccinations Plus GM-CT-01 in Melanoma,0.0010598452343715695,0.0011198945887920019
NCT01744171,Vaccine Therapy in Treating Patients With Advanced Stage III-IV Melanoma,0.001291642507780212,0.0014599935554798177
NCT01744860,Comparison of In-House Methods and Cobas BRAF V600 Mutation Assay in Melanoma Tumor Samples,0.0007707354551312124,0.0009557523176075541
NCT01767454,Study of Dabrafenib +/- Trametinib in Combination With Ipilimumab for V600E/K Mutation Positive Metastatic or Unresectable Melanoma,0.0009514611240248654,0.0009645200473196249
NCT01704287,Study of Pembrolizumab (MK-3475) Versus Chemotherapy in Participants With Advanced Melanoma (P08719/KEYNOTE-002),0.0010230664443799308,0.0008828622905104079
NCT01776905,In Vivo Real-time Detection of Circulating Melanoma Cells,0.0010569694484415147,0.0007523835801333082
NCT01740401,CTLA-4 Blockade and Low Dose Cyclophosphamide in Patients With Advanced Malignant Melanoma,0.0010915421799021702,0.0010745611400146606
NCT01740297,Ipilimumab With or Without Talimogene Laherparepvec in Unresected Melanoma,0.0011242441789030028,0.0010046376029229731
NCT01729663,"Phase II/III Clinical Study CSF470 Plus BCG Plus GM-CSF vs IFN Alpha 2b in Stage IIB, IIC and III Melanoma Patients",0.0011565836444614693,0.0011385276138957707
NCT01701037,Dabrafenib Alone and in Combination With Trametinib Before Surgery in Treating Patients With Locally or Regionally Advanced Melanoma That Can Be Removed By Surgery,0.0011316325209985675,0.0012989225400409185
NCT01701674,Ipilimumab With Lymphodepletion Plus Adoptive Cell Transfer and High Dose IL-2 in Melanoma Mets Pts,0.0009143436362416354,0.0009809692559167495
NCT01789827,Aldesleukin Imaging in Viewing Tumor Growth in Patients With Stage IV Melanoma Receiving Ipilimumab or Pembrolizumab Therapy,0.0011537415220205362,0.001172243205285797
NCT01721746,A Study to Compare BMS-936558 to the Physician's Choice of Either Dacarbazine or Carboplatin and Paclitaxel in Advanced Melanoma Patients That Have Progressed Following Anti-CTLA-4 Therapy (CheckMate 037),0.0012157244727844854,0.0012100053371317426
NCT01721603,A Phase 2 Prospective Trial of Dabrafenib With Stereotactic Radiosurgery in BRAFV600E Melanoma Brain Metastases,0.0008691773258599376,0.0009144276401277451
NCT01708941,Ipilimumab With or Without High-Dose Recombinant Interferon Alfa-2b in Treating Patients With Stage III-IV Melanoma That Cannot Be Removed by Surgery,0.001126432520489862,0.001224188726553327
NCT01753089,Dendritic Cell Activating Scaffold in Melanoma,0.0014907480331165155,0.0008995524447447028
NCT01754376,Combined BRAF-Targeted Therapy & Immunotherapy for Melanoma,0.0010483488961406098,0.0010484863785016356
NCT01763164,Study Comparing the Efficacy of MEK162 Versus Dacarbazine in Unresectable or Metastatic NRAS Mutation-positive Melanoma,0.0009235324953642374,0.0010421457835344205
NCT01775514,"A Non-Interventional Study of the Occurrence Rate of Non-Small Cell Lung Cancer, Colon Cancer, Breast Cancer, Gastric Cancer and Malignant Melanoma in Turkey, and Diagnosis and Treatment Characteristics",0.0008552651897102873,0.0008776980357999971
NCT01726738,LCCC 1128: Open Label Phase II Trial of the BRAF Inhibitor (Dabrafenib) and the MEK Inhibitor (Trametinib) in Unresectable Stage III and Stage IV BRAF Mutant Melanoma; Correlation of Resistance With the Kinome and Functional Mutations,0.0008824134774543904,0.0009953449512126534
NCT01781026,Phase 2 Study of Neoadjuvant Vemurafenib in Melanoma Patients With Untreated Brain Metastases,0.0011267003273012144,0.0009263407823805415
NCT01781572,A Phase Ib/II Study of LEE011 in Combination With MEK162 in Patients With NRAS Mutant Melanoma,0.0014315594858057893,0.001164927047810205
NCT01709162,Study to Compare the Effect of Ipilimumab Retreatment With That of Chemotherapy in Advanced Melanoma,0.0009818400699185238,0.0011878178579718054
NCT01782508,A Phase II Study of Imatinib Versus Interferon as Adjuvant Therapy in KIT-mutated Melanoma,0.0008987023934116465,0.0008932565423243228
NCT02836548,HDAC Inhibitor Vorinostat in Resistant BRAF V600 Mutated Advanced Melanoma,0.0008441516681684817,0.001052455947540052
NCT02891616,18F-FLT PET Imaging in Patients With Advanced Melanoma,0.0011764488539874243,0.001173038938836771
NCT02879474,Study of Risk Factors and Clinical Characterization of Rapidly Growing Melanoma,0.0010180341844270974,0.0008374482937813489
NCT02819843,"A Study of T-VEC (Talimogene Laherparepvec) With or Without Radiotherapy for Melanoma, Merkel Cell Carcinoma, or Other Solid Tumors",0.000875687461999198,0.0009018197296521492
NCT02884362,Prospective Melanoma Database,0.001450674460813994,0.0005277048761414362
NCT02883933,Clinical and Histological Features of Head and Neck Melanoma,0.0010373651045929913,0.0005803158793805319
