name,code,ngram,cui,term,semtype
Abdomen enlarged,10000045,Abdomen,C0000726,Abdomen,{'T029'}
Abdomen enlarged,10000045,enlarged,C1293134,Enlarged,{'T061'}
Abdominal bloating,10048746,Abdominal bloating,C0000731,Abdominal bloating,{'T033'}
Abdominal cramps,10000057,Abdominal cramps,C0000729,Abdominal cramps,{'T184'}
Abdominal crampy pains,10000058,Abdominal,C0000726,Abdominal,{'T029'}
Abdominal crampy pains,10000058,crampy,C0270814,crampy,{'T047'}
Abdominal crampy pains,10000058,pains,C0030193,pains,{'T184'}
Abdominal discomfort,10000059,Abdominal discomfort,C0232487,Abdominal discomfort,{'T184'}
Abdominal hernia,10060954,Abdominal,C0000726,Abdominal,{'T029'}
Abdominal infection,10056519,Abdominal infection,C1112209,Abdominal infection,{'T047'}
Abdominal mass,10000077,Abdominal mass,C0000734,Abdominal mass,{'T033'}
Abdominal pain,10000081,Abdominal pain,C0000737,Abdominal pain,{'T184'}
Abdominal tenderness,10000097,Abdominal tenderness,C0232498,Abdominal tenderness,{'T184'}
Abnormal behaviour,10061422,Abnormal,C0205161,Abnormal,{'T033'}
Abnormal behaviour,10061422,behaviour,C0677505,behaviours,{'T033'}
Abnormal dreams,10000125,Abnormal,C0205161,Abnormal,{'T033'}
Abnormal dreams,10000125,dreams,C0013117,dreams,{'T041'}
Abnormal faeces,10000133,Abnormal,C0205161,Abnormal,{'T033'}
Abnormal faeces,10000133,faeces,C0015733,faeces,{'T031'}
Abnormal feces,10000134,Abnormal feces,C0162287,Abnormal feces,{'T033'}
Abnormal hair growth,10000147,Abnormal,C0205161,Abnormal,{'T033'}
Abnormal hair growth,10000147,growth,C0018270,growth,{'T040'}
Abnormal hair growth,10000147,hair,C0018494,hair,{'T023'}
Abnormal sensation in eye,10000173,Abnormal sensation,C0423571,Abnormal sensation,{'T184'}
Abnormal sensation in eye,10000173,eye,C0015392,eye,{'T023'}
Abnormal stools,10000181,Abnormal,C0205161,Abnormal,{'T033'}
Abnormal stools,10000181,stools,C0015733,stools,{'T031'}
Abscess,10000269,Abscess,C0000833,Abscess,{'T047'}
Absence attacks,10000321,Absence attacks,C0235956,Absence attacks,{'T184'}
Absence of menstruation,10000326,Absence of menstruation,C0002453,Absence of menstruation,{'T047'}
Absent-minded,10067170,Absent,C4285062,Absent,{'T033'}
Ache,10000424,Ache,C0030193,Ache,{'T184'}
Achilles tendon pain,10050471,Achilles,C0001074,Achilles,{'T023'}
Achilles tendon pain,10050471,pain,C0030193,pain,{'T184'}
Aching in limb,10000448,limb,C0015385,limb,{'T023'}
Acne,10000496,Acne,C0001144,Acne,{'T047'}
Addiction,10001125,Addiction,C0085281,Addiction,{'T048'}
Aggression,10001488,Aggression,C4050402,Aggression,{'T170'}
Aggressive behavior,10062375,Aggressive,C1547300,Aggressive,{'T170'}
Aggressive behavior,10062375,behavior,C0677505,behaviors,{'T033'}
Aggressive behaviour,10001490,Aggressive,C1547300,Aggressive,{'T170'}
Aggressive behaviour,10001490,behaviour,C0677505,behaviours,{'T033'}
Aggressiveness,10001494,Aggressiveness,C1457883,aggressiveness,{'T048'}
Agitated,10001495,Agitated,C0085631,agitated,{'T184'}
Agitation,10001497,Agitation,C0085631,Agitation,{'T184'}
Agoraphobia,10001502,Agoraphobia,C0001818,Agoraphobia,{'T048'}
Airways obstruction,10001539,obstruction,C0028778,obstruction,{'T046'}
Airways obstruction,10001539,Airways,C0458827,Airways,{'T023'}
Alcohol abuse,10001584,Alcohol abuse,C0085762,Alcohol abuse,{'T048'}
Alertness decreased,10049875,decreased,C0442797,decreased,{'T033'}
Alertness decreased,10049875,Alertness,C1443086,alertness,{'T041'}
Allergic rash,10001717,rash,C0015230,rash,{'T184'}
Allergic rash,10001717,Allergic,C3467963,Allergican,{'T109'}
Allergic rash,10001717,Allergic,C3467963,Allergican,{'T121'}
Allergic reaction,10001718,Allergic reaction,C0020517,Allergic reaction,{'T046'}
Allergic rhinitis,10001723,Allergic rhinitis,C2607914,Allergic rhinitis,{'T047'}
Allergy,10001738,Allergy,C0020517,Allergy,{'T046'}
Allergy to chemicals,10061626,Allergy,C0020517,Allergy,{'T046'}
